Date,symbol,Low,High,Close,Open,Volume
1999-09-28,GE,115.25,119.75,118.375,119.5,16645800.0
1999-09-29,GE,116.375,118.93799999999999,116.43799999999999,117.68799999999999,15737900.0
1999-09-30,GE,115.375,119.93799999999999,118.56299999999999,117.125,21233700.0
1999-10-01,GE,116.375,118.125,117.375,117.875,16768400.0
1999-10-04,GE,118.18799999999999,120.06299999999999,120.06299999999999,118.18799999999999,15164100.0
1999-10-05,GE,119.31299999999999,122.75,120.93799999999999,119.68799999999999,21599100.0
1999-10-06,GE,121.1228,124.0,123.68799999999999,121.125,19945800.0
1999-10-07,GE,121.56299999999999,124.18799999999999,121.875,123.375,16028600.0
1999-10-08,GE,121.625,125.18799999999999,124.75,122.875,22978800.0
1999-10-11,GE,123.125,124.43799999999999,123.125,123.81299999999999,10197400.0
1999-10-12,GE,120.875,122.81299999999999,121.375,122.625,17407400.0
1999-10-13,GE,119.125,121.5,119.56299999999999,120.81299999999999,15245200.0
1999-10-14,GE,117.125,120.25,120.125,119.375,21271200.0
1999-10-15,GE,115.5,118.0,115.75,117.9991,26847200.0
1999-10-18,GE,114.625,117.625,117.625,115.5,19968900.0
1999-10-19,GE,117.93799999999999,120.375,118.06299999999999,119.5,17694700.0
1999-10-20,GE,118.56299999999999,121.93799999999999,121.625,118.75,14764400.0
1999-10-21,GE,119.0,123.625,123.25,120.68799999999999,16043000.0
1999-10-22,GE,123.43799999999999,126.18799999999999,125.625,123.5,17800800.0
1999-10-25,GE,123.625,125.93799999999999,125.25,124.625,14243700.0
1999-10-26,GE,124.93799999999999,127.25,125.625,125.93799999999999,19426300.0
1999-10-27,GE,125.31299999999999,128.438,128.438,125.625,13464600.0
1999-10-28,GE,129.5,133.813,133.0,129.875,28125200.0
1999-10-29,GE,133.563,136.313,135.5,134.5,21139200.0
1999-11-01,GE,129.25,134.375,129.375,133.625,21201900.0
1999-11-02,GE,128.188,133.125,129.0,129.6759,19782600.0
1999-11-03,GE,130.0,132.938,131.375,132.8758,14317600.0
1999-11-04,GE,130.5,133.563,131.875,132.5,13583200.0
