Date,symbol,Low,High,Close,Open,Volume
2010-11-18,GM,33.89,35.99,34.19,35.0,457044300.0
2010-11-19,GM,33.11,34.5,34.26,34.15,107842000.0
2010-11-22,GM,33.81,34.48,34.08,34.2,36650600.0
2010-11-23,GM,33.19,33.99,33.25,33.95,31170200.0
2010-11-24,GM,33.2186,33.8,33.48,33.73,26138000.0
2010-11-26,GM,33.21,33.81,33.8,33.41,12301200.0
2010-11-29,GM,33.07,33.81,33.8,33.8,27776900.0
2010-11-30,GM,33.36,34.25,34.2,33.53,57476900.0
2010-12-01,GM,34.42,34.95,34.78,34.6524,34633200.0
2010-12-02,GM,34.51,34.98,34.68,34.92,23196100.0
2010-12-03,GM,33.9692,34.6,34.55,34.55,19395200.0
2010-12-06,GM,34.41,34.78,34.48,34.48,11676500.0
2010-12-07,GM,34.46,34.89,34.68,34.75,20823000.0
2010-12-08,GM,34.33,34.73,34.45,34.61,12603900.0
2010-12-09,GM,33.62,34.43,33.74,34.36,18402200.0
2010-12-10,GM,33.53,33.99,33.81,33.85,11741700.0
2010-12-13,GM,33.7,34.05,33.8,33.96,11029300.0
2010-12-14,GM,33.45,33.9183,33.89,33.73,15165600.0
2010-12-15,GM,33.61,34.01,33.61,33.81,10182700.0
2010-12-16,GM,33.56,33.86,33.61,33.57,9885700.0
2010-12-17,GM,33.19,34.0,34.0,33.53,35681600.0
2010-12-20,GM,33.74,34.05,33.76,33.91,12476400.0
2010-12-21,GM,33.72,33.94,33.85,33.86,9012400.0
2010-12-22,GM,33.53,34.95,34.92,33.72,20935100.0
2010-12-23,GM,34.62,35.52,34.81,34.67,20529200.0
2010-12-27,GM,34.19,34.89,34.6,34.41,7368300.0
2010-12-28,GM,35.07,35.67,35.32,35.38,23489000.0
2010-12-29,GM,35.25,36.3,36.02,35.47,20960800.0
2010-12-30,GM,36.02,36.98,36.82,36.1,16980800.0
2010-12-31,GM,36.57,36.96,36.86,36.84,6163900.0
2011-01-03,GM,37.03,38.0,37.06,37.32,24874900.0
2011-01-04,GM,36.68,37.99,37.9,37.1022,32363400.0
2011-01-05,GM,37.47,38.3,38.07,37.47,22503900.0
2011-01-06,GM,38.07,39.48,38.9,38.24,38556900.0
2011-01-07,GM,38.51,39.33,38.98,38.84,19901100.0
2011-01-10,GM,38.44,39.36,38.56,39.34,18341600.0
2011-01-11,GM,38.51,39.43,38.75,38.66,14856500.0
2011-01-12,GM,38.37,39.37,38.62,38.95,16773900.0
2011-01-13,GM,38.11,38.71,38.27,38.66,11358300.0
2011-01-14,GM,38.04,38.47,38.2,38.1806,5894200.0
2011-01-18,GM,37.32,38.33,38.03,38.0536,8918200.0
2011-01-19,GM,37.26,37.9254,37.4,37.78,12667700.0
2011-01-20,GM,36.27,37.29,37.18,37.11,15844900.0
2011-01-21,GM,36.82,37.85,37.24,37.33,9548500.0
2011-01-24,GM,37.03,37.86,37.64,37.71,12202800.0
2011-01-25,GM,37.71,38.49,38.4,37.85,12318700.0
2011-01-26,GM,37.86,38.91,37.89,38.75,11534600.0
2011-01-27,GM,38.03,38.95,38.67,38.2,13950000.0
2011-01-28,GM,36.01,38.02,36.6,37.9978,37134600.0
2011-01-31,GM,35.89,37.0515,36.49,36.89,13954800.0
2011-02-01,GM,36.13,37.23,36.45,36.93,28091600.0
2011-02-02,GM,35.58,36.56,35.68,36.46,17434700.0
2011-02-03,GM,35.13,36.06,36.06,35.97,19350000.0
2011-02-04,GM,35.89,36.73,36.59,36.25,11115000.0
2011-02-07,GM,36.61,37.09,36.7,36.95,7328800.0
2011-02-08,GM,36.4,37.05,36.89,36.97,6243000.0
2011-02-09,GM,36.28,36.91,36.41,36.82,6399300.0
2011-02-10,GM,35.52,36.64,35.88,36.17,11542400.0
2011-02-11,GM,35.55,36.57,36.45,35.76,13508300.0
2011-02-14,GM,35.47,36.56,36.29,36.55,7121200.0
2011-02-15,GM,35.8,36.41,36.11,36.19,10336500.0
2011-02-16,GM,36.02,36.84,36.75,36.11,8680900.0
2011-02-17,GM,36.3,36.7,36.37,36.55,7463000.0
2011-02-18,GM,36.38,36.76,36.51,36.42,6815800.0
2011-02-22,GM,35.45,36.15,35.77,35.86,13937400.0
2011-02-23,GM,33.8,35.94,34.59,35.85,28192500.0
2011-02-24,GM,32.05,35.0,33.02,34.9,63562800.0
2011-02-25,GM,33.05,34.2,33.25,33.67,29017800.0
2011-02-28,GM,32.86,33.74,33.53,33.4899,15886400.0
2011-03-01,GM,32.429,33.75,32.95,33.69,27321600.0
2011-03-02,GM,32.59,33.17,32.88,32.9,14306700.0
2011-03-03,GM,32.65,33.17,33.03,33.03,17614800.0
2011-03-04,GM,32.01,33.079,32.39,33.07,24240900.0
2011-03-07,GM,31.52,32.5,31.7,32.35,15077100.0
2011-03-08,GM,31.69,32.82,32.72,31.74,14509400.0
2011-03-09,GM,32.1,32.759,32.25,32.74,11225600.0
2011-03-10,GM,30.95,31.776999999999997,31.42,31.47,38333600.0
2011-03-11,GM,31.24,32.055,31.93,31.25,14024000.0
2011-03-14,GM,31.43,32.3,31.59,32.14,9976500.0
2011-03-15,GM,30.65,32.49,32.35,30.98,21471300.0
2011-03-16,GM,31.4,32.53,31.78,32.42,14148900.0
2011-03-17,GM,31.33,32.39,31.44,32.18,11025600.0
2011-03-18,GM,31.42,31.95,31.85,31.74,9861200.0
2011-03-21,GM,31.23,32.3,31.28,32.24,13196500.0
2011-03-22,GM,30.51,31.35,30.74,31.28,16982100.0
2011-03-23,GM,30.2,31.28,31.16,30.6,23016000.0
2011-03-24,GM,31.24,31.6,31.39,31.32,15743100.0
2011-03-25,GM,31.09,31.7,31.47,31.49,15242300.0
2011-03-28,GM,30.85,31.5809,30.85,31.58,10302600.0
2011-03-29,GM,30.68,31.17,31.1,30.93,9756700.0
2011-03-30,GM,31.04,31.64,31.55,31.16,7657000.0
2011-03-31,GM,31.0,31.55,31.03,31.4,8976600.0
2011-04-01,GM,30.84,32.63,32.41,31.3907,29883100.0
2011-04-04,GM,32.2,32.72,32.39,32.5,12331400.0
2011-04-05,GM,32.1,32.87,32.87,32.32,10106900.0
2011-04-06,GM,32.52,33.28,32.87,32.9992,8160100.0
2011-04-07,GM,32.07,32.84,32.31,32.84,11242400.0
2011-04-08,GM,31.325,32.75,31.52,32.4,16057700.0
2011-04-11,GM,30.5475,31.45,30.77,31.34,15179100.0
2011-04-12,GM,30.1,31.34,31.15,30.4,19648600.0
2011-04-13,GM,30.59,31.32,30.86,31.23,13781100.0
2011-04-14,GM,30.35,30.86,30.58,30.6501,9044800.0
2011-04-15,GM,30.18,30.72,30.24,30.59,9882800.0
2011-04-18,GM,29.9,30.34,29.97,30.06,12745600.0
2011-04-19,GM,29.17,29.91,29.59,29.81,19914800.0
2011-04-20,GM,29.42,30.38,29.93,29.76,22038100.0
2011-04-21,GM,30.01,31.0007,30.95,30.05,18920800.0
2011-04-25,GM,30.32,31.19,31.14,31.0,15442500.0
2011-04-26,GM,30.96,31.51,31.27,31.39,15700000.0
2011-04-27,GM,31.28,31.7878,31.78,31.47,14945600.0
2011-04-28,GM,31.48,32.095,31.91,31.76,15810100.0
2011-04-29,GM,31.91,32.58,32.09,31.9892,13774600.0
2011-05-02,GM,31.92,32.5,32.18,32.41,11014500.0
2011-05-03,GM,32.36,33.2,32.99,32.38,29894800.0
2011-05-04,GM,32.71,33.47,33.04,33.16,20492000.0
2011-05-05,GM,31.49,32.68,32.02,32.06,26623400.0
2011-05-06,GM,31.84,32.6,31.91,32.5,12801800.0
2011-05-09,GM,31.36,32.065,31.39,31.74,10716400.0
2011-05-10,GM,31.33,31.64,31.61,31.47,7841900.0
2011-05-11,GM,31.11,31.8648,31.3,31.57,9073300.0
2011-05-12,GM,30.93,31.6,31.42,31.07,14128200.0
2011-05-13,GM,30.85,31.54,31.07,31.46,10837200.0
2011-05-16,GM,31.08,31.4971,31.1,31.25,7291700.0
2011-05-17,GM,30.83,31.38,31.1,31.06,11191200.0
2011-05-18,GM,31.0,31.62,31.52,31.07,9949400.0
2011-05-19,GM,31.31,31.79,31.47,31.53,9575300.0
2011-05-20,GM,31.1,31.5,31.18,31.36,7224100.0
2011-05-23,GM,30.5,31.16,30.96,30.68,8971700.0
2011-05-24,GM,30.5,31.2,30.83,31.13,8779100.0
2011-05-25,GM,30.5,31.38,31.27,30.56,14390800.0
2011-05-26,GM,30.52,31.1,30.68,31.08,12244400.0
2011-05-27,GM,30.59,31.48,31.28,30.77,9114200.0
2011-05-31,GM,31.13,31.87,31.81,31.44,22938900.0
2011-06-01,GM,30.15,31.7,30.23,31.7,19134400.0
2011-06-02,GM,29.4,30.561,29.6,30.33,22440900.0
2011-06-03,GM,28.9,29.56,29.12,29.2779,21968400.0
2011-06-06,GM,28.55,29.410999999999998,28.56,29.02,13416100.0
2011-06-07,GM,28.39,29.04,28.78,28.89,15237900.0
2011-06-08,GM,28.4,29.34,28.86,28.52,16534000.0
2011-06-09,GM,28.91,29.58,29.45,29.2,13593600.0
2011-06-10,GM,28.65,29.3,28.85,29.3,11734000.0
2011-06-13,GM,28.29,29.08,28.59,28.9,9791900.0
2011-06-14,GM,28.86,29.49,29.11,28.92,10948400.0
2011-06-15,GM,28.64,29.11,28.95,28.77,11669900.0
2011-06-16,GM,28.165,28.99,28.59,28.7,14079400.0
2011-06-17,GM,28.57,29.06,29.0,28.73,16732300.0
2011-06-20,GM,28.77,29.595,29.52,28.87,9038000.0
2011-06-21,GM,29.43,30.0,29.59,29.51,12648300.0
2011-06-22,GM,29.5,30.18,29.97,29.616999999999997,15520300.0
2011-06-23,GM,29.32,30.2,30.14,29.53,13780400.0
2011-06-24,GM,29.66,30.3,29.92,30.15,50062300.0
2011-06-27,GM,29.6,30.46,30.26,29.79,15348000.0
2011-06-28,GM,30.18,30.789,30.5,30.21,12698300.0
2011-06-29,GM,30.25,30.79,30.3,30.79,12716100.0
2011-06-30,GM,30.22,30.56,30.36,30.3,18645700.0
2011-07-01,GM,29.92,30.86,30.58,30.35,18098400.0
2011-07-05,GM,30.58,31.36,30.86,30.87,8836900.0
2011-07-06,GM,31.09,31.68,31.19,31.37,14223700.0
2011-07-07,GM,31.651999999999997,32.08,31.8,31.79,13339400.0
2011-07-08,GM,31.16,31.7,31.58,31.25,9872100.0
2011-07-11,GM,30.55,31.1985,30.75,30.98,8376600.0
2011-07-12,GM,30.02,30.94,30.68,30.24,10536600.0
2011-07-13,GM,30.61,31.3,30.75,30.87,8093200.0
2011-07-14,GM,30.03,30.97,30.1,30.85,10800200.0
2011-07-15,GM,29.515,30.6186,29.76,30.39,10400000.0
2011-07-18,GM,28.6211,29.65,29.1,29.57,13850000.0
2011-07-19,GM,28.76,29.49,29.33,29.2,10283400.0
2011-07-20,GM,29.05,29.48,29.24,29.45,6997900.0
2011-07-21,GM,29.16,30.022,29.96,29.39,12231600.0
2011-07-22,GM,29.88,30.29,30.1,29.97,7820100.0
2011-07-25,GM,29.39,29.84,29.5,29.5291,8690700.0
2011-07-26,GM,28.96,29.7,29.09,29.6706,9268400.0
2011-07-27,GM,28.03,29.0,28.14,28.9,14552900.0
2011-07-28,GM,28.02,28.9,28.1,28.22,11029000.0
2011-07-29,GM,27.3064,28.1,27.68,27.62,12182900.0
2011-08-01,GM,27.7009,28.88,28.07,28.88,12825600.0
2011-08-02,GM,27.02,28.09,27.05,27.75,18222000.0
2011-08-03,GM,26.13,27.17,27.17,27.03,15790400.0
2011-08-04,GM,25.71,27.2,25.99,27.16,38839500.0
2011-08-05,GM,24.49,26.4603,26.31,26.07,34926100.0
2011-08-08,GM,23.79,25.35,24.57,24.61,32608700.0
2011-08-09,GM,24.0,25.56,25.54,25.09,26704600.0
2011-08-10,GM,23.83,25.0,23.92,24.66,20642400.0
2011-08-11,GM,24.11,26.17,25.81,24.11,25179600.0
2011-08-12,GM,25.49,26.5,25.75,26.3,18861500.0
2011-08-15,GM,25.79,26.54,26.42,26.03,12994800.0
2011-08-16,GM,25.69,26.69,25.83,26.22,10145500.0
2011-08-17,GM,24.8993,26.09,24.94,26.0,12062000.0
2011-08-18,GM,23.27,24.08,23.6,23.99,15853700.0
2011-08-19,GM,21.71,23.44,22.16,23.25,34432900.0
2011-08-22,GM,21.18,22.72,21.71,22.54,27158700.0
2011-08-23,GM,21.21,22.06,22.06,21.78,20007100.0
2011-08-24,GM,21.57,22.39,22.37,21.8903,14527400.0
2011-08-25,GM,22.1,22.74,22.3,22.49,11099900.0
2011-08-26,GM,21.8009,23.08,22.87,22.2,10278000.0
2011-08-29,GM,23.27,23.96,23.79,23.3,10642100.0
2011-08-30,GM,23.05,23.74,23.58,23.46,8142900.0
2011-08-31,GM,23.83,24.49,24.03,23.87,12329600.0
2011-09-01,GM,22.905,24.25,23.03,24.09,16926200.0
