Date,symbol,Low,High,Close,Open,Volume
2000-12-08,GRMN,15.125,22.875,20.0,15.812999999999999,17149800.0
2000-12-11,GRMN,19.875,22.75,21.188000000000002,22.688000000000002,2919200.0
2000-12-12,GRMN,19.375,21.25,19.875,21.219,1077400.0
2000-12-13,GRMN,19.75,20.875,19.875,20.75,422400.0
2000-12-14,GRMN,19.875,20.25,20.125,19.984,265400.0
2000-12-15,GRMN,18.0,20.25,20.125,20.25,950200.0
2000-12-18,GRMN,19.438,20.5,20.063,20.5,483600.0
2000-12-19,GRMN,19.25,20.063,19.625,20.047,457400.0
2000-12-20,GRMN,18.0,19.6241,18.25,19.375,1228800.0
2000-12-21,GRMN,17.75,18.5,18.188,18.063,1017400.0
2000-12-22,GRMN,18.5,19.375,19.25,18.625,416000.0
2000-12-26,GRMN,18.875,19.375,19.0,19.313,754000.0
2000-12-27,GRMN,18.25,19.125,18.563,18.906,361400.0
2000-12-28,GRMN,18.313,19.375,18.625,18.625,1048600.0
2000-12-29,GRMN,18.75,20.1251,19.75,19.0,232800.0
2001-01-02,GRMN,18.688,20.25,19.25,20.172,330400.0
2001-01-03,GRMN,17.5,19.375,17.625,18.781,545400.0
2001-01-04,GRMN,17.625,18.125,18.063,17.938,287600.0
2001-01-05,GRMN,17.75,18.5,18.125,18.109,962000.0
2001-01-08,GRMN,17.5,18.188,17.5,18.0,631000.0
2001-01-09,GRMN,17.0,18.0,17.25,17.906,821800.0
2001-01-10,GRMN,16.75,17.25,17.0,17.188,976800.0
2001-01-11,GRMN,17.0,18.5,18.188,17.031,1357000.0
2001-01-12,GRMN,18.5,19.25,19.125,18.594,566200.0
2001-01-16,GRMN,18.875,20.5,19.0,19.625,663200.0
2001-01-17,GRMN,18.875,19.875,19.375,19.109,486000.0
2001-01-18,GRMN,18.5,19.5,19.0,19.484,292800.0
2001-01-19,GRMN,18.25,19.25,18.375,19.063,254200.0
2001-01-22,GRMN,17.625,18.625,17.875,18.625,764600.0
2001-01-23,GRMN,17.875,18.375,17.875,18.25,442600.0
2001-01-24,GRMN,16.938,18.0,17.0,17.891,1197200.0
2001-01-25,GRMN,16.25,18.0,17.875,17.25,985800.0
2001-01-26,GRMN,17.375,19.375,18.625,17.5,249000.0
2001-01-29,GRMN,18.625,19.9996,19.938,18.984,206600.0
2001-01-30,GRMN,18.938,20.0635,20.063,19.938,188800.0
2001-01-31,GRMN,19.375,20.063,19.438,19.766,84200.0
2001-02-01,GRMN,19.375,20.063,19.875,19.375,100600.0
2001-02-02,GRMN,20.0,21.75,21.625,20.063,477200.0
2001-02-05,GRMN,21.75,24.375,24.0,22.063000000000002,562400.0
2001-02-06,GRMN,23.875,25.688000000000002,24.75,24.234,585600.0
2001-02-07,GRMN,23.875,25.0,24.375,24.125,189400.0
2001-02-08,GRMN,24.25,25.375,25.125,24.266,451400.0
2001-02-09,GRMN,24.0,25.188000000000002,24.0,25.063000000000002,730200.0
2001-02-12,GRMN,23.5,24.375,23.5,24.25,2362200.0
2001-02-13,GRMN,23.375,24.6254,24.375,23.813000000000002,228600.0
2001-02-14,GRMN,21.375,24.625,22.25,24.5,1363600.0
2001-02-15,GRMN,20.7487,23.0,21.25,22.75,359400.0
2001-02-16,GRMN,20.125,22.375,21.375,21.188000000000002,264200.0
2001-02-20,GRMN,19.125,22.0,19.625,22.0,391400.0
2001-02-21,GRMN,18.875,20.125,19.625,19.266,196800.0
2001-02-22,GRMN,18.5629,19.625,18.563,19.609,197400.0
2001-02-23,GRMN,18.375,20.563000000000002,20.5,18.5,122800.0
2001-02-26,GRMN,20.453,21.5,21.219,20.5,118600.0
2001-02-27,GRMN,21.375,22.0,22.0,21.5,271800.0
2001-02-28,GRMN,21.813000000000002,22.125,21.875,22.125,142600.0
2001-03-01,GRMN,18.875,21.875,20.0,21.75,232000.0
2001-03-02,GRMN,19.25,20.25,20.125,20.188,167000.0
2001-03-05,GRMN,20.188,21.125,20.875,20.5,110000.0
2001-03-06,GRMN,20.0,21.375,20.0,21.0,257000.0
2001-03-07,GRMN,20.063,20.875,20.625,20.719,175800.0
2001-03-08,GRMN,19.5,20.75,19.875,20.75,137000.0
2001-03-09,GRMN,19.5,20.5,19.625,19.969,140000.0
2001-03-12,GRMN,18.125,19.625,18.125,19.25,255000.0
2001-03-13,GRMN,18.1885,19.0,18.875,18.375,229200.0
2001-03-14,GRMN,18.25,20.25,19.813,18.5,184000.0
2001-03-15,GRMN,19.875,20.5,20.25,19.938,57200.0
2001-03-16,GRMN,19.688,20.375,19.688,20.3745,75800.0
2001-03-19,GRMN,18.875,19.75,19.375,19.688,120800.0
2001-03-20,GRMN,19.125,20.5,19.125,19.5,309800.0
2001-03-21,GRMN,19.125,20.125,19.938,19.125,75200.0
2001-03-22,GRMN,19.25,20.125,19.625,20.109,126800.0
2001-03-23,GRMN,19.625,20.625,20.0,20.0,339800.0
2001-03-26,GRMN,19.875,20.625,20.25,20.0,491400.0
2001-03-27,GRMN,19.75,20.25,19.75,19.875,230800.0
2001-03-28,GRMN,18.0,19.875,18.75,19.625,172400.0
2001-03-29,GRMN,18.125,19.125,19.063,18.75,129600.0
2001-03-30,GRMN,18.9976,20.0,19.875,19.0,97200.0
2001-04-02,GRMN,19.375,20.0,19.75,19.375,125000.0
2001-04-03,GRMN,18.5,20.125,18.5,20.0,224600.0
2001-04-04,GRMN,18.375,20.25,20.063,18.875,190000.0
2001-04-05,GRMN,19.938,20.375,20.25,20.25,109600.0
2001-04-06,GRMN,19.0,20.125,19.125,20.125,138800.0
2001-04-09,GRMN,17.95,18.92,18.25,18.92,801400.0
2001-04-10,GRMN,18.45,18.75,18.55,18.65,488200.0
2001-04-11,GRMN,18.26,18.9,18.323,18.9,347600.0
2001-04-12,GRMN,18.1,18.5,18.1,18.205,120000.0
2001-04-16,GRMN,17.9,18.44,18.05,18.1,149600.0
2001-04-17,GRMN,18.16,18.5,18.4,18.16,80600.0
2001-04-18,GRMN,17.8,18.9993,18.0,18.55,599400.0
2001-04-19,GRMN,18.0,18.14,18.0,18.08,258400.0
2001-04-20,GRMN,18.19,18.62,18.56,18.5,391200.0
2001-04-23,GRMN,18.35,18.5,18.47,18.5,151600.0
2001-04-24,GRMN,18.26,18.5,18.4,18.3,135400.0
2001-04-25,GRMN,18.13,18.6,18.2,18.335,366200.0
2001-04-26,GRMN,18.15,18.7495,18.65,18.16,350600.0
