Date,symbol,Low,High,Close,Open,Volume
1999-09-28,GWW,47.563,49.625,47.688,49.125,307900.0
1999-09-29,GWW,47.563,48.5,48.375,47.688,267700.0
1999-09-30,GWW,48.063,48.938,48.063,48.5,571400.0
1999-10-01,GWW,47.188,47.938,47.688,47.938,451900.0
1999-10-04,GWW,47.25,47.625,47.25,47.5,199500.0
1999-10-05,GWW,45.875,47.125,46.563,47.0,479300.0
1999-10-06,GWW,46.438,46.9993,46.625,46.5,520700.0
1999-10-07,GWW,45.5,46.75,45.75,46.75,534900.0
1999-10-08,GWW,45.25,46.1284,45.813,45.75,299200.0
1999-10-11,GWW,44.0,45.813,44.75,45.813,409700.0
1999-10-12,GWW,43.5,44.813,43.625,44.813,461200.0
1999-10-13,GWW,42.438,45.563,44.625,42.5,1069300.0
1999-10-14,GWW,44.25,45.813,44.563,45.0,535400.0
1999-10-15,GWW,43.625,44.813,44.125,44.813,328500.0
1999-10-18,GWW,43.438,44.813,44.0,43.875,196400.0
1999-10-19,GWW,42.938,44.5,43.0,44.0,233300.0
1999-10-20,GWW,42.938,43.5,43.313,43.0,252900.0
1999-10-21,GWW,41.25,43.125,41.438,42.75,1330600.0
1999-10-22,GWW,41.4397,44.0,43.625,41.438,502900.0
1999-10-25,GWW,42.875,44.25,43.063,43.5,485900.0
1999-10-26,GWW,41.6267,43.125,42.188,43.0,257600.0
1999-10-27,GWW,41.5,42.5,42.063,42.063,196600.0
1999-10-28,GWW,41.625,42.75,42.0,42.75,337500.0
1999-10-29,GWW,41.75,42.563,42.375,42.2514,541700.0
1999-11-01,GWW,42.5,43.625,42.625,42.5,399000.0
1999-11-02,GWW,41.625,42.7499,41.875,42.563,150700.0
1999-11-03,GWW,40.9989,42.0,41.375,41.938,208500.0
1999-11-04,GWW,40.625,42.25,41.063,41.938,327100.0
1999-11-05,GWW,40.75,42.313,41.688,40.813,310900.0
1999-11-08,GWW,41.063,43.5,41.813,41.813,306900.0
1999-11-09,GWW,41.0,43.3715,41.938,43.0,274400.0
1999-11-10,GWW,40.75,42.563,41.688,41.688,209600.0
1999-11-11,GWW,41.688,47.063,46.375,41.688,1424600.0
1999-11-12,GWW,44.813,46.938,45.063,46.438,604800.0
