Date,symbol,Low,High,Close,Open,Volume
1999-09-28,HAL,38.563,41.25,39.063,41.0,6290000.0
1999-09-29,HAL,39.875,41.75,40.75,40.0,5873200.0
1999-09-30,HAL,39.813,41.5,41.0,41.0,4608000.0
1999-10-01,HAL,41.0,42.563,41.813,41.0,3173600.0
1999-10-04,HAL,39.75,41.8147,39.75,41.813,3048000.0
1999-10-05,HAL,33.125,37.0,34.5,36.125,29442400.0
1999-10-06,HAL,34.563,36.188,35.438,35.188,21797800.0
1999-10-07,HAL,33.625,35.5,33.938,35.438,9856200.0
1999-10-08,HAL,32.313,34.25,34.125,33.0,10888000.0
1999-10-11,HAL,34.75,36.188,36.188,35.0,8577200.0
1999-10-12,HAL,36.563,37.625,36.688,37.438,9406200.0
1999-10-13,HAL,36.4995,38.125,37.063,37.0,6675200.0
1999-10-14,HAL,36.375,37.5,36.75,37.0008,4416400.0
1999-10-15,HAL,34.563,36.188,34.625,35.75,7646800.0
1999-10-18,HAL,33.313,34.937,33.875,34.625,4942200.0
1999-10-19,HAL,33.938,35.188,34.438,34.0,4070800.0
1999-10-20,HAL,34.313,35.875,35.75,34.688,5440400.0
1999-10-21,HAL,35.75,37.5,37.25,35.75,4614600.0
1999-10-22,HAL,38.25,38.938,38.625,38.25,4688800.0
1999-10-25,HAL,38.438,39.25,39.0,39.0,5254600.0
1999-10-26,HAL,38.125,39.375,38.313,39.0,5714400.0
1999-10-27,HAL,37.0,39.313,37.0,38.2506,5709400.0
1999-10-28,HAL,36.3116,37.75,37.063,37.25,6373400.0
1999-10-29,HAL,36.625,38.0,37.688,37.25,5491800.0
1999-11-01,HAL,36.75,38.8143,38.75,38.25,6332600.0
1999-11-02,HAL,37.063,38.5,37.188,38.5,3224400.0
1999-11-03,HAL,36.75,38.063,37.188,37.188,5142000.0
1999-11-04,HAL,36.75,37.625,36.75,37.563,2665000.0
1999-11-05,HAL,35.0,37.25,35.563,37.188,5259600.0
1999-11-08,HAL,35.125,37.75,37.75,35.5603,3999800.0
1999-11-09,HAL,38.375,39.688,39.375,38.75,5023000.0
1999-11-10,HAL,39.6885,41.0,39.875,40.125,4835800.0
1999-11-11,HAL,38.75,40.313,38.875,39.875,4272400.0
1999-11-12,HAL,38.563,41.938,41.688,38.938,4474000.0
1999-11-15,HAL,41.625,43.313,43.0,42.125,4975600.0
1999-11-16,HAL,41.813,43.625,42.563,43.0,4774600.0
1999-11-17,HAL,42.75,44.5,44.125,42.75,5644600.0
1999-11-18,HAL,42.4995,44.125,42.813,44.125,3993200.0
1999-11-19,HAL,41.875,43.4391,42.063,42.563,4452600.0
1999-11-22,HAL,41.2506,44.188,41.313,42.688,6159200.0
1999-11-23,HAL,40.5,41.625,40.938,41.3718,3442800.0
1999-11-24,HAL,40.5,41.813,41.063,41.438,2982200.0
1999-11-26,HAL,39.938,40.938,40.063,40.813,1186400.0
1999-11-29,HAL,38.0,39.625,38.563,39.563,3115600.0
1999-11-30,HAL,38.0,39.5,38.625,38.313,4614000.0
1999-12-01,HAL,38.5,41.188,41.125,38.938,3888800.0
