Date,symbol,Low,High,Close,Open,Volume
2011-03-10,HCA,30.7,31.5,31.02,31.2,64599900.0
2011-03-11,HCA,30.5,31.29,31.12,30.5,9531600.0
2011-03-14,HCA,30.57,31.05,30.91,30.96,8663800.0
2011-03-15,HCA,30.36,31.5,31.34,30.39,7121200.0
2011-03-16,HCA,31.12,31.95,31.25,31.25,6157900.0
2011-03-17,HCA,31.4,31.93,31.91,31.54,3332400.0
2011-03-18,HCA,31.9,33.08,33.06,32.11,5463200.0
2011-03-21,HCA,32.0,33.39,32.25,33.39,3823500.0
2011-03-22,HCA,31.39,32.39,31.87,32.37,3943900.0
2011-03-23,HCA,31.5,32.68,32.68,31.7,4216300.0
2011-03-24,HCA,32.5,32.95,32.69,32.53,2125600.0
2011-03-25,HCA,32.58,33.1,32.95,32.71,3026600.0
2011-03-28,HCA,32.75,33.11,33.04,32.87,2098300.0
2011-03-29,HCA,33.05,34.01,33.89,33.44,5137300.0
2011-03-30,HCA,33.93,34.57,34.24,34.57,3049500.0
2011-03-31,HCA,33.665,34.11,33.87,34.0,1960600.0
2011-04-01,HCA,33.66,34.1,33.74,33.89,1822100.0
2011-04-04,HCA,33.31,33.87,33.67,33.87,2648000.0
2011-04-05,HCA,33.25,34.05,34.02,33.7,3607100.0
2011-04-06,HCA,33.24,34.2,33.3,33.75,2718500.0
2011-04-07,HCA,32.85,33.85,33.66,33.28,1946900.0
2011-04-08,HCA,32.9906,33.99,33.17,33.52,2339800.0
2011-04-11,HCA,30.79,33.34,32.12,33.34,15028000.0
2011-04-12,HCA,31.33,32.59,31.53,32.11,3848800.0
2011-04-13,HCA,31.7,32.45,32.06,32.0,3969800.0
2011-04-14,HCA,31.79,32.5,32.14,31.89,1565900.0
2011-04-15,HCA,31.89,32.38,31.98,32.3,3072800.0
2011-04-18,HCA,30.75,32.54,32.08,31.82,2911100.0
2011-04-19,HCA,31.66,33.1,31.74,33.08,3838100.0
2011-04-20,HCA,31.15,32.19,31.65,32.0,3866100.0
2011-04-21,HCA,31.27,31.98,31.4,31.81,1462000.0
2011-04-25,HCA,31.1,31.6,31.4,31.56,732700.0
2011-04-26,HCA,31.16,32.07,32.0,31.35,1800000.0
2011-04-27,HCA,32.25,33.0,32.65,32.26,3354500.0
2011-04-28,HCA,32.25,32.99,32.57,32.51,1600000.0
2011-04-29,HCA,32.03,32.86,32.8,32.5,1233900.0
2011-05-02,HCA,32.8,33.79,33.44,32.8,2786200.0
2011-05-03,HCA,31.94,33.882,32.61,33.59,3429400.0
2011-05-04,HCA,32.79,33.96,33.55,33.1,4518300.0
2011-05-05,HCA,33.15,34.74,34.34,33.45,2613000.0
2011-05-06,HCA,33.89,34.5,34.25,34.06,1601300.0
2011-05-09,HCA,34.14,34.75,34.49,34.35,1996100.0
2011-05-10,HCA,34.0,34.86,34.59,34.03,1475100.0
2011-05-11,HCA,34.06,34.79,34.54,34.2,1431700.0
2011-05-12,HCA,34.12,34.59,34.51,34.3,814000.0
2011-05-13,HCA,34.232,34.769,34.6,34.43,1694000.0
2011-05-16,HCA,34.05,34.6,34.25,34.3,1719900.0
2011-05-17,HCA,34.0,34.9506,34.54,34.21,3131000.0
2011-05-18,HCA,34.15,35.24,35.07,34.4,2070300.0
2011-05-19,HCA,34.5,35.23,35.05,35.02,1183900.0
2011-05-20,HCA,34.15,35.04,34.63,34.9,2012400.0
2011-05-23,HCA,34.0,34.55,34.41,34.4,2200000.0
2011-05-24,HCA,34.07,34.6395,34.49,34.53,3000000.0
2011-05-25,HCA,34.24,35.0,34.68,34.57,2539100.0
2011-05-26,HCA,34.05,34.91,34.83,34.9,1796500.0
2011-05-27,HCA,34.4064,35.1,34.74,34.92,1474700.0
2011-05-31,HCA,34.56,35.31,34.89,34.99,8113400.0
2011-06-01,HCA,34.42,35.27,34.77,35.0,3049800.0
2011-06-02,HCA,34.25,35.05,34.36,34.84,2160100.0
2011-06-03,HCA,33.72,34.15,34.14,34.0,2519100.0
2011-06-06,HCA,33.0635,34.28,33.74,33.98,2361000.0
2011-06-07,HCA,33.73,34.9,34.52,33.79,1896300.0
2011-06-08,HCA,34.25,34.99,34.76,34.5693,1458400.0
2011-06-09,HCA,34.58,35.37,35.24,35.03,1634100.0
2011-06-10,HCA,33.86,35.0,33.9,35.0,2222700.0
2011-06-13,HCA,33.25,34.15,33.65,34.15,1671700.0
2011-06-14,HCA,33.26,34.07,33.54,33.8,1846300.0
2011-06-15,HCA,32.62,33.52,33.15,33.25,2544700.0
2011-06-16,HCA,33.5,34.8,33.87,34.05,5779300.0
2011-06-17,HCA,33.95,34.99,34.59,34.0,3872600.0
2011-06-20,HCA,34.05,34.72,34.23,34.7171,1461700.0
2011-06-21,HCA,33.5,34.36,33.9,34.2,2728100.0
2011-06-22,HCA,33.36,33.995,33.42,33.9,2487500.0
2011-06-23,HCA,32.28,33.44,33.21,33.3,3222100.0
