Date,symbol,Low,High,Close,Open,Volume
1999-09-28,HES,58.75,61.5,59.25,61.5,1438800.0
1999-09-29,HES,59.5,61.4342,60.75,59.5,970200.0
1999-09-30,HES,60.313,61.813,61.25,60.938,831300.0
1999-10-01,HES,60.125,61.75,60.188,61.3117,649200.0
1999-10-04,HES,59.875,60.875,60.375,60.188,828300.0
1999-10-05,HES,58.125,60.25,58.75,60.25,679800.0
1999-10-06,HES,58.313,59.438,59.125,58.313,630600.0
1999-10-07,HES,57.625,58.938,58.188,58.875,729300.0
1999-10-08,HES,55.5,57.438,56.438,57.438,1166100.0
1999-10-11,HES,56.75,57.563,56.875,57.0,1435200.0
1999-10-12,HES,56.625,57.5,56.813,57.0,1471800.0
1999-10-13,HES,56.688,57.938,57.188,57.125,1120200.0
1999-10-14,HES,56.75,57.438,56.875,57.313,632400.0
1999-10-15,HES,56.438,57.563,57.563,57.125,904500.0
1999-10-18,HES,56.063,57.875,56.813,57.375,807000.0
1999-10-19,HES,55.875,57.188,56.125,56.938,1027200.0
1999-10-20,HES,55.938,57.5,57.438,56.25,1313100.0
1999-10-21,HES,56.563,57.5,57.0,57.188,743700.0
1999-10-22,HES,57.25,59.188,58.75,57.25,1497300.0
1999-10-25,HES,56.75,58.5,56.75,58.375,977100.0
1999-10-26,HES,55.813,57.25,55.813,57.0,936000.0
1999-10-27,HES,55.625,56.75,55.813,55.813,776700.0
1999-10-28,HES,55.75,56.625,55.875,56.0621,954900.0
1999-10-29,HES,55.25,57.5,57.375,56.0,1350900.0
1999-11-01,HES,56.063,57.5,56.125,57.375,485100.0
1999-11-02,HES,55.188,56.25,55.25,55.875,1234500.0
1999-11-03,HES,55.25,55.938,55.375,55.625,1088100.0
1999-11-04,HES,54.875,56.25,54.875,55.5,801600.0
1999-11-05,HES,53.5,55.313,53.875,55.125,749100.0
1999-11-08,HES,54.75,55.938,55.75,55.0,886200.0
1999-11-09,HES,56.25,57.375,57.125,56.25,855300.0
1999-11-10,HES,56.75,58.875,58.75,57.063,1422000.0
1999-11-11,HES,57.688,59.813,59.688,58.063,1548000.0
1999-11-12,HES,58.938,60.313,59.813,59.75,1235100.0
1999-11-15,HES,59.563,60.188,60.188,59.563,526200.0
1999-11-16,HES,59.938,61.188,60.563,60.438,953400.0
1999-11-17,HES,61.438,63.063,62.938,61.625,2193300.0
1999-11-18,HES,61.625,62.875,62.25,62.875,1459800.0
1999-11-19,HES,61.313,62.375,62.25,62.25,1280400.0
1999-11-22,HES,60.875,62.6267,61.188,62.313,1433400.0
1999-11-23,HES,58.3756,60.813,58.934,60.813,1105500.0
1999-11-24,HES,58.625,59.938,59.813,59.25,754200.0
1999-11-26,HES,59.313,59.938,59.813,59.9412,328200.0
1999-11-29,HES,57.625,59.563,57.938,59.563,645000.0
1999-11-30,HES,57.5,58.563,57.938,58.0,557100.0
1999-12-01,HES,57.125,58.188,58.125,58.125,1090800.0
1999-12-02,HES,57.188,58.813,58.188,58.25,986400.0
1999-12-03,HES,58.188,59.438,58.375,58.438,612600.0
1999-12-06,HES,57.438,58.875,57.625,58.375,528300.0
1999-12-07,HES,55.8126,57.375,55.938,57.375,1000800.0
1999-12-08,HES,54.938,56.0,55.75,55.75,2868600.0
1999-12-09,HES,54.625,56.5,55.375,55.688,1103700.0
1999-12-10,HES,54.188,55.625,54.313,55.438,687900.0
1999-12-13,HES,54.0,56.188,56.0,54.313,1693200.0
1999-12-14,HES,54.813,56.5,55.0,56.0,794400.0
1999-12-15,HES,55.0,56.125,55.688,55.0,1628700.0
1999-12-16,HES,55.625,56.25,56.063,55.938,1229100.0
1999-12-17,HES,55.4991,56.875,56.375,55.875,1249500.0
1999-12-20,HES,55.563,57.25,55.875,56.625,1731000.0
1999-12-21,HES,54.75,56.375,55.0,55.938,1603200.0
1999-12-22,HES,53.5061,54.813,54.25,54.75,741300.0
1999-12-23,HES,54.375,55.8149,55.813,54.375,517200.0
1999-12-27,HES,54.75,56.5,55.0,56.063,979800.0
1999-12-28,HES,54.938,55.875,55.688,54.938,859200.0
1999-12-29,HES,56.0,57.0,56.625,56.0,673200.0
1999-12-30,HES,56.188,57.5,56.25,56.813,740400.0
1999-12-31,HES,55.7466,56.75,56.75,56.375,183300.0
2000-01-03,HES,54.125,56.75,54.5,56.625,933600.0
2000-01-04,HES,53.0,54.625,53.438,54.5,1185000.0
2000-01-05,HES,52.625,53.5,53.0,53.125,2403000.0
2000-01-06,HES,53.25,54.688,54.125,53.5,4519500.0
2000-01-07,HES,54.75,56.438,56.438,54.7488,1800600.0
2000-01-10,HES,55.375,56.25,55.75,56.25,801600.0
2000-01-11,HES,54.813,56.0,55.313,55.563,1033500.0
2000-01-12,HES,54.875,56.438,54.938,55.5,1707000.0
2000-01-13,HES,55.5,57.5037,56.813,55.5,1754100.0
2000-01-14,HES,56.25,57.313,57.063,56.875,1987800.0
2000-01-18,HES,57.063,58.375,57.75,57.188,1319400.0
2000-01-19,HES,57.438,58.25,58.188,58.125,2138100.0
2000-01-20,HES,56.6262,58.25,57.438,58.0,1174500.0
2000-01-21,HES,57.9329,59.0,58.563,58.0,3004800.0
2000-01-24,HES,56.688,59.75,56.938,59.625,2499000.0
2000-01-25,HES,55.0,56.875,55.938,55.875,2165700.0
2000-01-26,HES,54.188,56.75,54.313,55.938,1545000.0
2000-01-27,HES,53.0,55.25,53.625,54.563,1252200.0
2000-01-28,HES,52.563,53.7503,52.75,53.313,966300.0
2000-01-31,HES,52.563,53.438,53.188,52.875,708300.0
2000-02-01,HES,52.438,53.563,52.813,53.375,614400.0
2000-02-02,HES,52.375,53.688,53.0,53.0662,1350000.0
2000-02-03,HES,51.5,53.125,51.938,53.125,1580100.0
2000-02-04,HES,51.5,52.375,52.0,52.375,1376400.0
2000-02-07,HES,51.813,52.625,52.25,52.0,2233500.0
2000-02-08,HES,51.125,52.563,51.313,52.375,1460700.0
2000-02-09,HES,49.563,51.75,49.875,51.5,1346700.0
2000-02-10,HES,49.0,50.563,50.25,49.875,2574600.0
2000-02-11,HES,47.813,50.063,48.25,50.0,1883400.0
2000-02-14,HES,48.25,49.0,48.875,48.5,1545900.0
2000-02-15,HES,50.0,51.0,50.438,50.0,1695600.0
2000-02-16,HES,50.75,51.313,51.063,51.0,1622700.0
2000-02-17,HES,51.188,51.9402,51.5,51.625,1843500.0
2000-02-18,HES,50.875,51.75,51.25,51.75,2174400.0
2000-02-22,HES,50.75,51.313,51.0,51.25,1962900.0
2000-02-23,HES,50.063,51.063,50.25,51.0,1487100.0
2000-02-24,HES,49.375,50.375,49.688,50.313,1670700.0
2000-02-25,HES,48.5,50.125,48.75,49.688,2069700.0
2000-02-28,HES,48.7456,50.0,49.875,48.75,1077900.0
2000-02-29,HES,49.938,51.125,50.563,50.125,1150200.0
2000-03-01,HES,51.063,52.4996,51.938,51.375,2246400.0
2000-03-02,HES,52.313,54.313,53.313,52.625,1854300.0
2000-03-03,HES,53.75,54.5,53.813,54.5,1990200.0
2000-03-06,HES,53.75,54.188,54.0,53.813,1321500.0
2000-03-07,HES,53.938,58.438,57.75,54.0,2733000.0
2000-03-08,HES,56.5,58.938,56.5,58.0,3372300.0
2000-03-09,HES,56.438,57.188,56.938,56.5,2245500.0
2000-03-10,HES,56.813,59.0,57.25,56.875,1636500.0
2000-03-13,HES,56.563,58.1886,56.75,57.0,1947300.0
2000-03-14,HES,56.5,58.625,58.0,56.75,2195100.0
2000-03-15,HES,56.813,58.063,57.688,57.75,1722000.0
2000-03-16,HES,57.438,60.25,58.25,57.688,2916000.0
2000-03-17,HES,57.375,59.0,57.75,58.625,2451600.0
2000-03-20,HES,56.875,58.0,57.0,58.0,1831800.0
2000-03-21,HES,57.125,59.0,58.625,57.125,1239600.0
2000-03-22,HES,57.875,59.75,57.938,59.0,1520100.0
2000-03-23,HES,57.5,59.0,57.563,58.438,1056300.0
2000-03-24,HES,57.875,59.563,58.938,57.875,1638900.0
2000-03-27,HES,57.625,59.375,58.063,58.938,1551000.0
2000-03-28,HES,58.5,59.375,58.875,58.5,1016100.0
2000-03-29,HES,59.125,62.313,61.563,59.125,3942300.0
2000-03-30,HES,62.375,65.25,64.563,62.375,3381000.0
2000-03-31,HES,64.2504,65.75,64.625,65.0,2008500.0
2000-04-03,HES,64.625,65.938,64.875,64.625,1672500.0
2000-04-04,HES,64.0,65.625,64.688,64.625,2739000.0
2000-04-05,HES,62.5,65.625,62.5,64.438,2400900.0
2000-04-06,HES,63.0047,64.5,64.0,63.0,1186200.0
2000-04-07,HES,62.375,64.0,62.625,64.0,1184100.0
2000-04-10,HES,61.063,62.75,62.5,62.563,1657800.0
2000-04-11,HES,62.563,64.1845,63.25,62.563,1366200.0
2000-04-12,HES,63.625,64.438,63.75,63.688,1634700.0
2000-04-13,HES,63.75,65.125,64.25,64.0,1455300.0
2000-04-14,HES,63.25,65.25,63.375,64.125,1948800.0
2000-04-17,HES,61.5,63.5,62.0,63.375,1857900.0
2000-04-18,HES,61.5,62.688,62.0,62.0,1077900.0
2000-04-19,HES,61.813,63.0,62.75,62.2489,1788300.0
2000-04-20,HES,62.3754,63.188,62.75,62.75,876000.0
2000-04-24,HES,62.625,63.656000000000006,63.313,63.0,927300.0
2000-04-25,HES,63.313,64.313,63.75,63.563,1846800.0
2000-04-26,HES,63.625,65.5,64.125,63.75,1192200.0
2000-04-27,HES,64.063,65.7502,64.188,64.125,2250900.0
2000-04-28,HES,63.125,64.625,63.625,64.188,2116200.0
2000-05-01,HES,63.75,65.375,64.188,63.75,1512000.0
2000-05-02,HES,63.938,65.25,64.25,64.188,1343100.0
2000-05-03,HES,62.0,64.313,62.5,64.063,1191600.0
2000-05-04,HES,62.313,64.813,64.688,62.438,1939200.0
2000-05-05,HES,63.8791,65.0,64.75,64.438,1172700.0
2000-05-08,HES,64.563,66.875,66.313,64.938,1661100.0
2000-05-09,HES,65.438,66.25,65.563,66.188,1323300.0
2000-05-10,HES,64.875,66.0,65.25,65.563,870000.0
2000-05-11,HES,64.5,67.625,67.313,64.563,2937300.0
2000-05-12,HES,67.375,70.125,70.125,68.125,3204600.0
2000-05-15,HES,69.063,70.125,69.813,69.875,1746300.0
2000-05-16,HES,67.5,69.563,67.813,69.563,1892400.0
2000-05-17,HES,66.625,69.0,68.5,67.813,1795200.0
2000-05-18,HES,67.0,68.625,67.25,68.625,2198100.0
2000-05-19,HES,66.813,68.5,67.375,66.875,2054700.0
2000-05-22,HES,66.0,67.688,66.375,67.375,2453100.0
2000-05-23,HES,65.75,67.375,67.0,66.0,1932300.0
2000-05-24,HES,65.313,67.813,65.375,67.188,2350800.0
2000-05-25,HES,63.75,65.5,65.0,65.125,1890300.0
2000-05-26,HES,64.438,65.625,64.5,65.188,926400.0
2000-05-30,HES,64.25,65.313,64.75,64.25,889800.0
2000-05-31,HES,65.875,67.0,66.625,66.25,1989000.0
2000-06-01,HES,64.75,67.0,66.313,67.0,2465100.0
2000-06-02,HES,62.5,65.9427,62.813,65.938,2597700.0
2000-06-05,HES,62.813,64.5,63.25,62.813,1814100.0
2000-06-06,HES,63.5,65.938,65.75,63.5,2578800.0
2000-06-07,HES,64.188,66.25,64.313,66.25,1755300.0
2000-06-08,HES,64.188,65.875,64.75,64.375,1202100.0
2000-06-09,HES,64.75,65.875,65.313,65.0,1152600.0
2000-06-12,HES,65.5625,67.563,66.523,65.563,1510200.0
2000-06-13,HES,66.625,67.938,67.313,66.813,1867500.0
2000-06-14,HES,66.6296,69.125,66.813,67.875,1416000.0
2000-06-15,HES,65.125,67.188,65.688,66.25,1521900.0
2000-06-16,HES,65.813,67.75,67.715,65.938,2384700.0
2000-06-19,HES,65.25,67.625,66.5,67.625,1978500.0
2000-06-20,HES,64.625,66.625,66.5,66.5,1405800.0
2000-06-21,HES,66.125,68.375,67.75,66.25,1826400.0
2000-06-22,HES,65.25,68.938,65.875,68.5,2680200.0
2000-06-23,HES,65.563,67.125,65.938,65.875,789900.0
2000-06-26,HES,65.125,67.0,65.438,65.938,905700.0
2000-06-27,HES,64.75,65.625,65.25,65.188,769800.0
2000-06-28,HES,63.75,65.125,63.93,65.063,832800.0
2000-06-29,HES,63.563,64.313,63.813,63.938,1277400.0
2000-06-30,HES,61.7293,64.063,61.75,63.875,2025300.0
2000-07-03,HES,61.5,63.5,63.438,61.813,703800.0
2000-07-05,HES,59.375,63.313,59.375,63.313,1960200.0
2000-07-06,HES,61.125,62.5,61.563,61.125,1813500.0
2000-07-07,HES,61.688,62.438,62.313,61.7479,908400.0
2000-07-10,HES,62.125,63.313,62.438,62.563,876900.0
2000-07-11,HES,63.125,64.75,64.0,63.125,1843200.0
2000-07-12,HES,62.813,64.5,63.063,64.5,1382100.0
2000-07-13,HES,62.125,63.563,62.375,63.0,1548900.0
2000-07-14,HES,61.5,62.5,62.313,62.375,880500.0
2000-07-17,HES,61.375,62.563,61.688,62.375,969000.0
2000-07-18,HES,61.688,62.688,62.125,61.688,1304100.0
2000-07-19,HES,62.063,63.188,62.063,62.375,875400.0
2000-07-20,HES,61.375,62.4346,61.438,62.125,1378800.0
2000-07-21,HES,59.7513,61.438,59.75,61.438,883800.0
2000-07-24,HES,57.688,60.188,57.813,59.75,1846200.0
2000-07-25,HES,57.5,58.5,57.688,57.938,1323000.0
2000-07-26,HES,57.25,58.625,57.625,58.125,1919400.0
2000-07-27,HES,57.75,61.25,60.718999999999994,57.75,1860300.0
2000-07-28,HES,59.593999999999994,61.688,59.593999999999994,60.813,1749300.0
2000-07-31,HES,59.875,61.188,60.5,59.875,1462200.0
2000-08-01,HES,60.813,62.25,61.656000000000006,61.0,1506900.0
2000-08-02,HES,62.2582,63.25,62.968999999999994,62.25,1730100.0
2000-08-03,HES,63.5,65.0,63.718999999999994,63.5,3480300.0
2000-08-04,HES,62.063,63.813,62.563,63.75,2569800.0
2000-08-07,HES,62.8764,63.563,63.141000000000005,63.0,1203900.0
2000-08-08,HES,63.063,63.813,63.188,63.813,981300.0
2000-08-09,HES,63.063,64.375,63.313,63.5027,1854900.0
2000-08-10,HES,63.25,64.688,64.5,63.375,1983600.0
2000-08-11,HES,63.875,64.875,64.313,64.438,864000.0
2000-08-14,HES,64.063,65.0,64.875,64.5,876000.0
2000-08-15,HES,65.063,66.0,65.5,65.25,1007400.0
2000-08-16,HES,65.6843,67.0,67.0,65.688,1466100.0
2000-08-17,HES,67.5,68.813,68.438,67.5,1548300.0
2000-08-18,HES,66.813,68.188,66.938,68.188,1602600.0
2000-08-21,HES,66.688,68.0,67.625,67.188,1218900.0
2000-08-22,HES,67.125,68.313,67.406,67.625,909300.0
2000-08-23,HES,68.0,73.063,71.594,68.0,5684100.0
2000-08-24,HES,68.25,70.188,68.313,69.75,3282300.0
2000-08-25,HES,67.813,70.438,70.25,68.188,2002800.0
2000-08-28,HES,68.813,70.563,69.875,69.5,1199400.0
2000-08-29,HES,68.75,70.813,69.438,69.8759,2042700.0
2000-08-30,HES,68.313,69.375,68.688,69.375,1811700.0
2000-08-31,HES,68.375,69.375,68.438,68.938,1446600.0
2000-09-01,HES,68.438,70.1896,70.0,68.438,1457700.0
2000-09-05,HES,69.313,70.5,69.938,70.0002,1369200.0
2000-09-06,HES,70.5,71.25,70.875,70.75,2503500.0
2000-09-07,HES,70.813,71.5,71.375,71.25,1567800.0
2000-09-08,HES,69.313,71.0,70.0,70.9997,1625400.0
2000-09-11,HES,69.813,71.4379,70.313,69.813,3631500.0
2000-09-12,HES,69.688,71.5,70.25,70.25,1457100.0
2000-09-13,HES,69.188,70.188,69.313,70.0,927600.0
2000-09-14,HES,68.563,69.438,68.688,69.125,1527600.0
2000-09-15,HES,69.188,74.375,73.25,69.188,4792200.0
2000-09-18,HES,72.875,74.938,73.625,72.875,2011800.0
2000-09-19,HES,68.875,73.25,69.5,73.2499,3646200.0
2000-09-20,HES,67.813,72.188,67.813,71.0,3239100.0
2000-09-21,HES,66.437,68.125,66.938,68.0,3348300.0
2000-09-22,HES,65.5,67.75,65.625,66.875,2252700.0
2000-09-25,HES,63.508,65.063,64.25,65.0,4849500.0
2000-09-26,HES,64.438,66.188,65.75,64.438,3835500.0
2000-09-27,HES,65.438,66.938,66.75,66.0,2239800.0
2000-09-28,HES,65.25,66.8119,65.313,66.75,1990200.0
2000-09-29,HES,66.0,67.313,66.938,66.0,1857600.0
2000-10-02,HES,66.25,67.75,66.688,67.188,1804200.0
2000-10-03,HES,66.688,67.5,67.375,67.375,1500300.0
2000-10-04,HES,65.25,67.188,65.375,67.188,2220300.0
2000-10-05,HES,64.563,66.188,65.438,65.313,2222400.0
2000-10-06,HES,63.875,67.0,64.313,65.688,2772000.0
2000-10-09,HES,64.875,66.1862,66.0,64.875,1459500.0
2000-10-10,HES,67.0,68.9335,68.5,67.5,2073300.0
2000-10-11,HES,67.375,70.0,68.375,68.748,2221500.0
2000-10-12,HES,68.7463,71.0,68.75,68.75,3327900.0
2000-10-13,HES,65.875,68.875,66.063,68.875,1870800.0
2000-10-16,HES,64.125,66.0,65.0,66.0,2162400.0
2000-10-17,HES,64.75,66.375,64.75,65.0,1536900.0
2000-10-18,HES,63.5,65.5,63.75,65.0,1274100.0
2000-10-19,HES,63.125,65.438,63.563,63.938,1588200.0
2000-10-20,HES,63.5,65.438,65.188,63.75,1420500.0
2000-10-23,HES,63.813,65.625,64.5,65.438,1420800.0
2000-10-24,HES,62.375,64.875,62.438,64.625,1857600.0
2000-10-25,HES,61.188,63.313,61.313,62.688,2697600.0
2000-10-26,HES,61.813,63.125,62.063,61.813,2340600.0
2000-10-27,HES,60.0,62.0,60.75,61.813,2008200.0
2000-10-30,HES,60.375,62.188,61.688,60.75,4714800.0
2000-10-31,HES,61.188,62.625,62.0,62.188,2078700.0
2000-11-01,HES,63.0,64.688,63.75,63.0,2495400.0
2000-11-02,HES,62.25,64.0,63.375,63.125,4121100.0
2000-11-03,HES,62.688,64.0,62.813,63.438,2594700.0
2000-11-06,HES,58.125,60.688,60.375,58.875,9777600.0
2000-11-07,HES,60.438,61.938,61.375,60.438,4842600.0
2000-11-08,HES,60.813,61.875,60.875,61.375,3027300.0
2000-11-09,HES,60.063,61.75,60.75,61.563,4118100.0
2000-11-10,HES,60.813,61.688,61.188,60.813,2848500.0
2000-11-13,HES,61.375,62.5,61.563,61.375,4603500.0
2000-11-14,HES,61.25,62.375,61.938,61.75,2195100.0
2000-11-15,HES,62.313,62.8781,62.813,62.5,2480700.0
2000-11-16,HES,62.563,63.438,62.938,62.938,3120600.0
2000-11-17,HES,62.0651,62.938,62.188,62.938,1216800.0
