Date,symbol,Low,High,Close,Open,Volume
1999-09-28,HIG,41.563,42.5,41.813,42.125,1016200.0
1999-09-29,HIG,40.688,41.938,40.938,41.813,937800.0
1999-09-30,HIG,40.313,41.0,40.875,40.813,886000.0
1999-10-01,HIG,37.563,39.75,39.063,39.75,2623700.0
1999-10-04,HIG,39.313,40.5,40.375,39.438,1510800.0
1999-10-05,HIG,38.375,40.063,38.813,39.5,2083600.0
1999-10-06,HIG,38.25,39.875,39.75,38.25,1480900.0
1999-10-07,HIG,39.4996,40.625,40.063,39.75,956500.0
1999-10-08,HIG,39.688,41.625,41.125,40.313,827400.0
1999-10-11,HIG,39.875,41.125,39.875,41.125,720800.0
1999-10-12,HIG,39.313,40.25,39.438,39.938,880700.0
1999-10-13,HIG,37.5,38.938,37.75,38.7492,723200.0
1999-10-14,HIG,36.5,38.375,37.813,37.75,968900.0
1999-10-15,HIG,36.5,38.188,37.625,37.813,939500.0
1999-10-18,HIG,37.375,38.5,38.125,37.625,637600.0
1999-10-19,HIG,37.688,39.688,37.75,39.248000000000005,1221200.0
1999-10-20,HIG,36.625,38.4396,37.313,37.625,563500.0
1999-10-21,HIG,37.375,39.625,39.25,37.438,779700.0
1999-10-22,HIG,41.125,45.75,43.875,41.75,3091000.0
1999-10-25,HIG,44.563,47.938,46.438,45.063,1606600.0
1999-10-26,HIG,44.0,46.563,44.75,44.938,1295600.0
1999-10-27,HIG,44.75,47.188,46.875,44.75,849100.0
1999-10-28,HIG,49.563,50.875,50.688,50.875,1539600.0
1999-10-29,HIG,51.188,53.0,51.813,52.188,1128400.0
1999-11-01,HIG,51.125,51.75,51.25,51.563,600000.0
1999-11-02,HIG,51.188,52.25,51.875,51.188,1021000.0
1999-11-03,HIG,50.0,51.875,50.25,51.875,880300.0
1999-11-04,HIG,50.75,52.5,51.938,50.75,680100.0
1999-11-05,HIG,52.625,54.063,53.438,52.938,970000.0
1999-11-08,HIG,50.6242,53.813,52.25,53.188,1103900.0
1999-11-09,HIG,51.563,52.875,52.125,52.5,1112900.0
1999-11-10,HIG,50.0,52.125,50.438,52.1293,623000.0
1999-11-11,HIG,47.8163,50.25,49.25,50.125,1141000.0
1999-11-12,HIG,48.813,50.688,49.75,50.25,1118500.0
1999-11-15,HIG,48.875,50.313,50.125,49.375,568700.0
1999-11-16,HIG,49.625,50.563,50.5,50.188,909900.0
1999-11-17,HIG,48.5014,49.813,49.0,49.75,645900.0
1999-11-18,HIG,47.563,48.938,48.0,48.75,446900.0
1999-11-19,HIG,48.25,49.0,48.813,48.375,472500.0
1999-11-22,HIG,47.188,48.188,47.5,48.0,367200.0
1999-11-23,HIG,47.188,48.125,47.309,47.25,675900.0
1999-11-24,HIG,45.5,47.188,45.563,47.125,757500.0
1999-11-26,HIG,45.5,46.75,45.938,45.75,460700.0
1999-11-29,HIG,45.063,46.375,45.188,45.688,865700.0
