Date,symbol,Low,High,Close,Open,Volume
1999-09-28,HOG,48.438,49.6885,49.25,48.5,1730600.0
1999-09-29,HOG,49.1268,50.75,50.0,49.125,670600.0
1999-09-30,HOG,49.563,50.875,50.063,50.125,1195000.0
1999-10-01,HOG,48.75,50.938,50.375,50.125,858800.0
1999-10-04,HOG,50.375,51.438,51.0,50.563,678600.0
1999-10-05,HOG,51.0,52.25,51.563,51.0,626600.0
1999-10-06,HOG,51.438,53.813,53.688,51.813,934400.0
1999-10-07,HOG,53.375,55.625,54.25,53.688,1221000.0
1999-10-08,HOG,54.0,55.0,54.875,54.125,640800.0
1999-10-11,HOG,54.75,56.563,56.563,54.75,891400.0
1999-10-12,HOG,55.125,58.375,55.625,57.938,1990200.0
1999-10-13,HOG,55.25,57.5,57.438,55.563,1210000.0
1999-10-14,HOG,56.75,58.375,58.125,57.438,1348800.0
1999-10-15,HOG,55.5,57.3762,56.125,57.0,1078000.0
1999-10-18,HOG,55.688,56.875,56.875,55.688,853600.0
1999-10-19,HOG,56.875,59.063,59.063,56.875,1377400.0
1999-10-20,HOG,58.313,59.875,59.688,59.25,1302800.0
1999-10-21,HOG,56.813,59.313,59.125,58.875,1363200.0
1999-10-22,HOG,58.188,59.813,58.313,59.813,944400.0
1999-10-25,HOG,57.625,58.375,57.938,58.375,567600.0
1999-10-26,HOG,56.0,57.875,56.438,57.688,739000.0
1999-10-27,HOG,56.188,57.688,57.5,56.563,485400.0
1999-10-28,HOG,58.0,59.0,58.75,58.25,1615400.0
1999-10-29,HOG,58.688,59.8071,59.313,59.313,923600.0
1999-11-01,HOG,58.063,59.625,58.625,59.063,570600.0
1999-11-02,HOG,57.938,59.063,58.125,58.688,1161000.0
1999-11-03,HOG,57.5,58.563,57.938,58.25,594200.0
1999-11-04,HOG,57.938,60.0,60.0,57.938,959800.0
1999-11-05,HOG,60.0,62.0,60.125,60.25,2179000.0
1999-11-08,HOG,59.125,60.0,59.938,59.625,842200.0
1999-11-09,HOG,59.313,60.188,60.0,59.813,460200.0
1999-11-10,HOG,59.313,60.25,59.625,59.813,710800.0
