Date,symbol,Low,High,Close,Open,Volume
1999-09-28,HRB,40.5,41.188,40.938,41.063,1622000.0
1999-09-29,HRB,40.875,41.5,41.25,40.875,2010800.0
1999-09-30,HRB,41.25,43.75,43.438,41.438,2182000.0
1999-10-01,HRB,42.75,44.0,44.0,43.188,1702800.0
1999-10-04,HRB,43.875,44.875,44.125,44.375,1251600.0
1999-10-05,HRB,44.125,44.75,44.375,44.125,826000.0
1999-10-06,HRB,44.375,47.125,46.75,44.375,2152400.0
1999-10-07,HRB,45.313,46.813,45.375,46.5,1232800.0
1999-10-08,HRB,44.688,45.25,45.063,44.875,1389600.0
1999-10-11,HRB,43.625,45.125,43.875,44.875,558000.0
1999-10-12,HRB,42.438,43.438,42.813,43.375,1295600.0
1999-10-13,HRB,41.875,43.0,41.875,42.938,822000.0
1999-10-14,HRB,40.875,42.25,41.188,41.75,1250800.0
1999-10-15,HRB,39.0,40.125,39.625,40.125,2194400.0
1999-10-18,HRB,38.813,39.75,39.438,39.625,745600.0
1999-10-19,HRB,38.625,40.375,38.625,40.125,1157600.0
1999-10-20,HRB,38.313,40.125,38.625,39.125,1412800.0
1999-10-21,HRB,38.0,39.0,38.875,38.375,1327600.0
1999-10-22,HRB,39.438,41.688,41.313,39.5,1532800.0
1999-10-25,HRB,40.563,41.375,40.938,41.063,913600.0
1999-10-26,HRB,39.5,41.188,39.938,40.625,1837200.0
1999-10-27,HRB,38.375,40.0,38.938,39.813,2410000.0
1999-10-28,HRB,39.438,41.875,41.875,39.438,1278400.0
1999-10-29,HRB,41.688,43.063,42.563,42.125,1085600.0
1999-11-01,HRB,41.5,42.75,41.625,42.75,766000.0
1999-11-02,HRB,41.375,42.875,41.375,41.625,1346000.0
1999-11-03,HRB,40.375,41.813,40.625,41.5,600000.0
1999-11-04,HRB,40.0,41.0,40.188,40.75,1313600.0
1999-11-05,HRB,40.188,42.563,42.313,40.188,1796000.0
1999-11-08,HRB,40.875,42.563,41.063,42.0652,1108400.0
1999-11-09,HRB,40.375,41.25,40.5,41.063,1361200.0
1999-11-10,HRB,40.25,40.813,40.563,40.25,736400.0
1999-11-11,HRB,39.8721,41.125,39.938,40.5,902000.0
1999-11-12,HRB,40.0,43.25,42.813,40.25,2229600.0
1999-11-15,HRB,43.5,45.5,45.5,43.5,1890800.0
1999-11-16,HRB,44.2504,45.5,45.438,45.125,1127200.0
1999-11-17,HRB,45.313,49.188,49.0,45.313,2862800.0
1999-11-18,HRB,46.875,49.5,47.875,49.0,2656000.0
1999-11-19,HRB,46.938,48.5,47.188,47.625,1353600.0
1999-11-22,HRB,46.0,47.438,46.063,47.438,1489200.0
1999-11-23,HRB,44.563,45.4997,44.996,45.5,1887600.0
1999-11-24,HRB,44.688,45.25,44.688,44.875,1203200.0
1999-11-26,HRB,44.5,44.938,44.75,44.938,513600.0
1999-11-29,HRB,43.063,44.75,43.125,44.75,1032800.0
1999-11-30,HRB,42.813,43.563,43.0,42.875,1757200.0
1999-12-01,HRB,42.75,43.25,43.0,42.875,1468400.0
1999-12-02,HRB,42.5,44.0,42.875,43.188,1307200.0
1999-12-03,HRB,43.125,46.1254,46.125,43.125,3711600.0
1999-12-06,HRB,45.5,46.375,46.063,45.875,825200.0
1999-12-07,HRB,45.125,46.25,46.063,46.0,1654000.0
1999-12-08,HRB,46.063,47.25,46.563,46.063,1416400.0
1999-12-09,HRB,46.063,46.813,46.125,46.375,790000.0
1999-12-10,HRB,45.625,46.5,45.75,46.375,1222400.0
1999-12-13,HRB,45.313,45.75,45.598,45.625,728400.0
1999-12-14,HRB,43.625,45.8108,43.813,45.75,1241600.0
1999-12-15,HRB,41.25,43.626000000000005,41.625,43.313,1830400.0
1999-12-16,HRB,41.25,43.0,42.813,42.75,2106000.0
1999-12-17,HRB,42.75,44.813,44.0,43.063,1822000.0
1999-12-20,HRB,43.188,44.25,43.438,44.0,649600.0
1999-12-21,HRB,42.875,43.75,43.5,43.0,1070400.0
1999-12-22,HRB,42.5,43.438,42.688,43.313,497600.0
1999-12-23,HRB,42.813,43.5,43.5,42.938,753200.0
1999-12-27,HRB,43.188,43.8762,43.188,43.438,811600.0
1999-12-28,HRB,43.25,44.125,43.313,43.313,744400.0
1999-12-29,HRB,42.688,43.625,42.813,43.125,596400.0
1999-12-30,HRB,42.625,44.563,43.875,42.625,662400.0
1999-12-31,HRB,43.625,44.375,43.75,43.75,374400.0
2000-01-03,HRB,41.688,43.875,41.813,43.5,939200.0
2000-01-04,HRB,40.125,44.5,40.688,42.25,4182800.0
2000-01-05,HRB,41.0,44.8823,44.5,41.0,4955200.0
2000-01-06,HRB,42.625,44.375,44.063,44.0,1614800.0
2000-01-07,HRB,44.188,46.0,45.563,44.188,1527200.0
2000-01-10,HRB,44.688,45.625,45.188,45.438,828400.0
2000-01-11,HRB,44.8128,48.0,47.625,45.0,2268800.0
2000-01-12,HRB,46.625,48.25,47.5,47.625,1739200.0
2000-01-13,HRB,46.3765,47.5,47.375,47.375,1216800.0
2000-01-14,HRB,46.25,47.25,46.563,47.25,1292800.0
2000-01-18,HRB,46.0,46.688,46.125,46.438,1086800.0
2000-01-19,HRB,45.813,46.625,45.875,45.9964,1524400.0
2000-01-20,HRB,44.688,45.438,45.25,45.375,721200.0
2000-01-21,HRB,44.125,45.25,44.938,45.25,1639200.0
2000-01-24,HRB,43.625,45.25,43.813,45.125,1156800.0
2000-01-25,HRB,42.563,43.938,43.5,43.938,1735600.0
2000-01-26,HRB,43.313,44.375,43.688,43.75,1256800.0
2000-01-27,HRB,43.25,44.625,43.813,43.75,1490800.0
2000-01-28,HRB,42.4986,43.75,43.75,43.625,1366000.0
2000-01-31,HRB,43.0,43.75,43.125,43.75,1068000.0
2000-02-01,HRB,42.375,44.0036,42.563,43.125,1871600.0
2000-02-02,HRB,42.313,44.688,44.5,42.375,1673600.0
2000-02-03,HRB,44.563,45.684,45.375,44.563,2622800.0
2000-02-04,HRB,44.625,46.0,46.0,45.125,1538800.0
2000-02-07,HRB,45.313,45.688,45.438,45.625,1466000.0
2000-02-08,HRB,45.063,45.875,45.313,45.375,1636000.0
2000-02-09,HRB,42.813,45.188,43.063,45.188,1392400.0
2000-02-10,HRB,42.313,43.25,43.125,43.0,1899200.0
2000-02-11,HRB,43.0,43.5,43.188,43.063,1075200.0
2000-02-14,HRB,42.75,43.313,42.75,43.188,1627200.0
2000-02-15,HRB,42.375,43.375,43.375,42.938,1233200.0
2000-02-16,HRB,42.75,43.9391,42.938,43.25,1738000.0
2000-02-17,HRB,40.563,43.0,40.688,42.9993,1798800.0
2000-02-18,HRB,39.4985,41.563,40.375,40.875,1432400.0
2000-02-22,HRB,39.938,41.188,40.438,40.375,1156000.0
2000-02-23,HRB,40.188,41.188,40.688,40.188,1468000.0
2000-02-24,HRB,41.125,42.5,42.5,41.125,3400800.0
2000-02-25,HRB,42.375,43.813,42.875,42.3726,1851200.0
2000-02-28,HRB,41.375,42.813,41.625,42.75,1020400.0
2000-02-29,HRB,41.25,44.125,43.875,41.875,2206400.0
2000-03-01,HRB,43.375,44.5,43.75,44.125,1875200.0
2000-03-02,HRB,42.25,44.0,43.938,43.75,1177200.0
2000-03-03,HRB,43.875,44.9391,44.875,43.875,2203200.0
2000-03-06,HRB,43.75,45.0,44.75,44.375,1827600.0
2000-03-07,HRB,42.5,44.625,42.5,44.625,796000.0
2000-03-08,HRB,41.75,43.125,42.375,42.625,1261600.0
2000-03-09,HRB,41.875,43.375,43.125,41.875,1358400.0
2000-03-10,HRB,42.625,44.0,42.938,43.0,1012000.0
2000-03-13,HRB,41.938,42.813,42.063,42.688,833600.0
2000-03-14,HRB,40.875,41.938,41.0,41.688,899200.0
2000-03-15,HRB,41.063,42.688,41.875,41.25,2139200.0
2000-03-16,HRB,42.875,46.0,45.125,43.25,4383600.0
2000-03-17,HRB,44.875,47.188,44.938,45.125,3069600.0
2000-03-20,HRB,43.25,45.063,43.688,44.938,1115600.0
2000-03-21,HRB,43.875,46.2492,45.25,43.938,2819600.0
2000-03-22,HRB,43.25,45.0,44.125,44.8741,1467200.0
2000-03-23,HRB,43.813,45.0,44.25,44.375,3941600.0
2000-03-24,HRB,42.375,45.75,42.813,45.0,3626800.0
2000-03-27,HRB,42.938,46.375,45.063,42.938,3370800.0
2000-03-28,HRB,44.625,46.1828,45.25,44.688,2541200.0
2000-03-29,HRB,44.313,45.5,44.563,45.2519,1204800.0
2000-03-30,HRB,44.25,45.063,44.375,44.625,1135200.0
2000-03-31,HRB,43.6819,45.188,44.75,44.125,1413600.0
2000-04-03,HRB,44.75,45.75,45.688,44.75,994400.0
2000-04-04,HRB,44.188,45.625,44.438,45.5,1432800.0
2000-04-05,HRB,44.063,45.563,45.563,44.25,1442800.0
2000-04-06,HRB,45.0,46.0,45.438,45.563,1286400.0
2000-04-07,HRB,45.375,46.438,46.25,45.875,1888800.0
2000-04-10,HRB,46.5,48.5,48.063,46.625,2248800.0
2000-04-11,HRB,46.813,48.813,46.875,48.0,1275600.0
2000-04-12,HRB,47.375,49.5,48.188,47.375,2193200.0
2000-04-13,HRB,47.063,48.4372,47.375,48.0,1466400.0
2000-04-14,HRB,43.188,46.875,43.313,46.875,2074800.0
2000-04-17,HRB,43.375,44.688,44.438,43.375,1923600.0
2000-04-18,HRB,42.4991,44.75,43.063,44.188,2702800.0
2000-04-19,HRB,43.0,43.75,43.625,43.188,1388400.0
2000-04-20,HRB,43.0,45.188,44.813,43.375,1497200.0
2000-04-24,HRB,44.438,45.625,45.5,44.5,1164400.0
2000-04-25,HRB,45.063,46.1854,45.875,45.125,969200.0
2000-04-26,HRB,43.688,45.375,43.875,45.375,907200.0
2000-04-27,HRB,41.75,42.751000000000005,42.688,42.75,1710000.0
2000-04-28,HRB,40.0,42.188,41.813,42.125,2980000.0
2000-05-01,HRB,40.5,42.563,42.563,41.563,2110400.0
2000-05-02,HRB,33.125,40.25,35.125,40.1903,19872800.0
2000-05-03,HRB,32.938,36.125,33.125,35.063,7747600.0
