Date,symbol,Low,High,Close,Open,Volume
1999-09-28,HUM,7.438,7.875,7.75,7.875,615000.0
1999-09-29,HUM,7.563,7.938,7.563,7.625,390400.0
1999-09-30,HUM,6.875,7.625,6.875,7.5004,1056100.0
1999-10-01,HUM,6.75,7.25,7.063,7.0,1207500.0
1999-10-04,HUM,6.625,7.125,7.0,7.125,835500.0
1999-10-05,HUM,6.313,6.875,6.688,6.875,1118500.0
1999-10-06,HUM,6.563,7.188,7.188,6.625,598800.0
1999-10-07,HUM,7.125,7.5,7.313,7.188,709800.0
1999-10-08,HUM,7.063,7.438,7.25,7.063,409800.0
1999-10-11,HUM,7.313,8.437999999999999,8.062999999999999,7.313,1197400.0
1999-10-12,HUM,6.938,8.125,7.0,8.062999999999999,1457500.0
1999-10-13,HUM,6.688,7.125,6.75,7.0,770400.0
1999-10-14,HUM,6.438,6.875,6.625,6.875,989700.0
1999-10-15,HUM,6.438,6.813,6.625,6.5,639800.0
1999-10-18,HUM,6.688,6.875,6.688,6.75,461100.0
1999-10-19,HUM,6.563,7.125,6.625,6.813,1757900.0
1999-10-20,HUM,6.25,6.688,6.313,6.688,1031300.0
1999-10-21,HUM,6.0,6.438,6.188,6.313,598900.0
1999-10-22,HUM,5.875,6.625,5.938,6.625,1358300.0
1999-10-25,HUM,5.938,6.063,5.938,6.0,1122500.0
1999-10-26,HUM,5.875,6.125,5.875,6.0005,995900.0
1999-10-27,HUM,5.875,6.563,6.5,6.0,2267600.0
1999-10-28,HUM,6.5,6.75,6.625,6.625,674100.0
1999-10-29,HUM,6.5,7.0,6.875,6.625,847000.0
1999-11-01,HUM,7.063,7.938,7.438,7.188,1907700.0
1999-11-02,HUM,7.563,8.3744,8.125,7.625,2081600.0
1999-11-03,HUM,7.938,8.375,8.187999999999999,8.375,1139700.0
1999-11-04,HUM,7.875,9.25,8.0,9.187999999999999,2566000.0
1999-11-05,HUM,7.938,8.25,8.062999999999999,8.062999999999999,1453000.0
1999-11-08,HUM,7.875,8.25,8.0,8.125,1081900.0
1999-11-09,HUM,7.688,8.062999999999999,7.75,8.0,1027600.0
1999-11-10,HUM,7.625,7.938,7.75,7.75,482400.0
1999-11-11,HUM,7.313,7.875,7.5,7.875,1149700.0
1999-11-12,HUM,7.375,7.625,7.5,7.625,542400.0
1999-11-15,HUM,7.375,7.625,7.438,7.625,385600.0
1999-11-16,HUM,7.375,7.75,7.5,7.563,1008100.0
1999-11-17,HUM,7.313,7.688,7.438,7.313,882900.0
1999-11-18,HUM,7.25,7.688,7.25,7.438,841300.0
1999-11-19,HUM,7.313,7.938,7.688,7.375,1122200.0
1999-11-22,HUM,7.875,8.25,8.25,7.938,1109300.0
1999-11-23,HUM,8.0,8.312999999999999,8.125,8.125,1301200.0
1999-11-24,HUM,7.375,8.0,7.438,8.0,720500.0
1999-11-26,HUM,7.313,7.625,7.438,7.438,481400.0
1999-11-29,HUM,6.938,7.3752,7.0,7.375,948000.0
1999-11-30,HUM,6.938,7.125,7.0,6.9999,709400.0
1999-12-01,HUM,6.938,7.188,7.0,7.125,654700.0
1999-12-02,HUM,6.938,7.313,7.0,7.063,1057100.0
1999-12-03,HUM,6.875,7.313,6.938,7.25,1250600.0
1999-12-06,HUM,6.875,7.0,6.938,6.938,576800.0
1999-12-07,HUM,7.0,7.625,7.563,7.063,1204100.0
1999-12-08,HUM,6.9999,7.813,7.0,7.438,1212700.0
1999-12-09,HUM,6.75,7.188,6.75,7.0,1056200.0
1999-12-10,HUM,6.813,7.625,7.563,7.0,1668400.0
1999-12-13,HUM,7.0,7.438,7.375,7.375,1274000.0
1999-12-14,HUM,7.125,7.375,7.375,7.25,549100.0
1999-12-15,HUM,7.125,7.375,7.375,7.188,623700.0
1999-12-16,HUM,7.0,7.375,7.063,7.25,1306400.0
1999-12-17,HUM,7.125,7.313,7.188,7.188,1050400.0
1999-12-20,HUM,7.0,7.3127,7.125,7.188,956900.0
1999-12-21,HUM,6.938,7.188,7.188,7.063,919100.0
1999-12-22,HUM,7.0,7.375,7.375,7.063,939300.0
1999-12-23,HUM,7.188,7.5,7.438,7.25,665600.0
1999-12-27,HUM,7.438,7.875,7.5,7.5632,1358200.0
1999-12-28,HUM,7.438,7.75,7.563,7.688,760300.0
1999-12-29,HUM,7.625,8.062999999999999,7.75,7.625,1020900.0
1999-12-30,HUM,7.688,8.062999999999999,7.843999999999999,7.813,1205500.0
1999-12-31,HUM,7.875,8.187999999999999,8.187999999999999,8.0627,724600.0
2000-01-03,HUM,7.375,8.375,7.563,8.312999999999999,1287300.0
2000-01-04,HUM,7.375,7.875,7.625,7.375,1238300.0
2000-01-05,HUM,7.5,7.875,7.813,7.5,1096300.0
2000-01-06,HUM,7.5,8.25,8.125,7.75,1026700.0
2000-01-07,HUM,8.062999999999999,9.125,8.75,8.187999999999999,2419300.0
2000-01-10,HUM,8.375,8.9382,8.375,8.875,1276200.0
2000-01-11,HUM,8.25,8.75,8.25,8.375,693700.0
2000-01-12,HUM,8.25,8.687999999999999,8.437999999999999,8.375,764000.0
2000-01-13,HUM,8.562999999999999,9.5,9.25,8.562999999999999,1760600.0
2000-01-14,HUM,8.25,9.625,8.25,9.375,1429000.0
2000-01-18,HUM,8.375,9.0,8.625,9.0,776600.0
2000-01-19,HUM,8.0,8.687999999999999,8.0,8.687999999999999,1220100.0
2000-01-20,HUM,7.688,8.062999999999999,7.75,8.0,1744500.0
2000-01-21,HUM,7.6879,8.062999999999999,7.813,7.75,1670100.0
2000-01-24,HUM,7.625,8.125,7.938,7.9372,1001400.0
2000-01-25,HUM,7.5,7.813,7.75,7.4998,994500.0
2000-01-26,HUM,7.7507,8.062999999999999,7.875,7.75,821500.0
2000-01-27,HUM,7.625,8.062999999999999,7.625,8.0,421200.0
2000-01-28,HUM,7.125,8.062999999999999,7.625,7.375,1775700.0
2000-01-31,HUM,7.625,8.187999999999999,8.0,7.625,858700.0
2000-02-01,HUM,8.0,8.375,8.25,8.0,783600.0
2000-02-02,HUM,8.25,8.6247,8.312999999999999,8.312999999999999,597300.0
2000-02-03,HUM,8.312999999999999,8.625,8.437999999999999,8.312999999999999,773500.0
2000-02-04,HUM,8.375,8.75,8.375,8.562999999999999,481200.0
2000-02-07,HUM,8.312999999999999,8.625,8.437999999999999,8.5001,574300.0
2000-02-08,HUM,8.062999999999999,8.5631,8.187999999999999,8.437999999999999,713800.0
2000-02-09,HUM,7.438,8.125,7.563,7.813,1495000.0
2000-02-10,HUM,7.0,7.5,7.188,7.438,1307800.0
2000-02-11,HUM,6.6892,7.125,6.875,7.125,983900.0
2000-02-14,HUM,6.813,7.5,7.438,6.938,902200.0
2000-02-15,HUM,7.375,7.688,7.563,7.563,753600.0
2000-02-16,HUM,7.188,7.688,7.375,7.563,535300.0
2000-02-17,HUM,7.063,7.438,7.125,7.438,417200.0
2000-02-18,HUM,7.0,7.25,7.063,7.125,357400.0
2000-02-22,HUM,6.8751,7.063,7.063,7.0,517200.0
2000-02-23,HUM,6.813,7.25,7.125,7.0,628800.0
2000-02-24,HUM,6.875,7.25,6.875,7.25,467600.0
2000-02-25,HUM,6.625,7.063,6.625,6.875,457300.0
2000-02-28,HUM,6.5,6.875,6.625,6.813,496300.0
2000-02-29,HUM,6.563,6.938,6.813,6.625,528900.0
2000-03-01,HUM,6.7496,7.75,7.75,7.375,1445100.0
2000-03-02,HUM,6.875,7.875,6.938,7.75,1200200.0
2000-03-03,HUM,7.063,7.375,7.313,7.188,904700.0
2000-03-06,HUM,6.875,7.125,7.0,7.063,479500.0
2000-03-07,HUM,6.125,7.0,6.125,7.0,759200.0
2000-03-08,HUM,6.25,6.75,6.5,6.563,1122700.0
2000-03-09,HUM,6.313,6.688,6.563,6.438,523300.0
2000-03-10,HUM,6.3134,6.563,6.438,6.5,487000.0
2000-03-13,HUM,6.438,6.7493,6.688,6.438,448100.0
2000-03-14,HUM,6.5,6.813,6.625,6.6882,464800.0
2000-03-15,HUM,6.563,7.188,7.188,6.75,718100.0
2000-03-16,HUM,6.8754,7.313,7.25,7.063,513900.0
2000-03-17,HUM,6.875,7.313,7.0,7.25,527100.0
2000-03-20,HUM,7.0,7.188,7.125,7.188,303000.0
2000-03-21,HUM,7.063,7.313,7.188,7.25,417300.0
2000-03-22,HUM,7.063,7.375,7.188,7.063,316200.0
2000-03-23,HUM,7.063,7.5,7.5,7.125,504200.0
2000-03-24,HUM,7.25,7.5,7.313,7.313,274300.0
2000-03-27,HUM,7.125,7.375,7.188,7.3748,303100.0
2000-03-28,HUM,7.063,7.375,7.313,7.063,287000.0
2000-03-29,HUM,7.25,7.75,7.5,7.25,566200.0
2000-03-30,HUM,7.563,8.0,7.563,7.625,768900.0
2000-03-31,HUM,7.25,7.563,7.313,7.438,370500.0
2000-04-03,HUM,7.375,7.875,7.688,7.438,392300.0
2000-04-04,HUM,7.188,7.75,7.625,7.5,437700.0
2000-04-05,HUM,7.188,7.625,7.5,7.625,317200.0
2000-04-06,HUM,7.5,8.062999999999999,7.938,7.5,734700.0
2000-04-07,HUM,7.938,8.25,8.187999999999999,7.938,709200.0
2000-04-10,HUM,8.062999999999999,8.437999999999999,8.312999999999999,8.062999999999999,716600.0
2000-04-11,HUM,8.0,8.25,8.125,8.187999999999999,638000.0
2000-04-12,HUM,8.0,8.187999999999999,8.062999999999999,8.125,673600.0
2000-04-13,HUM,7.563,7.875,7.813,7.563,720100.0
2000-04-14,HUM,7.125,7.75,7.125,7.75,636500.0
2000-04-17,HUM,7.0,7.375,7.188,7.125,580500.0
2000-04-18,HUM,7.063,7.5,7.313,7.188,417300.0
2000-04-19,HUM,7.5,8.0,7.875,7.4996,494700.0
2000-04-20,HUM,7.688,8.0,7.875,7.875,280600.0
2000-04-24,HUM,7.813,8.812999999999999,8.687999999999999,7.813,1399200.0
2000-04-25,HUM,8.312999999999999,8.625,8.437999999999999,8.375,516600.0
2000-04-26,HUM,8.125,8.75,8.187999999999999,8.687999999999999,319100.0
2000-04-27,HUM,8.062999999999999,8.437999999999999,8.375,8.125,1046400.0
2000-04-28,HUM,7.688,8.437999999999999,7.688,8.375,729200.0
2000-05-01,HUM,7.625,7.938,7.75,7.688,678300.0
2000-05-02,HUM,7.438,8.0,8.0,7.438,530000.0
2000-05-03,HUM,6.563,7.688,6.688,7.625,1594200.0
2000-05-04,HUM,6.438,6.938,6.625,6.938,1084600.0
2000-05-05,HUM,6.438,7.0,7.0,6.6249,459700.0
2000-05-08,HUM,6.375,6.75,6.5,6.688,682100.0
2000-05-09,HUM,6.25,6.563,6.313,6.5,527200.0
2000-05-10,HUM,6.063,6.5,6.125,6.5,837100.0
2000-05-11,HUM,6.125,6.438,6.313,6.25,457400.0
2000-05-12,HUM,6.125,6.375,6.25,6.313,378000.0
2000-05-15,HUM,6.5,6.688,6.5,6.5,617000.0
2000-05-16,HUM,6.5,6.75,6.563,6.688,441400.0
2000-05-17,HUM,6.5,6.688,6.5,6.563,437200.0
2000-05-18,HUM,6.5,6.75,6.625,6.5,526900.0
2000-05-19,HUM,6.188,6.563,6.375,6.5,548600.0
2000-05-22,HUM,6.125,6.375,6.25,6.375,487700.0
2000-05-23,HUM,6.063,6.25,6.188,6.188,883400.0
2000-05-24,HUM,5.813,6.313,5.875,6.25,1400900.0
2000-05-25,HUM,5.75,6.063,5.75,5.938,894100.0
2000-05-26,HUM,5.75,5.9997,5.813,5.75,422800.0
2000-05-30,HUM,5.563,5.938,5.563,5.813,621300.0
2000-05-31,HUM,5.625,5.8755,5.625,5.875,805500.0
