Date,symbol,Low,High,Close,Open,Volume
2005-11-16,ICE,38.56,44.21,39.25,39.0,97759000.0
2005-11-17,ICE,34.56,41.75,35.25,40.3,34308500.0
2005-11-18,ICE,34.51,36.99,35.0,35.94,12810000.0
2005-11-21,ICE,34.82,35.96,35.9,35.25,6404000.0
2005-11-22,ICE,34.3,35.46,34.95,35.45,6533000.0
2005-11-23,ICE,31.55,34.95,33.95,34.7,12421000.0
2005-11-25,ICE,33.65,34.45,34.15,33.75,1316000.0
2005-11-28,ICE,32.55,33.9014,33.3,33.9,3155000.0
2005-11-29,ICE,31.27,33.49,31.97,33.3,4477500.0
2005-11-30,ICE,31.6,32.41,32.3,32.1,3894500.0
2005-12-01,ICE,32.15,35.2,35.0,32.3,5688500.0
2005-12-02,ICE,34.9,36.3,36.1,35.0,5120000.0
2005-12-05,ICE,36.18,37.45,36.81,36.18,4592500.0
2005-12-06,ICE,36.45,37.61,36.58,36.8078,3202500.0
2005-12-07,ICE,34.5,36.65,35.45,36.65,2473000.0
2005-12-08,ICE,35.55,36.35,36.0,35.7,1823500.0
2005-12-09,ICE,35.78,36.46,36.2,36.0,808000.0
2005-12-12,ICE,36.05,36.4954,36.45,36.45,953500.0
2005-12-13,ICE,35.51,36.44,35.59,36.44,1843000.0
2005-12-14,ICE,34.8,35.7,35.0,35.5,1422000.0
2005-12-15,ICE,33.65,34.95,34.0,34.95,3273000.0
2005-12-16,ICE,33.5,34.49,34.19,33.85,8170500.0
2005-12-19,ICE,33.86,34.4,34.37,34.0,2242000.0
2005-12-20,ICE,34.4,35.41,34.94,34.62,2423500.0
2005-12-21,ICE,34.55,35.0,34.79,34.9,916500.0
2005-12-22,ICE,34.3,34.79,34.7,34.79,1171000.0
2005-12-23,ICE,34.06,34.69,34.25,34.45,985000.0
2005-12-27,ICE,34.5,35.45,35.25,34.5,1214000.0
2005-12-28,ICE,35.03,35.45,35.08,35.25,581000.0
2005-12-29,ICE,34.9,36.22,36.14,34.9,1076500.0
2005-12-30,ICE,35.45,36.35,36.35,36.25,923500.0
2006-01-03,ICE,36.0,38.25,37.86,36.5,2993000.0
2006-01-04,ICE,36.36,37.9,36.9,37.9,1196500.0
2006-01-05,ICE,38.2,39.74,39.31,38.2,3478500.0
2006-01-06,ICE,39.1,40.4,40.32,39.25,2306500.0
2006-01-09,ICE,40.9,44.29,43.61,41.0,8702000.0
2006-01-10,ICE,43.36,46.8,46.01,43.36,8667500.0
2006-01-11,ICE,45.35,48.2,46.92,46.49,7560000.0
2006-01-12,ICE,43.2624,47.85,43.96,47.34,4841500.0
2006-01-13,ICE,43.0,44.61,44.55,43.71,2010500.0
2006-01-17,ICE,45.0,46.9984,46.38,45.5,2609500.0
2006-01-18,ICE,45.0,46.35,45.78,46.35,1397500.0
2006-01-19,ICE,44.0,47.8,47.45,45.7,3307000.0
2006-01-20,ICE,46.24,48.41,46.3,48.0,2309500.0
2006-01-23,ICE,46.13,47.82,47.77,46.3,1744500.0
2006-01-24,ICE,46.91,53.39,52.78,47.74,5615000.0
2006-01-25,ICE,50.15,55.17,53.0,53.5,7019000.0
2006-01-26,ICE,52.21,54.15,52.45,53.25,2424000.0
2006-01-27,ICE,48.56,52.58,51.01,50.0527,6929000.0
2006-01-30,ICE,48.3,51.2,49.12,50.25,2970000.0
2006-01-31,ICE,46.07,51.0,50.82,49.12,6552500.0
2006-02-01,ICE,51.9,57.02,55.63,52.5,7184500.0
2006-02-02,ICE,53.06,57.99,55.2,55.4,10589500.0
2006-02-03,ICE,55.31100000000001,58.4,55.51,56.2,5790500.0
2006-02-06,ICE,54.72,57.3,55.71,57.3,3958000.0
2006-02-07,ICE,51.41,56.15,53.45,55.55,3575000.0
2006-02-08,ICE,52.6,54.8,53.48,54.5,1954000.0
2006-02-09,ICE,52.78,54.33,52.99,53.73,2131500.0
2006-02-10,ICE,48.96,53.24,51.73,53.24,3580500.0
2006-02-13,ICE,51.0,53.65,52.74,51.0,1660500.0
2006-02-14,ICE,51.71,52.99,51.98,52.74,1478000.0
2006-02-15,ICE,51.58,52.31,51.98,52.0,882000.0
2006-02-16,ICE,51.08,52.35,51.57,52.23,848000.0
2006-02-17,ICE,50.148,51.93,51.36,51.75,1626500.0
2006-02-21,ICE,48.75,51.39,49.64,51.37,2389500.0
2006-02-22,ICE,48.15,49.8387,49.23,49.14,3314500.0
2006-02-23,ICE,48.99,51.9,49.9,50.2,7781500.0
2006-02-24,ICE,51.8,55.75,54.5,51.8,11018000.0
2006-02-27,ICE,54.32,57.2,56.85,55.0,4822000.0
2006-02-28,ICE,54.05,57.9,54.75,56.6,4038000.0
2006-03-01,ICE,55.0,56.85,56.76,55.0,3081000.0
2006-03-02,ICE,55.79,59.42,59.36,56.6,4253000.0
2006-03-03,ICE,60.0,62.9646,60.6,60.5,6878500.0
2006-03-06,ICE,60.07,63.0,61.31,61.5,4600500.0
2006-03-07,ICE,59.17,61.31,60.0,61.31,3193000.0
2006-03-08,ICE,58.75,61.02,59.19,61.0,5132500.0
2006-03-09,ICE,59.44,64.5,63.99,59.44,5446500.0
2006-03-10,ICE,62.68,67.38,67.14,63.99,7088000.0
2006-03-13,ICE,67.42,71.5,71.28,68.25,9415500.0
2006-03-14,ICE,68.03,72.2,68.62,71.5,9242500.0
2006-03-15,ICE,67.5,71.09,69.29,68.75,5496000.0
2006-03-16,ICE,65.1,70.19,66.79,69.3,7085500.0
2006-03-17,ICE,64.4,68.41,68.1,66.79,5977000.0
2006-03-20,ICE,69.05,71.17,71.17,69.05,5575500.0
2006-03-21,ICE,69.61,73.59,70.25,71.7,6876500.0
2006-03-22,ICE,65.66,69.05,67.99,68.53,6843500.0
2006-03-23,ICE,66.3,69.3,67.05,67.75,2925500.0
2006-03-24,ICE,65.77,68.29,67.2,66.0,2114000.0
2006-03-27,ICE,67.26,70.68,69.85,67.85,5238500.0
2006-03-28,ICE,67.7,70.758,68.6,69.85,3080000.0
2006-03-29,ICE,67.51,69.7,67.75,68.6,1981000.0
2006-03-30,ICE,69.27,71.81,71.32,69.5,5514000.0
2006-03-31,ICE,67.32,73.14,69.05,71.75,9687000.0
2006-04-03,ICE,62.16,70.1,63.1,69.95,10266000.0
2006-04-04,ICE,60.62,66.22,65.0,64.0457,9966500.0
2006-04-05,ICE,61.91,65.88,62.83,65.7531,9132500.0
2006-04-06,ICE,58.73,64.45,59.8,62.83,12852000.0
2006-04-07,ICE,52.35,58.0,53.0,58.0,24447000.0
2006-04-10,ICE,52.61,54.9,54.56,53.25,7960000.0
2006-04-11,ICE,54.66,56.746,56.61,54.85,9023500.0
2006-04-12,ICE,54.55,57.87,57.64,56.86,7027000.0
2006-04-13,ICE,56.5972,59.19,58.75,57.64,4786000.0
2006-04-17,ICE,57.52,59.95,57.87,59.25,4060000.0
2006-04-18,ICE,58.918,66.4,66.16,59.0,13185500.0
2006-04-19,ICE,64.41,69.57,69.28,66.26,11672500.0
2006-04-20,ICE,67.28,70.4,70.0,69.53,8156500.0
2006-04-21,ICE,68.4,70.5,69.0,70.0,4925500.0
2006-04-24,ICE,66.75,68.4,67.25,68.1,6188500.0
2006-04-25,ICE,66.36,69.811,69.81,66.5,5205000.0
2006-04-26,ICE,68.62,70.48,70.31,69.7498,4119000.0
2006-04-27,ICE,68.28,72.75,71.6,69.81,4162500.0
