Date,symbol,Low,High,Close,Open,Volume
1999-09-28,IR,53.0,55.313,54.75,53.125,1767000.0
1999-09-29,IR,55.75,57.25,56.063,56.25,2188400.0
1999-09-30,IR,54.6268,56.5,54.938,56.0,1271000.0
1999-10-01,IR,52.5,54.75,52.625,54.5,1731700.0
1999-10-04,IR,52.25,56.188,55.625,52.375,1249400.0
1999-10-05,IR,52.625,54.313,53.563,53.2494,2960400.0
1999-10-06,IR,53.125,56.188,56.063,53.75,2361700.0
1999-10-07,IR,55.9356,57.875,56.813,57.25,2101300.0
1999-10-08,IR,56.375,58.25,57.813,56.625,798200.0
1999-10-11,IR,56.875,58.5,57.25,57.375,544600.0
1999-10-12,IR,55.438,56.438,55.438,55.75,1422200.0
1999-10-13,IR,54.438,55.688,54.5,54.875,1668900.0
1999-10-14,IR,53.5,55.375,54.25,54.25,1013300.0
1999-10-15,IR,52.875,54.688,53.5,54.313,1132000.0
1999-10-18,IR,53.625,54.375,54.313,53.75,1613300.0
1999-10-19,IR,53.313,54.563,53.75,54.5,1512900.0
1999-10-20,IR,52.125,53.875,52.625,53.5,778700.0
1999-10-21,IR,46.25,52.0,48.063,52.0,7051700.0
1999-10-22,IR,49.5,51.5,50.125,50.5,3927700.0
1999-10-25,IR,49.938,51.25,50.375,50.375,1490100.0
1999-10-26,IR,49.75,51.875,49.75,50.125,1553700.0
1999-10-27,IR,49.563,51.0,50.563,50.5,1543900.0
1999-10-28,IR,51.25,52.875,52.188,51.25,1242400.0
1999-10-29,IR,52.0,52.875,52.25,52.375,1160800.0
1999-11-01,IR,50.938,53.0,51.0,53.0,1141000.0
1999-11-02,IR,50.25,51.25,50.25,51.125,2386000.0
1999-11-03,IR,46.75,50.313,48.938,50.25,5300200.0
1999-11-04,IR,46.875,49.25,47.75,48.938,2573600.0
1999-11-05,IR,47.125,48.688,48.5,47.125,3152500.0
1999-11-08,IR,47.875,48.625,48.375,48.625,1247700.0
1999-11-09,IR,46.625,47.938,47.875,47.875,1561400.0
1999-11-10,IR,46.5,47.375,46.813,46.75,2015400.0
1999-11-11,IR,47.0,47.813,47.313,47.125,1774800.0
1999-11-12,IR,46.875,48.125,47.563,47.563,840800.0
1999-11-15,IR,47.625,49.875,49.375,47.75,1556400.0
1999-11-16,IR,50.0,53.0,52.688,50.0,3298200.0
1999-11-17,IR,51.813,52.938,52.0,52.5,1847200.0
1999-11-18,IR,51.188,52.125,51.5,51.75,2753300.0
1999-11-19,IR,48.563,51.0,49.0,50.7487,2849000.0
1999-11-22,IR,48.75,50.375,49.0,49.0,2103100.0
1999-11-23,IR,46.063,49.5013,47.063,49.5,4207200.0
1999-11-24,IR,45.7503,48.0,47.25,46.813,2551300.0
1999-11-26,IR,47.25,47.875,47.25,47.5,705100.0
1999-11-29,IR,46.0,47.438,47.25,46.625,1704200.0
1999-11-30,IR,47.25,48.875,48.438,47.25,2219700.0
1999-12-01,IR,47.0,49.25,47.375,48.25,4289100.0
1999-12-02,IR,45.188,46.5,45.625,46.0,4185100.0
1999-12-03,IR,46.063,48.375,48.25,46.125,3641800.0
1999-12-06,IR,47.188,48.5,47.625,47.2492,3883400.0
1999-12-07,IR,45.5,47.6269,46.163999999999994,47.625,1713200.0
1999-12-08,IR,45.063,46.563,46.25,45.625,1158600.0
1999-12-09,IR,44.875,46.25,45.625,46.1282,1441000.0
1999-12-10,IR,45.375,47.688,46.813,46.75,2611100.0
1999-12-13,IR,46.063,46.938,46.75,46.563,1413000.0
1999-12-14,IR,46.75,47.688,47.563,46.875,2668200.0
1999-12-15,IR,47.625,49.25,49.188,47.625,3106400.0
1999-12-16,IR,48.938,50.313,49.875,49.188,2878000.0
1999-12-17,IR,49.75,50.9376,49.75,50.5,3061300.0
1999-12-20,IR,48.5,50.875,49.0,50.25,1313800.0
1999-12-21,IR,48.188,50.063,49.938,49.1286,1444500.0
1999-12-22,IR,48.875,49.8097,49.188,49.75,958500.0
1999-12-23,IR,49.438,50.938,50.813,49.438,829000.0
1999-12-27,IR,50.188,51.875,51.5,51.125,1355400.0
1999-12-28,IR,51.75,54.625,54.0,51.75,1286000.0
1999-12-29,IR,53.375,54.75,54.375,54.0,1206400.0
1999-12-30,IR,53.5,54.875,54.188,54.5,978800.0
1999-12-31,IR,54.063,55.2491,55.063,54.625,338200.0
2000-01-03,IR,51.438,54.625,53.0,54.563,1454300.0
2000-01-04,IR,51.375,53.25,51.938,52.75,1998400.0
2000-01-05,IR,51.25,53.25,51.875,51.875,1633100.0
2000-01-06,IR,51.125,54.75,54.688,52.1254,2998700.0
2000-01-07,IR,55.938,57.2481,57.25,57.0,2458100.0
2000-01-10,IR,55.25,57.75,56.063,57.75,1834600.0
2000-01-11,IR,55.4382,57.25,55.438,56.313,1377900.0
2000-01-12,IR,54.375,56.3733,54.563,55.188,1491800.0
2000-01-13,IR,53.313,54.875,53.313,54.0,2022900.0
2000-01-14,IR,52.813,54.188,53.313,53.688,1325100.0
2000-01-18,IR,52.188,53.5,53.0,52.875,887600.0
2000-01-19,IR,51.313,53.313,52.0,53.25,2840200.0
2000-01-20,IR,49.188,52.5,49.313,52.0,2695300.0
2000-01-21,IR,47.5,49.688,48.188,49.563,2646400.0
2000-01-24,IR,46.688,48.25,47.188,47.938,2824000.0
2000-01-25,IR,44.5,47.0,45.938,46.75,3114900.0
2000-01-26,IR,45.563,49.438,49.25,47.25,3690800.0
2000-01-27,IR,46.6257,50.25,47.875,48.0,2300600.0
2000-01-28,IR,46.875,47.688,47.0,47.125,1783500.0
2000-01-31,IR,46.313,47.25,47.063,47.25,1205600.0
2000-02-01,IR,45.8127,47.563,46.063,46.75,969200.0
2000-02-02,IR,46.438,47.875,46.438,47.0,1243400.0
2000-02-03,IR,45.375,47.25,45.813,46.438,1929300.0
2000-02-04,IR,45.25,46.625,46.5,46.25,2673700.0
2000-02-07,IR,44.75,46.375,45.063,46.25,1675900.0
2000-02-08,IR,44.188,45.7511,44.375,45.063,1785800.0
2000-02-09,IR,42.75,44.875,42.75,44.5,2367500.0
2000-02-10,IR,39.75,44.3742,40.188,43.0,7445800.0
2000-02-11,IR,38.25,40.938,38.938,40.6887,3446500.0
2000-02-14,IR,38.938,41.188,41.125,39.125,3434200.0
2000-02-15,IR,40.688,43.75,43.125,41.375,3998100.0
2000-02-16,IR,41.938,44.0,42.5,43.125,1920500.0
2000-02-17,IR,41.093999999999994,42.438,41.813,42.375,1023300.0
2000-02-18,IR,39.75,41.688,40.625,41.625,1460500.0
2000-02-22,IR,39.5,41.063,40.75,40.375,1108500.0
2000-02-23,IR,37.0,40.125,37.313,40.0,3158200.0
2000-02-24,IR,35.625,38.313,35.75,38.313,4772800.0
2000-02-25,IR,35.125,36.563,35.375,36.5,2896300.0
2000-02-28,IR,35.188,37.875,37.125,35.375,3467000.0
2000-02-29,IR,36.875,38.813,38.313,36.875,3519600.0
2000-03-01,IR,37.0,38.25,37.813,38.125,1467300.0
2000-03-02,IR,35.063,37.563,35.938,37.563,2306600.0
2000-03-03,IR,36.188,38.3746,36.875,36.75,4114500.0
2000-03-06,IR,36.5,38.813,37.313,37.5,3233600.0
2000-03-07,IR,34.813,38.125,34.875,37.875,2785700.0
2000-03-08,IR,35.0,36.625,35.0,35.125,2604100.0
2000-03-09,IR,34.125,36.188,35.875,35.0,1893500.0
2000-03-10,IR,35.5,36.875,36.0,36.188,1333600.0
2000-03-13,IR,35.125,35.7531,35.5,35.5,1921300.0
2000-03-14,IR,35.125,36.125,35.375,35.75,2012200.0
2000-03-15,IR,35.375,38.875,38.25,35.375,2476900.0
2000-03-16,IR,38.75,43.688,42.938,39.0,3212100.0
2000-03-17,IR,40.188,42.938,40.5,42.938,1957300.0
2000-03-20,IR,40.875,42.25,41.375,41.373000000000005,1907000.0
2000-03-21,IR,40.25,43.813,42.688,41.375,2454900.0
2000-03-22,IR,41.813,43.5,42.0,42.688,2208000.0
2000-03-23,IR,41.313,42.75,42.375,41.75,3826100.0
2000-03-24,IR,41.5611,42.688,42.313,42.125,1673400.0
2000-03-27,IR,40.563,43.25,40.563,42.438,1914800.0
2000-03-28,IR,41.0,43.5,41.563,42.0,2376000.0
2000-03-29,IR,41.563,43.0,42.938,42.375,2217700.0
2000-03-30,IR,43.0,47.875,45.438,43.25,3254600.0
2000-03-31,IR,44.25,46.063,44.25,45.375,2326700.0
2000-04-03,IR,43.25,44.563,44.25,44.5,1811300.0
2000-04-04,IR,44.25,47.875,47.0,44.375,3674300.0
2000-04-05,IR,44.75,47.563,45.563,46.375,1558400.0
2000-04-06,IR,44.938,46.875,45.25,45.625,997300.0
2000-04-07,IR,43.9998,45.438,44.125,45.25,1236700.0
2000-04-10,IR,43.313,45.875,45.5,43.875,1748700.0
2000-04-11,IR,44.875,46.625,45.063,45.25,1313800.0
2000-04-12,IR,44.813,48.313,46.813,44.813,2824200.0
2000-04-13,IR,47.063,48.563,48.25,47.063,2025900.0
2000-04-14,IR,41.5,47.0,41.938,47.0,3897700.0
2000-04-17,IR,42.1887,45.375,43.563,42.188,2500900.0
2000-04-18,IR,43.0,44.5,43.313,43.813,3928200.0
2000-04-19,IR,41.188,44.0,41.25,43.75,2087300.0
2000-04-20,IR,42.563,44.625,44.063,42.625,2102100.0
2000-04-24,IR,43.625,46.25,45.813,43.625,1852900.0
2000-04-25,IR,44.438,46.375,46.25,44.813,1750700.0
2000-04-26,IR,44.5,46.688,45.375,46.375,1777500.0
2000-04-27,IR,44.875,47.5,47.0,45.375,1703700.0
2000-04-28,IR,45.375,47.125,46.938,46.75,1868400.0
2000-05-01,IR,45.625,46.875,46.563,46.693000000000005,2027700.0
2000-05-02,IR,46.125,47.813,47.438,46.813,1207600.0
2000-05-03,IR,46.125,47.125,46.438,47.0,1224200.0
2000-05-04,IR,45.5,46.25,45.563,46.188,1306500.0
2000-05-05,IR,45.5,46.6269,46.375,45.625,535800.0
2000-05-08,IR,46.0,47.25,46.625,46.0,1151800.0
2000-05-09,IR,45.313,46.547,45.813,45.875,933400.0
2000-05-10,IR,44.813,46.125,45.25,45.563,1099700.0
2000-05-11,IR,45.625,47.0,45.875,45.7515,765200.0
2000-05-12,IR,45.375,46.75,46.25,46.4392,1926000.0
2000-05-15,IR,46.5,48.9379,48.313,46.5,1223400.0
2000-05-16,IR,49.5,51.375,50.813,49.875,2572300.0
2000-05-17,IR,49.5,50.563,49.563,49.813,1909800.0
2000-05-18,IR,48.375,49.313,49.063,49.25,1279500.0
2000-05-19,IR,47.313,48.875,47.75,48.438,1150300.0
2000-05-22,IR,47.313,48.375,47.813,48.375,907100.0
