Date,symbol,Low,High,Close,Open,Volume
2000-06-16,ISRG,8.9996,9.25,9.125,9.062999999999999,173700.0
2000-06-19,ISRG,9.0,9.25,9.0,9.125,454200.0
2000-06-20,ISRG,7.875,9.812999999999999,9.375,9.031,392400.0
2000-06-21,ISRG,9.625,11.125,11.0,9.9997,780600.0
2000-06-22,ISRG,9.531,11.125,9.875,11.0623,285900.0
2000-06-23,ISRG,10.0,10.625,10.375,10.187999999999999,204900.0
2000-06-26,ISRG,9.75,10.625,10.0,10.5,152700.0
2000-06-27,ISRG,9.0,10.437999999999999,9.5,10.0,205200.0
2000-06-28,ISRG,9.125,9.875,9.625,9.625,276000.0
2000-06-29,ISRG,8.9988,9.875,9.0,9.875,278100.0
2000-06-30,ISRG,9.125,9.625,9.437999999999999,9.312999999999999,286500.0
2000-07-03,ISRG,9.5,9.75,9.625,9.75,48000.0
2000-07-05,ISRG,9.5,10.0009,10.0,9.75,207300.0
2000-07-06,ISRG,9.437999999999999,10.062999999999999,9.75,10.0,194700.0
2000-07-07,ISRG,9.562999999999999,11.625,10.25,10.031,1190400.0
2000-07-10,ISRG,10.437999999999999,13.25,12.562999999999999,11.062999999999999,943500.0
2000-07-11,ISRG,11.875,14.25,12.75,13.562999999999999,2005500.0
2000-07-12,ISRG,12.687999999999999,15.437999999999999,15.0,13.969000000000001,1641900.0
2000-07-13,ISRG,16.125,18.125,16.75,18.0,1830300.0
2000-07-14,ISRG,14.875,17.7493,15.5,17.625,845700.0
2000-07-17,ISRG,15.25,16.125,15.625,16.0,276600.0
2000-07-18,ISRG,14.3748,15.937999999999999,14.5,15.687999999999999,201300.0
2000-07-19,ISRG,13.125,14.5,14.0,14.375,264300.0
2000-07-20,ISRG,13.625,16.625,15.875,13.812999999999999,394800.0
2000-07-21,ISRG,15.625,17.125,17.125,15.875,285900.0
2000-07-24,ISRG,16.063,17.75,16.75,17.0,279300.0
2000-07-25,ISRG,15.4995,17.25,16.125,16.875,144900.0
2000-07-26,ISRG,14.125,17.5,17.375,16.125,294600.0
2000-07-27,ISRG,16.5,19.0,17.125,16.75,334800.0
2000-07-28,ISRG,15.5,17.188,16.25,17.125,227100.0
2000-07-31,ISRG,14.875,19.063,18.875,16.0,479400.0
2000-08-01,ISRG,17.375,18.125,17.438,17.938,148800.0
2000-08-02,ISRG,17.0,18.188,17.063,17.5,99300.0
2000-08-03,ISRG,16.5,18.0,17.563,17.0,73500.0
2000-08-04,ISRG,16.875,18.063,17.063,18.0,122100.0
2000-08-07,ISRG,15.5,17.375,16.0,17.0,174000.0
2000-08-08,ISRG,15.5,16.75,15.75,16.75,49500.0
2000-08-09,ISRG,14.5,15.937999999999999,14.687999999999999,15.719000000000001,118200.0
2000-08-10,ISRG,14.625,15.625,14.75,14.7494,75300.0
2000-08-11,ISRG,13.187999999999999,14.75,14.0,14.312999999999999,129300.0
2000-08-14,ISRG,14.0,14.655999999999999,14.0,14.655999999999999,55800.0
2000-08-15,ISRG,12.625,14.0,12.625,13.937999999999999,205500.0
2000-08-16,ISRG,12.75,14.187999999999999,13.687999999999999,12.75,81000.0
2000-08-17,ISRG,13.625,14.5,14.5,14.0,179100.0
2000-08-18,ISRG,14.0,14.625,14.0,14.530999999999999,38700.0
2000-08-21,ISRG,13.25,13.937999999999999,13.562999999999999,13.905999999999999,24600.0
2000-08-22,ISRG,13.125,13.562999999999999,13.25,13.2503,26700.0
2000-08-23,ISRG,12.5,13.125,13.062999999999999,13.0,63600.0
2000-08-24,ISRG,12.5,13.0,12.875,12.875,73800.0
2000-08-25,ISRG,12.5,15.125,15.125,12.7807,216300.0
2000-08-28,ISRG,14.125,15.125,14.375,15.094000000000001,61500.0
2000-08-29,ISRG,14.125,15.375,14.375,15.312999999999999,40200.0
2000-08-30,ISRG,14.530999999999999,15.125,15.0,14.530999999999999,26100.0
2000-08-31,ISRG,14.0,15.25,14.5,15.25,63900.0
2000-09-01,ISRG,13.875,14.875,13.875,14.530999999999999,129300.0
2000-09-05,ISRG,13.5,14.280999999999999,13.937999999999999,14.0,116100.0
2000-09-06,ISRG,13.5,14.0,13.75,13.875,106500.0
2000-09-07,ISRG,13.5,14.0,13.875,13.75,72300.0
2000-09-08,ISRG,13.75,14.437999999999999,14.0,13.937999999999999,93600.0
2000-09-11,ISRG,13.812999999999999,14.187999999999999,14.187999999999999,14.062999999999999,50100.0
2000-09-12,ISRG,14.25,14.937999999999999,14.937999999999999,14.312999999999999,116700.0
2000-09-13,ISRG,14.0,14.875,14.062999999999999,14.875,55200.0
2000-09-14,ISRG,14.0,14.75,14.562999999999999,14.5,69000.0
2000-09-15,ISRG,13.25,14.5637,13.5,14.219000000000001,89100.0
2000-09-18,ISRG,12.5,14.0,13.0,13.75,71100.0
2000-09-19,ISRG,12.75,13.0,12.75,12.75,119400.0
2000-09-20,ISRG,11.625,13.0,11.625,12.875,129300.0
2000-09-21,ISRG,10.5,12.25,11.0,11.625,124800.0
2000-09-22,ISRG,10.625,12.0,11.937999999999999,10.780999999999999,42300.0
2000-09-25,ISRG,11.75,13.375,11.875,12.0,91200.0
2000-09-26,ISRG,11.7508,12.0,11.875,11.937999999999999,27600.0
2000-09-27,ISRG,11.5001,12.25,11.625,11.875,79500.0
