Date,symbol,Low,High,Close,Open,Volume
1999-09-28,IVZ,39.125,40.188,39.5,39.75,16000.0
1999-09-29,IVZ,39.438,39.438,39.438,39.438,1700.0
1999-09-30,IVZ,39.625,41.0,40.938,39.625,15200.0
1999-10-01,IVZ,41.0,41.25,41.0,41.0,4200.0
1999-10-04,IVZ,40.875,41.25,41.0,41.25,6700.0
1999-10-05,IVZ,41.063,41.438,41.313,41.063,18200.0
1999-10-06,IVZ,41.313,41.5,41.5,41.3127,2200.0
1999-10-07,IVZ,41.5,41.5,41.5,41.5,500.0
1999-10-08,IVZ,41.625,42.188,42.0,41.625,6700.0
1999-10-11,IVZ,41.875,41.938,41.875,41.938,1000.0
1999-10-12,IVZ,41.0,42.5,42.5,41.688,21200.0
1999-10-13,IVZ,41.0,40.9971,41.0,41.0,500.0
1999-10-14,IVZ,39.375,40.0,39.438,39.9966,6000.0
1999-10-15,IVZ,37.9989,38.0,38.0,38.0,1700.0
1999-10-18,IVZ,37.0,37.5,37.0,37.5,4200.0
1999-10-19,IVZ,36.0,37.625,36.0,37.0,30200.0
1999-10-20,IVZ,36.875,37.625,37.625,37.0,33700.0
1999-10-21,IVZ,36.5,37.1249,37.125,37.0,31500.0
1999-10-22,IVZ,36.5,36.75,36.5,36.5,55000.0
1999-10-25,IVZ,36.5,36.625,36.5,36.625,1500.0
1999-10-26,IVZ,36.313,36.5,36.5,36.313,37500.0
1999-10-27,IVZ,36.375,36.75,36.375,36.7495,6700.0
1999-10-28,IVZ,39.0,41.0,40.875,39.125,59500.0
1999-10-29,IVZ,43.5,44.875,44.875,43.5,34000.0
1999-11-01,IVZ,44.75,45.813,45.813,44.75,47500.0
1999-11-02,IVZ,44.75,45.688,44.75,45.688,23200.0
1999-11-03,IVZ,43.9994,44.875,44.75,44.5,43000.0
1999-11-04,IVZ,44.25,44.563,44.563,44.5,63500.0
1999-11-05,IVZ,44.4983,44.75,44.5,44.75,6700.0
1999-11-08,IVZ,44.375,44.5,44.5,44.5,39500.0
1999-11-09,IVZ,44.5,44.938,44.5,44.7514,15000.0
1999-11-10,IVZ,44.25,44.625,44.25,44.5,69200.0
1999-11-11,IVZ,44.25,44.488,44.25,44.313,39700.0
1999-11-12,IVZ,43.25,44.563,43.25,44.5,30500.0
1999-11-15,IVZ,43.75,44.75,44.75,43.75,75700.0
1999-11-16,IVZ,45.0,47.0,46.563,45.0018,20500.0
1999-11-17,IVZ,48.875,50.0,48.875,49.25,57700.0
1999-11-18,IVZ,49.5,51.5,49.625,51.5,47000.0
1999-11-19,IVZ,46.875,47.75,47.25,47.75,23200.0
1999-11-22,IVZ,47.7489,49.125,48.75,48.0,20200.0
1999-11-23,IVZ,47.5,48.688,47.5,48.688,9200.0
1999-11-24,IVZ,48.688,49.125,48.688,48.688,110200.0
1999-11-26,IVZ,50.938,51.5,51.25,51.0,17500.0
1999-11-29,IVZ,49.938,51.0,49.938,51.0,70000.0
1999-11-30,IVZ,50.313,51.5,50.375,50.813,162200.0
1999-12-01,IVZ,51.0,52.0,51.125,51.0022,19000.0
1999-12-02,IVZ,51.188,51.625,51.188,51.375,4000.0
1999-12-03,IVZ,52.5,53.75,52.875,52.5,26000.0
1999-12-06,IVZ,52.813,53.625,53.625,52.813,45700.0
1999-12-07,IVZ,53.688,54.188,53.75,54.188,6200.0
1999-12-08,IVZ,53.0,53.625,53.0,53.625,153700.0
1999-12-09,IVZ,52.813,53.375,52.875,53.25,184500.0
1999-12-10,IVZ,53.25,54.5,53.375,54.25,83700.0
1999-12-13,IVZ,55.75,58.5,57.5,55.75,47200.0
1999-12-14,IVZ,56.0,57.5,56.0,57.5,27500.0
1999-12-15,IVZ,54.0,54.5,54.25,54.0,18700.0
1999-12-16,IVZ,53.25,54.25,53.25,54.25,6200.0
1999-12-17,IVZ,53.5,54.75,53.5,54.5,23200.0
1999-12-20,IVZ,52.875,53.313,52.875,53.25,7000.0
1999-12-21,IVZ,54.125,55.25,55.25,54.125,36700.0
1999-12-22,IVZ,55.25,56.5,55.25,56.5,11700.0
1999-12-23,IVZ,55.5,56.2487,56.188,55.5,16500.0
1999-12-27,IVZ,55.375,56.25,56.25,56.0,10700.0
1999-12-28,IVZ,56.0,56.438,56.438,56.0,6700.0
1999-12-29,IVZ,57.5,58.0683,57.75,57.75,52500.0
1999-12-30,IVZ,56.75,57.563,56.75,57.5,18500.0
1999-12-31,IVZ,56.438,56.813,56.5,56.813,1700.0
2000-01-03,IVZ,55.75,56.25,55.75,56.25,11200.0
2000-01-04,IVZ,54.813,56.563,54.813,56.0,40700.0
2000-01-05,IVZ,51.4997,52.5,52.5,52.25,28000.0
2000-01-06,IVZ,51.75,52.938,51.875,52.625,38700.0
2000-01-07,IVZ,52.5009,53.813,53.813,52.625,33500.0
2000-01-10,IVZ,53.5,55.125,53.5,53.813,37200.0
2000-01-11,IVZ,54.5,56.5,54.875,56.0,50500.0
2000-01-12,IVZ,54.938,55.5,55.5,54.9971,8500.0
2000-01-13,IVZ,57.25,58.25,58.0,57.25,45200.0
2000-01-14,IVZ,58.25,59.0,58.438,58.375,34200.0
2000-01-18,IVZ,60.5,63.5,60.5,61.75,56200.0
2000-01-19,IVZ,58.5,59.75,59.0,59.75,18700.0
2000-01-20,IVZ,56.0,57.75,56.75,57.75,9000.0
2000-01-21,IVZ,55.75,56.75,56.563,56.5,33200.0
2000-01-24,IVZ,57.25,57.938,57.938,57.25,33000.0
2000-01-25,IVZ,56.0,57.125,56.938,57.125,25000.0
2000-01-26,IVZ,54.0,55.5,54.438,55.5,25000.0
2000-01-27,IVZ,53.3741,54.375,54.0,54.375,29000.0
2000-01-28,IVZ,53.5,53.75,53.5,53.75,4000.0
2000-01-31,IVZ,53.25,54.5,54.188,53.25,18700.0
2000-02-01,IVZ,53.875,55.0,55.0,54.0,12700.0
2000-02-02,IVZ,53.75,57.25,56.375,54.375,70700.0
2000-02-03,IVZ,54.75,55.75,55.5,55.375,45500.0
2000-02-04,IVZ,55.75,57.0,56.625,55.75,13700.0
2000-02-07,IVZ,56.75,58.25,57.875,56.75,22500.0
2000-02-08,IVZ,58.125,60.25,59.75,58.125,44200.0
2000-02-09,IVZ,59.563,60.75,60.25,60.7482,26000.0
2000-02-10,IVZ,57.0,59.75,57.188,59.75,43000.0
2000-02-11,IVZ,56.25,57.063,56.25,57.063,5500.0
2000-02-14,IVZ,55.875,56.125,56.125,56.0,26500.0
2000-02-15,IVZ,52.25,54.0,53.75,54.0,31700.0
2000-02-16,IVZ,55.625,57.0,56.5,55.6258,35700.0
2000-02-17,IVZ,57.5,58.0,58.0,57.5,10700.0
2000-02-18,IVZ,58.5,59.75,58.75,59.75,31000.0
2000-02-22,IVZ,58.688,59.063,59.063,58.75,21000.0
2000-02-23,IVZ,57.625,58.5,57.75,58.5,28200.0
2000-02-24,IVZ,57.75,58.5,58.5,57.75,14000.0
2000-02-25,IVZ,58.25,58.5,58.438,58.5,6000.0
2000-02-28,IVZ,56.0,56.938,56.938,56.0,19700.0
