Date,symbol,Low,High,Close,Open,Volume
1999-09-28,JNPR,194.313,207.0,197.25,206.563,4234200.0
1999-09-29,JNPR,189.75,204.25,191.438,198.0,3924000.0
1999-09-30,JNPR,181.5047,198.0,182.063,190.0,25374000.0
1999-10-01,JNPR,180.0,188.0,185.03099999999998,182.75,8881800.0
1999-10-04,JNPR,182.0,185.25,182.125,185.125,2006400.0
1999-10-05,JNPR,183.438,192.0,184.0,188.0,6773400.0
1999-10-06,JNPR,185.625,193.0,190.875,185.688,5298600.0
1999-10-07,JNPR,191.75,202.625,197.875,194.375,6293400.0
1999-10-08,JNPR,194.0,214.375,213.0,199.563,4926000.0
1999-10-11,JNPR,218.75,244.0,244.0,218.75,7929600.0
1999-10-12,JNPR,217.0017,251.75,222.5,241.125,11836800.0
1999-10-13,JNPR,214.0,232.0,219.0,223.125,8487000.0
1999-10-14,JNPR,213.375,227.0,220.75,223.0,4494000.0
1999-10-15,JNPR,210.5,220.125,216.625,211.563,3349200.0
1999-10-18,JNPR,210.375,229.625,228.75,218.0,7405800.0
1999-10-19,JNPR,232.0,241.125,235.938,236.0,5288400.0
1999-10-20,JNPR,232.0,249.0,247.5,242.0,7446000.0
1999-10-21,JNPR,237.0,265.5,258.75,237.438,7382400.0
1999-10-22,JNPR,240.875,262.5,261.75,242.0,12225000.0
1999-10-25,JNPR,253.313,265.0,257.75,263.0,3238200.0
1999-10-26,JNPR,249.125,262.0,252.25,260.0,2779800.0
1999-10-27,JNPR,245.0,253.0,249.938,252.5,2317200.0
1999-10-28,JNPR,253.0,268.0,265.0,253.3633,4138200.0
1999-10-29,JNPR,268.75,279.0,275.625,268.8207,3544800.0
1999-11-01,JNPR,267.313,277.0128,268.563,277.0,2276400.0
1999-11-02,JNPR,261.0,274.875,265.25,271.875,2169600.0
1999-11-03,JNPR,265.4836,282.75,279.75,269.5,3111000.0
1999-11-04,JNPR,276.0,285.0,278.125,284.938,2762400.0
1999-11-05,JNPR,267.5,280.0,273.125,279.875,2499000.0
1999-11-08,JNPR,267.875,291.188,288.875,270.625,3085200.0
1999-11-09,JNPR,266.0,290.625,266.0,290.625,6710400.0
1999-11-10,JNPR,262.5,279.75,267.0,274.75,2683200.0
1999-11-11,JNPR,255.0,266.25,261.688,266.25,3987000.0
1999-11-12,JNPR,264.375,291.125,287.0,268.25,7708200.0
1999-11-15,JNPR,279.375,303.5,283.5,294.875,3587400.0
1999-11-16,JNPR,302.0,329.875,328.5,303.0,10995000.0
1999-11-17,JNPR,305.0,334.5,306.75,330.93800000000005,5512200.0
1999-11-18,JNPR,298.125,311.875,303.75,310.0,5038800.0
1999-11-19,JNPR,303.625,316.25,310.0,307.0,2962800.0
1999-11-22,JNPR,299.0,311.375,303.0,311.375,2958600.0
1999-11-23,JNPR,290.0,305.0,294.0,303.5,3695400.0
1999-11-24,JNPR,293.0,301.5,297.75,296.0,2814600.0
1999-11-26,JNPR,301.125,306.625,306.125,304.0,1636800.0
1999-11-29,JNPR,294.0,308.0,294.0,308.0,2170800.0
1999-11-30,JNPR,275.063,303.375,277.125,302.0,3525600.0
1999-12-01,JNPR,272.125,287.0,272.375,280.0,4201800.0
1999-12-02,JNPR,272.5,308.125,300.0,273.625,5068800.0
1999-12-03,JNPR,300.75,316.25,302.813,312.0,4175400.0
1999-12-06,JNPR,288.0,307.0,288.25,306.875,3227400.0
1999-12-07,JNPR,301.5,335.75,332.0,302.0,7047000.0
1999-12-08,JNPR,335.375,375.5,350.125,336.3654,5152800.0
1999-12-09,JNPR,331.0,360.0,354.5,360.0,3730200.0
1999-12-10,JNPR,345.0,365.0,353.25,361.5,2514600.0
1999-12-13,JNPR,333.0,348.0,338.875,347.0,5274000.0
1999-12-14,JNPR,329.0,344.375,330.25,344.375,2296200.0
1999-12-15,JNPR,316.75,330.5,317.438,327.625,3242400.0
1999-12-16,JNPR,309.0,330.0,316.563,323.0,3304200.0
1999-12-17,JNPR,303.0,323.063,304.0,319.0,4557000.0
1999-12-20,JNPR,291.375,312.0,300.0,312.0,4915800.0
1999-12-21,JNPR,296.0,336.9836,334.0,301.875,6819000.0
1999-12-22,JNPR,315.0,337.531,322.625,335.25,3649800.0
1999-12-23,JNPR,322.25,347.0,323.344,327.25,4618200.0
1999-12-27,JNPR,319.0,347.5,347.43800000000005,328.93800000000005,4115400.0
1999-12-28,JNPR,335.56300000000005,384.375,343.93800000000005,345.75,6704400.0
1999-12-29,JNPR,311.625,345.75,335.0,332.93800000000005,16303800.0
1999-12-30,JNPR,328.0,347.0,337.719,347.0,4065000.0
1999-12-31,JNPR,335.0,344.0,340.0,337.0,2059800.0
2000-01-03,JNPR,333.0,350.0,344.0,349.125,5626200.0
2000-01-04,JNPR,321.0,353.0,328.875,333.3884,6387000.0
2000-01-05,JNPR,314.0,340.0,326.375,323.0799,7562400.0
2000-01-06,JNPR,308.125,339.0,312.0,327.0,3063600.0
2000-01-07,JNPR,300.0,325.0,324.875,305.625,4957200.0
2000-01-10,JNPR,317.563,339.0,325.5,338.875,18047400.0
2000-01-11,JNPR,323.75,346.0,323.875,328.75,8139000.0
2000-01-12,JNPR,293.0,329.0,307.75,329.0,11376000.0
2000-01-13,JNPR,306.0,318.0,314.438,317.938,6484800.0
2000-01-14,JNPR,330.0,343.0,340.125,333.0,10500600.0
2000-01-18,JNPR,110.25,120.0,118.75,110.2578,8448000.0
2000-01-19,JNPR,113.625,122.5,119.0,121.75,9051000.0
2000-01-20,JNPR,114.875,120.5677,116.93799999999999,120.5,6099400.0
2000-01-21,JNPR,116.5,150.172,149.938,118.125,15106000.0
2000-01-24,JNPR,138.813,149.75,141.375,148.625,7957200.0
2000-01-25,JNPR,134.0,145.875,142.875,143.0,5003800.0
2000-01-26,JNPR,141.25,149.125,143.75,145.0,3699800.0
2000-01-27,JNPR,141.125,148.0,142.438,145.25,3553200.0
2000-01-28,JNPR,138.438,145.875,140.75,139.0,3815800.0
2000-01-31,JNPR,125.06299999999999,138.625,135.313,138.0,2956200.0
2000-02-01,JNPR,134.188,143.375,138.5,136.375,2484800.0
2000-02-02,JNPR,137.0,144.813,137.063,141.0,2109200.0
2000-02-03,JNPR,140.5,156.25,154.938,141.125,8828200.0
2000-02-04,JNPR,155.9912,172.938,170.0,156.0,8400600.0
2000-02-07,JNPR,168.75,184.313,173.0,179.938,4766200.0
2000-02-08,JNPR,169.5,174.1272,169.625,172.0,6035400.0
2000-02-09,JNPR,171.5,204.688,185.938,172.5,10104200.0
2000-02-10,JNPR,180.625,214.0,208.5,189.0,6848600.0
2000-02-11,JNPR,207.0,230.0,215.875,217.938,7086800.0
2000-02-14,JNPR,200.813,231.0,204.063,222.0,6503800.0
2000-02-15,JNPR,200.25,218.5,212.875,206.75,4894000.0
2000-02-16,JNPR,207.125,222.0108,220.5,215.0,5243800.0
2000-02-17,JNPR,223.0,251.25,241.25,224.25,6202600.0
2000-02-18,JNPR,230.438,269.75,238.313,248.875,8021600.0
2000-02-22,JNPR,220.5,247.375,230.75,245.5,4641600.0
2000-02-23,JNPR,222.5,249.75,234.938,234.003,3046000.0
2000-02-24,JNPR,223.25,242.0,229.0,242.0,4270800.0
2000-02-25,JNPR,229.6858,238.938,232.75,229.75,1924400.0
2000-02-28,JNPR,228.75,240.0,229.063,232.625,2423800.0
2000-02-29,JNPR,232.938,280.75,274.313,239.75,8118000.0
2000-03-01,JNPR,264.2665,295.75,271.0,283.0,6176800.0
2000-03-02,JNPR,260.0,278.0,260.25,277.375,3247200.0
2000-03-03,JNPR,260.5,276.5,264.438,273.9961,4632400.0
2000-03-06,JNPR,267.0,284.85900000000004,270.625,269.75,3950800.0
2000-03-07,JNPR,264.438,281.0,278.688,279.375,4547800.0
2000-03-08,JNPR,258.5,287.5,274.625,287.5,4872400.0
2000-03-09,JNPR,267.125,279.625,276.0,276.438,4309000.0
2000-03-10,JNPR,271.0,301.25,282.438,275.0,4848000.0
2000-03-13,JNPR,262.375,278.0632,263.875,268.0,4513600.0
2000-03-14,JNPR,245.0,275.438,245.563,275.375,3861600.0
2000-03-15,JNPR,222.0,253.0,229.75,242.4865,8105200.0
2000-03-16,JNPR,207.5,245.0,237.0,235.0,6631200.0
2000-03-17,JNPR,237.516,263.5,249.938,240.0,3786600.0
2000-03-20,JNPR,232.563,254.25,235.063,254.25,2331600.0
2000-03-21,JNPR,213.0,260.0,259.0,229.25,5706800.0
2000-03-22,JNPR,262.0,276.0,266.25,263.0,3926000.0
2000-03-23,JNPR,255.375,274.625,270.0,270.875,2597000.0
2000-03-24,JNPR,266.25,279.5,269.0,271.7433,2638400.0
2000-03-27,JNPR,270.5,283.0,276.438,274.125,3816800.0
2000-03-28,JNPR,281.625,308.5,307.0,287.496,12803200.0
2000-03-29,JNPR,287.7763,312.938,288.0,312.0,7584200.0
2000-03-30,JNPR,250.0,288.0,267.0,275.0,8701000.0
2000-03-31,JNPR,246.03099999999998,276.625,263.563,273.5,7362000.0
2000-04-03,JNPR,216.2603,271.5,233.0,264.0,6884800.0
2000-04-04,JNPR,186.75,237.938,210.5,237.875,17826000.0
2000-04-05,JNPR,200.0,239.875,218.75,201.0,7253000.0
