Date,symbol,Low,High,Close,Open,Volume
1999-09-28,KIM,34.875,35.375,34.938,35.125,522800.0
1999-09-29,KIM,34.875,35.188,35.063,34.938,390800.0
1999-09-30,KIM,34.875,35.75,35.75,34.938,200000.0
1999-10-01,KIM,34.625,35.25,34.688,35.125,435800.0
1999-10-04,KIM,34.5,34.938,34.688,34.688,104600.0
1999-10-05,KIM,34.563,35.0,34.813,34.938,202200.0
1999-10-06,KIM,34.688,35.25,35.0,34.75,420600.0
1999-10-07,KIM,34.563,35.125,34.625,35.125,635000.0
1999-10-08,KIM,34.625,34.875,34.75,34.625,196800.0
1999-10-11,KIM,34.688,35.188,34.813,34.688,190200.0
1999-10-12,KIM,34.563,34.938,34.688,34.813,242000.0
1999-10-13,KIM,34.5,34.875,34.625,34.563,383000.0
1999-10-14,KIM,34.563,34.688,34.625,34.625,116400.0
1999-10-15,KIM,34.125,35.0,35.0,34.563,279600.0
1999-10-18,KIM,34.438,35.375,34.5,35.125,182000.0
1999-10-19,KIM,34.25,35.0,34.875,34.563,119000.0
1999-10-20,KIM,34.25,34.8715,34.375,34.875,164400.0
1999-10-21,KIM,33.813,34.625,33.875,34.563,137400.0
1999-10-22,KIM,33.125,33.938,33.688,33.938,229400.0
1999-10-25,KIM,33.75,34.0,33.75,33.75,307200.0
1999-10-26,KIM,33.375,33.625,33.5,33.5,103800.0
1999-10-27,KIM,33.1269,33.75,33.188,33.625,182600.0
1999-10-28,KIM,33.063,33.813,33.688,33.063,235800.0
1999-10-29,KIM,33.625,34.25,34.125,33.688,195600.0
1999-11-01,KIM,33.6229,34.25,34.0,34.125,749000.0
1999-11-02,KIM,33.875,35.125,35.0,34.0,816600.0
1999-11-03,KIM,34.75,35.25,35.188,35.0,204000.0
1999-11-04,KIM,34.938,35.125,35.063,35.063,171600.0
1999-11-05,KIM,34.75,35.125,35.0,35.125,207800.0
1999-11-08,KIM,34.875,35.25,34.938,34.875,307200.0
1999-11-09,KIM,34.938,35.313,35.188,35.063,774600.0
1999-11-10,KIM,34.563,35.25,34.688,35.25,399600.0
1999-11-11,KIM,34.313,34.75,34.75,34.75,379400.0
1999-11-12,KIM,34.563,34.875,34.625,34.813,293600.0
1999-11-15,KIM,34.0,34.5,34.0,34.5,237200.0
1999-11-16,KIM,33.875,34.5,34.0,34.125,554000.0
1999-11-17,KIM,33.813,34.4995,34.5,34.125,720200.0
1999-11-18,KIM,34.063,34.313,34.25,34.25,163200.0
1999-11-19,KIM,33.813,34.625,34.625,34.125,238200.0
1999-11-22,KIM,33.75,34.438,33.938,34.438,353400.0
1999-11-23,KIM,33.75,34.125,33.875,33.813,416000.0
1999-11-24,KIM,33.625,34.0,33.813,33.75,258000.0
1999-11-26,KIM,33.5,33.9978,33.5,33.75,80400.0
1999-11-29,KIM,33.0,33.5,33.188,33.4412,210800.0
1999-11-30,KIM,33.0,33.5,33.25,33.063,400400.0
1999-12-01,KIM,33.065,33.375,33.375,33.25,444000.0
1999-12-02,KIM,33.0,33.375,33.25,33.375,888800.0
1999-12-03,KIM,33.125,33.5,33.375,33.313,423200.0
