Date,symbol,Low,High,Close,Open,Volume
2011-02-11,KMI,30.75,32.14,31.05,31.7,50610600.0
2011-02-14,KMI,30.7,31.3,30.7,31.05,6275900.0
2011-02-15,KMI,30.73,31.15,30.94,30.9,4337800.0
2011-02-16,KMI,30.66,31.44,30.72,31.05,4627100.0
2011-02-17,KMI,30.51,31.09,30.55,30.68,3290700.0
2011-02-18,KMI,30.4,31.39,31.37,30.65,2583800.0
2011-02-22,KMI,30.71,31.429000000000002,30.72,31.14,2454300.0
2011-02-23,KMI,30.2513,30.9,30.42,30.76,2671200.0
2011-02-24,KMI,30.3,30.65,30.46,30.55,1698000.0
2011-02-25,KMI,30.3,30.75,30.5,30.53,2225900.0
2011-02-28,KMI,30.42,30.79,30.5,30.57,2380400.0
2011-03-01,KMI,30.23,30.78,30.45,30.6493,1908000.0
2011-03-02,KMI,30.26,30.69,30.57,30.57,2197000.0
2011-03-03,KMI,30.53,30.77,30.77,30.6781,1901800.0
2011-03-04,KMI,30.66,30.939,30.85,30.8,892300.0
2011-03-07,KMI,30.7,31.04,30.9,30.94,1049600.0
2011-03-08,KMI,30.8,31.0411,30.97,30.8,827400.0
2011-03-09,KMI,30.74,30.98,30.75,30.9,294100.0
2011-03-10,KMI,29.75,30.71,30.1,30.71,2715200.0
2011-03-11,KMI,29.9721,30.48,30.1,30.1,1896900.0
2011-03-14,KMI,29.8,30.22,29.99,30.0,1967700.0
2011-03-15,KMI,29.6,30.2,29.88,29.81,1968400.0
2011-03-16,KMI,29.76,30.16,30.05,29.89,2062200.0
2011-03-17,KMI,30.06,30.41,30.15,30.2,1511400.0
2011-03-18,KMI,30.08,30.5,30.5,30.21,1906600.0
2011-03-21,KMI,30.4,31.0,30.82,30.53,1253000.0
2011-03-22,KMI,30.5695,30.98,30.7,30.9,1014700.0
2011-03-23,KMI,29.95,30.67,30.02,30.53,2570500.0
2011-03-24,KMI,29.9,30.25,30.05,30.1,1411600.0
2011-03-25,KMI,29.5,30.09,29.52,30.01,2687100.0
2011-03-28,KMI,29.56,29.93,29.62,29.74,1552900.0
2011-03-29,KMI,29.54,29.885,29.79,29.75,1313800.0
2011-03-30,KMI,29.58,29.89,29.69,29.87,769700.0
2011-03-31,KMI,29.51,29.87,29.64,29.8,884400.0
2011-04-01,KMI,29.49,29.85,29.5,29.79,1869200.0
2011-04-04,KMI,29.25,29.7,29.44,29.44,1177900.0
2011-04-05,KMI,29.0,29.64,29.44,29.49,1021200.0
2011-04-06,KMI,29.21,29.49,29.46,29.46,725100.0
2011-04-07,KMI,29.13,29.56,29.22,29.52,1226100.0
2011-04-08,KMI,29.12,29.42,29.33,29.2197,934800.0
2011-04-11,KMI,29.07,29.41,29.25,29.3,1160900.0
2011-04-12,KMI,28.27,29.24,28.73,29.1,1278100.0
2011-04-13,KMI,28.66,29.02,28.83,28.74,2766900.0
2011-04-14,KMI,28.57,29.16,29.12,28.79,785800.0
2011-04-15,KMI,28.69,29.15,28.88,29.11,863900.0
2011-04-18,KMI,28.23,28.84,28.52,28.79,882400.0
2011-04-19,KMI,28.53,28.86,28.78,28.59,1121200.0
2011-04-20,KMI,28.79,29.6,29.45,28.98,2054000.0
2011-04-21,KMI,29.07,29.93,29.63,29.32,1516900.0
2011-04-25,KMI,29.07,29.81,29.36,29.81,604100.0
2011-04-26,KMI,29.05,29.589000000000002,29.12,29.54,1100000.0
2011-04-27,KMI,28.75,29.49,28.86,29.3,1479600.0
2011-04-28,KMI,28.69,28.95,28.83,28.84,1041000.0
2011-04-29,KMI,28.35,29.29,28.58,29.04,1843400.0
2011-05-02,KMI,28.38,28.99,28.82,28.73,1036600.0
2011-05-03,KMI,28.05,28.89,28.19,28.84,1158700.0
2011-05-04,KMI,27.31,28.36,27.96,28.2,2537800.0
2011-05-05,KMI,27.41,28.26,27.98,28.02,1618300.0
2011-05-06,KMI,27.85,28.41,28.0,28.08,653600.0
2011-05-09,KMI,28.01,28.45,28.29,28.11,752100.0
2011-05-10,KMI,28.08,28.69,28.52,28.2704,777800.0
2011-05-11,KMI,28.01,28.63,28.31,28.53,1400100.0
2011-05-12,KMI,27.82,28.45,28.45,28.2,1800000.0
2011-05-13,KMI,27.7522,28.37,27.93,28.37,1344100.0
2011-05-16,KMI,27.4,28.48,27.54,28.06,1737600.0
2011-05-17,KMI,26.87,27.71,27.5,27.6,2404600.0
2011-05-18,KMI,27.42,27.88,27.56,27.77,895200.0
2011-05-19,KMI,27.53,28.34,28.29,27.68,1096500.0
2011-05-20,KMI,27.97,28.9,28.5,28.2504,1535400.0
2011-05-23,KMI,28.19,28.57,28.33,28.41,2927600.0
2011-05-24,KMI,28.47,29.06,29.06,28.53,2587700.0
2011-05-25,KMI,28.8,29.28,29.02,28.98,3304700.0
2011-05-26,KMI,28.61,29.22,28.69,29.0998,1507000.0
2011-05-27,KMI,28.5,29.18,29.18,28.9,1896600.0
2011-05-31,KMI,29.0,29.76,29.29,29.53,5489900.0
2011-06-01,KMI,28.85,29.47,29.0,29.4,1042800.0
2011-06-02,KMI,28.44,29.38,29.38,29.1528,978400.0
2011-06-03,KMI,28.73,29.76,29.75,29.06,1566400.0
2011-06-06,KMI,29.25,29.77,29.52,29.6,1402100.0
2011-06-07,KMI,29.42,29.97,29.79,29.58,1980000.0
2011-06-08,KMI,29.46,29.86,29.73,29.58,766800.0
2011-06-09,KMI,29.64,29.89,29.69,29.72,1215900.0
2011-06-10,KMI,29.43,29.846,29.53,29.74,895800.0
2011-06-13,KMI,29.2,29.93,29.45,29.6188,901900.0
2011-06-14,KMI,29.06,29.86,29.5,29.41,760200.0
2011-06-15,KMI,28.89,29.65,29.36,29.42,1149000.0
2011-06-16,KMI,29.070999999999998,29.44,29.21,29.4,792100.0
2011-06-17,KMI,29.15,29.74,29.7,29.36,2448200.0
2011-06-20,KMI,29.4012,29.67,29.61,29.61,866700.0
2011-06-21,KMI,29.34,29.7,29.62,29.7,631300.0
2011-06-22,KMI,29.445,29.97,29.62,29.6218,1587400.0
2011-06-23,KMI,28.91,29.59,29.1,29.59,1963100.0
2011-06-24,KMI,28.588,29.3,28.6,29.19,11554800.0
2011-06-27,KMI,28.22,28.79,28.26,28.68,1889000.0
2011-06-28,KMI,28.0991,28.67,28.3,28.39,2235400.0
2011-06-29,KMI,28.32,28.8,28.4,28.48,1592100.0
2011-06-30,KMI,28.31,28.78,28.73,28.43,809500.0
2011-07-01,KMI,28.37,29.28,29.27,28.67,846600.0
2011-07-05,KMI,29.04,29.39,29.26,29.2186,505800.0
2011-07-06,KMI,28.92,29.24,29.11,29.17,1239500.0
2011-07-07,KMI,28.8589,29.45,28.98,29.26,876300.0
2011-07-08,KMI,28.685,29.33,28.92,28.8,757500.0
2011-07-11,KMI,28.1593,28.74,28.36,28.7,725400.0
2011-07-12,KMI,28.1,28.37,28.17,28.25,665900.0
2011-07-13,KMI,28.06,28.48,28.19,28.34,556800.0
2011-07-14,KMI,28.02,28.41,28.03,28.3,799600.0
2011-07-15,KMI,28.0004,28.63,28.59,28.24,785100.0
2011-07-18,KMI,27.98,28.41,28.19,28.4,695200.0
2011-07-19,KMI,28.24,28.49,28.35,28.41,390100.0
2011-07-20,KMI,28.25,28.93,28.5,28.57,579000.0
2011-07-21,KMI,28.22,28.87,28.51,28.68,1277300.0
2011-07-22,KMI,28.24,28.63,28.36,28.55,1017700.0
2011-07-25,KMI,27.48,28.39,27.5,28.3,2753000.0
2011-07-26,KMI,27.36,27.74,27.57,27.61,2921300.0
2011-07-27,KMI,27.1,28.4,28.18,27.27,3648100.0
2011-07-28,KMI,27.64,28.24,28.16,27.9,985200.0
2011-07-29,KMI,27.8,28.3,28.23,27.96,999300.0
2011-08-01,KMI,28.1217,28.5,28.23,28.42,612300.0
2011-08-02,KMI,27.64,28.17,27.85,28.06,893400.0
2011-08-03,KMI,27.25,27.87,27.72,27.82,1392600.0
2011-08-04,KMI,26.33,27.6,26.47,27.6,1813800.0
2011-08-05,KMI,24.96,26.7907,25.92,26.47,3006600.0
2011-08-08,KMI,23.66,25.59,23.66,25.21,2018900.0
2011-08-09,KMI,24.0,25.96,25.92,24.05,1689300.0
2011-08-10,KMI,25.24,27.08,26.05,25.58,1909300.0
