Date,symbol,Low,High,Close,Open,Volume
1999-09-28,KSU,46.25,47.3767,46.75,47.0,257500.0
1999-09-29,KSU,46.625,47.125,46.875,46.813,350900.0
1999-09-30,KSU,46.438,47.313,46.5,47.0,335500.0
1999-10-01,KSU,45.563,46.75,45.875,46.563,329600.0
1999-10-04,KSU,45.0,46.25,46.063,45.875,396800.0
1999-10-05,KSU,44.875,46.938,46.063,46.3086,271000.0
1999-10-06,KSU,45.125,46.188,45.438,45.688,304600.0
1999-10-07,KSU,44.813,45.4372,44.938,45.438,295500.0
1999-10-08,KSU,43.375,45.0032,43.688,45.0,421500.0
1999-10-11,KSU,43.313,44.25,43.563,43.938,227700.0
1999-10-12,KSU,43.188,43.75,43.313,43.625,325000.0
1999-10-13,KSU,41.875,43.813,42.125,43.0647,254800.0
1999-10-14,KSU,41.063,42.438,41.625,42.125,275800.0
1999-10-15,KSU,39.563,41.688,39.75,41.688,391600.0
1999-10-18,KSU,37.5,39.125,38.188,38.813,621500.0
1999-10-19,KSU,38.688,40.375,40.0,38.75,618000.0
1999-10-20,KSU,38.938,41.25,41.25,40.0009,439400.0
1999-10-21,KSU,40.625,41.375,40.938,41.125,439400.0
1999-10-22,KSU,41.063,43.563,43.063,41.063,224700.0
1999-10-25,KSU,41.625,42.8113,42.125,42.813,110800.0
1999-10-26,KSU,41.063,42.125,41.125,42.125,175000.0
1999-10-27,KSU,41.0,42.625,42.625,41.0029,244200.0
1999-10-28,KSU,43.25,47.25,46.063,43.25,483100.0
1999-10-29,KSU,47.25,49.0,47.438,47.5,310500.0
1999-11-01,KSU,47.5,49.188,48.063,47.813,405000.0
1999-11-02,KSU,47.688,49.063,47.688,49.063,160400.0
1999-11-03,KSU,47.375,48.563,47.938,48.125,232100.0
1999-11-04,KSU,48.188,48.938,48.75,48.375,101400.0
1999-11-05,KSU,49.5,50.438,50.0,49.75,187800.0
1999-11-08,KSU,49.313,50.188,49.875,50.188,190700.0
1999-11-09,KSU,49.25,50.438,49.25,49.875,158800.0
1999-11-10,KSU,48.875,49.875,49.313,49.0,93200.0
1999-11-11,KSU,47.75,49.688,49.188,49.5,196600.0
1999-11-12,KSU,49.25,52.313,51.188,49.438,339700.0
1999-11-15,KSU,50.75,51.625,51.563,51.188,173600.0
1999-11-16,KSU,51.688,53.25,53.25,51.938,218300.0
1999-11-17,KSU,52.4382,54.563,52.75,53.25,225700.0
1999-11-18,KSU,52.938,56.063,55.813,52.938,267700.0
1999-11-19,KSU,55.875,58.6898,57.938,56.25,341300.0
1999-11-22,KSU,55.563,57.688,55.938,57.688,370400.0
1999-11-23,KSU,53.938,56.063,54.309,55.688,305600.0
1999-11-24,KSU,53.938,55.375,55.0,54.375,124600.0
1999-11-26,KSU,55.125,55.875,55.563,55.5,120800.0
1999-11-29,KSU,55.563,58.7514,58.563,55.563,406100.0
1999-11-30,KSU,57.9398,60.0,59.5,58.0,533200.0
1999-12-01,KSU,59.0,60.25,59.438,59.188,251700.0
1999-12-02,KSU,57.75,59.0,58.688,58.5,245700.0
1999-12-03,KSU,58.188,60.0,58.25,60.0,267100.0
1999-12-06,KSU,56.125,58.25,57.0,58.25,208600.0
1999-12-07,KSU,57.5005,61.375,60.625,57.5,569800.0
1999-12-08,KSU,61.25,66.375,65.5,61.375,583900.0
1999-12-09,KSU,63.5,66.375,63.938,65.0,369300.0
