Date,symbol,Low,High,Close,Open,Volume
1999-09-28,LH,2.25,2.438,2.375,2.438,179600.0
1999-09-29,LH,2.25,2.438,2.438,2.313,178400.0
1999-09-30,LH,2.438,2.7503,2.75,2.5,136400.0
1999-10-01,LH,2.563,2.75,2.625,2.75,28800.0
1999-10-04,LH,2.5,2.688,2.625,2.5,43600.0
1999-10-05,LH,2.563,2.688,2.688,2.625,58800.0
1999-10-06,LH,2.563,2.688,2.688,2.625,59600.0
1999-10-07,LH,2.563,2.688,2.688,2.688,42000.0
1999-10-08,LH,2.625,2.688,2.688,2.688,10800.0
1999-10-11,LH,2.625,2.688,2.688,2.625,19600.0
1999-10-12,LH,2.563,2.625,2.563,2.625,32800.0
1999-10-13,LH,2.5,2.625,2.5,2.563,44400.0
1999-10-14,LH,2.5,2.563,2.5,2.5,38800.0
1999-10-15,LH,2.5,2.563,2.563,2.5,42400.0
1999-10-18,LH,2.438,2.563,2.563,2.5,23200.0
1999-10-19,LH,2.5,2.6249,2.5,2.5,34800.0
1999-10-20,LH,2.5,2.625,2.563,2.563,29600.0
1999-10-21,LH,2.5,2.688,2.688,2.563,108800.0
1999-10-22,LH,2.625,2.75,2.75,2.625,28800.0
1999-10-25,LH,2.688,2.813,2.813,2.688,121200.0
1999-10-26,LH,2.75,2.813,2.75,2.813,50400.0
1999-10-27,LH,2.75,2.875,2.813,2.75,82400.0
1999-10-28,LH,2.813,2.875,2.875,2.875,44000.0
1999-10-29,LH,2.813,3.0,3.0,2.875,206800.0
1999-11-01,LH,2.875,3.0,3.0,3.0,58400.0
1999-11-02,LH,2.875,3.0,2.938,2.875,214400.0
1999-11-03,LH,2.938,3.0,2.938,2.938,38400.0
1999-11-04,LH,2.938,3.0,2.938,2.938,171600.0
1999-11-05,LH,2.938,3.0,3.0,2.938,90000.0
1999-11-08,LH,2.938,3.0629,3.063,3.0,182000.0
1999-11-09,LH,2.938,3.188,3.188,3.0,448800.0
1999-11-10,LH,3.0,3.188,3.125,3.1251,103600.0
1999-11-11,LH,3.063,3.125,3.125,3.125,156800.0
1999-11-12,LH,2.938,3.125,3.0,3.063,159200.0
1999-11-15,LH,2.9999,3.188,3.188,3.0,185200.0
1999-11-16,LH,3.125,3.375,3.375,3.125,536400.0
1999-11-17,LH,3.313,3.438,3.438,3.313,261200.0
1999-11-18,LH,3.375,3.438,3.438,3.438,74000.0
1999-11-19,LH,3.375,3.5,3.5,3.375,346800.0
1999-11-22,LH,3.5,3.875,3.563,3.75,356800.0
1999-11-23,LH,3.5,3.688,3.688,3.5,144800.0
1999-11-24,LH,3.625,3.688,3.688,3.625,188400.0
1999-11-26,LH,3.625,3.688,3.688,3.688,40400.0
1999-11-29,LH,3.563,3.688,3.688,3.688,108400.0
1999-11-30,LH,3.625,3.75,3.75,3.625,220000.0
1999-12-01,LH,3.625,3.75,3.625,3.688,138400.0
1999-12-02,LH,3.625,3.688,3.688,3.625,40400.0
1999-12-03,LH,3.625,3.688,3.688,3.688,46400.0
1999-12-06,LH,3.5,3.688,3.625,3.688,160000.0
1999-12-07,LH,3.5632,3.625,3.625,3.563,32400.0
1999-12-08,LH,3.563,3.625,3.625,3.563,54000.0
1999-12-09,LH,3.563,3.6881,3.625,3.625,116400.0
1999-12-10,LH,3.563,3.688,3.688,3.563,120800.0
1999-12-13,LH,3.5,3.688,3.625,3.688,100800.0
1999-12-14,LH,3.563,3.625,3.563,3.563,354000.0
1999-12-15,LH,3.5,3.5629,3.5,3.563,514400.0
1999-12-16,LH,3.25,3.5,3.313,3.438,262400.0
1999-12-17,LH,3.188,3.313,3.25,3.313,97600.0
1999-12-20,LH,3.063,3.5,3.5,3.125,109200.0
1999-12-21,LH,3.375,3.563,3.563,3.5,60000.0
1999-12-22,LH,3.438,3.5,3.5,3.5,38000.0
1999-12-23,LH,3.188,3.5,3.5,3.375,110400.0
1999-12-27,LH,3.313,3.438,3.375,3.375,65200.0
1999-12-28,LH,3.25,3.563,3.5,3.313,67600.0
1999-12-29,LH,3.5,3.7498,3.75,3.5,124000.0
1999-12-30,LH,3.625,3.75,3.75,3.625,86000.0
1999-12-31,LH,3.625,3.688,3.688,3.625,98000.0
2000-01-03,LH,3.5,3.688,3.625,3.688,52000.0
2000-01-04,LH,3.375,3.563,3.5,3.563,66000.0
2000-01-05,LH,3.375,3.5,3.5,3.438,24000.0
2000-01-06,LH,3.375,3.5,3.438,3.438,38400.0
2000-01-07,LH,3.375,3.563,3.563,3.438,79200.0
2000-01-10,LH,3.5,3.6248,3.5,3.625,136400.0
2000-01-11,LH,3.375,3.5,3.375,3.438,38400.0
2000-01-12,LH,3.375,3.438,3.375,3.375,38000.0
2000-01-13,LH,3.313,3.563,3.563,3.375,268800.0
