Date,symbol,Low,High,Close,Open,Volume
1999-09-28,LMT,30.5,32.063,31.5,32.0,1337700.0
1999-09-29,LMT,31.563000000000002,32.375,32.313,31.75,1132500.0
1999-09-30,LMT,32.375,33.125,32.688,32.5,1411600.0
1999-10-01,LMT,32.313,32.813,32.625,32.4989,952100.0
1999-10-04,LMT,32.625,33.375,32.75,33.0,721200.0
1999-10-05,LMT,31.75,32.563,32.188,32.563,832200.0
1999-10-06,LMT,30.313000000000002,32.188,30.5,32.188,1636200.0
1999-10-07,LMT,30.75,31.813000000000002,31.563000000000002,30.75,982700.0
1999-10-08,LMT,30.813000000000002,31.563000000000002,30.813000000000002,31.5,874200.0
1999-10-11,LMT,30.25,31.0,30.375,30.688000000000002,729100.0
1999-10-12,LMT,28.0,30.3745,28.688000000000002,30.375,2778900.0
1999-10-13,LMT,27.375,28.625,27.625,28.5,2099500.0
1999-10-14,LMT,25.75,27.4372,26.0,27.375,4507300.0
1999-10-15,LMT,23.375,25.0,24.125,24.9978,4289200.0
1999-10-18,LMT,24.0,24.75,24.313000000000002,24.313000000000002,2167200.0
1999-10-19,LMT,24.313000000000002,25.313000000000002,24.75,24.75,3033100.0
1999-10-20,LMT,23.625,25.188000000000002,24.0,25.0,2675100.0
1999-10-21,LMT,23.313000000000002,24.0,23.75,24.0,2033400.0
1999-10-22,LMT,23.5001,23.938000000000002,23.75,23.938000000000002,2279700.0
1999-10-25,LMT,22.75,23.688000000000002,23.0,23.688000000000002,1577000.0
1999-10-26,LMT,22.563000000000002,23.375,22.813000000000002,23.063000000000002,3314200.0
1999-10-27,LMT,22.313000000000002,22.938000000000002,22.438000000000002,22.938000000000002,2678200.0
1999-10-28,LMT,22.4369,23.25,22.938000000000002,22.875,2974500.0
1999-10-29,LMT,16.375,20.25,20.0,18.0,14771100.0
1999-11-01,LMT,20.0,21.313000000000002,20.125,21.0,5100600.0
1999-11-02,LMT,20.0,20.4383,20.25,20.125,3589200.0
1999-11-03,LMT,18.563,20.063,18.563,20.0,3939700.0
1999-11-04,LMT,17.9374,18.938,18.0,18.625,4553600.0
1999-11-05,LMT,17.188,18.438,17.375,18.063,4492000.0
1999-11-08,LMT,17.563,18.0,17.688,17.75,5743600.0
1999-11-09,LMT,17.688,18.625,18.313,17.688,4790500.0
1999-11-10,LMT,18.2496,19.375,19.188,18.5,3467300.0
1999-11-11,LMT,19.063,20.313,19.813,20.0,3212800.0
1999-11-12,LMT,18.9389,20.313,19.0,20.125,3122100.0
1999-11-15,LMT,18.75,19.313,18.875,19.25,2638300.0
1999-11-16,LMT,18.75,19.188,19.0,19.0,3185200.0
1999-11-17,LMT,18.813,19.5,19.25,18.9995,5691900.0
1999-11-18,LMT,19.313,20.75,20.625,19.438,6500300.0
1999-11-19,LMT,20.688000000000002,21.625,21.25,20.75,3821900.0
1999-11-22,LMT,20.0,21.25,20.0,21.25,1983800.0
1999-11-23,LMT,20.063,20.938000000000002,20.25,20.938000000000002,2822700.0
1999-11-24,LMT,20.0,20.625,20.188,20.563000000000002,1797200.0
1999-11-26,LMT,20.063,20.5,20.063,20.125,720700.0
1999-11-29,LMT,19.8134,20.375,20.375,19.813,2513200.0
1999-11-30,LMT,19.875,20.75,19.875,20.375,2979400.0
1999-12-01,LMT,20.0,20.438,20.188,20.125,1314000.0
1999-12-02,LMT,19.75,20.1256,20.063,20.0,1937800.0
1999-12-03,LMT,19.813,20.125,20.0,20.063,3029800.0
1999-12-06,LMT,19.438,20.0,19.563,19.813,2131700.0
1999-12-07,LMT,19.0,19.814,19.625,19.0,3542700.0
1999-12-08,LMT,19.563,20.125,20.0,19.563,2503100.0
1999-12-09,LMT,19.688,20.063,19.875,19.75,2212200.0
1999-12-10,LMT,19.75,20.063,19.813,19.938,2171000.0
1999-12-13,LMT,19.563,20.125,19.875,19.563,3278900.0
1999-12-14,LMT,19.938,20.5628,20.188,20.0,4435300.0
1999-12-15,LMT,19.875,20.125,20.0,20.0,4028000.0
1999-12-16,LMT,19.75,20.4362,20.313,19.75,2255600.0
1999-12-17,LMT,20.0,20.75,20.313,20.75,2696300.0
1999-12-20,LMT,19.75,20.313,19.938,20.313,2248400.0
1999-12-21,LMT,19.563,19.938,19.813,19.563,1917300.0
1999-12-22,LMT,19.563,19.875,19.688,19.563,2381000.0
1999-12-23,LMT,19.563,19.938,19.75,19.813,2162500.0
1999-12-27,LMT,19.5,20.0,19.688,19.563,1346800.0
1999-12-28,LMT,19.5,19.813,19.563,19.625,1096800.0
1999-12-29,LMT,19.563,20.188,19.875,19.75,1228800.0
1999-12-30,LMT,19.938,20.625,20.313,20.0,1541700.0
1999-12-31,LMT,21.0,22.0,21.875,21.125,2689600.0
2000-01-03,LMT,20.25,22.313000000000002,20.25,22.0,3011300.0
2000-01-04,LMT,20.0,21.313000000000002,20.938000000000002,20.0,3593500.0
2000-01-05,LMT,20.5,21.625,21.063000000000002,21.25,1721200.0
2000-01-06,LMT,21.0,21.75,21.375,20.9989,1750700.0
2000-01-07,LMT,21.188000000000002,22.063000000000002,21.438000000000002,21.75,2203200.0
2000-01-10,LMT,20.563000000000002,21.5,20.625,21.375,1361000.0
2000-01-11,LMT,19.75,20.75,19.938,20.5,2236100.0
2000-01-12,LMT,20.0,21.25,21.188000000000002,20.0,3562400.0
2000-01-13,LMT,20.563000000000002,21.4384,20.75,21.438000000000002,2871700.0
2000-01-14,LMT,20.5,20.938000000000002,20.5,20.75,1609300.0
2000-01-18,LMT,19.75,21.25,20.0,21.0,3763800.0
2000-01-19,LMT,20.0,20.75,20.688000000000002,20.063,2270500.0
2000-01-20,LMT,20.375,20.688000000000002,20.563000000000002,20.5,2321600.0
2000-01-21,LMT,20.625,21.188000000000002,21.0,20.75,2340600.0
2000-01-24,LMT,19.563,21.063000000000002,19.563,20.938000000000002,1917000.0
2000-01-25,LMT,19.125,19.938,19.25,19.563,2022500.0
2000-01-26,LMT,19.25,20.063,20.063,19.438,2020300.0
2000-01-27,LMT,19.0,20.0,19.438,19.938,2236300.0
2000-01-28,LMT,18.3128,19.938,18.875,19.0,2213200.0
2000-01-31,LMT,18.188,18.875,18.5,18.313,1528600.0
2000-02-01,LMT,18.375,18.875,18.688,18.75,737300.0
2000-02-02,LMT,18.188,18.813,18.688,18.438,1633700.0
2000-02-03,LMT,18.5,18.938,18.625,18.625,1830200.0
2000-02-04,LMT,18.375,19.313,19.125,18.75,2012900.0
2000-02-07,LMT,18.25,19.5,18.75,19.25,1633700.0
2000-02-08,LMT,17.875,18.375,18.375,18.313,2110300.0
2000-02-09,LMT,17.875,18.5,18.375,17.875,1863800.0
2000-02-10,LMT,18.063,18.5,18.313,18.063,1814500.0
2000-02-11,LMT,17.375,18.313,17.5,18.125,1821000.0
2000-02-14,LMT,17.5,18.125,18.063,17.7499,1839400.0
2000-02-15,LMT,17.813,18.188,18.125,18.0,1273200.0
2000-02-16,LMT,17.5,18.063,17.75,17.4997,1630600.0
2000-02-17,LMT,17.813,18.25,18.0,17.938,4412100.0
2000-02-18,LMT,17.0,17.875999999999998,17.438,17.75,1651200.0
2000-02-22,LMT,17.063,18.0,18.0,17.063,1411100.0
2000-02-23,LMT,17.5,17.938,17.813,17.938,1358100.0
2000-02-24,LMT,17.188,17.688,17.563,17.625,1248100.0
2000-02-25,LMT,17.5633,17.938,17.75,17.625,1691300.0
2000-02-28,LMT,17.125,17.625,17.5,17.563,1022400.0
2000-02-29,LMT,17.125,17.875,17.438,17.438,1285400.0
2000-03-01,LMT,17.375,17.688,17.688,17.438,1331700.0
2000-03-02,LMT,16.9999,17.563,17.125,17.5,1398200.0
2000-03-03,LMT,16.875,17.188,17.0,17.063,1733200.0
2000-03-06,LMT,17.75,18.25,18.0,17.75,3775600.0
2000-03-07,LMT,17.313,18.0,17.313,18.0,1289900.0
2000-03-08,LMT,17.25,17.625,17.625,17.25,2051400.0
2000-03-09,LMT,17.0,17.5,17.125,17.5,1706700.0
2000-03-10,LMT,16.688,17.125,16.813,17.125,2631700.0
2000-03-13,LMT,16.625,17.0,16.938,16.813,1434800.0
2000-03-14,LMT,16.5,17.0,16.625,17.0,1853600.0
2000-03-15,LMT,16.5,17.188,17.125,16.625,4062700.0
2000-03-16,LMT,17.0,18.25,18.063,17.188,3771400.0
2000-03-17,LMT,17.625,18.75,18.0,18.063,6524300.0
2000-03-20,LMT,17.625,18.0,17.762,18.0,1103600.0
2000-03-21,LMT,17.0631,17.625,17.313,17.25,1439200.0
2000-03-22,LMT,16.938,17.313,17.125,17.25,1424500.0
2000-03-23,LMT,16.938,17.375,17.063,17.063,918700.0
2000-03-24,LMT,17.063,17.75,17.5,17.063,2166100.0
2000-03-27,LMT,17.2502,17.875,17.813,17.5,1698000.0
2000-03-28,LMT,18.063,19.188,18.75,18.25,3675900.0
2000-03-29,LMT,18.3126,19.25,19.25,18.563,3296200.0
2000-03-30,LMT,19.5,21.25,20.875,19.75,4674400.0
2000-03-31,LMT,19.688,21.063000000000002,20.438,21.063000000000002,2365800.0
2000-04-03,LMT,20.063,20.875,20.438,20.063,1050100.0
2000-04-04,LMT,20.125,21.6888,20.313,21.0,2551700.0
2000-04-05,LMT,20.313,21.6246,20.938000000000002,20.313,1390500.0
2000-04-06,LMT,20.625,22.063000000000002,21.188000000000002,21.75,2202200.0
2000-04-07,LMT,20.688000000000002,21.5,21.063000000000002,21.313000000000002,1330000.0
2000-04-10,LMT,20.313,21.188000000000002,21.125,20.5,1263400.0
2000-04-11,LMT,20.875,21.188000000000002,20.875,20.938000000000002,1365200.0
2000-04-12,LMT,20.938000000000002,22.188000000000002,22.063000000000002,20.938000000000002,2865000.0
2000-04-13,LMT,21.063000000000002,22.0,21.625,21.375,3730500.0
2000-04-14,LMT,20.375,21.25,20.688000000000002,21.188000000000002,2415400.0
2000-04-17,LMT,19.813,21.313000000000002,21.313000000000002,20.625,2157200.0
2000-04-18,LMT,20.625,21.125,21.0,21.125,1432900.0
2000-04-19,LMT,20.813000000000002,21.25,20.875,20.938000000000002,1112900.0
2000-04-20,LMT,21.5629,22.875,22.688000000000002,21.75,2877000.0
2000-04-24,LMT,22.313000000000002,25.938000000000002,25.875,22.375,5205300.0
2000-04-25,LMT,24.5,26.436,25.563000000000002,25.875,5013300.0
2000-04-26,LMT,23.813000000000002,24.875,24.125,24.75,3442200.0
2000-04-27,LMT,23.375,24.438000000000002,23.875,24.0,1761100.0
2000-04-28,LMT,24.0,26.063000000000002,24.875,24.0006,3415700.0
2000-05-01,LMT,24.125,27.313000000000002,27.0,24.25,2702000.0
2000-05-02,LMT,26.0,26.688000000000002,26.063000000000002,26.25,2304900.0
2000-05-03,LMT,25.375,26.313000000000002,25.563000000000002,25.813000000000002,1438500.0
2000-05-04,LMT,25.4975,27.125,26.313000000000002,25.563000000000002,1659000.0
2000-05-05,LMT,25.625,26.188000000000002,26.188000000000002,25.75,1751900.0
2000-05-08,LMT,25.75,26.25,26.063000000000002,26.0,1038600.0
2000-05-09,LMT,25.75,26.25,26.0,25.813000000000002,765900.0
2000-05-10,LMT,25.7488,26.25,26.063000000000002,25.813000000000002,1188300.0
2000-05-11,LMT,25.938000000000002,26.438000000000002,26.188000000000002,26.0,846200.0
2000-05-12,LMT,25.563000000000002,26.125,25.813000000000002,25.625,814300.0
2000-05-15,LMT,25.375,25.938000000000002,25.625,25.688000000000002,682000.0
2000-05-16,LMT,24.688000000000002,25.375,25.188000000000002,24.75,1051600.0
2000-05-17,LMT,24.5,25.375,24.563000000000002,24.938000000000002,2000700.0
2000-05-18,LMT,24.438000000000002,25.188000000000002,24.875,24.4368,2073900.0
2000-05-19,LMT,23.625,24.563000000000002,24.313000000000002,24.125,1286300.0
2000-05-22,LMT,23.2493,24.688000000000002,23.563000000000002,24.375,1283800.0
2000-05-23,LMT,23.625,25.3135,25.125,24.25,1109300.0
2000-05-24,LMT,24.5,25.313000000000002,25.063000000000002,25.0,2029800.0
2000-05-25,LMT,24.063000000000002,25.063000000000002,24.313000000000002,24.813000000000002,822600.0
2000-05-26,LMT,23.875,24.75,24.063000000000002,24.563000000000002,501000.0
2000-05-30,LMT,24.188000000000002,25.0,24.75,24.313000000000002,1195400.0
2000-05-31,LMT,23.813000000000002,24.938000000000002,24.688000000000002,24.875,947700.0
2000-06-01,LMT,24.188000000000002,25.063000000000002,25.063000000000002,24.3742,876900.0
