Date,symbol,Low,High,Close,Open,Volume
1999-09-28,LNC,39.313,40.2483,40.25,39.75,724400.0
1999-09-29,LNC,36.875,40.0022,37.5,40.0,915500.0
1999-09-30,LNC,36.0005,37.625,37.563,37.0,1258800.0
1999-10-01,LNC,37.4374,38.0,37.938,38.0,1182300.0
1999-10-04,LNC,37.875,39.188,39.0,38.188,504200.0
1999-10-05,LNC,38.5,39.5,39.063,38.75,548000.0
1999-10-06,LNC,38.813,39.688,39.188,39.0,626800.0
1999-10-07,LNC,38.5,39.0,38.563,39.0,400500.0
1999-10-08,LNC,38.563,39.813,39.5,38.563,310400.0
1999-10-11,LNC,38.063,38.875,38.5,38.875,322100.0
1999-10-12,LNC,38.25,38.875,38.25,38.313,269100.0
1999-10-13,LNC,36.5,38.25,36.5,38.25,690200.0
1999-10-14,LNC,37.063,39.625,39.25,37.125,899600.0
1999-10-15,LNC,37.5,39.625,39.0,37.6233,975100.0
1999-10-18,LNC,38.5,42.625,42.125,38.75,717300.0
1999-10-19,LNC,41.813,44.0,42.063,44.0,650100.0
1999-10-20,LNC,41.375,42.625,41.688,42.625,562600.0
1999-10-21,LNC,40.813,42.313,41.688,41.438,539300.0
1999-10-22,LNC,46.438,48.313,47.188,46.75,1651200.0
1999-10-25,LNC,44.188,46.938,44.75,46.5,1802800.0
1999-10-26,LNC,44.563,45.75,44.563,44.625,766900.0
1999-10-27,LNC,44.25,45.938,45.25,44.313,709200.0
1999-10-28,LNC,46.5,47.313,47.313,46.75,1394900.0
1999-10-29,LNC,46.125,47.688,46.125,47.313,787300.0
1999-11-01,LNC,45.438,47.25,45.938,47.0,720200.0
1999-11-02,LNC,45.25,46.563,45.938,45.938,600600.0
1999-11-03,LNC,43.875,46.125,44.125,46.063,448200.0
1999-11-04,LNC,44.125,45.813,45.625,44.125,768200.0
1999-11-05,LNC,47.25,48.063,47.375,47.625,480900.0
1999-11-08,LNC,45.938,47.625,46.5,47.625,335600.0
1999-11-09,LNC,45.188,47.125,46.188,47.0,406700.0
1999-11-10,LNC,45.063,46.25,45.625,45.625,793300.0
1999-11-11,LNC,45.0642,45.938,45.188,45.563,451000.0
1999-11-12,LNC,45.25,46.5,46.375,45.25,346500.0
1999-11-15,LNC,45.75,46.5,46.063,46.1268,399200.0
1999-11-16,LNC,46.313,48.0,47.75,46.313,810900.0
1999-11-17,LNC,46.563,47.4373,46.813,47.25,460400.0
1999-11-18,LNC,46.438,47.313,46.938,46.813,458200.0
1999-11-19,LNC,45.75,46.688,45.875,46.688,450900.0
1999-11-22,LNC,44.813,45.875,45.313,45.875,234500.0
1999-11-23,LNC,43.8127,45.25,44.625,44.625,308000.0
1999-11-24,LNC,42.938,44.125,43.375,44.0,310300.0
1999-11-26,LNC,42.375,43.25,42.688,43.25,323200.0
1999-11-29,LNC,41.938,43.0,42.0,42.6236,426200.0
1999-11-30,LNC,41.375,42.75,41.688,42.0,679600.0
1999-12-01,LNC,41.0,41.625,41.313,41.5,364600.0
1999-12-02,LNC,41.0638,41.563,41.188,41.5,376400.0
1999-12-03,LNC,41.5,42.625,41.75,41.75,829300.0
1999-12-06,LNC,40.3736,41.875,40.375,41.125,663400.0
1999-12-07,LNC,39.438,41.75,41.375,40.313,985100.0
1999-12-08,LNC,38.875,40.625,38.938,40.625,568900.0
1999-12-09,LNC,39.125,40.0,40.0,39.875,358000.0
1999-12-10,LNC,39.313,40.813,40.313,40.0,317000.0
1999-12-13,LNC,38.438,39.625,39.035,38.75,550500.0
1999-12-14,LNC,38.563,40.75,38.563,39.75,817100.0
1999-12-15,LNC,38.0,39.875,38.0,38.625,749800.0
1999-12-16,LNC,38.0,40.0,38.5,38.0,1622300.0
1999-12-17,LNC,36.7501,38.063,36.938,37.875,1070300.0
1999-12-20,LNC,37.188,37.688,37.375,37.5,359600.0
1999-12-21,LNC,36.563,37.5,37.125,37.125,296700.0
1999-12-22,LNC,36.563,38.0,37.125,37.375,916400.0
1999-12-23,LNC,37.438,38.375,38.188,37.563,354600.0
1999-12-27,LNC,38.125,38.813,38.75,38.188,609100.0
1999-12-28,LNC,38.625,39.438,39.125,38.75,491900.0
1999-12-29,LNC,39.125,39.75,39.313,39.125,234200.0
1999-12-30,LNC,39.313,40.25,39.625,39.313,199000.0
1999-12-31,LNC,39.2479,40.063,40.0,39.875,102400.0
2000-01-03,LNC,38.25,39.313,39.063,38.875,512000.0
2000-01-04,LNC,37.563,39.063,37.938,38.875,729300.0
2000-01-05,LNC,36.563,39.063,36.625,37.938,520000.0
2000-01-06,LNC,36.188,37.501999999999995,37.0,37.0,518400.0
2000-01-07,LNC,37.188,39.063,37.938,37.75,279700.0
2000-01-10,LNC,36.375,38.688,38.0,38.5,624700.0
2000-01-11,LNC,37.125,37.6249,37.438,37.125,330800.0
2000-01-12,LNC,35.5,37.5,37.25,37.5,794700.0
2000-01-13,LNC,37.875,39.625,39.5,38.0,786600.0
