Date,symbol,Low,High,Close,Open,Volume
2010-04-28,LYB,21.7,22.25,22.0,22.25,5244400.0
2010-04-29,LYB,21.9,23.25,23.0,22.0,8773600.0
2010-04-30,LYB,22.25,23.0,22.3,22.95,1644400.0
2010-05-03,LYB,22.65,22.95,22.8,22.75,3302700.0
2010-05-04,LYB,21.5,22.8,21.5,22.8,2276500.0
2010-05-05,LYB,20.0,22.0,20.59,22.0002,6999200.0
2010-05-06,LYB,18.45,20.5487,19.45,20.5,8029400.0
2010-05-07,LYB,17.9,19.55,18.6,19.5,3881500.0
2010-05-10,LYB,18.7,19.85,19.01,19.7495,3861100.0
2010-05-11,LYB,18.75,19.28,18.9,18.75,2626900.0
2010-05-12,LYB,19.2,20.04,19.8,19.2,5714300.0
2010-05-13,LYB,19.6,20.1,19.65,19.85,2475900.0
2010-05-14,LYB,18.75,19.4,18.75,19.3,3133400.0
2010-05-17,LYB,18.7,19.2,18.85,19.0,10117000.0
2010-05-18,LYB,18.25,19.32,18.79,19.05,6219800.0
2010-05-19,LYB,17.55,18.93,17.7,18.9,6227700.0
2010-05-20,LYB,16.2,17.14,16.9,17.14,10248400.0
2010-05-21,LYB,16.25,17.12,16.55,16.35,4560800.0
2010-05-24,LYB,16.68,17.15,16.9,16.7,1761300.0
2010-05-25,LYB,16.2,16.79,16.57,16.79,4649600.0
2010-05-26,LYB,16.8,17.4017,17.15,16.99,2079300.0
2010-05-27,LYB,17.65,18.0,17.9,17.6499,3156100.0
2010-05-28,LYB,16.25,17.9,17.77,17.9,222200.0
2010-06-01,LYB,17.2,17.8,17.5,17.65,900800.0
2010-06-02,LYB,17.22,17.66,17.33,17.61,829900.0
2010-06-03,LYB,17.15,17.5,17.33,17.45,2173600.0
2010-06-04,LYB,16.75,17.1,17.05,17.05,3147200.0
2010-06-07,LYB,16.74,17.2,16.89,17.15,2826800.0
2010-06-08,LYB,16.5,17.03,16.75,17.03,2037700.0
2010-06-09,LYB,16.7,17.1,16.79,16.79,1410200.0
2010-06-10,LYB,16.85,17.07,16.97,16.9695,1401000.0
2010-06-11,LYB,16.94,17.1909,17.14,16.94,452500.0
