Date,symbol,Low,High,Close,Open,Volume
2006-05-25,MA,40.2,46.05,46.0,40.3,395343000.0
2006-05-26,MA,44.11,46.74,44.93,46.3,103044000.0
2006-05-30,MA,42.85,44.98,44.0,44.97,49898000.0
2006-05-31,MA,44.35,45.36,44.94,44.35,30002000.0
2006-06-01,MA,44.9,48.0984,47.51,44.93,62344000.0
2006-06-02,MA,46.79,48.7,46.99,48.5,37253000.0
2006-06-05,MA,47.0,49.25,49.15,47.05,37188000.0
2006-06-06,MA,47.8,50.63,48.3,49.98,49045000.0
2006-06-07,MA,46.75,48.3969,47.6,48.33,25013000.0
2006-06-08,MA,45.5,47.72,47.72,47.6,34439000.0
2006-06-09,MA,47.68,48.8,47.78,48.8,13372000.0
2006-06-12,MA,46.3043,48.25,46.95,48.0,14546000.0
2006-06-13,MA,45.3,47.35,45.5,46.2,16716000.0
2006-06-14,MA,44.44,45.45,45.12,44.9,15971000.0
2006-06-15,MA,45.13,46.12,45.95,45.4,16500000.0
2006-06-16,MA,45.0,46.0,45.02,45.5,12280000.0
2006-06-19,MA,44.1,45.45,44.34,45.45,11509000.0
2006-06-20,MA,43.47,45.0,44.02,44.74,23792000.0
2006-06-21,MA,44.0,45.88,45.3,44.02,18063000.0
2006-06-22,MA,45.88,46.95,46.6,46.4,13038000.0
2006-06-23,MA,46.87,47.934,46.95,46.99,11612000.0
2006-06-26,MA,46.43,47.5,47.5,46.95,8565000.0
2006-06-27,MA,47.25,48.03,47.31,47.5,9826000.0
2006-06-28,MA,46.5,47.4,46.96,46.85,8756000.0
2006-06-29,MA,46.95,48.09,48.0,46.95,14470000.0
2006-06-30,MA,46.6,48.0,48.0,47.65,25964000.0
2006-07-03,MA,46.81,47.9956,47.3,47.9,7029000.0
2006-07-05,MA,46.71,47.8363,47.6,47.4,13266000.0
2006-07-06,MA,46.79,47.3495,46.8,47.25,8097000.0
2006-07-07,MA,45.7528,46.85,46.12,46.75,8380000.0
2006-07-10,MA,46.12,46.57,46.49,46.2,4978000.0
2006-07-11,MA,45.3,46.4912,46.35,46.49,8079000.0
2006-07-12,MA,45.54,46.4,45.55,46.4,7672000.0
2006-07-13,MA,44.3,45.1821,44.72,45.18,16625000.0
2006-07-14,MA,43.9,44.6798,43.95,44.62,9663000.0
2006-07-17,MA,43.7514,44.17,43.99,43.91,6458000.0
2006-07-18,MA,43.67,44.1,43.9,43.99,12483000.0
2006-07-19,MA,43.7992,45.45,45.28,43.91,15840000.0
2006-07-20,MA,45.1,45.78,45.55,45.4,8829000.0
2006-07-21,MA,44.77,45.55,45.28,45.55,8510000.0
2006-07-24,MA,44.99,45.53,45.0,45.45,5017000.0
2006-07-25,MA,45.16,46.4,46.08,45.2,6900000.0
2006-07-26,MA,45.8,47.85,46.68,46.14,10338000.0
2006-07-27,MA,46.52,47.17,46.52,46.9,6009000.0
2006-07-28,MA,46.26,46.8,46.3,46.51,4339000.0
2006-07-31,MA,45.86,46.41,45.87,46.3,4616000.0
2006-08-01,MA,44.7,45.92,45.0,45.92,7390000.0
2006-08-02,MA,47.31,50.05,50.02,47.99,53372000.0
2006-08-03,MA,48.65,50.24,49.99,49.13,21689000.0
2006-08-04,MA,49.99,51.5,50.05,50.3,14216000.0
2006-08-07,MA,50.25,51.3,51.1,50.5,6918000.0
2006-08-08,MA,51.05,52.67,52.57,51.1,14073000.0
