Date,symbol,Low,High,Close,Open,Volume
1999-09-28,MCD,42.625,43.5,43.063,42.75,2052400.0
1999-09-29,MCD,42.5,43.5649,42.5,43.5,2777700.0
1999-09-30,MCD,42.688,43.25,43.25,43.0,2278900.0
1999-10-01,MCD,42.7474,43.625,43.5,43.063,2607000.0
1999-10-04,MCD,43.688,45.2495,44.5,43.688,3808500.0
1999-10-05,MCD,43.0,44.438,43.438,44.313,3650400.0
1999-10-06,MCD,42.625,43.688,43.125,43.5,3028500.0
1999-10-07,MCD,42.6885,43.688,42.938,42.688,2067200.0
1999-10-08,MCD,42.188,43.938,43.25,42.25,2561900.0
1999-10-11,MCD,43.188,44.188,43.438,43.375,2197500.0
1999-10-12,MCD,42.875,43.438,42.938,43.313,2173600.0
1999-10-13,MCD,42.25,43.188,42.438,42.813,1988800.0
1999-10-14,MCD,41.5,42.438,41.625,42.0,3257100.0
1999-10-15,MCD,40.938,42.313,41.563,41.625,3326800.0
1999-10-18,MCD,41.063,42.188,42.0,41.438,2609000.0
1999-10-19,MCD,42.0,43.628,43.313,42.438,3770400.0
1999-10-20,MCD,43.063,44.438,44.125,43.75,2521100.0
1999-10-21,MCD,41.938,44.5,42.313,44.25,6363800.0
1999-10-22,MCD,39.938,42.625,40.313,42.5,8214100.0
1999-10-25,MCD,38.313,40.125,39.125,40.125,8167900.0
1999-10-26,MCD,39.438,40.063,39.5,39.5,5988000.0
1999-10-27,MCD,38.75,39.5,39.5,39.313,5126400.0
1999-10-28,MCD,39.813,40.813,40.813,39.938,5216100.0
1999-10-29,MCD,41.063,41.875,41.25,41.313,3993700.0
1999-11-01,MCD,41.25,42.0,41.688,41.75,3932900.0
1999-11-02,MCD,41.0597,42.125,41.25,42.063,2250000.0
1999-11-03,MCD,41.063,43.438,41.938,41.2514,7600400.0
1999-11-04,MCD,43.438,45.2495,45.188,43.688,9834800.0
1999-11-05,MCD,45.625,46.625,46.5,45.688,7184900.0
1999-11-08,MCD,45.75,47.063,47.0,45.875,7536900.0
1999-11-09,MCD,45.813,47.125,46.375,47.0,5760500.0
1999-11-10,MCD,45.5,46.25,46.063,45.688,3561800.0
1999-11-11,MCD,46.0,47.313,47.0,46.25,2985900.0
1999-11-12,MCD,47.438,49.563,48.375,47.688,6391000.0
1999-11-15,MCD,46.438,48.1249,46.875,47.563,2396900.0
1999-11-16,MCD,46.188,47.125,46.188,46.5,2486800.0
1999-11-17,MCD,45.813,46.313,46.125,46.063,2465700.0
1999-11-18,MCD,45.813,48.0,47.0,46.0,7491500.0
1999-11-19,MCD,45.625,47.438,47.375,46.0,5732100.0
1999-11-22,MCD,46.625,47.125,46.91,46.813,3827500.0
1999-11-23,MCD,46.438,47.063,46.621,47.063,2622700.0
1999-11-24,MCD,45.375,46.375,45.375,46.063,2557700.0
1999-11-26,MCD,44.563,45.438,44.563,45.438,1405700.0
1999-11-29,MCD,44.563,45.688,45.5,44.75,2631100.0
1999-11-30,MCD,45.0,46.375,45.742,45.5,3006200.0
1999-12-01,MCD,45.0,46.75,46.016000000000005,45.125,3369400.0
1999-12-02,MCD,44.875,46.063,45.188,46.063,3755700.0
1999-12-03,MCD,45.25,46.063,45.875,45.625,3549800.0
1999-12-06,MCD,45.25,46.25,46.063,45.3134,1583800.0
1999-12-07,MCD,44.5,45.7466,44.688,45.688,2930800.0
1999-12-08,MCD,44.375,45.313,44.563,44.813,1940500.0
1999-12-09,MCD,44.375,45.25,44.375,44.75,2958300.0
1999-12-10,MCD,42.688,43.688,43.25,43.25,9404900.0
1999-12-13,MCD,42.0,43.25,42.0,43.125,5097000.0
1999-12-14,MCD,41.25,42.063,41.25,42.0,5023900.0
1999-12-15,MCD,41.563,42.375,41.813,41.688,2644500.0
1999-12-16,MCD,41.313,42.0,41.813,41.938,2761700.0
1999-12-17,MCD,41.188,42.438,41.25,42.438,5302900.0
1999-12-20,MCD,41.625,42.938,42.297,41.875,3302800.0
1999-12-21,MCD,40.938,42.188,41.625,41.625,4031000.0
1999-12-22,MCD,41.0,41.688,41.063,41.5,3837600.0
1999-12-23,MCD,39.563,41.125,40.5,41.125,5596300.0
1999-12-27,MCD,40.813,42.0,40.813,40.938,2753700.0
1999-12-28,MCD,40.25,41.563,40.625,41.5,2932900.0
1999-12-29,MCD,40.0,40.5649,40.188,40.375,2706800.0
1999-12-30,MCD,39.625,40.25,39.813,39.8133,2406300.0
1999-12-31,MCD,38.813,40.5,40.313,39.938,1444400.0
2000-01-03,MCD,38.938,40.063,39.625,39.938,4520600.0
2000-01-04,MCD,38.375,39.563,38.813,39.3096,4216500.0
2000-01-05,MCD,38.813,40.375,39.438,38.813,5231600.0
2000-01-06,MCD,38.688,39.375,38.875,39.125,4809400.0
2000-01-07,MCD,38.8738,40.0,39.875,39.0,5124700.0
2000-01-10,MCD,39.75,41.0,40.063,40.0,4113900.0
2000-01-11,MCD,40.1214,41.5,41.0,40.125,5440200.0
2000-01-12,MCD,40.625,43.063,42.75,40.938,8090000.0
2000-01-13,MCD,41.8753,43.625,42.313,42.688,5700200.0
2000-01-14,MCD,41.875,42.813,42.608999999999995,42.813,3365400.0
2000-01-18,MCD,41.188,42.5,41.5,42.375,3401100.0
2000-01-19,MCD,41.0,42.625,42.375,40.9998,3344700.0
2000-01-20,MCD,41.0,42.563,41.0,42.563,3309700.0
2000-01-21,MCD,40.438,41.8685,41.063,41.625,3722600.0
2000-01-24,MCD,39.5,41.438,39.5,41.25,3593500.0
2000-01-25,MCD,39.188,40.25,39.813,39.75,3304500.0
2000-01-26,MCD,34.688,39.625,35.75,39.625,16703200.0
2000-01-27,MCD,35.875,37.938,37.625,36.0,12082200.0
2000-01-28,MCD,36.375,37.438,36.75,37.125,4444200.0
2000-01-31,MCD,37.125,38.0,37.375,37.25,4838300.0
2000-02-01,MCD,36.5,37.563,36.625,37.438,4679500.0
2000-02-02,MCD,35.375,36.75,35.5,36.625,5769100.0
2000-02-03,MCD,34.438,36.188,35.0,35.563,9225700.0
2000-02-04,MCD,34.625,35.875,35.125,35.875,7752200.0
2000-02-07,MCD,34.0,35.625,34.938,35.25,9992900.0
