Date,symbol,Low,High,Close,Open,Volume
1999-09-28,MCO,10.6875,11.125,10.875,11.125,893400.0
1999-09-29,MCO,10.75,10.9375,10.8125,10.875,988800.0
1999-09-30,MCO,10.8125,11.4375,11.25,10.8125,1475800.0
1999-10-01,MCO,11.0625,11.1875,11.125,11.1875,1582400.0
1999-10-04,MCO,11.0,11.125,11.0,11.125,836800.0
1999-10-05,MCO,10.8125,11.0625,10.9375,11.0,909000.0
1999-10-06,MCO,10.9375,11.375,11.1875,10.9375,999800.0
1999-10-07,MCO,10.875,11.25,10.9375,11.1875,643200.0
1999-10-08,MCO,10.875,11.4375,11.1875,10.9375,525600.0
1999-10-11,MCO,11.1875,11.375,11.3125,11.1875,254800.0
1999-10-12,MCO,10.8125,11.1875,10.875,11.1875,1059400.0
1999-10-13,MCO,10.8125,10.875,10.8125,10.875,895000.0
1999-10-14,MCO,10.375,10.8125,10.5,10.8125,1727600.0
1999-10-15,MCO,9.9375,10.25,10.0625,10.25,1364600.0
1999-10-18,MCO,10.0625,10.5,10.25,10.0625,830000.0
1999-10-19,MCO,10.3125,10.625,10.3125,10.3125,721200.0
1999-10-20,MCO,10.3125,10.6875,10.5,10.3125,573600.0
1999-10-21,MCO,10.0625,10.6875,10.625,10.5,1318800.0
1999-10-22,MCO,10.3125,10.75,10.5,10.625,1282000.0
1999-10-25,MCO,10.4375,10.625,10.5625,10.5,1281400.0
1999-10-26,MCO,11.0,11.625,11.5,11.0,2706600.0
1999-10-27,MCO,10.875,11.5,11.0,11.5,2565600.0
1999-10-28,MCO,11.0,11.125,11.125,11.0,2061800.0
1999-10-29,MCO,11.0,11.1875,11.0625,11.125,1359000.0
1999-11-01,MCO,10.8125,11.0625,10.8125,11.0625,939800.0
1999-11-02,MCO,10.625,10.8125,10.6875,10.8125,2745600.0
1999-11-03,MCO,10.75,10.9375,10.9375,10.75,1896200.0
1999-11-04,MCO,10.8125,11.125,10.875,10.9375,1218800.0
1999-11-05,MCO,10.75,11.0,10.9375,10.875,2155600.0
1999-11-08,MCO,10.875,11.4375,11.25,10.9375,1225400.0
1999-11-09,MCO,10.5625,11.3125,10.875,11.25,5537600.0
1999-11-10,MCO,10.5625,10.8125,10.75,10.8125,3436400.0
1999-11-11,MCO,10.5625,10.875,10.5625,10.75,822800.0
1999-11-12,MCO,10.5625,10.8125,10.6875,10.5625,1486200.0
1999-11-15,MCO,10.5625,10.6875,10.625,10.6875,737000.0
1999-11-16,MCO,10.5625,10.8125,10.625,10.625,1568200.0
1999-11-17,MCO,10.3125,10.625,10.4375,10.625,1018000.0
1999-11-18,MCO,10.0625,10.5,10.375,10.4375,2207600.0
1999-11-19,MCO,10.1875,10.5,10.375,10.375,1204400.0
1999-11-22,MCO,10.0625,10.3125,10.1875,10.3125,2462600.0
1999-11-23,MCO,10.0,10.125,10.0625,10.125,2434200.0
1999-11-24,MCO,10.0,10.375,10.1875,10.0625,2671600.0
