Date,symbol,Low,High,Close,Open,Volume
2001-06-13,MDLZ,31.09,32.0,31.25,31.5,69567200.0
2001-06-14,MDLZ,29.5,31.0,30.15,31.0,31979800.0
2001-06-15,MDLZ,29.95,30.75,30.6,30.0,14369300.0
2001-06-18,MDLZ,30.06,30.6,30.32,30.06,4019800.0
2001-06-19,MDLZ,30.21,30.7093,30.4,30.6,5690300.0
2001-06-20,MDLZ,30.18,30.59,30.3,30.4,3791600.0
2001-06-21,MDLZ,30.0,30.35,30.0,30.35,6027200.0
2001-06-22,MDLZ,29.76,30.02,30.0,30.0,4847700.0
2001-06-25,MDLZ,29.85,30.15,30.15,30.0,2420300.0
2001-06-26,MDLZ,29.81,30.08,30.04,30.0,3333300.0
2001-06-27,MDLZ,29.81,30.0,29.94,29.95,3182300.0
2001-06-28,MDLZ,29.97,30.44,30.41,29.98,2778100.0
2001-06-29,MDLZ,30.33,31.0,31.0,30.5,5777800.0
2001-07-02,MDLZ,30.42,30.7,30.47,30.7,3167600.0
2001-07-03,MDLZ,30.42,30.6396,30.56,30.46,608700.0
2001-07-05,MDLZ,30.63,31.03,30.93,30.75,2085500.0
2001-07-06,MDLZ,30.5,30.98,30.65,30.98,945300.0
2001-07-09,MDLZ,30.25,30.74,30.38,30.6,2295300.0
2001-07-10,MDLZ,30.2779,30.85,30.35,30.45,3301300.0
2001-07-11,MDLZ,30.0,30.36,30.3,30.36,2023000.0
2001-07-12,MDLZ,30.2,30.9,30.9,30.6484,1912500.0
2001-07-13,MDLZ,30.462,30.98,30.73,30.9,995400.0
2001-07-16,MDLZ,30.65,31.01,30.71,30.73,1198100.0
2001-07-17,MDLZ,30.85,31.45,31.45,30.89,3792700.0
2001-07-18,MDLZ,30.8,31.4992,31.49,31.45,5645100.0
2001-07-19,MDLZ,30.19,31.74,31.32,31.74,3326000.0
2001-07-20,MDLZ,31.01,31.34,31.2,31.25,1390900.0
2001-07-23,MDLZ,30.92,31.19,31.0,31.1,1756000.0
