Date,symbol,Low,High,Close,Open,Volume
2013-06-17,MNK,43.2,50.0,45.0,43.2,236700.0
2013-06-18,MNK,43.5,45.0,44.0,44.5,1082600.0
2013-06-19,MNK,43.0,44.05,43.1,44.0,540800.0
2013-06-20,MNK,42.0,43.5,42.94,43.0,1013600.0
2013-06-21,MNK,42.04,43.5,43.5,43.29,913700.0
2013-06-24,MNK,42.96,44.0,43.5,44.0,272100.0
2013-06-25,MNK,42.71,44.38,44.0,43.5,224300.0
2013-06-26,MNK,43.31,45.47,44.1,43.5,1422800.0
2013-06-27,MNK,44.22,45.5,44.95,44.8494,612700.0
2013-06-28,MNK,44.1023,46.65,45.43,45.49,7775700.0
2013-07-01,MNK,43.75,46.43,44.0,45.94,5787000.0
2013-07-02,MNK,41.85,45.26,42.26,43.66,6730400.0
2013-07-03,MNK,41.2,43.1,43.1,42.0,5069300.0
2013-07-05,MNK,42.26,44.32,44.23,42.26,1754500.0
2013-07-08,MNK,41.5,44.27,43.01,43.25,4796400.0
2013-07-09,MNK,42.1,43.51,43.27,42.5,4196300.0
2013-07-10,MNK,41.18,42.83,42.12,42.81,5929100.0
2013-07-11,MNK,42.04,42.57,42.4,42.15,2292300.0
2013-07-12,MNK,41.66,42.44,41.96,42.0,1226900.0
2013-07-15,MNK,41.31,42.03,41.87,41.82,1182200.0
2013-07-16,MNK,41.0,41.87,41.51,41.87,1452700.0
2013-07-17,MNK,41.35,42.05,41.93,41.5,687000.0
2013-07-18,MNK,41.5323,43.48,43.09,41.93,1417300.0
2013-07-19,MNK,42.85,44.32,43.48,43.39,1329900.0
2013-07-22,MNK,43.01,43.74,43.51,43.2,1226400.0
2013-07-23,MNK,43.23,44.5,44.0,43.3,735000.0
2013-07-24,MNK,43.5,44.4,43.98,43.97,889100.0
2013-07-25,MNK,43.67,44.6474,44.38,43.67,862000.0
2013-07-26,MNK,43.78,45.56,45.05,44.16,740200.0
2013-07-29,MNK,44.9992,46.66,46.2,45.35,1976100.0
2013-07-30,MNK,45.73,47.23,47.16,46.07,1033600.0
2013-07-31,MNK,45.63,47.68,45.89,47.25,1145400.0
2013-08-01,MNK,46.08,48.26,46.22,46.26,974400.0
2013-08-02,MNK,44.92,46.56,45.83,46.47,539600.0
2013-08-05,MNK,45.0,46.0,45.14,45.51,388700.0
2013-08-06,MNK,43.83,45.2,44.36,45.1,821300.0
2013-08-07,MNK,44.02,44.86,44.78,44.04,373900.0
2013-08-08,MNK,44.825,46.05,45.92,44.85,947000.0
2013-08-09,MNK,44.51,45.7676,45.36,45.0,914800.0
2013-08-12,MNK,44.32,45.57,45.32,44.55,538300.0
2013-08-13,MNK,44.205,45.275,44.66,45.13,1236500.0
2013-08-14,MNK,44.0,44.6,44.11,44.51,547600.0
2013-08-15,MNK,42.79,44.52,42.89,43.85,734600.0
2013-08-16,MNK,42.16,42.828,42.69,42.75,486600.0
2013-08-19,MNK,42.498000000000005,43.549,42.82,42.58,343500.0
2013-08-20,MNK,42.7,43.25,43.0,42.98,313700.0
2013-08-21,MNK,42.02,43.251000000000005,42.5,42.74,335600.0
2013-08-22,MNK,42.02,42.57,42.5,42.35,457400.0
2013-08-23,MNK,42.12,42.96,42.33,42.43,268200.0
2013-08-26,MNK,42.21,43.15,42.66,42.26,286400.0
2013-08-27,MNK,42.06100000000001,42.74,42.64,42.51,320700.0
2013-08-28,MNK,42.4,44.69,43.98,43.11,643700.0
2013-08-29,MNK,43.45,44.23,44.07,44.0,240300.0
2013-08-30,MNK,41.89,44.17,43.65,41.89,452100.0
2013-09-03,MNK,43.09,44.87,44.62,43.75,692500.0
2013-09-04,MNK,44.26,45.7772,45.02,44.38,552400.0
2013-09-05,MNK,44.71,46.5716,46.1,44.9,840700.0
2013-09-06,MNK,45.62,48.06,46.84,45.97,1195400.0
2013-09-09,MNK,44.73,47.06,46.58,46.76,970700.0
2013-09-10,MNK,45.37,46.61,45.4,45.98,667600.0
2013-09-11,MNK,44.39,45.27,44.9,45.09,577900.0
2013-09-12,MNK,44.05,45.05,44.46,44.74,593600.0
2013-09-13,MNK,43.5,44.5,43.6,44.36,565100.0
2013-09-16,MNK,43.02,43.99,43.26,43.79,705700.0
2013-09-17,MNK,43.02,43.748000000000005,43.34,43.2,482300.0
2013-09-18,MNK,42.5501,43.59,43.1,43.22,570800.0
2013-09-19,MNK,42.52,43.42,42.68,43.28,681700.0
2013-09-20,MNK,42.58,43.67,43.05,43.0,1633600.0
2013-09-23,MNK,42.37,43.43,42.58,43.05,388500.0
2013-09-24,MNK,42.25,42.96,42.31,42.55,449400.0
2013-09-25,MNK,42.08,43.7,43.6,42.41,588200.0
2013-09-26,MNK,43.37,44.72,44.17,43.55,481700.0
2013-09-27,MNK,43.02,44.23,43.57,43.94,687800.0
2013-09-30,MNK,43.0528,44.11,44.09,43.28,489600.0
2013-10-01,MNK,43.71,44.858000000000004,43.89,44.35,561600.0
2013-10-02,MNK,43.91,45.2335,44.92,44.0,1190200.0
2013-10-03,MNK,44.0,45.2,44.29,44.91,2475000.0
2013-10-04,MNK,44.14,44.73,44.5,44.4267,305600.0
2013-10-07,MNK,43.76,44.8,43.97,44.33,370000.0
2013-10-08,MNK,43.21,43.98,43.44,43.98,355200.0
2013-10-09,MNK,42.74,43.75,43.52,43.01,563600.0
2013-10-10,MNK,43.29,44.0,43.52,43.75,310500.0
2013-10-11,MNK,43.13,43.83,43.73,43.38,572700.0
2013-10-14,MNK,43.71,44.35,44.28,43.71,1013400.0
2013-10-15,MNK,43.97,45.07,44.95,44.11,1113300.0
2013-10-16,MNK,44.02,45.99,44.31,45.95,1288200.0
2013-10-17,MNK,42.65,44.48,43.07,44.36,1434000.0
2013-10-18,MNK,42.33,43.62,42.45,43.13,565400.0
2013-10-21,MNK,41.79,42.49,42.36,42.41,494100.0
2013-10-22,MNK,42.3809,43.03,42.6,42.38,501600.0
2013-10-23,MNK,42.57,43.78,43.46,42.5903,690700.0
2013-10-24,MNK,42.95,44.04,43.88,43.4091,588900.0
2013-10-25,MNK,42.5,43.67,43.26,43.67,791700.0
2013-10-28,MNK,42.9069,43.47,43.37,43.3,361000.0
2013-10-29,MNK,42.721000000000004,43.47,43.06,43.36,269100.0
2013-10-30,MNK,41.67,42.99,42.27,42.99,636200.0
2013-10-31,MNK,41.89,42.555,42.01,42.2,567800.0
2013-11-01,MNK,42.0,42.95,42.88,42.12,305300.0
2013-11-04,MNK,42.95,45.64,43.74,43.0,1263500.0
2013-11-05,MNK,43.13,45.01,44.95,43.63,862600.0
2013-11-06,MNK,44.55,45.8783,45.15,45.04,1016800.0
2013-11-07,MNK,43.66,45.04,44.75,44.0,527800.0
2013-11-08,MNK,44.04,45.91,45.86,44.53,899400.0
2013-11-11,MNK,45.33,46.25,45.81,45.78,221000.0
2013-11-12,MNK,45.02,45.93,45.13,45.66,162900.0
2013-11-13,MNK,44.69,46.24,46.22,45.04,299500.0
2013-11-14,MNK,46.13,47.52,47.18,46.35,1068700.0
2013-11-15,MNK,47.236000000000004,48.75,47.56,47.46,868900.0
2013-11-18,MNK,47.5,48.75,48.46,47.65,900400.0
2013-11-19,MNK,48.308,50.57,50.14,48.54,1652800.0
2013-11-20,MNK,49.8,50.74,50.08,50.74,1011400.0
2013-11-21,MNK,49.91,50.49,50.41,50.26,1128100.0
2013-11-22,MNK,50.2321,51.36,51.24,50.58,538000.0
2013-11-25,MNK,49.081,51.2,50.6,50.9,676400.0
2013-11-26,MNK,50.84,52.49,51.53,52.3791,1085500.0
2013-11-27,MNK,50.63,51.9,51.8,51.5,263500.0
2013-11-29,MNK,50.73,52.34,51.96,51.89,117200.0
2013-12-02,MNK,51.7,52.87,52.31,51.7,492500.0
2013-12-03,MNK,51.05,52.18,51.54,52.01,474600.0
2013-12-04,MNK,51.0,51.9131,51.74,51.54,324400.0
2013-12-05,MNK,51.39,52.35,52.3,51.66,284900.0
2013-12-06,MNK,51.95,52.85,52.55,52.43,286300.0
2013-12-09,MNK,52.34,53.24,52.72,52.5,581000.0
2013-12-10,MNK,52.28,53.39,52.69,52.46,735500.0
2013-12-11,MNK,51.76,52.7,51.85,52.7,479200.0
2013-12-12,MNK,50.735,52.21,52.16,51.97,601600.0
2013-12-13,MNK,51.71,52.87,52.45,52.13,201200.0
2013-12-16,MNK,51.87,52.67,52.59,52.16,499200.0
2013-12-17,MNK,50.26,52.45,50.59,52.32,1131100.0
2013-12-18,MNK,49.87,51.5,50.9,50.6,1036100.0
2013-12-19,MNK,50.51,51.97,51.54,50.94,449700.0
2013-12-20,MNK,51.4716,52.775,52.22,51.49,1095900.0
2013-12-23,MNK,52.22,53.8,53.47,52.22,385100.0
2013-12-24,MNK,52.61,53.56,52.76,53.36,123100.0
2013-12-26,MNK,52.03,53.0604,52.04,52.89,295700.0
2013-12-27,MNK,51.01,52.1,51.39,52.0,177100.0
2013-12-30,MNK,51.37,52.33,52.02,51.4,260600.0
2013-12-31,MNK,51.91,52.585,52.26,51.99,289200.0
2014-01-02,MNK,50.68,52.54,51.35,52.26,357800.0
2014-01-03,MNK,50.82,51.95,51.77,50.94,221500.0
2014-01-06,MNK,50.47,52.1,50.7,51.7,1070700.0
2014-01-07,MNK,50.75,52.45,52.16,50.75,468800.0
2014-01-08,MNK,53.14,56.45,54.38,55.0,1326500.0
2014-01-09,MNK,53.6607,56.21,56.14,54.74,706700.0
2014-01-10,MNK,55.91,57.39,56.74,56.06,675300.0
2014-01-13,MNK,55.69,56.99,55.95,56.33,312000.0
2014-01-14,MNK,55.89,58.235,57.84,56.12,704500.0
2014-01-15,MNK,56.455,57.88,57.25,57.61,669200.0
2014-01-16,MNK,56.806000000000004,59.58,57.78,56.9512,1220100.0
2014-01-17,MNK,58.07,60.73,59.89,58.57,1479100.0
2014-01-21,MNK,59.71,60.61,60.12,60.0,1281000.0
2014-01-22,MNK,60.17,61.77,60.81,60.54,648300.0
2014-01-23,MNK,59.89,61.0,60.9,60.36,387200.0
2014-01-24,MNK,59.22,60.87,59.42,60.51,764400.0
2014-01-27,MNK,54.45,57.74,56.41,57.0,1521900.0
2014-01-28,MNK,55.41,56.91,55.96,56.38,724400.0
2014-01-29,MNK,55.01,56.48,55.18,55.65,737300.0
2014-01-30,MNK,55.0,57.07,56.66,55.66,929100.0
2014-01-31,MNK,56.12,58.33,57.83,56.41,781500.0
2014-02-03,MNK,54.5796,58.17,55.29,57.83,1558100.0
2014-02-04,MNK,54.744,56.63,56.05,55.4369,572200.0
2014-02-05,MNK,54.992,57.69,57.18,55.69,1193600.0
2014-02-06,MNK,57.36,60.24,57.5,58.67,1829600.0
