Date,symbol,Low,High,Close,Open,Volume
1999-09-28,MNST,4.75,4.875,4.875,4.813,1411200.0
1999-09-29,MNST,4.75,4.875,4.75,4.875,696000.0
1999-09-30,MNST,4.75,5.125,5.063,4.75,6038400.0
1999-10-01,MNST,4.813,5.0,4.875,5.0,6907200.0
1999-10-04,MNST,4.75,5.125,4.875,5.0,600000.0
1999-10-05,MNST,4.875,4.9063,4.906000000000001,4.906000000000001,240000.0
1999-10-06,MNST,4.813,4.938,4.813,4.906000000000001,427200.0
1999-10-07,MNST,4.813,4.938,4.813,4.8128,177600.0
1999-10-08,MNST,4.813,5.0,4.938,4.813,748800.0
1999-10-11,MNST,4.8129,5.0,4.875,4.875,753600.0
1999-10-12,MNST,4.75,5.0,4.75,4.906000000000001,388800.0
1999-10-13,MNST,4.75,4.938,4.75,4.938,652800.0
1999-10-14,MNST,4.75,4.875,4.875,4.875,820800.0
1999-10-15,MNST,4.75,4.875,4.875,4.8129,609600.0
1999-10-18,MNST,4.75,4.875,4.75,4.813,489600.0
1999-10-19,MNST,4.625,4.875,4.813,4.875,931200.0
1999-10-20,MNST,4.75,4.813,4.75,4.75,1305600.0
1999-10-21,MNST,4.625,4.875,4.625,4.75,3124800.0
1999-10-22,MNST,4.563,4.8438,4.625,4.625,590400.0
1999-10-25,MNST,4.563,4.625,4.563,4.593999999999999,1089600.0
1999-10-26,MNST,4.125,4.563,4.25,4.563,3696000.0
1999-10-27,MNST,4.125,4.375,4.25,4.125,1886400.0
1999-10-28,MNST,4.234,4.375,4.375,4.234,1224000.0
1999-10-29,MNST,3.875,4.375,4.063,4.343999999999999,10526400.0
1999-11-01,MNST,4.0,4.375,4.063,4.063,10152000.0
1999-11-02,MNST,4.063,4.313,4.125,4.188,6744000.0
1999-11-03,MNST,4.0,4.313,4.0,4.25,7814400.0
1999-11-04,MNST,4.0,4.25,4.188,4.0002,1881600.0
1999-11-05,MNST,4.125,4.25,4.25,4.156000000000001,316800.0
1999-11-08,MNST,4.125,4.218999999999999,4.188,4.188,744000.0
1999-11-09,MNST,4.0,4.188,4.063,4.188,3254400.0
1999-11-10,MNST,3.875,4.125,4.125,4.063,3897600.0
1999-11-11,MNST,3.938,4.125,3.938,4.1251,5668800.0
1999-11-12,MNST,3.938,4.25,4.063,3.938,2409600.0
1999-11-15,MNST,4.0,4.063,4.063,4.063,2520000.0
1999-11-16,MNST,4.0,4.188,4.063,4.031000000000001,4147200.0
1999-11-17,MNST,4.0,4.125,4.0,4.078,2246400.0
1999-11-18,MNST,4.0,4.156000000000001,4.156000000000001,4.031000000000001,3321600.0
1999-11-19,MNST,4.125,4.25,4.125,4.141,1920000.0
1999-11-22,MNST,4.125,4.563,4.563,4.188,4238400.0
1999-11-23,MNST,4.5,4.75,4.5,4.5,2702400.0
1999-11-24,MNST,4.375,4.688,4.375,4.688,2654400.0
1999-11-26,MNST,4.375,4.625,4.5,4.625,403200.0
1999-11-29,MNST,4.375,4.625,4.625,4.5,2500800.0
1999-11-30,MNST,4.313,4.75,4.375,4.625,3326400.0
1999-12-01,MNST,4.313,4.625,4.313,4.313,2068800.0
1999-12-02,MNST,4.313,4.625,4.563,4.313,3547200.0
1999-12-03,MNST,4.4999,4.688,4.625,4.563,2568000.0
1999-12-06,MNST,4.5,4.688,4.5,4.563,1651200.0
1999-12-07,MNST,4.438,4.688,4.5,4.5001,1814400.0
1999-12-08,MNST,4.375,4.5,4.375,4.438,1161600.0
1999-12-09,MNST,4.375,4.5,4.438,4.438,2208000.0
1999-12-10,MNST,4.375,4.438,4.375,4.406000000000001,715200.0
1999-12-13,MNST,4.375,4.563,4.5,4.438,1737600.0
1999-12-14,MNST,4.375,4.563,4.375,4.531000000000001,1032000.0
1999-12-15,MNST,4.375,4.563,4.438,4.563,451200.0
1999-12-16,MNST,4.375,4.438,4.438,4.438,902400.0
1999-12-17,MNST,4.25,4.5,4.438,4.375,1449600.0
1999-12-20,MNST,4.25,4.563,4.375,4.438,2923200.0
1999-12-21,MNST,4.25,4.438,4.343999999999999,4.3437,619200.0
1999-12-22,MNST,4.313,4.5,4.438,4.343999999999999,892800.0
1999-12-23,MNST,4.25,4.5,4.5,4.5,1742400.0
1999-12-27,MNST,4.0,4.375,4.375,4.125,3451200.0
1999-12-28,MNST,4.188,4.3747,4.25,4.25,1521600.0
1999-12-29,MNST,4.125,4.375,4.25,4.281000000000001,2448000.0
1999-12-30,MNST,4.063,4.375,4.25,4.313,1934400.0
1999-12-31,MNST,4.125,4.375,4.313,4.25,1320000.0
2000-01-03,MNST,4.1883,4.5,4.313,4.281000000000001,585600.0
2000-01-04,MNST,4.125,4.3749,4.125,4.313,1219200.0
2000-01-05,MNST,4.125,4.375,4.125,4.25,715200.0
2000-01-06,MNST,4.125,4.25,4.25,4.156000000000001,1200000.0
2000-01-07,MNST,4.125,4.5,4.156000000000001,4.156000000000001,2625600.0
2000-01-10,MNST,4.1557,4.25,4.188,4.218999999999999,3153600.0
2000-01-11,MNST,4.156000000000001,4.375,4.375,4.313,3019200.0
2000-01-12,MNST,4.156000000000001,4.375,4.188,4.281000000000001,1372800.0
2000-01-13,MNST,4.1878,4.375,4.188,4.25,1795200.0
2000-01-14,MNST,4.188,4.375,4.313,4.25,1070400.0
2000-01-18,MNST,4.25,4.375,4.375,4.375,1569600.0
2000-01-19,MNST,4.25,4.375,4.25,4.25,350400.0
2000-01-20,MNST,4.25,4.343999999999999,4.343999999999999,4.297,1099200.0
2000-01-21,MNST,4.25,4.375,4.25,4.3132,566400.0
2000-01-24,MNST,4.2499,4.375,4.25,4.343999999999999,1612800.0
2000-01-25,MNST,4.313,4.438,4.375,4.343999999999999,2222400.0
2000-01-26,MNST,4.313,4.625,4.563,4.438,3638400.0
2000-01-27,MNST,4.313,4.593999999999999,4.313,4.547,2241600.0
2000-01-28,MNST,4.313,4.438,4.375,4.375,504000.0
2000-01-31,MNST,4.313,4.5,4.5,4.375,3292800.0
2000-02-01,MNST,4.375,4.5,4.438,4.4383,955200.0
2000-02-02,MNST,4.375,4.5,4.468999999999999,4.5,1339200.0
2000-02-03,MNST,4.313,4.5,4.375,4.468999999999999,3345600.0
2000-02-04,MNST,4.281000000000001,4.5,4.375,4.438,1387200.0
2000-02-07,MNST,4.313,4.563,4.5,4.4693,1728000.0
2000-02-08,MNST,4.281000000000001,4.453,4.343999999999999,4.453,1132800.0
2000-02-09,MNST,4.281000000000001,4.375,4.375,4.343999999999999,1545600.0
2000-02-10,MNST,4.25,4.375,4.25,4.281000000000001,1329600.0
2000-02-11,MNST,4.25,4.375,4.313,4.25,758400.0
2000-02-14,MNST,4.25,4.313,4.25,4.297,1444800.0
2000-02-15,MNST,4.25,4.375,4.25,4.25,417600.0
2000-02-16,MNST,4.25,4.313,4.25,4.25,1012800.0
2000-02-17,MNST,4.125,4.313,4.313,4.25,1737600.0
2000-02-18,MNST,4.093999999999999,4.313,4.093999999999999,4.125,1032000.0
2000-02-22,MNST,4.0,4.25,4.0,4.156000000000001,724800.0
2000-02-23,MNST,4.0,4.25,4.125,4.2503,936000.0
2000-02-24,MNST,4.031000000000001,4.25,4.25,4.218999999999999,1344000.0
2000-02-25,MNST,4.25,4.375,4.281000000000001,4.343999999999999,1123200.0
2000-02-28,MNST,4.125,4.313,4.313,4.313,2174400.0
2000-02-29,MNST,4.031000000000001,4.25,4.188,4.218999999999999,2620800.0
2000-03-01,MNST,4.063,4.25,4.188,4.218999999999999,2256000.0
2000-03-02,MNST,4.125,4.188,4.125,4.156000000000001,940800.0
2000-03-03,MNST,4.0,4.25,4.125,4.188,3100800.0
2000-03-06,MNST,4.063,4.313,4.188,4.188,4315200.0
2000-03-07,MNST,4.125,4.25,4.25,4.188,1036800.0
2000-03-08,MNST,4.063,4.218999999999999,4.188,4.188,1094400.0
2000-03-09,MNST,4.063,4.25,4.063,4.218999999999999,2217600.0
2000-03-10,MNST,4.125,4.313,4.25,4.188,2726400.0
2000-03-13,MNST,4.125,4.313,4.125,4.25,3292800.0
2000-03-14,MNST,4.125,4.313,4.188,4.218999999999999,1363200.0
2000-03-15,MNST,4.125,4.313,4.25,4.25,1180800.0
2000-03-16,MNST,4.125,4.313,4.188,4.218999999999999,1776000.0
2000-03-17,MNST,4.125,4.375,4.218999999999999,4.188,1948800.0
2000-03-20,MNST,4.188,4.25,4.25,4.25,1958400.0
2000-03-21,MNST,4.218999999999999,4.375,4.218999999999999,4.3129,523200.0
2000-03-22,MNST,4.188,4.313,4.25,4.313,1180800.0
2000-03-23,MNST,4.188,4.313,4.25,4.25,849600.0
2000-03-24,MNST,4.188,4.375,4.313,4.25,1699200.0
2000-03-27,MNST,4.188,4.313,4.25,4.281000000000001,1214400.0
2000-03-28,MNST,4.218999999999999,4.375,4.218999999999999,4.313,1142400.0
2000-03-29,MNST,4.188,4.375,4.375,4.218999999999999,2481600.0
2000-03-30,MNST,4.313,4.5002,4.438,4.313,1833600.0
2000-03-31,MNST,4.25,4.5,4.5,4.375,2217600.0
2000-04-03,MNST,4.375,4.5,4.438,4.375,1430400.0
2000-04-04,MNST,4.313,4.5,4.313,4.5,1195200.0
2000-04-05,MNST,4.25,4.5,4.5,4.406000000000001,806400.0
2000-04-06,MNST,4.188,4.5,4.438,4.406000000000001,691200.0
2000-04-07,MNST,4.25,4.5,4.25,4.438,1478400.0
2000-04-10,MNST,4.25,4.438,4.375,4.343999999999999,720000.0
2000-04-11,MNST,4.25,4.5,4.375,4.438,1675200.0
2000-04-12,MNST,4.25,4.438,4.438,4.406000000000001,768000.0
2000-04-13,MNST,4.313,4.563,4.438,4.375,1939200.0
2000-04-14,MNST,4.375,4.5,4.375,4.438,4051200.0
2000-04-17,MNST,4.125,4.5,4.375,4.438,6345600.0
2000-04-18,MNST,4.2499,4.5,4.438,4.438,1075200.0
2000-04-19,MNST,4.25,4.5,4.25,4.5,1080000.0
2000-04-20,MNST,4.313,4.5,4.5,4.5,393600.0
2000-04-24,MNST,4.375,4.5,4.375,4.5,748800.0
2000-04-25,MNST,4.375,4.5,4.438,4.5,2284800.0
2000-04-26,MNST,4.438,4.5,4.5,4.468999999999999,681600.0
2000-04-27,MNST,4.438,4.5001,4.468999999999999,4.5,446400.0
2000-04-28,MNST,4.438,4.5,4.468999999999999,4.484,2160000.0
2000-05-01,MNST,4.438,4.5,4.5,4.5,1051200.0
2000-05-02,MNST,4.3751,4.5,4.5,4.438,652800.0
2000-05-03,MNST,4.375,4.531000000000001,4.375,4.5,513600.0
2000-05-04,MNST,4.313,4.468999999999999,4.438,4.468999999999999,374400.0
2000-05-05,MNST,4.313,4.5,4.5,4.406000000000001,1857600.0
2000-05-08,MNST,4.313,4.5,4.5,4.5,427200.0
2000-05-09,MNST,4.031000000000001,4.5,4.031000000000001,4.313,2169600.0
2000-05-10,MNST,4.0,4.3755,4.125,4.25,811200.0
2000-05-11,MNST,4.125,4.313,4.125,4.313,211200.0
2000-05-12,MNST,4.125,4.375,4.375,4.25,1348800.0
2000-05-15,MNST,3.563,4.125,3.938,4.0,8251200.0
2000-05-16,MNST,3.625,3.938,3.75,3.813,2064000.0
2000-05-17,MNST,3.625,3.875,3.813,3.688,897600.0
2000-05-18,MNST,3.75,3.875,3.844,3.8132,532800.0
2000-05-19,MNST,3.688,3.781,3.688,3.75,1492800.0
2000-05-22,MNST,3.625,3.75,3.625,3.75,1137600.0
2000-05-23,MNST,3.563,3.875,3.563,3.75,801600.0
2000-05-24,MNST,3.5,3.688,3.5,3.563,2160000.0
2000-05-25,MNST,3.438,3.688,3.5,3.5,902400.0
2000-05-26,MNST,3.391,3.625,3.406,3.406,1224000.0
2000-05-30,MNST,3.5,4.25,4.25,3.563,2592000.0
2000-05-31,MNST,3.5,4.468999999999999,4.313,3.75,4670400.0
2000-06-01,MNST,4.125,4.375,4.125,4.125,2990400.0
2000-06-02,MNST,4.125,4.375,4.188,4.313,1334400.0
2000-06-05,MNST,4.0,4.188,4.031000000000001,4.125,1473600.0
2000-06-06,MNST,4.0,4.063,4.063,4.063,523200.0
2000-06-07,MNST,4.0,4.063,4.0,4.0,523200.0
2000-06-08,MNST,4.0,4.125,4.0,4.0,585600.0
2000-06-09,MNST,4.0,4.063,4.0,4.0,369600.0
2000-06-12,MNST,4.0,4.188,4.188,4.093999999999999,4300800.0
2000-06-13,MNST,4.125,4.313,4.25,4.188,1012800.0
2000-06-14,MNST,4.125,4.375,4.313,4.313,604800.0
2000-06-15,MNST,4.125,4.375,4.313,4.218999999999999,475200.0
2000-06-16,MNST,4.25,4.438,4.375,4.313,585600.0
2000-06-19,MNST,4.063,4.188,4.188,4.156000000000001,2328000.0
2000-06-20,MNST,4.0,4.1878,4.125,4.125,984000.0
2000-06-21,MNST,4.0,4.188,4.125,4.188,312000.0
2000-06-22,MNST,4.1249,4.234,4.125,4.188,345600.0
2000-06-23,MNST,4.125,4.25,4.188,4.188,859200.0
2000-06-26,MNST,4.125,4.25,4.125,4.25,1051200.0
2000-06-27,MNST,4.0,4.188,4.188,4.125,624000.0
2000-06-28,MNST,4.125,4.25,4.125,4.188,984000.0
2000-06-29,MNST,4.125,4.25,4.141,4.188,115200.0
2000-06-30,MNST,4.125,4.25,4.125,4.188,652800.0
2000-07-03,MNST,4.125,4.375,4.375,4.188,801600.0
2000-07-05,MNST,4.125,4.25,4.125,4.125,2462400.0
2000-07-06,MNST,4.125,4.25,4.125,4.141,139200.0
2000-07-07,MNST,4.25,4.5312,4.25,4.375,2884800.0
2000-07-10,MNST,4.25,4.5,4.5,4.5,729600.0
2000-07-11,MNST,4.125,4.375,4.313,4.218999999999999,940800.0
2000-07-12,MNST,4.281000000000001,4.5,4.313,4.438,998400.0
2000-07-13,MNST,4.438,4.563,4.438,4.468999999999999,3868800.0
2000-07-14,MNST,4.375,4.531000000000001,4.438,4.468999999999999,715200.0
2000-07-17,MNST,4.313,4.5,4.5,4.438,2040000.0
2000-07-18,MNST,4.375,4.563,4.5,4.375,1310400.0
2000-07-19,MNST,4.375,4.5,4.5,4.375,864000.0
2000-07-20,MNST,4.375,4.531000000000001,4.5,4.375,628800.0
2000-07-21,MNST,4.5,4.563,4.5,4.531000000000001,768000.0
2000-07-24,MNST,4.531000000000001,4.563,4.531000000000001,4.531000000000001,504000.0
2000-07-25,MNST,4.563,4.75,4.563,4.625,1056000.0
2000-07-26,MNST,4.5,4.563,4.5,4.563,278400.0
2000-07-27,MNST,4.438,4.563,4.5,4.563,355200.0
2000-07-28,MNST,4.468999999999999,4.516,4.5,4.468999999999999,691200.0
2000-07-31,MNST,4.438,4.5001,4.5,4.5,1132800.0
2000-08-01,MNST,4.438,4.563,4.5,4.563,854400.0
2000-08-02,MNST,4.438,4.5,4.438,4.5,595200.0
2000-08-03,MNST,4.375,4.5,4.5,4.375,912000.0
2000-08-04,MNST,4.375,4.563,4.5,4.438,1291200.0
2000-08-07,MNST,4.438,4.7496,4.625,4.438,2160000.0
2000-08-08,MNST,4.5628,4.75,4.625,4.563,2049600.0
2000-08-09,MNST,4.625,4.8133,4.625,4.625,2846400.0
2000-08-10,MNST,4.625,5.0,5.0,4.625,5097600.0
2000-08-11,MNST,4.75,5.063,4.875,4.968999999999999,1468800.0
2000-08-14,MNST,4.875,4.938,4.875,4.906000000000001,1473600.0
2000-08-15,MNST,4.875,5.031000000000001,5.0,4.984,1142400.0
2000-08-16,MNST,4.875,5.063,4.875,5.063,1358400.0
2000-08-17,MNST,4.875,4.938,4.938,4.875,993600.0
2000-08-18,MNST,4.875,5.0,5.0,5.0,2112000.0
2000-08-21,MNST,4.875,5.063,4.875,5.063,2476800.0
2000-08-22,MNST,4.75,5.0,4.75,4.938,811200.0
2000-08-23,MNST,4.75,4.813,4.813,4.75,868800.0
2000-08-24,MNST,4.75,4.875,4.875,4.75,744000.0
2000-08-25,MNST,4.875,4.875,4.875,4.875,139200.0
2000-08-28,MNST,4.875,5.0,4.938,4.875,1704000.0
2000-08-29,MNST,4.75,5.0,5.0,4.813,1099200.0
2000-08-30,MNST,4.875,5.063,5.063,5.0,2409600.0
2000-08-31,MNST,4.875,5.188,5.125,4.875,3297600.0
2000-09-01,MNST,5.125,5.375,5.25,5.25,2856000.0
2000-09-05,MNST,5.125,5.313,5.25,5.313,2347200.0
2000-09-06,MNST,5.125,5.313,5.125,5.25,566400.0
2000-09-07,MNST,5.125,5.313,5.188,5.25,960000.0
2000-09-08,MNST,5.125,5.438,5.125,5.281000000000001,1219200.0
2000-09-11,MNST,5.188,5.5,5.375,5.343999999999999,1603200.0
2000-09-12,MNST,5.375,5.5,5.438,5.5,705600.0
2000-09-13,MNST,5.25,5.5,5.438,5.375,1382400.0
2000-09-14,MNST,5.375,5.5,5.438,5.375,384000.0
2000-09-15,MNST,5.438,5.563,5.5,5.5,1406400.0
2000-09-18,MNST,5.5,5.563,5.5,5.563,72000.0
2000-09-19,MNST,5.438,5.968999999999999,5.875,5.5,979200.0
2000-09-20,MNST,5.75,6.3748,5.906000000000001,5.875,4075200.0
2000-09-21,MNST,5.625,5.938,5.75,5.938,772800.0
2000-09-22,MNST,5.5,5.938,5.875,5.938,1123200.0
2000-09-25,MNST,5.75,6.0,5.75,5.75,820800.0
2000-09-26,MNST,5.625,5.875,5.875,5.625,124800.0
2000-09-27,MNST,5.781000000000001,5.9996,5.875,5.781000000000001,1540800.0
2000-09-28,MNST,5.5,5.859,5.5,5.75,768000.0
2000-09-29,MNST,5.438,5.563,5.438,5.563,681600.0
2000-10-02,MNST,5.188,5.4687,5.375,5.468999999999999,417600.0
2000-10-03,MNST,5.063,5.188,5.188,5.1881,398400.0
2000-10-04,MNST,5.063,5.25,5.188,5.125,676800.0
2000-10-05,MNST,5.063,5.25,5.141,5.0628,772800.0
2000-10-06,MNST,5.125,5.188,5.125,5.188,1104000.0
2000-10-09,MNST,5.125,5.75,5.25,5.141,1444800.0
2000-10-10,MNST,5.125,5.5,5.25,5.438,825600.0
2000-10-11,MNST,5.125,5.5,5.25,5.25,552000.0
2000-10-12,MNST,5.125,5.5,5.5,5.281000000000001,729600.0
2000-10-13,MNST,5.125,5.375,5.25,5.188,465600.0
2000-10-16,MNST,5.125,5.375,5.375,5.25,158400.0
2000-10-17,MNST,5.375,5.375,5.375,5.375,120000.0
2000-10-18,MNST,5.125,5.313,5.125,5.313,1699200.0
2000-10-19,MNST,5.125,5.125,5.125,5.125,4800.0
2000-10-20,MNST,4.875,5.016,5.0,5.0,1641600.0
2000-10-23,MNST,5.0,5.063,5.063,5.0,48000.0
2000-10-24,MNST,5.063,5.1721,5.125,5.172000000000001,763200.0
2000-10-25,MNST,4.938,5.1249,4.938,5.0,220800.0
2000-10-26,MNST,4.875,5.0,5.0,4.938,422400.0
2000-10-27,MNST,4.875,5.0,4.875,4.875,100800.0
2000-10-30,MNST,5.0,5.297000000000001,5.0,5.156000000000001,1296000.0
2000-10-31,MNST,5.063,5.375,5.375,5.25,1512000.0
2000-11-01,MNST,5.063,5.422000000000001,5.188,5.422000000000001,960000.0
2000-11-02,MNST,4.5,5.313,4.5,5.313,2496000.0
2000-11-03,MNST,4.375,4.75,4.625,4.593999999999999,1051200.0
2000-11-06,MNST,4.4379,4.734,4.438,4.531000000000001,1569600.0
2000-11-07,MNST,4.375,4.625,4.375,4.5307,2995200.0
2000-11-08,MNST,4.375,4.438,4.438,4.375,110400.0
2000-11-09,MNST,4.375,4.75,4.625,4.375,672000.0
2000-11-10,MNST,4.625,4.75,4.625,4.688,225600.0
2000-11-13,MNST,4.25,4.578,4.313,4.578,1089600.0
2000-11-14,MNST,4.25,4.468999999999999,4.375,4.4688,307200.0
2000-11-15,MNST,4.25,4.5,4.5,4.2498,172800.0
2000-11-16,MNST,4.313,4.484,4.375,4.484,2664000.0
2000-11-17,MNST,4.313,4.406000000000001,4.313,4.4057,384000.0
2000-11-20,MNST,4.25,4.375,4.375,4.359,398400.0
2000-11-21,MNST,4.3751,4.406000000000001,4.375,4.391,201600.0
2000-11-22,MNST,4.375,4.406000000000001,4.406000000000001,4.375,105600.0
2000-11-24,MNST,0.0918,0.0918,0.0918,0.0918,0.0
2000-11-27,MNST,4.125,4.375,4.25,4.281000000000001,1752000.0
2000-11-28,MNST,4.0,4.25,4.0,4.25,129600.0
2000-11-29,MNST,3.813,4.0,3.875,4.0,2644800.0
2000-11-30,MNST,3.438,3.875,3.625,3.875,902400.0
2000-12-01,MNST,3.563,3.75,3.625,3.5780000000000003,484800.0
