Date,symbol,Low,High,Close,Open,Volume
1999-09-28,MUR,49.438,50.8127,49.813,50.75,1207500.0
1999-09-29,MUR,49.5,52.938,52.625,49.938,782300.0
1999-09-30,MUR,52.125,54.125,54.063,52.688,2157100.0
1999-10-01,MUR,53.563,53.938,53.875,53.938,1524800.0
1999-10-04,MUR,53.375,53.938,53.688,53.875,384400.0
1999-10-05,MUR,51.75,53.688,51.875,53.688,535400.0
1999-10-06,MUR,51.625,52.75,52.563,51.625,631300.0
1999-10-07,MUR,52.063,52.4392,52.375,52.438,932400.0
1999-10-08,MUR,51.25,52.375,51.25,52.313,934200.0
1999-10-11,MUR,51.25,54.188,54.125,51.2522,1435900.0
1999-10-12,MUR,53.8756,54.938,54.938,54.375,1122700.0
1999-10-13,MUR,54.75,56.5,55.375,54.75,1437700.0
1999-10-14,MUR,54.813,55.375,55.125,55.375,261700.0
1999-10-15,MUR,54.6256,55.0,54.875,55.0,561300.0
1999-10-18,MUR,52.25,54.875,52.438,54.813,1128800.0
1999-10-19,MUR,52.5,53.938,53.938,52.5,497400.0
1999-10-20,MUR,53.75,56.0,55.75,54.0,785500.0
1999-10-21,MUR,56.125,57.313,56.813,56.125,1568300.0
1999-10-22,MUR,56.938,57.875,57.688,57.0035,964800.0
1999-10-25,MUR,57.0,57.688,57.25,57.688,673400.0
1999-10-26,MUR,56.688,57.25,57.0,57.25,742000.0
1999-10-27,MUR,56.625,57.438,56.625,57.0,540000.0
1999-10-28,MUR,56.25,56.813,56.5,56.7521,451100.0
1999-10-29,MUR,55.813,56.625,56.063,56.5,523400.0
1999-11-01,MUR,56.0,57.0,56.375,56.25,384900.0
1999-11-02,MUR,55.938,56.688,55.938,56.5,352000.0
1999-11-03,MUR,55.0,56.0,55.0,56.0,812400.0
1999-11-04,MUR,54.875,55.125,54.938,55.125,316300.0
1999-11-05,MUR,54.25,54.938,54.438,54.938,502100.0
1999-11-08,MUR,54.5,55.375,54.688,54.563,976800.0
1999-11-09,MUR,54.563,57.313,56.625,54.563,759600.0
1999-11-10,MUR,56.188,56.625,56.375,56.5,785100.0
1999-11-11,MUR,55.7571,56.375,55.75,56.375,427900.0
1999-11-12,MUR,55.563,56.125,55.75,55.875,814700.0
1999-11-15,MUR,55.938,57.375,57.313,55.938,883700.0
1999-11-16,MUR,56.25,58.25,56.5,57.25,1227400.0
1999-11-17,MUR,57.438,60.875,60.188,57.438,1001900.0
1999-11-18,MUR,59.125,60.0,59.188,59.938,608100.0
1999-11-19,MUR,58.438,59.875,58.688,59.063,322800.0
1999-11-22,MUR,58.688,61.625,60.063,58.688,1197300.0
1999-11-23,MUR,57.563,59.563,57.875,59.563,1500300.0
1999-11-24,MUR,57.0,57.938,57.313,57.813,775300.0
1999-11-26,MUR,56.875,57.438,57.438,57.25,299200.0
1999-11-29,MUR,56.1882,57.375,56.5,57.375,698900.0
1999-11-30,MUR,56.25,57.0,56.5,56.5,689700.0
1999-12-01,MUR,56.0,56.875,56.875,56.5,1268700.0
1999-12-02,MUR,55.875,56.8715,56.375,56.875,767000.0
1999-12-03,MUR,55.938,56.813,55.938,56.313,294100.0
1999-12-06,MUR,54.938,56.375,55.25,56.188,891100.0
1999-12-07,MUR,53.5,55.375,53.625,55.3712,507600.0
1999-12-08,MUR,51.438,53.25,52.813,53.25,1853700.0
1999-12-09,MUR,52.375,53.375,53.125,52.938,1589700.0
1999-12-10,MUR,52.125,53.188,52.188,53.188,1195500.0
1999-12-13,MUR,52.125,54.625,53.875,52.125,771600.0
1999-12-14,MUR,53.1246,53.75,53.188,53.688,909200.0
1999-12-15,MUR,53.438,56.25,55.625,53.438,628000.0
1999-12-16,MUR,55.563,56.938,56.375,55.563,1761000.0
1999-12-17,MUR,55.813,56.25,55.813,56.0,1823100.0
1999-12-20,MUR,54.813,55.6913,55.125,55.563,2187600.0
1999-12-21,MUR,55.063,56.625,56.125,55.063,545600.0
1999-12-22,MUR,55.6236,56.625,56.0,55.938,779100.0
1999-12-23,MUR,55.938,57.125,57.0,55.938,271400.0
1999-12-27,MUR,56.25,57.188,56.5,57.188,383900.0
1999-12-28,MUR,56.25,57.25,57.125,56.438,229200.0
1999-12-29,MUR,57.063,57.8159,57.813,57.125,277900.0
1999-12-30,MUR,57.5,57.813,57.75,57.813,390000.0
1999-12-31,MUR,57.313,57.75,57.375,57.75,217700.0
2000-01-03,MUR,55.5,57.5,55.625,57.438,1067600.0
2000-01-04,MUR,54.75,57.313,56.438,55.375,1530400.0
2000-01-05,MUR,56.438,57.625,56.563,56.438,2727300.0
2000-01-06,MUR,56.563,57.438,57.0,56.563,2002800.0
2000-01-07,MUR,56.875,59.875,59.75,57.125,3914000.0
2000-01-10,MUR,58.438,59.75,58.75,59.75,1279800.0
2000-01-11,MUR,58.313,59.375,58.438,58.875,394100.0
2000-01-12,MUR,56.4992,58.813,56.563,58.5,565100.0
2000-01-13,MUR,56.688,61.375,61.313,56.688,1435400.0
2000-01-14,MUR,60.563,62.125,61.5,61.313,1512800.0
2000-01-18,MUR,61.75,63.438,62.813,61.75,855000.0
2000-01-19,MUR,62.188,62.75,62.188,62.75,446000.0
2000-01-20,MUR,60.625,62.3109,61.75,62.188,620200.0
2000-01-21,MUR,61.5,62.5,61.938,62.5,838300.0
2000-01-24,MUR,59.813,62.375,59.938,62.188,347800.0
2000-01-25,MUR,59.563,61.188,60.625,59.8106,490000.0
2000-01-26,MUR,59.2492,60.625,59.688,60.625,992100.0
2000-01-27,MUR,56.25,59.688,56.5,59.563,676200.0
2000-01-28,MUR,56.75,59.5,57.938,56.75,1478500.0
2000-01-31,MUR,56.875,57.938,57.375,57.938,539600.0
2000-02-01,MUR,56.313,57.625,57.313,57.375,849500.0
2000-02-02,MUR,57.0,59.125,57.125,57.438,890200.0
