Date,symbol,Low,High,Close,Open,Volume
2018-01-04,NFX,33.02,33.97,33.84,33.72,3462188.0
2018-03-05,NFX,23.88,24.62,24.38,23.95,3728369.0
2018-03-13,NFX,23.3,23.81,23.5,23.42,4011856.0
2018-03-14,NFX,23.42,23.81,23.54,23.52,3185820.0
2018-03-15,NFX,23.58,24.2,23.77,23.72,4615244.0
2018-03-16,NFX,23.64,24.6811,24.27,23.89,6411568.0
2018-03-19,NFX,23.02,24.16,23.16,23.93,4676057.0
2018-03-20,NFX,23.35,23.88,23.4,23.38,3640184.0
2018-03-21,NFX,23.54,25.04,24.8,23.59,6133832.0
2018-03-22,NFX,24.24,24.87,24.26,24.52,5994826.0
2018-03-23,NFX,24.12,25.29,24.36,24.39,5351639.0
2018-03-26,NFX,24.085,24.82,24.63,24.71,6034184.0
2018-03-27,NFX,23.52,24.96,23.67,24.67,4423416.0
2018-03-28,NFX,23.255,24.09,23.41,23.81,3358532.0
2018-03-29,NFX,23.53,24.51,24.42,23.55,3449644.0
2018-04-02,NFX,23.015,24.28,23.58,24.28,4103113.0
2018-04-03,NFX,23.2441,24.36,24.34,23.75,3662884.0
2018-04-04,NFX,23.48,24.02,23.81,23.69,3979430.0
2018-04-05,NFX,23.94,24.945,24.66,24.01,4398162.0
2018-04-06,NFX,23.79,24.88,24.25,24.45,4231750.0
2018-04-09,NFX,24.25,25.04,24.45,24.42,3923654.0
2018-04-10,NFX,24.89,26.33,25.93,24.89,5832852.0
2018-04-11,NFX,25.8,26.8,26.62,25.93,4715834.0
2018-04-12,NFX,25.48,26.66,26.01,26.62,6007327.0
2018-04-13,NFX,25.82,26.38,25.89,26.11,4059237.0
2018-04-16,NFX,25.59,26.06,26.0,25.8,3431100.0
2018-04-17,NFX,25.64,26.48,26.34,25.87,2988975.0
2018-04-18,NFX,26.93,28.37,27.89,27.01,6332660.0
2018-04-19,NFX,27.5226,28.31,28.11,28.13,4296015.0
2018-04-20,NFX,27.29,28.08,27.91,27.91,3256744.0
2018-04-23,NFX,27.58,28.56,28.37,27.73,2880313.0
2018-04-24,NFX,27.99,28.75,28.42,28.56,3423374.0
2018-04-25,NFX,27.96,29.52,29.38,28.3,4461724.0
