Date,symbol,Low,High,Close,Open,Volume
1999-09-28,NI,21.438000000000002,22.5,21.75,22.438000000000002,833400.0
1999-09-29,NI,21.688000000000002,22.0,21.875,21.875,469800.0
1999-09-30,NI,22.0,22.375,22.125,22.063000000000002,421400.0
1999-10-01,NI,21.938000000000002,22.375,22.25,22.0,344500.0
1999-10-04,NI,22.188000000000002,23.063000000000002,23.0,22.188000000000002,484800.0
1999-10-05,NI,21.938000000000002,22.938000000000002,22.125,22.8744,484300.0
1999-10-06,NI,21.875,22.25,22.25,22.125,552500.0
1999-10-07,NI,21.375,22.25,21.688000000000002,22.188000000000002,207100.0
1999-10-08,NI,21.375,22.0,21.5,21.75,321900.0
1999-10-11,NI,21.25,21.688000000000002,21.375,21.4372,429800.0
1999-10-12,NI,21.063000000000002,21.438000000000002,21.375,21.313000000000002,472800.0
1999-10-13,NI,21.188000000000002,21.438000000000002,21.438000000000002,21.375,236400.0
1999-10-14,NI,21.063000000000002,21.688000000000002,21.625,21.438000000000002,472300.0
1999-10-15,NI,20.938000000000002,21.75,21.625,21.375,557300.0
1999-10-18,NI,20.938000000000002,21.625,21.0,21.625,307400.0
1999-10-19,NI,20.563000000000002,21.25,20.625,21.0,600100.0
1999-10-20,NI,20.313,20.875,20.563000000000002,20.438,385000.0
1999-10-21,NI,19.5,20.25,19.5,20.2498,3359400.0
1999-10-22,NI,19.625,20.0,19.938,19.688,1593900.0
1999-10-25,NI,20.0,20.75,20.625,20.0,1275500.0
1999-10-26,NI,19.875,20.625,20.188,20.625,568500.0
1999-10-27,NI,20.063,20.5,20.438,20.063,2101400.0
1999-10-28,NI,20.313,20.688000000000002,20.563000000000002,20.5,375600.0
1999-10-29,NI,20.5,20.75,20.5,20.563000000000002,586800.0
1999-11-01,NI,20.438,20.875,20.813000000000002,20.625,397700.0
1999-11-02,NI,20.813000000000002,21.0,20.875,20.875,422900.0
1999-11-03,NI,20.313,21.063000000000002,20.563000000000002,20.938000000000002,766200.0
1999-11-04,NI,20.813000000000002,21.188000000000002,21.063000000000002,20.813000000000002,927100.0
1999-11-05,NI,20.938000000000002,21.188000000000002,21.0,21.188000000000002,1536600.0
1999-11-08,NI,20.938000000000002,21.2499,21.063000000000002,21.063000000000002,1121000.0
1999-11-09,NI,20.625,21.063000000000002,20.688000000000002,21.0,1022300.0
1999-11-10,NI,20.313,20.75,20.375,20.7497,351200.0
1999-11-11,NI,20.0,20.375,20.063,20.375,4287800.0
1999-11-12,NI,20.0,20.313,20.063,20.0,703100.0
1999-11-15,NI,20.063,20.5,20.313,20.125,463900.0
1999-11-16,NI,20.063,20.4385,20.125,20.375,652700.0
1999-11-17,NI,20.063,20.25,20.063,20.188,294200.0
