Date,symbol,Low,High,Close,Open,Volume
1999-09-28,NKE,55.5,57.0,56.625,57.0,7305600.0
1999-09-29,NKE,56.375,57.813,56.5,56.7529,8228800.0
1999-09-30,NKE,55.438,56.8693,56.875,56.75,16650400.0
1999-10-01,NKE,56.375,57.563,57.563,56.625,8156800.0
1999-10-04,NKE,57.6255,59.188,58.75,57.688,6956800.0
1999-10-05,NKE,57.5,58.875,58.5,58.5,8703200.0
1999-10-06,NKE,58.125,59.25,58.5,58.438,6101600.0
1999-10-07,NKE,58.063,59.0,58.125,58.938,7301600.0
1999-10-08,NKE,57.0,58.25,57.125,58.25,7067200.0
1999-10-11,NKE,56.563,58.75,58.563,57.125,3693600.0
1999-10-12,NKE,56.938,58.5,57.313,58.5,4705600.0
1999-10-13,NKE,55.063,57.75,55.563,57.375,3825600.0
1999-10-14,NKE,55.0,56.875,56.25,55.5,4657600.0
1999-10-15,NKE,54.438,56.5,54.688,56.5,6544800.0
1999-10-18,NKE,53.313,55.0,53.688,54.688,7851200.0
1999-10-19,NKE,53.875,55.25,54.125,55.0,4419200.0
1999-10-20,NKE,53.875,55.938,55.375,54.125,5512000.0
1999-10-21,NKE,54.375,55.813,55.813,54.938,3256800.0
1999-10-22,NKE,54.625,56.563,55.125,56.188,6068000.0
1999-10-25,NKE,53.5,56.25,56.188,54.375,9448800.0
1999-10-26,NKE,56.063,57.938,57.438,56.438,9280800.0
1999-10-27,NKE,57.25,58.5,57.813,57.438,6885600.0
1999-10-28,NKE,55.438,58.125,55.938,57.75,16320800.0
1999-10-29,NKE,55.313,57.063,56.0,55.938,11466400.0
1999-11-01,NKE,55.25,56.375,56.313,55.75,7169600.0
1999-11-02,NKE,52.5,55.938,52.5,55.5,12340800.0
1999-11-03,NKE,47.75,51.563,50.188,51.5,25880000.0
1999-11-04,NKE,49.875,51.25,50.375,50.063,11954400.0
1999-11-05,NKE,47.0,50.813,47.938,50.1871,13229600.0
1999-11-08,NKE,45.375,47.438,46.875,47.125,18019200.0
1999-11-09,NKE,46.25,48.125,47.438,46.875,10276800.0
1999-11-10,NKE,46.625,48.563,47.0,47.188,8123200.0
1999-11-11,NKE,46.0,47.3137,46.125,47.25,7608000.0
1999-11-12,NKE,45.5,46.7533,46.125,46.375,5432800.0
1999-11-15,NKE,45.625,47.688,47.313,46.25,8761600.0
1999-11-16,NKE,44.063,47.75,44.313,47.063,12928800.0
1999-11-17,NKE,44.063,45.25,44.25,44.25,22547200.0
1999-11-18,NKE,44.75,47.3781,47.0,45.0,21924000.0
1999-11-19,NKE,48.0,49.625,49.25,49.5,16694400.0
1999-11-22,NKE,47.813,49.375,48.559,49.0,7472800.0
1999-11-23,NKE,47.125,48.5,47.375,48.438,7136800.0
1999-11-24,NKE,46.188,47.5,46.563,47.438,4132800.0
1999-11-26,NKE,46.625,47.375,47.0,47.0,1460000.0
1999-11-29,NKE,45.813,46.625,46.375,45.813,5716000.0
1999-11-30,NKE,45.875,46.75,46.0,46.375,8496000.0
1999-12-01,NKE,45.625,47.188,47.0,45.75,5327200.0
1999-12-02,NKE,44.5,47.25,45.593999999999994,47.25,12485600.0
1999-12-03,NKE,45.188,46.938,46.375,45.188,11795200.0
1999-12-06,NKE,45.563,47.625,47.063,46.25,7258400.0
1999-12-07,NKE,45.75,46.875,46.438,46.375,8043200.0
1999-12-08,NKE,44.688,46.375,45.207,46.25,17163200.0
1999-12-09,NKE,45.0,46.25,45.75,45.0,5684000.0
1999-12-10,NKE,43.875,45.75,43.875,45.75,16460800.0
1999-12-13,NKE,41.813,43.875,42.793,43.875,11061600.0
1999-12-14,NKE,39.813,42.125,40.188,42.125,19863200.0
1999-12-15,NKE,40.625,41.938,41.875,40.75,17261600.0
1999-12-16,NKE,41.688,46.0,45.688,41.875,11228000.0
1999-12-17,NKE,49.313,55.875,52.438,49.75,45736800.0
1999-12-20,NKE,50.25,53.125,51.188,52.5,11616000.0
1999-12-21,NKE,48.25,51.0,49.125,51.0,9639200.0
1999-12-22,NKE,49.0,50.125,49.5,49.875,5060000.0
1999-12-23,NKE,49.563,51.938,51.875,49.688,5934400.0
1999-12-27,NKE,49.688,51.625,49.688,51.625,3876800.0
1999-12-28,NKE,49.6277,50.25,50.0,49.75,4499200.0
1999-12-29,NKE,49.625,50.125,49.813,50.063,2108000.0
1999-12-30,NKE,49.125,50.0,49.188,49.75,1956000.0
1999-12-31,NKE,49.25,49.75,49.563,49.5,1802400.0
2000-01-03,NKE,47.75,49.5643,48.125,49.313,8014400.0
