Date,symbol,Low,High,Close,Open,Volume
1999-09-28,NOC,60.813,61.938,61.0,61.31399999999999,649400.0
1999-09-29,NOC,60.0,61.688,60.0,60.75,560400.0
1999-09-30,NOC,60.25,64.438,63.563,60.25,584300.0
1999-10-01,NOC,59.875,63.313,60.25,63.313,582600.0
1999-10-04,NOC,60.188,61.75,61.563,60.25,356600.0
1999-10-05,NOC,58.25,61.375,58.625,61.375,629300.0
1999-10-06,NOC,58.375,59.25,59.0,58.875,525700.0
1999-10-07,NOC,59.0,60.625,60.125,59.25,631700.0
1999-10-08,NOC,59.75,61.313,61.313,59.75,427200.0
1999-10-11,NOC,61.125,63.063,62.313,61.813,415200.0
1999-10-12,NOC,56.1852,62.313,59.0,62.313,2040700.0
1999-10-13,NOC,55.875,58.25,56.063,58.0,865300.0
1999-10-14,NOC,55.5,57.25,56.438,55.75,703900.0
1999-10-15,NOC,54.5,56.438,55.688,56.438,548000.0
1999-10-18,NOC,54.875,56.75,56.188,55.688,381800.0
1999-10-19,NOC,54.375,57.0,54.438,56.0,498500.0
1999-10-20,NOC,54.25,56.375,54.875,55.438,888700.0
1999-10-21,NOC,54.375,55.625,55.0,54.5,1246900.0
1999-10-22,NOC,53.2547,57.125,54.688,56.25,1075800.0
1999-10-25,NOC,53.25,55.0,53.938,55.0,684400.0
1999-10-26,NOC,53.625,55.063,54.75,54.0,1003200.0
1999-10-27,NOC,54.3785,55.25,54.813,54.75,1901900.0
1999-10-28,NOC,54.875,55.625,55.438,54.875,1009800.0
1999-10-29,NOC,52.688,55.1877,54.875,55.188,1373300.0
1999-11-01,NOC,54.625,55.0,54.813,54.9405,668700.0
1999-11-02,NOC,54.375,55.0,54.75,54.875,308500.0
1999-11-03,NOC,54.375,55.25,55.0,55.0,682800.0
1999-11-04,NOC,54.5,55.25,55.0,55.063,858200.0
1999-11-05,NOC,54.563,55.375,54.688,55.25,224200.0
1999-11-08,NOC,53.5,54.688,53.563,54.688,488100.0
1999-11-09,NOC,52.25,53.938,53.75,53.75,402200.0
1999-11-10,NOC,53.75,55.25,54.875,53.75,585000.0
1999-11-11,NOC,52.0,56.0,52.563,54.938,1076700.0
1999-11-12,NOC,50.625,53.379,53.313,52.125,1687400.0
1999-11-15,NOC,53.0,54.063,53.875,53.313,470600.0
1999-11-16,NOC,52.5,54.125,53.5,54.0,1572700.0
1999-11-17,NOC,53.0,55.5,55.375,53.75,590500.0
1999-11-18,NOC,55.188,57.625,57.125,55.188,653000.0
1999-11-19,NOC,56.125,58.938,57.813,56.125,819000.0
1999-11-22,NOC,56.343999999999994,57.938,56.5,57.625,522600.0
1999-11-23,NOC,55.313,56.563,55.684,56.375,401500.0
1999-11-24,NOC,54.0,55.375,54.25,55.188,189900.0
1999-11-26,NOC,54.0,54.5,54.063,54.25,77400.0
1999-11-29,NOC,52.0,53.813,53.25,53.813,453700.0
1999-11-30,NOC,53.0,56.188,54.788999999999994,53.0,617800.0
1999-12-01,NOC,54.25,55.938,55.375,55.875,865300.0
1999-12-02,NOC,55.5,56.1276,55.75,55.75,675500.0
1999-12-03,NOC,56.0,58.5,58.188,56.0,763400.0
1999-12-06,NOC,55.25,58.0,57.313,57.813,697900.0
1999-12-07,NOC,52.5,57.125,53.5,56.938,2153600.0
1999-12-08,NOC,51.625,53.5,51.625,53.2471,2141200.0
1999-12-09,NOC,47.0,51.75,50.5,51.75,2252100.0
1999-12-10,NOC,50.875,52.375,51.625,51.0,935000.0
1999-12-13,NOC,49.875,51.563,50.625,51.5,1281200.0
1999-12-14,NOC,50.313,51.563,50.875,50.875,991600.0
1999-12-15,NOC,50.5,51.0,50.688,50.938,1078400.0
1999-12-16,NOC,50.5,53.25,51.125,50.938,1058700.0
1999-12-17,NOC,50.063,51.688,50.25,51.188,913500.0
1999-12-20,NOC,48.125,50.25,49.0,50.1269,643400.0
1999-12-21,NOC,48.063,50.7472,49.625,48.875,940500.0
1999-12-22,NOC,49.438,49.8758,49.875,49.625,563800.0
1999-12-23,NOC,50.0,51.875,51.375,50.0,423600.0
1999-12-27,NOC,51.188,52.375,52.125,51.625,457100.0
