Date,symbol,Low,High,Close,Open,Volume
1999-09-28,NUE,44.9982,46.313,45.313,45.438,1735200.0
1999-09-29,NUE,45.063,46.125,45.813,45.063,1051200.0
1999-09-30,NUE,45.813,47.75,47.625,46.0591,1126000.0
1999-10-01,NUE,46.375,48.75,46.688,48.5,1329200.0
1999-10-04,NUE,45.937,46.875,46.25,46.563,865200.0
1999-10-05,NUE,46.0,47.313,46.563,46.0,939600.0
1999-10-06,NUE,45.063,46.688,45.625,46.625,1362400.0
1999-10-07,NUE,42.438,45.688,44.188,45.625,2338400.0
1999-10-08,NUE,43.563,45.25,45.188,44.25,1704400.0
1999-10-11,NUE,45.0,45.938,45.625,45.0601,533600.0
1999-10-12,NUE,44.688,45.375,44.688,45.375,642400.0
1999-10-13,NUE,44.0,44.875,44.125,44.75,783600.0
1999-10-14,NUE,43.0,44.313,44.313,44.0,814800.0
1999-10-15,NUE,42.75,45.313,42.75,45.313,1141600.0
1999-10-18,NUE,42.625,43.625,43.625,42.875,828400.0
1999-10-19,NUE,43.3112,44.625,43.313,43.75,1057600.0
1999-10-20,NUE,42.75,43.75,43.25,43.563,1083600.0
1999-10-21,NUE,42.25,43.313,43.125,42.875,782400.0
1999-10-22,NUE,45.688,46.25,45.938,46.0,2334800.0
1999-10-25,NUE,45.625,48.9992,49.0,45.75,2350400.0
1999-10-26,NUE,49.125,49.813,49.5,49.25,2608800.0
1999-10-27,NUE,49.188,50.0,49.188,49.375,2291600.0
1999-10-28,NUE,49.813,50.5,50.438,50.0,1426000.0
1999-10-29,NUE,50.75,51.938,51.875,51.0,1214000.0
1999-11-01,NUE,50.375,51.875,50.5,51.875,677600.0
1999-11-02,NUE,50.0,52.375,52.063,50.5,1084400.0
1999-11-03,NUE,50.75,52.438,51.25,52.313,963200.0
1999-11-04,NUE,50.25,51.438,50.813,51.3742,658400.0
1999-11-05,NUE,51.0,52.1876,51.938,51.0,771200.0
1999-11-08,NUE,49.813,52.25,50.375,52.0,897600.0
1999-11-09,NUE,49.813,50.375,50.375,50.0,704400.0
1999-11-10,NUE,49.75,50.625,50.5,50.625,741600.0
1999-11-11,NUE,50.75,52.0,51.625,50.75,1054000.0
1999-11-12,NUE,49.563,50.938,49.875,50.8759,1177200.0
1999-11-15,NUE,49.625,51.188,51.0,49.938,876400.0
1999-11-16,NUE,50.375,51.438,51.063,51.25,818400.0
1999-11-17,NUE,49.688,51.0,49.688,50.8144,2903200.0
1999-11-18,NUE,49.875,52.0,51.438,49.875,1306800.0
1999-11-19,NUE,50.843999999999994,51.625,51.375,51.5,724000.0
1999-11-22,NUE,49.968999999999994,51.25,50.43,51.125,658000.0
1999-11-23,NUE,49.313,50.25,49.438,50.25,920000.0
1999-11-24,NUE,48.625,51.0,50.625,49.5,948800.0
1999-11-26,NUE,50.0,50.75,50.063,50.75,471200.0
1999-11-29,NUE,48.5,49.75,48.688,49.625,1443200.0
1999-11-30,NUE,48.75,50.438,50.438,48.875,950800.0
1999-12-01,NUE,49.25,50.4388,50.125,50.188,1126400.0
1999-12-02,NUE,50.438,53.0,52.125,50.438,1865600.0
1999-12-03,NUE,52.0,54.0,53.938,52.0,1576400.0
1999-12-06,NUE,52.75,53.938,53.5,53.375,962400.0
1999-12-07,NUE,53.313,54.063,54.0,54.0,1720000.0
1999-12-08,NUE,54.125,55.5,55.25,54.5,2071200.0
1999-12-09,NUE,54.313,55.25,54.313,55.25,1036800.0
1999-12-10,NUE,54.375,56.625,56.313,54.375,1727200.0
1999-12-13,NUE,55.625,57.438,55.938,56.4983,2154800.0
1999-12-14,NUE,54.8128,56.125,55.563,55.75,1588400.0
1999-12-15,NUE,55.313,57.25,56.625,55.563,2388400.0
1999-12-16,NUE,55.813,56.625,56.438,56.5,2339600.0
1999-12-17,NUE,54.5,56.7475,54.5,56.438,2241600.0
1999-12-20,NUE,52.75,55.0,53.25,54.75,1727600.0
1999-12-21,NUE,53.375,56.188,55.25,53.5,2303600.0
1999-12-22,NUE,53.625,55.125,53.625,55.0,1354400.0
1999-12-23,NUE,53.313,54.813,54.438,53.688,998000.0
1999-12-27,NUE,54.375,54.9968,54.375,54.75,1149200.0
1999-12-28,NUE,54.2485,56.25,56.0,54.438,997600.0
1999-12-29,NUE,54.688,55.813,55.0,55.813,999200.0
1999-12-30,NUE,54.375,55.3141,54.375,55.063,525200.0
1999-12-31,NUE,54.125,55.313,54.813,54.125,554800.0
2000-01-03,NUE,53.313,54.813,54.313,54.813,2283200.0
2000-01-04,NUE,53.375,54.938,53.75,54.2486,1556400.0
