Date,symbol,Low,High,Close,Open,Volume
2013-06-19,NWSA,15.2,16.25,15.8,15.28,31981500.0
2013-06-20,NWSA,15.25,16.37,15.3,16.37,9274200.0
2013-06-21,NWSA,15.4,15.8,15.62,15.7,8323500.0
2013-06-24,NWSA,15.2,15.84,15.53,15.64,4279700.0
2013-06-25,NWSA,15.35,15.7403,15.72,15.55,3577300.0
2013-06-26,NWSA,15.18,15.69,15.4,15.69,14755100.0
2013-06-27,NWSA,14.85,15.87,15.5,15.34,12121700.0
2013-06-28,NWSA,15.25,15.77,15.25,15.5,16988100.0
2013-07-01,NWSA,14.75,15.59,14.79,15.59,25839400.0
2013-07-02,NWSA,14.69,15.12,15.0,14.69,30520100.0
2013-07-03,NWSA,14.7308,15.09,14.87,14.95,8542600.0
2013-07-05,NWSA,14.89,15.95,15.66,14.95,12427000.0
2013-07-08,NWSA,15.495,16.04,15.955,15.63,15345100.0
2013-07-09,NWSA,15.4998,15.97,15.71,15.79,9936400.0
2013-07-10,NWSA,15.145,15.57,15.39,15.5,16327000.0
2013-07-11,NWSA,14.9607,15.6,15.13,15.6,17029600.0
2013-07-12,NWSA,14.8997,15.12,14.93,15.07,10426300.0
2013-07-15,NWSA,14.39,15.0312,14.67,14.93,20636400.0
2013-07-16,NWSA,14.57,15.34,15.28,14.57,9328500.0
2013-07-17,NWSA,15.29,15.96,15.89,15.36,13411100.0
2013-07-18,NWSA,15.33,16.0999,15.47,15.94,10825700.0
2013-07-19,NWSA,15.26,16.08,15.97,15.35,11658700.0
2013-07-22,NWSA,15.61,16.125,15.73,16.09,6141600.0
2013-07-23,NWSA,15.54,15.865,15.65,15.69,9298400.0
2013-07-24,NWSA,15.42,15.885,15.71,15.65,6205200.0
2013-07-25,NWSA,15.45,15.87,15.57,15.66,7069700.0
2013-07-26,NWSA,15.31,15.97,15.89,15.54,5884800.0
2013-07-29,NWSA,15.4,15.87,15.51,15.87,9020200.0
2013-07-30,NWSA,15.46,15.955,15.95,15.6,12798200.0
2013-07-31,NWSA,15.83,16.2109,15.93,16.0,7681500.0
2013-08-01,NWSA,15.94,16.28,16.215,15.9387,10303300.0
2013-08-02,NWSA,16.12,16.47,16.34,16.15,8258600.0
2013-08-05,NWSA,15.89,16.33,16.0,16.33,8754100.0
2013-08-06,NWSA,15.82,16.25,16.18,15.99,6232000.0
2013-08-07,NWSA,15.85,16.15,15.95,16.15,4755000.0
2013-08-08,NWSA,15.91,16.31,16.13,16.07,7110400.0
2013-08-09,NWSA,15.96,16.16,15.98,16.0893,4293800.0
2013-08-12,NWSA,15.74,16.06,15.92,15.88,4882400.0
2013-08-13,NWSA,15.8,15.95,15.83,15.91,3615400.0
2013-08-14,NWSA,15.66,16.01,15.9,15.83,3940500.0
2013-08-15,NWSA,15.7,16.19,16.1,15.79,5160000.0
2013-08-16,NWSA,15.96,16.25,15.98,16.04,6373200.0
2013-08-19,NWSA,15.6898,16.06,15.7,16.05,6123600.0
2013-08-20,NWSA,15.52,15.83,15.7,15.83,4265600.0
2013-08-21,NWSA,15.49,15.78,15.76,15.61,5040000.0
2013-08-22,NWSA,15.63,15.825,15.71,15.7601,3731700.0
2013-08-23,NWSA,15.57,15.79,15.75,15.71,3981300.0
2013-08-26,NWSA,15.7101,15.9,15.86,15.79,4125000.0
2013-08-27,NWSA,15.69,16.0,15.729000000000001,15.75,9059500.0
2013-08-28,NWSA,15.68,15.81,15.76,15.76,11099300.0
2013-08-29,NWSA,15.64,15.89,15.77,15.73,2795500.0
2013-08-30,NWSA,15.59,15.78,15.7,15.75,5386300.0
2013-09-03,NWSA,15.69,16.03,15.78,15.89,3783600.0
2013-09-04,NWSA,15.76,16.08,16.03,15.79,4992000.0
2013-09-05,NWSA,15.88,16.275,16.24,15.97,3521200.0
2013-09-06,NWSA,16.08,16.34,16.19,16.311,3358700.0
2013-09-09,NWSA,16.16,16.34,16.335,16.16,3668900.0
2013-09-10,NWSA,16.25,16.5684,16.555,16.38,4292100.0
2013-09-11,NWSA,16.5,17.06,17.05,16.65,7562700.0
2013-09-12,NWSA,16.94,17.26,17.105,17.12,4836500.0
2013-09-13,NWSA,16.77,17.08,16.89,17.06,2717700.0
2013-09-16,NWSA,16.78,17.2,16.96,17.12,5758300.0
2013-09-17,NWSA,16.89,17.17,16.995,17.03,2538500.0
2013-09-18,NWSA,16.84,17.18,17.045,16.99,3862600.0
2013-09-19,NWSA,16.66,17.1,16.871,17.1,3286100.0
2013-09-20,NWSA,16.47,17.0,16.635,16.92,4594000.0
2013-09-23,NWSA,16.3702,16.64,16.53,16.62,2360000.0
2013-09-24,NWSA,16.505,17.2,17.04,16.53,5611800.0
2013-09-25,NWSA,16.6796,17.04,16.8,17.03,4389700.0
2013-09-26,NWSA,16.1,16.87,16.29,16.77,12737900.0
2013-09-27,NWSA,15.99,16.25,16.17,16.1,7098300.0
2013-09-30,NWSA,15.91,16.2608,16.06,16.2,6237900.0
