Date,symbol,Low,High,Close,Open,Volume
1999-09-28,ORLY,43.75,45.375,44.813,44.3726,980000.0
1999-09-29,ORLY,44.75,45.0,44.938,44.938,2103600.0
1999-09-30,ORLY,44.813,47.875,47.656000000000006,45.0,1584800.0
1999-10-01,ORLY,45.75,47.0,46.781000000000006,46.813,1075200.0
1999-10-04,ORLY,46.5,48.125,47.625,46.5,577200.0
1999-10-05,ORLY,44.75,48.188,46.125,47.813,1873200.0
1999-10-06,ORLY,46.343999999999994,47.25,47.0,46.343999999999994,316000.0
1999-10-07,ORLY,47.031000000000006,47.563,47.063,47.563,365200.0
1999-10-08,ORLY,47.0,47.563,47.313,47.031000000000006,336400.0
1999-10-11,ORLY,47.125,47.625,47.406000000000006,47.313,783600.0
1999-10-12,ORLY,45.5,47.563,46.0,47.375,263600.0
1999-10-13,ORLY,43.8748,45.75,45.125,45.063,408000.0
1999-10-14,ORLY,43.188,45.125,43.875,45.0,1470400.0
1999-10-15,ORLY,40.75,42.5,41.813,41.0,1690400.0
1999-10-18,ORLY,41.0,42.25,41.0,42.25,465600.0
1999-10-19,ORLY,41.063,43.5,42.75,41.125,336000.0
1999-10-20,ORLY,41.813,43.25,42.625,42.375,222800.0
1999-10-21,ORLY,41.875,42.875,42.0,42.2507,305200.0
1999-10-22,ORLY,42.125,43.0,42.75,42.813,988800.0
1999-10-25,ORLY,40.813,43.0,41.625,42.625,135200.0
1999-10-26,ORLY,40.375,42.313,40.5,41.563,418000.0
1999-10-27,ORLY,39.25,41.25,39.5,40.563,380000.0
1999-10-28,ORLY,39.75,43.25,41.875,40.25,1162000.0
1999-10-29,ORLY,41.688,44.25,43.625,41.938,538400.0
1999-11-01,ORLY,42.75,43.625,43.125,43.625,366800.0
1999-11-02,ORLY,42.875,43.25,43.125,42.875,383600.0
1999-11-03,ORLY,42.938,44.75,44.375,43.0,456800.0
1999-11-04,ORLY,44.0,44.75,44.625,44.0,494000.0
1999-11-05,ORLY,44.563,45.063,44.938,45.0,178400.0
1999-11-08,ORLY,44.25,45.25,45.031000000000006,44.25,670800.0
1999-11-09,ORLY,44.938,46.688,45.313,46.188,427200.0
1999-11-10,ORLY,45.0038,46.0,45.172,45.5,324800.0
1999-11-11,ORLY,44.0,45.375,44.25,45.25,379200.0
1999-11-12,ORLY,43.5,44.75,43.625,44.5,237200.0
1999-11-15,ORLY,43.688,44.5,44.0,43.688,1015600.0
1999-11-16,ORLY,44.0,44.5,44.5,44.5,341200.0
1999-11-17,ORLY,44.25,45.25,44.688,44.688,141200.0
1999-11-18,ORLY,44.75,45.25,45.25,45.063,270000.0
1999-11-19,ORLY,45.188,46.0,45.625,45.25,571200.0
1999-11-22,ORLY,45.625,47.0,46.938,45.688,542400.0
1999-11-23,ORLY,46.9977,48.75,47.875,47.125,970000.0
1999-11-24,ORLY,47.5,48.5,47.813,48.5,396400.0
1999-11-26,ORLY,47.625,48.063,47.938,48.0,256800.0
1999-11-29,ORLY,46.75,48.2495,46.875,48.063,340000.0
1999-11-30,ORLY,46.0,47.4385,46.0,46.75,294400.0
1999-12-01,ORLY,22.938000000000002,24.0,23.938000000000002,23.25,360800.0
1999-12-02,ORLY,22.0,24.0,23.125,24.0,508600.0
1999-12-03,ORLY,22.5,23.125,23.063000000000002,23.1272,235600.0
1999-12-06,ORLY,22.625,23.188000000000002,22.625,23.125,184800.0
1999-12-07,ORLY,21.5,22.563000000000002,21.625,22.531,259400.0
1999-12-08,ORLY,20.625,22.0,20.625,22.0,404800.0
1999-12-09,ORLY,20.0,21.7509,21.75,21.25,465200.0
1999-12-10,ORLY,19.5,21.5,19.563,21.5,670800.0
1999-12-13,ORLY,20.969,22.1242,21.938000000000002,21.0,560600.0
1999-12-14,ORLY,21.0,22.25,21.125,22.25,321800.0
1999-12-15,ORLY,21.0,22.5,22.5,21.25,686000.0
