Date,symbol,Low,High,Close,Open,Volume
1999-09-29,PCAR,47.813,49.0,47.968999999999994,48.5664,881100.0
1999-09-30,PCAR,47.938,51.125,50.875,48.5008,1026000.0
1999-10-01,PCAR,47.875,51.063,49.688,50.5,1151100.0
1999-10-04,PCAR,50.0,51.438,51.375,50.0,1698900.0
1999-10-05,PCAR,44.125,49.625,44.438,49.25,3723900.0
1999-10-06,PCAR,44.938,49.25,47.875,45.0,4952400.0
1999-10-07,PCAR,47.1252,48.75,48.0,48.5,1178500.0
1999-10-08,PCAR,47.5,48.813,48.563,47.813,1094800.0
1999-10-11,PCAR,48.2472,49.563,48.688,48.375,1743700.0
1999-10-12,PCAR,48.188,50.125,48.375,48.625,1905400.0
1999-10-13,PCAR,46.6272,49.438,46.718999999999994,48.375,2215300.0
1999-10-14,PCAR,45.748999999999995,47.563,47.313,46.75,1011700.0
1999-10-15,PCAR,45.625,46.813,45.813,46.813,1421700.0
1999-10-18,PCAR,45.25,46.125,46.0,45.813,1142200.0
1999-10-19,PCAR,43.563,46.0592,44.625,46.063,1421500.0
1999-10-20,PCAR,44.375,46.3751,46.063,45.75,2157900.0
1999-10-21,PCAR,44.688,46.0,44.875,45.968999999999994,2867400.0
1999-10-22,PCAR,45.0,45.938,45.688,45.313,1701900.0
1999-10-25,PCAR,44.813,46.0,45.438,45.938,1046200.0
1999-10-26,PCAR,44.5,46.75,44.563,45.875,1026900.0
1999-10-27,PCAR,44.5,46.313,45.625,45.031000000000006,1138000.0
1999-10-28,PCAR,45.906000000000006,47.313,47.0,45.906000000000006,2097100.0
1999-10-29,PCAR,46.375,47.75,47.125,47.343999999999994,2016900.0
1999-11-01,PCAR,46.625,48.25,46.813,47.188,2550300.0
1999-11-02,PCAR,47.063,49.125,47.25,47.188,2022300.0
1999-11-03,PCAR,43.5,45.125,43.938,44.0,5204200.0
1999-11-04,PCAR,43.938,45.375,44.188,43.9994,1881400.0
1999-11-05,PCAR,44.1259,45.625,44.563,44.5,1637500.0
1999-11-08,PCAR,43.813,45.0,44.188,44.7481,1670800.0
1999-11-09,PCAR,44.0,44.75,44.25,44.563,1309500.0
1999-11-10,PCAR,43.375,44.375,43.75,44.063,2278900.0
1999-11-11,PCAR,41.813,43.75,42.188,43.6221,1716400.0
1999-11-12,PCAR,41.625,42.688,41.938,42.625,3126600.0
1999-11-15,PCAR,41.938,42.75,42.375,41.9357,3405300.0
1999-11-16,PCAR,42.25,44.0,43.625,42.25,2953800.0
1999-11-17,PCAR,42.25,44.25,42.25,43.5026,1061100.0
1999-11-18,PCAR,42.063,43.188,43.188,42.375,1583700.0
1999-11-19,PCAR,42.063,43.9961,42.313,43.563,2507100.0
1999-11-22,PCAR,41.563,42.7506,42.063,42.688,2701300.0
1999-11-23,PCAR,40.625,42.0,41.188,41.75,2198400.0
1999-11-24,PCAR,41.0,41.25,41.125,41.125,1722100.0
1999-11-26,PCAR,40.688,41.25,41.063,41.218999999999994,684400.0
1999-11-29,PCAR,39.8134,41.25,40.375,41.0,1987800.0
1999-11-30,PCAR,40.125,41.313,41.125,40.125,2825700.0
1999-12-01,PCAR,40.75,41.75,41.563,41.25,2781600.0
1999-12-02,PCAR,40.813,41.875,41.438,41.625,1666800.0
1999-12-03,PCAR,41.625,42.625,42.313,42.047,2779200.0
1999-12-06,PCAR,41.875,42.625,42.563,42.188,2504800.0
1999-12-07,PCAR,42.125,43.125,42.625,42.688,3256200.0
1999-12-08,PCAR,42.125,44.0,43.938,42.343999999999994,4457800.0
1999-12-09,PCAR,41.813,44.125,43.313,43.75,1681600.0
1999-12-10,PCAR,42.75,44.063,43.938,43.5,1411300.0
1999-12-13,PCAR,41.9994,44.25,43.063,44.125,2214100.0
1999-12-14,PCAR,42.688,43.75,43.625,42.75,3095100.0
1999-12-15,PCAR,43.438,44.75,44.25,43.688,5198400.0
1999-12-16,PCAR,43.75,44.625,44.625,44.0,2234800.0
1999-12-17,PCAR,43.25,46.125,43.75,44.75,57864300.0
1999-12-20,PCAR,42.688,44.688,43.75,44.063,1333800.0
1999-12-21,PCAR,42.813,44.563,44.25,43.593999999999994,1487700.0
1999-12-22,PCAR,44.375,46.25,44.438,44.406000000000006,1219000.0
1999-12-23,PCAR,44.375,46.625,46.188,44.375,844300.0
1999-12-27,PCAR,44.938,46.375,45.063,46.375,929700.0
1999-12-28,PCAR,43.875,46.0,45.75,44.75,1311000.0
1999-12-29,PCAR,44.8751,46.188,46.188,45.25,625000.0
1999-12-30,PCAR,45.375,46.563,45.625,46.188,637800.0
1999-12-31,PCAR,44.25,46.0,44.313,46.0,686700.0
2000-01-03,PCAR,42.25,44.5,43.5,43.75,3280500.0
2000-01-04,PCAR,41.25,44.063,41.5,43.313,1701100.0
2000-01-05,PCAR,41.313,44.313,43.188,41.375,2105200.0
2000-01-06,PCAR,41.875,43.75,42.625,43.063,3530400.0
2000-01-07,PCAR,41.5,44.25,44.25,42.563,2677200.0
2000-01-10,PCAR,43.9995,46.063,46.063,44.438,1783900.0
