Date,symbol,Low,High,Close,Open,Volume
1999-09-28,PDCO,46.5,47.313,46.593999999999994,46.75,1412000.0
1999-09-29,PDCO,46.563,46.875,46.563,46.75,633600.0
1999-09-30,PDCO,46.75,50.125,49.563,46.813,1328800.0
1999-10-01,PDCO,47.375,49.75,47.625,49.625,628400.0
1999-10-04,PDCO,47.25,48.0,47.25,47.968999999999994,982000.0
1999-10-05,PDCO,46.688,47.4392,47.063,47.375,561600.0
1999-10-06,PDCO,46.9981,47.75,47.563,47.0,650800.0
1999-10-07,PDCO,47.25,47.75,47.375,47.688,297200.0
1999-10-08,PDCO,46.75,47.75,47.563,47.5,401200.0
1999-10-11,PDCO,47.25,47.75,47.563,47.75,419600.0
1999-10-12,PDCO,47.375,47.688,47.375,47.563,226800.0
1999-10-13,PDCO,46.625,47.563,47.0,47.5,167200.0
1999-10-14,PDCO,45.75,47.0,46.25,46.875,306000.0
1999-10-15,PDCO,45.5,47.813,47.75,45.875,436800.0
1999-10-18,PDCO,47.0,47.625,47.375,47.375,180000.0
1999-10-19,PDCO,47.375,47.625,47.563,47.625,388000.0
1999-10-20,PDCO,47.375,47.625,47.563,47.625,430000.0
1999-10-21,PDCO,46.375,47.75,46.375,47.625,600000.0
1999-10-22,PDCO,44.4995,46.563,44.625,46.563,2024800.0
1999-10-25,PDCO,42.75,44.875,43.5,44.875,928800.0
1999-10-26,PDCO,43.5,44.0,43.75,43.5,549200.0
1999-10-27,PDCO,43.6288,44.75,44.438,43.75,278000.0
1999-10-28,PDCO,44.0,44.875,44.468999999999994,44.0,171200.0
1999-10-29,PDCO,44.563,45.125,45.063,45.0,338400.0
1999-11-01,PDCO,44.0,45.25,44.0,44.5,616000.0
1999-11-02,PDCO,43.813,44.625,44.063,44.0,552800.0
1999-11-03,PDCO,43.0,44.75,44.125,44.375,489600.0
1999-11-04,PDCO,40.375,44.063,41.125,43.875,631600.0
1999-11-05,PDCO,40.25,41.5,40.5,40.5,1237200.0
1999-11-08,PDCO,39.5,40.4993,39.625,40.375,631200.0
1999-11-09,PDCO,38.875,40.0,39.375,39.625,651200.0
1999-11-10,PDCO,39.25,41.0,41.0,39.375,854400.0
1999-11-11,PDCO,40.75,44.875,44.0,40.813,1012000.0
1999-11-12,PDCO,42.75,45.25,43.5,45.0,521200.0
1999-11-15,PDCO,42.75,45.188,44.75,43.406000000000006,711600.0
1999-11-16,PDCO,42.5,45.25,43.063,45.25,1202400.0
1999-11-17,PDCO,41.438,43.375,41.438,42.875,215200.0
1999-11-18,PDCO,41.5,43.0,43.0,41.781000000000006,258400.0
1999-11-19,PDCO,43.625,47.0,44.0,45.0,714000.0
1999-11-22,PDCO,43.5,46.0,45.0,45.563,577200.0
1999-11-23,PDCO,44.938,46.625,45.125,46.0,955600.0
1999-11-24,PDCO,45.125,45.75,45.531000000000006,45.313,435200.0
1999-11-26,PDCO,44.938,45.625,45.375,45.0,155600.0
1999-11-29,PDCO,44.75,45.875,45.375,44.938,550800.0
1999-11-30,PDCO,45.0,45.875,45.875,44.9991,201600.0
1999-12-01,PDCO,45.0,46.125,46.125,45.25,260000.0
1999-12-02,PDCO,45.438,46.812,45.5,45.531000000000006,248000.0
1999-12-03,PDCO,45.5,47.5,46.313,45.875,621600.0
1999-12-06,PDCO,45.875,46.6861,46.063,46.688,466400.0
1999-12-07,PDCO,45.875,46.656000000000006,46.25,46.375,441200.0
1999-12-08,PDCO,45.875,46.5,46.063,45.875,374400.0
1999-12-09,PDCO,45.5,46.25,45.75,46.25,2191200.0
1999-12-10,PDCO,42.25,45.75,43.25,45.75,381600.0
1999-12-13,PDCO,42.688,44.313,42.75,43.2491,321600.0
1999-12-14,PDCO,42.75,44.25,42.75,42.813,217200.0
1999-12-15,PDCO,41.0,43.25,42.688,43.0,1433600.0
1999-12-16,PDCO,41.063,42.625,41.625,42.0,685200.0
1999-12-17,PDCO,41.5,42.875,41.5,42.031000000000006,865200.0
1999-12-20,PDCO,40.25,41.7502,40.563,41.5,2408000.0
1999-12-21,PDCO,40.0,41.5,40.625,41.125,1666400.0
1999-12-22,PDCO,39.375,41.375,40.125,41.063,1382000.0
1999-12-23,PDCO,40.125,42.75,42.25,40.1249,222800.0
1999-12-27,PDCO,40.625,43.0,42.813,42.25,251200.0
1999-12-28,PDCO,41.063,42.75,42.25,42.25,505200.0
1999-12-29,PDCO,41.813,43.25,43.25,42.25,97200.0
1999-12-30,PDCO,42.438,43.25,42.968999999999994,43.25,215600.0
1999-12-31,PDCO,42.5,43.25,42.625,43.25,270000.0
2000-01-03,PDCO,40.75,43.125,42.25,43.125,486400.0
2000-01-04,PDCO,39.0,42.25,40.125,41.375,978000.0
2000-01-05,PDCO,39.125,46.5,44.75,40.0,1167200.0
2000-01-06,PDCO,43.75,45.9985,44.625,44.75,853600.0
2000-01-07,PDCO,43.813,45.438,45.25,44.5,968800.0
2000-01-10,PDCO,43.9914,46.25,45.718999999999994,45.75,478400.0
2000-01-11,PDCO,45.0,46.0,45.375,45.0,212000.0
2000-01-12,PDCO,44.25,45.5,44.5,45.375,255600.0
2000-01-13,PDCO,44.375,48.25,48.0,44.375,1343200.0
2000-01-14,PDCO,46.625,48.0,46.75,48.0,554000.0
2000-01-18,PDCO,44.75,47.0002,47.0,46.531000000000006,346800.0
2000-01-19,PDCO,46.313,46.875,46.5,46.625,456000.0
2000-01-20,PDCO,45.25,46.625,46.0,46.281000000000006,416800.0
2000-01-21,PDCO,45.875,48.0,46.813,46.313,524400.0
2000-01-24,PDCO,45.813,47.5,45.813,46.875,626800.0
2000-01-25,PDCO,45.75,46.875,46.875,46.5,391600.0
2000-01-26,PDCO,45.75,47.358999999999995,46.125,46.938,611600.0
2000-01-27,PDCO,45.75,46.563,46.313,46.125,632400.0
2000-01-28,PDCO,44.016000000000005,46.688,44.063,46.063,344400.0
2000-01-31,PDCO,43.0,46.0,43.563,44.125,534400.0
2000-02-01,PDCO,42.375,44.0,42.688,44.0,716400.0
2000-02-02,PDCO,42.0,46.75,44.125,43.0,728800.0
2000-02-03,PDCO,43.875,46.75,46.438,43.875,341200.0
2000-02-04,PDCO,44.391000000000005,46.5,44.688,46.5,310000.0
2000-02-07,PDCO,42.75,45.125,43.0,45.125,410800.0
2000-02-08,PDCO,40.0,43.938,40.75,43.0,958800.0
2000-02-09,PDCO,39.938,42.375,39.938,41.0,856000.0
2000-02-10,PDCO,38.5,41.25,40.063,41.125,994400.0
2000-02-11,PDCO,38.25,40.188,38.688,40.188,414400.0
2000-02-14,PDCO,37.7495,40.438,39.0,38.75,500000.0
2000-02-15,PDCO,38.375,39.6267,38.688,38.75,762000.0
2000-02-16,PDCO,36.75,39.25,36.875,39.25,342800.0
2000-02-17,PDCO,34.313,37.563,35.563,37.188,908800.0
2000-02-18,PDCO,34.25,36.125,35.0,34.563,822400.0
2000-02-22,PDCO,32.5,35.5,32.875,35.0,1154000.0
2000-02-23,PDCO,33.125,37.0,36.688,33.563,1299600.0
2000-02-24,PDCO,36.563,39.25,39.125,37.563,724000.0
2000-02-25,PDCO,35.063,38.625,35.75,38.625,1584000.0
2000-02-28,PDCO,35.688,36.125,35.875,36.063,500000.0
2000-02-29,PDCO,35.813,36.25,36.031,36.0,1777200.0
2000-03-01,PDCO,34.0,36.063,34.781,36.063,2492000.0
2000-03-02,PDCO,34.5,36.125,35.0,34.5,1024400.0
2000-03-03,PDCO,35.125,36.125,35.906,35.5,1224000.0
2000-03-06,PDCO,35.0,36.0,35.0,36.0,1560000.0
2000-03-07,PDCO,34.0,35.875,34.375,35.874,635200.0
2000-03-08,PDCO,33.4987,34.625,33.75,34.375,574000.0
2000-03-09,PDCO,33.0,34.5,34.375,34.5,799200.0
2000-03-10,PDCO,33.8767,35.75,33.875,34.5,500800.0
2000-03-13,PDCO,33.75,36.25,35.5,35.25,688400.0
2000-03-14,PDCO,35.0019,36.625,35.375,35.719,578800.0
2000-03-15,PDCO,34.875,37.25,37.25,35.688,985200.0
2000-03-16,PDCO,36.563,38.875,38.813,36.563,1447200.0
2000-03-17,PDCO,37.688,39.125,38.469,37.875,846800.0
2000-03-20,PDCO,37.875,39.125,37.875,38.781,285200.0
2000-03-21,PDCO,37.438,39.125,39.125,38.938,422000.0
2000-03-22,PDCO,38.0,39.125,38.938,38.875,768800.0
2000-03-23,PDCO,38.0,39.125,38.875,39.063,456400.0
2000-03-24,PDCO,38.0,39.125,38.75,39.0,371200.0
2000-03-27,PDCO,38.0,39.063,38.813,39.0,175200.0
2000-03-28,PDCO,37.5,39.125,37.625,38.75,596000.0
2000-03-29,PDCO,37.375,39.063,38.0,39.0,642400.0
2000-03-30,PDCO,37.0,38.0,37.0,38.0,181600.0
2000-03-31,PDCO,36.875,38.5,38.25,37.0,962400.0
2000-04-03,PDCO,37.625,38.0,37.688,37.75,483600.0
2000-04-04,PDCO,36.875,38.0,37.563,38.0,704400.0
2000-04-05,PDCO,37.063,38.5,38.375,37.438,444000.0
2000-04-06,PDCO,38.25,39.563,39.438,38.25,624800.0
2000-04-07,PDCO,39.5,41.25,41.0,39.5,630000.0
2000-04-10,PDCO,39.25,41.126000000000005,39.375,41.0,555200.0
2000-04-11,PDCO,39.25,42.0,41.5,39.626,454000.0
2000-04-12,PDCO,41.9979,46.375,45.125,43.25,845200.0
2000-04-13,PDCO,44.625,47.75,46.125,44.75,1214800.0
2000-04-14,PDCO,44.5,46.0,44.813,45.75,398800.0
2000-04-17,PDCO,41.75,45.125,44.5,43.625,442400.0
2000-04-18,PDCO,42.625,48.0,47.25,44.5,1135600.0
2000-04-19,PDCO,46.438,47.75,47.438,47.0,437600.0
2000-04-20,PDCO,46.75,48.25,47.5,47.438,570400.0
2000-04-24,PDCO,46.5,48.125,47.25,46.938,452800.0
2000-04-25,PDCO,45.938,49.0035,48.875,46.938,1466000.0
2000-04-26,PDCO,48.0,49.5,49.5,48.938,800400.0
2000-04-27,PDCO,47.063,49.375,49.375,48.875,195200.0
2000-04-28,PDCO,46.938,49.438,48.125,48.938,289200.0
2000-05-01,PDCO,46.813,49.5,48.75,47.0,374400.0
2000-05-02,PDCO,45.125,48.75,45.313,48.75,311600.0
2000-05-03,PDCO,43.625,46.2504,45.563,45.25,223600.0
2000-05-04,PDCO,45.75,46.563,46.375,45.875,228400.0
2000-05-05,PDCO,45.688,49.0,48.75,46.688,163200.0
2000-05-08,PDCO,47.0,48.875,47.125,47.25,216800.0
2000-05-09,PDCO,42.875,48.0,45.938,48.0,328000.0
2000-05-10,PDCO,44.125,48.25,47.0,44.125,668800.0
2000-05-11,PDCO,46.625,49.0,48.563,46.688,442800.0
2000-05-12,PDCO,47.938,49.0,48.5,49.0,469600.0
2000-05-15,PDCO,48.0,49.5,49.25,48.0,826800.0
2000-05-16,PDCO,48.8792,50.0,49.563,49.25,644800.0
2000-05-17,PDCO,48.25,49.625,48.688,49.3131,463200.0
2000-05-18,PDCO,48.625,48.875,48.625,48.688,150400.0
2000-05-19,PDCO,48.125,48.813,48.375,48.625,244000.0
2000-05-22,PDCO,48.25,48.688,48.313,48.688,361200.0
