Date,symbol,Low,High,Close,Open,Volume
1999-09-28,PEP,31.625,32.25,31.813000000000002,32.0,3059900.0
1999-09-29,PEP,30.75,32.063,31.0,31.563000000000002,3651400.0
1999-09-30,PEP,30.25,31.25,30.5,31.125,3422800.0
1999-10-01,PEP,30.125,31.375,31.375,30.375,3623600.0
1999-10-04,PEP,30.813000000000002,31.813000000000002,31.813000000000002,31.375,3567400.0
1999-10-05,PEP,31.188000000000002,32.313,31.438000000000002,32.2523,4588700.0
1999-10-06,PEP,32.125,33.438,33.188,32.25,6161000.0
1999-10-07,PEP,32.8131,33.5,33.125,33.25,3308100.0
1999-10-08,PEP,33.188,34.813,34.375,33.25,5304800.0
1999-10-11,PEP,34.188,34.875,34.688,34.25,3516600.0
1999-10-12,PEP,34.0646,34.813,34.375,34.625,3433000.0
1999-10-13,PEP,33.375,34.563,33.375,34.125,3194900.0
1999-10-14,PEP,33.375,34.0,33.563,33.5,3415100.0
1999-10-15,PEP,32.188,32.813,32.188,32.5,5503300.0
1999-10-18,PEP,32.0,33.063,32.875,32.063,3756900.0
1999-10-19,PEP,33.25,33.875,33.875,33.313,4484300.0
1999-10-20,PEP,33.125,34.375,33.125,33.625,4008200.0
1999-10-21,PEP,32.938,33.375,33.313,33.125,2986400.0
1999-10-22,PEP,33.375,34.313,34.125,33.438,2791500.0
1999-10-25,PEP,33.75,34.688,34.25,34.063,2336800.0
1999-10-26,PEP,33.75,34.5,33.875,34.25,2480500.0
1999-10-27,PEP,33.188,34.125,34.063,33.938,3924000.0
1999-10-28,PEP,34.25,34.75,34.688,34.313,3590000.0
1999-10-29,PEP,34.5,35.125,34.688,34.813,4276900.0
1999-11-01,PEP,33.563,34.563,33.563,34.438,3635000.0
1999-11-02,PEP,33.563,34.313,33.688,33.625,2682900.0
1999-11-03,PEP,33.75,34.313,34.25,33.813,2898500.0
1999-11-04,PEP,32.063,34.563,33.0,34.25,4683900.0
1999-11-05,PEP,33.0,34.063,33.813,33.0,4080100.0
1999-11-08,PEP,33.5,33.938,33.688,33.563,2449400.0
1999-11-09,PEP,32.75,33.75,32.75,33.688,2391400.0
1999-11-10,PEP,32.563,33.063,32.688,32.75,4237500.0
1999-11-11,PEP,32.4366,32.813,32.75,32.563,3282500.0
1999-11-12,PEP,32.563,33.125,33.125,32.938,2409500.0
1999-11-15,PEP,32.1913,33.125,32.563,32.813,2604200.0
1999-11-16,PEP,32.438,33.75,33.75,32.5,3370300.0
1999-11-17,PEP,33.5,34.625,34.125,33.625,4214300.0
1999-11-18,PEP,34.0,34.625,34.563,34.125,4350500.0
1999-11-19,PEP,34.125,35.125,34.5,34.625,4527200.0
1999-11-22,PEP,34.7509,36.625,36.313,35.125,8637400.0
1999-11-23,PEP,35.875,37.1238,36.066,36.5,6060900.0
1999-11-24,PEP,35.0,35.9385,35.188,35.875,3406400.0
1999-11-26,PEP,34.813,35.375,34.875,35.313,1328300.0
1999-11-29,PEP,34.063,34.938,34.688,34.875,4712500.0
1999-11-30,PEP,34.188,34.938,34.563,34.188,3090200.0
1999-12-01,PEP,34.25,34.813,34.484,34.3109,2953000.0
1999-12-02,PEP,34.125,37.0,36.688,34.375,8161800.0
1999-12-03,PEP,36.3106,37.75,37.125,36.375,7442800.0
1999-12-06,PEP,36.313,37.438,36.875,37.0626,5641000.0
1999-12-07,PEP,36.625,37.313,36.938,36.625,5861600.0
1999-12-08,PEP,36.563,37.438,37.008,36.563,4648600.0
1999-12-09,PEP,35.75,37.25,35.938,37.188,3755700.0
1999-12-10,PEP,36.3738,36.938,36.938,36.625,4618700.0
1999-12-13,PEP,35.0,37.438,35.313,37.438,5867400.0
1999-12-14,PEP,34.75,35.625,35.125,34.75,4302300.0
1999-12-15,PEP,34.438,35.063,34.688,35.063,2771000.0
1999-12-16,PEP,33.813,34.563,34.0,34.5,4415800.0
1999-12-17,PEP,34.5,35.125,35.0,34.625,5427400.0
1999-12-20,PEP,34.75,36.0,35.406,34.813,6300600.0
1999-12-21,PEP,34.563,35.438,34.875,35.125,4263400.0
1999-12-22,PEP,34.813,35.375,35.063,35.063,3809400.0
1999-12-23,PEP,35.125,36.0,35.438,35.563,2765700.0
1999-12-27,PEP,35.188,36.4395,36.438,35.188,2452300.0
1999-12-28,PEP,36.125,37.125,36.625,36.25,4185700.0
