Date,symbol,Low,High,Close,Open,Volume
1999-09-28,PH,44.063,45.25,44.563,44.938,285600.0
1999-09-29,PH,44.438,46.0,45.5,44.563,212100.0
1999-09-30,PH,44.75,46.1213,44.813,45.75,748600.0
1999-10-01,PH,43.875,44.75,43.875,44.75,390600.0
1999-10-04,PH,42.0,44.063,43.813,44.0,1062900.0
1999-10-05,PH,42.75,43.813,43.688,43.813,751500.0
1999-10-06,PH,43.75,45.0,44.5,43.813,263700.0
1999-10-07,PH,45.0,48.7487,48.0,45.0,930300.0
1999-10-08,PH,47.5,48.75,48.25,47.9961,497800.0
1999-10-11,PH,47.938,48.625,48.0,48.125,342900.0
1999-10-12,PH,47.375,48.188,47.563,47.7483,331800.0
1999-10-13,PH,46.5,47.875,47.063,47.625,338200.0
1999-10-14,PH,45.625,47.375,46.0,47.063,886000.0
1999-10-15,PH,45.125,46.813,46.063,46.5,501100.0
1999-10-18,PH,46.0,47.688,46.625,46.5,498400.0
1999-10-19,PH,46.063,48.5,47.438,46.5,685600.0
1999-10-20,PH,46.625,48.0,46.625,47.5,906400.0
1999-10-21,PH,44.75,46.563,45.563,46.563,489900.0
1999-10-22,PH,45.875,46.75,46.0,46.063,593100.0
1999-10-25,PH,44.5,46.188,44.938,46.188,560400.0
1999-10-26,PH,44.75,45.438,44.875,44.75,326700.0
1999-10-27,PH,44.438,45.375,44.5,44.938,766300.0
1999-10-28,PH,44.563,45.375,45.25,44.625,671800.0
1999-10-29,PH,44.5,46.188,45.813,45.125,639000.0
1999-11-01,PH,44.0,45.813,44.25,45.813,640900.0
1999-11-02,PH,43.813,46.125,44.75,44.25,305700.0
1999-11-03,PH,43.688,45.313,43.75,44.563,468000.0
1999-11-04,PH,41.1836,43.0,42.875,43.0,1521900.0
1999-11-05,PH,45.0,46.0,45.25,46.0,894100.0
1999-11-08,PH,44.5,45.563,45.25,45.25,463500.0
1999-11-09,PH,44.0,45.0,44.438,44.75,532900.0
1999-11-10,PH,44.313,45.75,45.313,44.313,671500.0
1999-11-11,PH,45.563,46.875,46.0,45.563,1126800.0
1999-11-12,PH,44.188,46.0,44.688,45.938,316500.0
1999-11-15,PH,45.063,48.0,47.188,45.125,649300.0
1999-11-16,PH,47.5,49.0,48.313,47.75,630700.0
1999-11-17,PH,46.9405,48.25,47.875,48.188,150900.0
1999-11-18,PH,46.875,48.875,48.813,47.813,392700.0
1999-11-19,PH,46.438,48.375,46.938,48.375,354000.0
1999-11-22,PH,44.938,46.438,45.0,46.438,455500.0
1999-11-23,PH,44.625,45.563,45.25,45.25,591100.0
1999-11-24,PH,45.125,46.438,45.375,45.25,393400.0
1999-11-26,PH,45.375,46.0,45.375,45.75,83100.0
1999-11-29,PH,44.5,46.6214,46.0,45.375,294000.0
1999-11-30,PH,45.5,47.813,47.063,45.5,540000.0
1999-12-01,PH,46.75,47.563,47.375,46.813,390900.0
1999-12-02,PH,46.75,47.375,47.0,47.125,239700.0
1999-12-03,PH,47.0,48.938,47.188,47.125,443100.0
1999-12-06,PH,47.063,48.125,47.375,47.188,502800.0
1999-12-07,PH,47.5,49.5,48.0,49.5,692200.0
1999-12-08,PH,48.0,51.063,50.0,48.063,880200.0
1999-12-09,PH,48.625,50.0,48.688,49.75,473100.0
1999-12-10,PH,47.813,48.688,48.0,48.688,469300.0
1999-12-13,PH,47.5,48.375,47.5,48.125,738600.0
1999-12-14,PH,47.5,49.313,47.5,47.625,1485100.0
1999-12-15,PH,47.75,49.75,47.75,47.998000000000005,771700.0
1999-12-16,PH,47.813,48.75,48.25,48.0,488200.0
1999-12-17,PH,45.0,48.813,45.0,48.5,1029600.0
1999-12-20,PH,44.875,46.75,45.375,46.0,947400.0
1999-12-21,PH,44.875,46.313,46.0,45.438,448900.0
1999-12-22,PH,45.25,46.313,45.313,45.75,225300.0
1999-12-23,PH,44.9976,45.875,45.625,45.375,372000.0
1999-12-27,PH,45.75,47.5,46.625,45.813,311500.0
1999-12-28,PH,46.625,48.75,48.438,46.625,329800.0
1999-12-29,PH,47.9381,50.625,50.188,48.5,411300.0
1999-12-30,PH,50.0,50.75,50.125,50.25,343500.0
1999-12-31,PH,49.563,51.438,51.313,50.1236,192900.0
2000-01-03,PH,48.5,51.313,48.813,51.313,593400.0
2000-01-04,PH,46.875,49.25,46.875,48.813,217600.0
2000-01-05,PH,46.625,47.75,46.875,47.125,420900.0
2000-01-06,PH,46.125,47.75,47.75,47.0,1203400.0
2000-01-07,PH,51.75,54.0,52.125,52.0,2630100.0
2000-01-10,PH,50.75,53.438,51.5,52.125,774900.0
2000-01-11,PH,50.0007,51.813,50.188,51.25,523500.0
2000-01-12,PH,50.375,51.188,50.875,50.4384,1078900.0
2000-01-13,PH,49.8133,50.938,50.25,50.938,551500.0
2000-01-14,PH,48.625,50.3736,49.625,50.375,741100.0
2000-01-18,PH,45.563,49.1878,46.688,49.0,1312800.0
2000-01-19,PH,45.75,47.875,47.875,46.0,899200.0
2000-01-20,PH,47.313,49.0,47.563,49.0,862800.0
2000-01-21,PH,46.0,48.0043,46.75,47.563,755200.0
2000-01-24,PH,44.125,46.813,44.313,46.813,783900.0
2000-01-25,PH,42.75,44.5,43.125,44.375,556000.0
2000-01-26,PH,41.813,44.625,44.063,43.313,1097700.0
2000-01-27,PH,43.5037,45.0,43.875,44.0,442500.0
2000-01-28,PH,42.0,43.625,42.188,43.625,567100.0
2000-01-31,PH,41.688,43.625,43.25,42.125,387900.0
2000-02-01,PH,43.125,44.438,44.125,43.125,705400.0
2000-02-02,PH,42.75,44.75,43.063,44.125,306100.0
2000-02-03,PH,41.875,43.563,42.563,43.188,320400.0
2000-02-04,PH,41.438,43.0,41.938,42.813,404400.0
2000-02-07,PH,40.25,42.438,40.938,42.0,653200.0
2000-02-08,PH,40.938,42.25,40.938,40.938,587700.0
2000-02-09,PH,38.188,41.188,38.688,41.125,1052100.0
2000-02-10,PH,37.625,39.25,37.813,39.188,828600.0
2000-02-11,PH,35.375,37.813,35.5,37.813,843300.0
2000-02-14,PH,35.625,38.813,38.188,35.75,763600.0
2000-02-15,PH,38.438,41.938,41.688,38.438,1480000.0
2000-02-16,PH,41.5,43.375,41.938,41.5,1201000.0
2000-02-17,PH,40.0,42.188,40.5,42.188,483900.0
2000-02-18,PH,41.063,42.438,41.188,41.25,796900.0
2000-02-22,PH,40.5,41.625,41.313,40.5,776500.0
2000-02-23,PH,40.625,41.3748,41.25,41.313,603900.0
2000-02-24,PH,37.0,40.25,37.438,40.25,771900.0
2000-02-25,PH,34.125,38.25,34.313,37.688,1359900.0
2000-02-28,PH,34.125,35.5,34.938,34.75,2224000.0
2000-02-29,PH,34.5,36.75,36.25,34.938,1242700.0
2000-03-01,PH,35.813,37.313,37.063,35.875,785700.0
2000-03-02,PH,34.5,37.188,35.688,37.188,760000.0
2000-03-03,PH,35.375,37.7493,35.938,35.688,803700.0
2000-03-06,PH,34.969,36.875,35.438,36.875,533100.0
2000-03-07,PH,34.063,35.25,34.063,35.25,629800.0
2000-03-08,PH,34.125,35.25,35.25,34.313,493800.0
2000-03-09,PH,35.438,36.25,36.0,35.5,708600.0
2000-03-10,PH,35.3712,36.188,35.5,35.875,440700.0
2000-03-13,PH,34.563,35.3127,35.0,34.625,484800.0
2000-03-14,PH,33.938,35.25,33.938,35.2504,292500.0
2000-03-15,PH,33.938,37.375,36.5,34.0,1545300.0
2000-03-16,PH,36.563,40.625,40.25,36.563,803500.0
2000-03-17,PH,37.063,39.5,38.0,38.5,1132800.0
2000-03-20,PH,38.0,39.5,39.25,38.0,479800.0
2000-03-21,PH,38.0,39.375,38.563,39.125,417400.0
2000-03-22,PH,37.063,38.563,37.375,38.563,560100.0
2000-03-23,PH,36.875,38.625,38.563,37.25,553800.0
2000-03-24,PH,38.5018,39.375,39.125,38.75,497500.0
2000-03-27,PH,37.625,39.438,38.0,39.125,218800.0
2000-03-28,PH,39.625,41.5,40.5,41.5,813300.0
2000-03-29,PH,40.5,41.625,41.25,40.4987,879700.0
2000-03-30,PH,41.25,42.9416,41.563,41.625,413800.0
2000-03-31,PH,41.313,42.188,41.313,41.5026,364900.0
2000-04-03,PH,40.938,42.938,41.813,41.063,636400.0
2000-04-04,PH,41.625,43.313,43.0,41.625,806700.0
2000-04-05,PH,42.563,43.25,42.625,43.25,708400.0
2000-04-06,PH,42.9377,44.0,43.688,43.0,617400.0
2000-04-07,PH,43.563,45.0,43.938,43.563,495700.0
2000-04-10,PH,43.375,44.875,44.625,43.813,613600.0
2000-04-11,PH,44.188,46.375,45.75,44.1867,493300.0
2000-04-12,PH,45.813,48.063,47.063,45.813,730600.0
2000-04-13,PH,44.688,47.063,44.75,47.063,471700.0
2000-04-14,PH,41.001999999999995,44.563,41.125,44.563,691900.0
2000-04-17,PH,40.5,42.4381,42.125,41.0,855000.0
2000-04-18,PH,42.25,45.0,42.438,43.063,585900.0
2000-04-19,PH,42.125,44.188,42.813,42.313,572700.0
2000-04-20,PH,42.563,44.5588,44.25,42.938,516400.0
2000-04-24,PH,43.375,44.75,44.375,43.5,448000.0
2000-04-25,PH,44.125,47.75,47.063,44.25,995800.0
2000-04-26,PH,45.813,47.3142,46.125,46.25,748300.0
2000-04-27,PH,45.063,47.125,46.375,45.063,578200.0
2000-04-28,PH,46.313,47.313,46.5,46.75,626500.0
2000-05-01,PH,46.0,47.188,46.563,46.313,447700.0
2000-05-02,PH,45.938,47.563,46.375,46.0655,597700.0
2000-05-03,PH,45.063,47.0,45.313,47.0,351700.0
2000-05-04,PH,44.875,45.875,45.25,45.563,487800.0
2000-05-05,PH,45.063,48.313,48.25,45.25,862900.0
2000-05-08,PH,46.188,47.625,46.375,47.5,418200.0
2000-05-09,PH,44.25,46.5,44.813,46.5,521200.0
2000-05-10,PH,43.875,45.563,44.625,45.0,292600.0
2000-05-11,PH,45.0,46.188,45.688,45.125,518500.0
2000-05-12,PH,45.25,46.0025,45.438,45.688,319900.0
2000-05-15,PH,45.375,46.25,45.5,45.688,411700.0
2000-05-16,PH,45.375,47.0,46.75,45.625,473200.0
2000-05-17,PH,45.25,46.3755,45.688,46.0,203500.0
2000-05-18,PH,45.063,46.0629,45.438,45.5,203200.0
2000-05-19,PH,44.438,46.688,46.438,45.063,743700.0
2000-05-22,PH,45.313,47.0,45.563,46.313,530100.0
2000-05-23,PH,44.625,45.313,45.063,44.625,302200.0
2000-05-24,PH,44.0,45.625,44.125,45.125,569200.0
2000-05-25,PH,43.5,44.438,43.875,43.5,437400.0
2000-05-26,PH,42.688,44.25,42.688,43.5,498300.0
2000-05-30,PH,41.813,43.313,42.813,42.938,517000.0
2000-05-31,PH,41.563,43.813,41.688,43.063,534300.0
2000-06-01,PH,41.063,44.1271,44.125,41.063,627900.0
2000-06-02,PH,43.5015,45.0,43.938,44.688,398100.0
2000-06-05,PH,43.0,43.563,43.313,43.563,482400.0
2000-06-06,PH,43.375,44.125,43.688,43.625,574500.0
2000-06-07,PH,42.75,44.063,43.188,43.938,526800.0
2000-06-08,PH,41.875,42.625,42.313,42.063,296700.0
2000-06-09,PH,41.75,42.563,41.938,42.563,272800.0
2000-06-12,PH,41.25,41.938,41.273,41.938,263800.0
2000-06-13,PH,40.0,41.25,40.5,41.125,659100.0
2000-06-14,PH,35.0,37.9976,37.938,35.0,3689100.0
2000-06-15,PH,38.875,41.5,41.313,39.626,1394700.0
2000-06-16,PH,39.0,41.0669,39.188,41.0,1265500.0
2000-06-19,PH,38.3736,39.563,38.688,39.125,831900.0
2000-06-20,PH,37.688,38.813,37.813,38.75,502600.0
2000-06-21,PH,36.625,37.813,37.0,37.813,525000.0
2000-06-22,PH,36.0,36.938,36.25,36.75,614500.0
2000-06-23,PH,36.188,36.563,36.438,36.25,599400.0
2000-06-26,PH,35.688,36.75,35.938,36.4981,828600.0
2000-06-27,PH,36.313,37.375,37.375,36.5,840700.0
2000-06-28,PH,37.063,37.938,37.531,37.438,528300.0
2000-06-29,PH,35.688,37.5,35.75,37.5,1682100.0
2000-06-30,PH,34.234,35.75,34.25,35.688,1879600.0
