Date,symbol,Low,High,Close,Open,Volume
1999-09-28,PKI,37.375,39.375,38.313,38.0,701600.0
1999-09-29,PKI,37.75,39.25,39.0,38.438,401600.0
1999-09-30,PKI,38.375,39.938,39.75,39.0,652000.0
1999-10-01,PKI,38.5,39.563,38.75,39.5,460200.0
1999-10-04,PKI,37.938,39.25,39.188,38.563,347400.0
1999-10-05,PKI,38.938,39.438,39.313,39.25,303200.0
1999-10-06,PKI,39.0,39.9402,39.75,39.438,404200.0
1999-10-07,PKI,39.375,40.625,40.188,39.938,335400.0
1999-10-08,PKI,39.563,40.625,39.875,40.063,287400.0
1999-10-11,PKI,39.188,39.938,39.813,39.938,252400.0
1999-10-12,PKI,39.438,39.813,39.688,39.75,393000.0
1999-10-13,PKI,38.313,39.625,39.0,39.625,311000.0
1999-10-14,PKI,38.188,39.0,38.563,39.0,174400.0
1999-10-15,PKI,36.625,38.875,36.875,38.875,339000.0
1999-10-18,PKI,36.625,37.813,36.938,37.125,256000.0
1999-10-19,PKI,37.188,38.125,37.563,37.188,200800.0
1999-10-20,PKI,37.5,38.25,38.25,37.625,201600.0
1999-10-21,PKI,37.688,38.5,38.375,38.25,319200.0
1999-10-22,PKI,38.0,39.375,38.375,38.375,221200.0
1999-10-25,PKI,39.0,40.813,40.063,39.0,844000.0
1999-10-26,PKI,38.875,40.25,39.063,40.25,330000.0
1999-10-27,PKI,38.375,39.563,38.563,39.188,301200.0
1999-10-28,PKI,38.5,39.938,39.563,38.5,236600.0
1999-10-29,PKI,39.375,40.875,40.813,39.375,288000.0
1999-11-01,PKI,39.5,40.938,39.938,40.5,190600.0
1999-11-02,PKI,39.5,40.0015,39.75,40.0,438000.0
1999-11-03,PKI,37.75,40.1238,38.938,40.0,485000.0
1999-11-04,PKI,38.4981,39.188,38.563,39.188,207400.0
1999-11-05,PKI,38.75,39.313,39.25,38.813,229200.0
1999-11-08,PKI,38.938,39.938,39.875,39.75,179600.0
1999-11-09,PKI,39.063,39.875,39.5,39.813,241800.0
1999-11-10,PKI,39.125,40.438,39.813,39.25,253600.0
1999-11-11,PKI,39.813,40.688,40.688,40.25,172800.0
1999-11-12,PKI,39.875,40.9371,40.125,40.813,442800.0
1999-11-15,PKI,39.25,40.125,39.688,40.063,153800.0
1999-11-16,PKI,39.75,40.938,40.938,39.75,368000.0
1999-11-17,PKI,40.688,42.5,42.0,40.688,975200.0
1999-11-18,PKI,42.2506,44.125,43.813,42.25,856000.0
1999-11-19,PKI,43.375,45.0,43.563,44.5,546200.0
1999-11-22,PKI,43.313,44.25,43.625,43.313,433600.0
1999-11-23,PKI,41.875,43.563,42.313,43.5,225800.0
1999-11-24,PKI,42.0,43.188,42.563,42.375,430600.0
1999-11-26,PKI,42.438,43.438,43.063,42.563,52200.0
1999-11-29,PKI,42.25,42.938,42.625,42.938,212600.0
1999-11-30,PKI,40.0,42.688,41.125,42.625,330000.0
1999-12-01,PKI,40.813,41.688,41.563,41.25,379600.0
1999-12-02,PKI,40.9351,42.25,41.438,41.688,197600.0
1999-12-03,PKI,41.313,42.938,42.688,41.313,226000.0
1999-12-06,PKI,42.0,42.438,42.0,42.438,260400.0
1999-12-07,PKI,41.5,42.438,42.125,42.063,221200.0
1999-12-08,PKI,41.938,43.0599,42.5,42.25,178600.0
1999-12-09,PKI,42.0036,43.625,43.625,42.563,420000.0
1999-12-10,PKI,42.5,43.625,43.188,43.5,388800.0
1999-12-13,PKI,41.875,43.063,42.125,43.063,456600.0
1999-12-14,PKI,42.188,43.125,42.313,42.188,404400.0
1999-12-15,PKI,42.063,42.938,42.688,42.5,183200.0
1999-12-16,PKI,42.5,43.0,42.563,42.688,489000.0
1999-12-17,PKI,39.0,42.375,39.25,42.125,736600.0
1999-12-20,PKI,39.313,41.5,40.563,39.313,282200.0
1999-12-21,PKI,39.375,40.688,40.0,40.688,236200.0
1999-12-22,PKI,37.813,40.125,38.0,40.0,291200.0
1999-12-23,PKI,38.375,40.813,40.188,38.5,578600.0
1999-12-27,PKI,39.625,40.375,40.188,40.0,386400.0
1999-12-28,PKI,39.5,40.0,39.813,40.0,180400.0
1999-12-29,PKI,39.75,41.0,40.813,39.8157,232800.0
1999-12-30,PKI,40.625,42.1854,41.688,40.75,213600.0
1999-12-31,PKI,41.563,42.0,41.688,41.563,68600.0
2000-01-03,PKI,40.75,42.0,41.438,41.75,283400.0
2000-01-04,PKI,39.313,41.438,39.5,41.438,249200.0
2000-01-05,PKI,38.0,39.813,39.063,39.688,190400.0
2000-01-06,PKI,39.125,40.5,39.563,39.313,401400.0
2000-01-07,PKI,39.2484,40.063,40.063,39.938,453200.0
2000-01-10,PKI,39.813,42.938,41.688,39.813,411400.0
2000-01-11,PKI,40.313,41.938,40.375,41.875,178800.0
2000-01-12,PKI,39.813,40.875,40.438,40.125,204200.0
2000-01-13,PKI,40.188,41.688,41.563,40.188,396400.0
2000-01-14,PKI,41.063,42.438,41.563,41.75,569200.0
2000-01-18,PKI,41.25,43.25,43.125,41.5,745600.0
2000-01-19,PKI,42.0,44.5,43.75,42.9991,662400.0
2000-01-20,PKI,43.75,46.563,45.5,43.75,998400.0
2000-01-21,PKI,45.75,49.0,47.125,46.125,1146800.0
2000-01-24,PKI,46.563,48.125,47.313,47.5,798200.0
2000-01-25,PKI,46.938,48.3754,47.563,47.563,786200.0
2000-01-26,PKI,47.313,48.0,47.688,47.5,471800.0
2000-01-27,PKI,48.938,50.438,49.188,49.625,901200.0
2000-01-28,PKI,49.313,50.938,49.813,49.375,1041400.0
2000-01-31,PKI,49.625,50.563,50.063,49.688,717600.0
2000-02-01,PKI,49.75,51.938,51.438,49.813,762400.0
2000-02-02,PKI,50.25,52.0,50.625,51.25,555800.0
2000-02-03,PKI,50.75,51.563,50.938,50.813,551000.0
2000-02-04,PKI,50.6224,53.0,52.688,51.188,667000.0
2000-02-07,PKI,52.5,53.625,53.313,53.25,583400.0
2000-02-08,PKI,53.5,55.75,55.063,53.563,658200.0
2000-02-09,PKI,54.125,55.438,54.5,55.063,718600.0
2000-02-10,PKI,53.375,55.0,55.0,54.625,422400.0
2000-02-11,PKI,55.5,57.9993,56.5,56.875,1039400.0
2000-02-14,PKI,56.813,60.313,59.75,56.938,1401200.0
2000-02-15,PKI,59.375,66.875,65.313,60.063,1517400.0
2000-02-16,PKI,63.625,68.938,67.063,65.063,1090600.0
2000-02-17,PKI,67.063,84.5,76.125,67.063,2996200.0
2000-02-18,PKI,66.0,76.438,68.0,76.438,2592800.0
2000-02-22,PKI,67.625,71.625,70.0,68.0,1860200.0
2000-02-23,PKI,67.688,70.375,68.688,70.25,509200.0
2000-02-24,PKI,64.5,69.875,65.188,69.0708,922600.0
2000-02-25,PKI,62.0,65.125,63.0,65.125,1125400.0
2000-02-28,PKI,56.813,62.938,60.375,62.5,1547200.0
2000-02-29,PKI,59.0,67.0,64.625,60.375,2007400.0
2000-03-01,PKI,64.5,72.625,68.0,64.5,1281200.0
2000-03-02,PKI,68.125,74.313,72.563,69.875,1045600.0
2000-03-03,PKI,73.75,78.0,77.125,74.75,1334200.0
2000-03-06,PKI,76.375,82.0,79.25,78.7501,1077600.0
2000-03-07,PKI,76.625,82.0,77.875,81.0,1295000.0
2000-03-08,PKI,69.188,78.752,71.313,78.5,1188000.0
2000-03-09,PKI,67.0,73.188,71.125,73.0,1240600.0
2000-03-10,PKI,72.0,77.25,72.563,72.0,778800.0
2000-03-13,PKI,68.563,74.0,69.438,72.625,723000.0
2000-03-14,PKI,62.688,71.0,64.375,70.125,1223400.0
2000-03-15,PKI,62.313,68.875,64.625,68.875,1664200.0
2000-03-16,PKI,63.5,67.25,66.875,64.875,764800.0
2000-03-17,PKI,64.5,70.938,69.813,64.5,1492200.0
2000-03-20,PKI,69.688,72.75,70.5,69.688,1356000.0
2000-03-21,PKI,65.625,70.313,68.125,70.25,598400.0
2000-03-22,PKI,67.813,70.125,68.75,68.375,463000.0
2000-03-23,PKI,66.0,69.563,67.5,68.75,442600.0
2000-03-24,PKI,65.125,69.25,66.125,68.5,585600.0
2000-03-27,PKI,65.875,68.625,68.0,65.875,696800.0
2000-03-28,PKI,66.0,68.25,66.188,68.25,342200.0
2000-03-29,PKI,65.563,67.4961,66.688,65.938,528800.0
2000-03-30,PKI,63.063,67.5,64.25,66.75,897600.0
2000-03-31,PKI,63.0,67.5,66.5,65.0,1006600.0
2000-04-03,PKI,62.5,66.375,63.75,66.375,512600.0
2000-04-04,PKI,57.375,64.625,61.0,64.5,939400.0
2000-04-05,PKI,57.5,60.938,59.063,60.938,1013400.0
2000-04-06,PKI,58.625,62.2525,59.625,61.438,691000.0
2000-04-07,PKI,60.5,63.813,63.25,60.625,505200.0
2000-04-10,PKI,60.75,64.5,61.063,62.563,445200.0
2000-04-11,PKI,60.063,65.25,62.813,61.3163,993600.0
2000-04-12,PKI,59.5,63.938,60.0,62.813,516000.0
2000-04-13,PKI,60.375,63.75,60.5,60.5,379600.0
2000-04-14,PKI,55.25,60.563,55.75,60.5,469000.0
2000-04-17,PKI,50.5,55.938,54.938,55.4973,772400.0
2000-04-18,PKI,54.2494,56.0,54.813,54.75,727200.0
2000-04-19,PKI,54.438,58.0,54.938,55.375,566200.0
2000-04-20,PKI,51.5,54.688,53.0,54.688,952800.0
2000-04-24,PKI,49.625,53.0,50.0,53.0,950800.0
2000-04-25,PKI,50.438,53.0,52.625,50.75,1533600.0
2000-04-26,PKI,51.688,55.375,54.313,52.438,1027800.0
2000-04-27,PKI,52.688,54.875,54.125,52.688,907400.0
2000-04-28,PKI,53.5,55.938,55.5,54.75,559200.0
2000-05-01,PKI,53.0,55.875,54.313,54.0,466200.0
2000-05-02,PKI,53.875,55.8143,54.375,54.563,871400.0
2000-05-03,PKI,51.813,54.438,52.875,53.875,707000.0
2000-05-04,PKI,52.438,54.0,53.188,52.625,715400.0
2000-05-05,PKI,53.063,56.125,56.125,53.188,1018200.0
2000-05-08,PKI,53.25,56.0,54.375,56.0,568200.0
2000-05-09,PKI,50.25,53.5,53.25,53.0,881800.0
2000-05-10,PKI,49.563,52.125,50.375,52.125,701000.0
2000-05-11,PKI,51.438,53.75,52.938,52.0,609000.0
2000-05-12,PKI,53.0,54.313,54.125,53.0,1066800.0
2000-05-15,PKI,51.875,54.438,54.125,53.5,519600.0
2000-05-16,PKI,55.875,57.875,57.0,56.0,612600.0
2000-05-17,PKI,54.5,57.125,55.188,56.0,512800.0
2000-05-18,PKI,53.688,56.0,55.0,53.6849,537000.0
2000-05-19,PKI,52.2536,55.5,52.875,55.25,379000.0
2000-05-22,PKI,50.125,53.125,52.375,53.125,397000.0
2000-05-23,PKI,49.75,52.625,50.0,52.0,441200.0
2000-05-24,PKI,48.7536,51.125,51.125,50.25,570400.0
2000-05-25,PKI,50.938,53.875,51.125,52.063,561200.0
2000-05-26,PKI,50.063,52.25,50.438,51.375,293000.0
2000-05-30,PKI,51.0,54.25,54.063,50.9974,432800.0
2000-05-31,PKI,52.0,54.5,52.5,53.9978,581400.0
2000-06-01,PKI,53.875,56.875,56.563,53.8736,768200.0
2000-06-02,PKI,57.0,60.5,60.0,57.0,642400.0
2000-06-05,PKI,57.313,59.5,58.75,59.5,442200.0
2000-06-06,PKI,58.25,61.375,60.438,58.25,1299800.0
2000-06-07,PKI,56.688,60.313,58.938,60.313,407000.0
2000-06-08,PKI,59.0,61.0,60.5,59.0,496000.0
2000-06-09,PKI,59.75,62.0,60.938,60.938,365200.0
2000-06-12,PKI,57.25,62.125,57.688,61.0,487400.0
2000-06-13,PKI,55.875,58.625,58.5,57.688,493400.0
2000-06-14,PKI,56.5,58.75,56.938,58.75,409000.0
2000-06-15,PKI,54.938,56.563,55.688,56.563,479200.0
2000-06-16,PKI,53.75,57.0,55.938,53.75,825800.0
2000-06-19,PKI,54.188,61.5,60.375,56.0002,727200.0
2000-06-20,PKI,60.375,62.875,60.5,60.625,913400.0
2000-06-21,PKI,59.313,60.563,59.625,60.563,218400.0
2000-06-22,PKI,57.375,59.5,57.813,59.5,498600.0
2000-06-23,PKI,56.938,58.625,58.438,58.0,751200.0
2000-06-26,PKI,58.5,65.0,65.0,58.5,1280200.0
2000-06-27,PKI,63.875,65.438,64.625,64.0,1194800.0
2000-06-28,PKI,65.75,69.438,68.75,66.0,1136800.0
2000-06-29,PKI,63.0,68.75,64.5,68.75,1068200.0
2000-06-30,PKI,64.125,66.141,66.141,64.438,2016400.0
2000-07-03,PKI,65.0,66.0,65.0,66.0,364000.0
2000-07-05,PKI,62.25,65.25,64.25,65.125,1560000.0
2000-07-06,PKI,63.0,65.5,65.313,64.5,672800.0
2000-07-07,PKI,65.6896,68.625,68.188,66.313,1203200.0
2000-07-10,PKI,66.938,68.188,67.75,68.188,749200.0
2000-07-11,PKI,68.25,71.438,70.25,69.0,976000.0
2000-07-12,PKI,70.875,75.625,75.5,71.875,1502000.0
2000-07-13,PKI,73.0,77.0,73.5,76.938,866000.0
2000-07-14,PKI,71.125,74.25,73.063,73.563,568800.0
2000-07-17,PKI,73.875,76.75,75.719,74.5,484200.0
2000-07-18,PKI,72.6277,76.063,73.625,75.813,557000.0
2000-07-19,PKI,70.5,74.125,71.438,74.0,392000.0
2000-07-20,PKI,68.563,73.875,70.375,71.5,546600.0
2000-07-21,PKI,67.0,70.25,68.313,70.0,952800.0
2000-07-24,PKI,67.563,70.2525,67.813,68.563,630000.0
2000-07-25,PKI,66.5,69.0,68.188,68.0,640400.0
2000-07-26,PKI,63.625,66.813,65.0,66.688,832600.0
2000-07-27,PKI,61.125,65.063,62.938,65.0,415200.0
2000-07-28,PKI,62.0,65.5,63.75,63.0,588000.0
2000-07-31,PKI,63.125,66.375,63.938,64.5,587000.0
2000-08-01,PKI,62.125,66.188,65.625,64.813,1502600.0
2000-08-02,PKI,61.0,63.438,62.563,62.563,3570600.0
2000-08-03,PKI,60.8159,62.875,62.125,61.5,1266800.0
2000-08-04,PKI,62.75,65.75,65.563,63.0,2084200.0
2000-08-07,PKI,66.438,70.0,69.75,66.75,1668200.0
2000-08-08,PKI,69.938,72.0,71.938,70.0,1907200.0
2000-08-09,PKI,70.563,72.5,71.25,72.313,1091000.0
2000-08-10,PKI,72.063,73.125,72.75,73.125,1290800.0
2000-08-11,PKI,72.3204,73.625,72.938,72.5,1112200.0
2000-08-14,PKI,72.375,74.875,74.813,73.5,670200.0
2000-08-15,PKI,74.313,76.0,76.0,74.813,1250600.0
2000-08-16,PKI,76.0,78.875,78.438,76.0,2170200.0
2000-08-17,PKI,78.375,80.938,79.813,78.438,1711600.0
2000-08-18,PKI,78.625,80.875,79.125,80.0,850400.0
2000-08-21,PKI,74.75,80.5,79.75,76.625,2027200.0
2000-08-22,PKI,79.125,85.375,84.0,79.5,2008600.0
2000-08-23,PKI,82.81299999999999,86.75,85.31299999999999,83.0,1540600.0
2000-08-24,PKI,83.5,86.56299999999999,84.0,86.5,1374800.0
2000-08-25,PKI,83.375,85.5,84.81299999999999,84.125,1659800.0
2000-08-28,PKI,84.875,88.75,86.93799999999999,85.68799999999999,825200.0
2000-08-29,PKI,86.625,89.875,87.81299999999999,87.875,1086000.0
2000-08-30,PKI,87.0,90.5,89.5,87.56299999999999,1232000.0
2000-08-31,PKI,88.375,91.25,89.93799999999999,89.375,1210600.0
2000-09-01,PKI,88.56299999999999,91.43799999999999,89.81299999999999,90.93799999999999,588000.0
2000-09-05,PKI,84.375,87.5026,86.75,87.5,1073800.0
2000-09-06,PKI,84.875,87.25,85.18799999999999,87.0,647200.0
2000-09-07,PKI,85.25,88.0,87.31299999999999,85.25,1544400.0
2000-09-08,PKI,86.5,88.93799999999999,88.375,87.25,1270800.0
2000-09-11,PKI,86.81299999999999,90.375,88.5,87.625,887000.0
2000-09-12,PKI,88.5,92.0,90.31299999999999,88.5,1029600.0
2000-09-13,PKI,88.93799999999999,92.0054,91.31299999999999,90.0,680000.0
2000-09-14,PKI,91.375,96.0,95.0,91.375,819800.0
2000-09-15,PKI,92.25,96.0,94.25,93.5013,748000.0
2000-09-18,PKI,88.625,95.5,90.75,94.125,740600.0
2000-09-19,PKI,90.625,94.5,93.5,91.5,443800.0
2000-09-20,PKI,93.375,99.25,99.25,93.5,1033400.0
2000-09-21,PKI,96.0678,100.93799999999999,100.25,99.25,1202400.0
2000-09-22,PKI,96.875,101.93799999999999,100.25,97.5,1331000.0
2000-09-25,PKI,100.5,104.7468,102.06299999999999,100.5,1426000.0
2000-09-26,PKI,96.5,103.43799999999999,97.43799999999999,101.81299999999999,1244800.0
2000-09-27,PKI,98.375,102.0,100.5,99.0,1613400.0
2000-09-28,PKI,100.75,109.125,107.0,100.75,2037400.0
2000-09-29,PKI,104.0,106.5,104.375,105.75,1672400.0
2000-10-02,PKI,104.31299999999999,108.125,107.25,105.0,1008200.0
2000-10-03,PKI,103.0,108.68799999999999,103.125,107.93799999999999,1119000.0
2000-10-04,PKI,96.25,102.0,99.25,102.0,1729600.0
2000-10-05,PKI,97.875,103.0,98.125,98.0,1138600.0
2000-10-06,PKI,90.6275,100.625,93.375,98.625,1637600.0
2000-10-09,PKI,88.06299999999999,95.5,94.75,92.25,1439000.0
2000-10-10,PKI,92.75,99.375,99.375,93.0,1117000.0
2000-10-11,PKI,95.81299999999999,99.81299999999999,98.625,98.5,1519000.0
2000-10-12,PKI,93.0,101.7496,95.0,100.0,1287400.0
2000-10-13,PKI,95.25,101.0,99.75,95.25,791600.0
2000-10-16,PKI,99.0,104.375,103.06299999999999,99.25,654600.0
