Date,symbol,Low,High,Close,Open,Volume
1999-09-28,PRGO,7.375,7.5625,7.5625,7.5156,2248000.0
1999-09-29,PRGO,7.4375,7.75,7.6875,7.5625,52600.0
1999-09-30,PRGO,7.5,8.125,7.875,7.5938,161300.0
1999-10-01,PRGO,7.6875,8.0,7.9375,7.8125,155700.0
1999-10-04,PRGO,7.6875,8.0,7.8125,7.75,37600.0
1999-10-05,PRGO,7.625,7.875,7.8125,7.625,201700.0
1999-10-06,PRGO,7.6875,7.875,7.75,7.6875,33700.0
1999-10-07,PRGO,7.625,7.8125,7.7813,7.6875,59600.0
1999-10-08,PRGO,7.6875,7.8125,7.75,7.75,52100.0
1999-10-11,PRGO,7.5,7.8125,7.8125,7.75,918400.0
1999-10-12,PRGO,7.625,7.8125,7.625,7.8125,32500.0
1999-10-13,PRGO,7.625,7.8125,7.6875,7.6875,69900.0
1999-10-14,PRGO,7.4375,7.6563,7.625,7.625,60600.0
1999-10-15,PRGO,7.375,7.75,7.6875,7.375,81600.0
1999-10-18,PRGO,7.125,7.6875,7.4375,7.6563,84700.0
1999-10-19,PRGO,7.25,7.5938,7.4375,7.25,26900.0
1999-10-20,PRGO,7.25,7.5,7.5,7.3125,26800.0
1999-10-21,PRGO,7.25,7.625,7.25,7.3125,78300.0
1999-10-22,PRGO,7.0625,7.75,7.625,7.3125,1252300.0
1999-10-25,PRGO,7.4375,7.6875,7.6563,7.4375,62100.0
1999-10-26,PRGO,7.5,7.75,7.625,7.6875,118700.0
1999-10-27,PRGO,7.5,7.6875,7.625,7.5625,71300.0
1999-10-28,PRGO,7.375,7.75,7.75,7.625,135000.0
1999-10-29,PRGO,7.5,7.8125,7.5625,7.625,50400.0
1999-11-01,PRGO,7.4375,7.6875,7.6563,7.625,63100.0
1999-11-02,PRGO,7.4375,7.625,7.4375,7.5,45000.0
1999-11-03,PRGO,7.4375,7.75,7.6875,7.4375,483900.0
1999-11-04,PRGO,7.5,7.875,7.75,7.625,42300.0
1999-11-05,PRGO,7.4375,7.875,7.6875,7.6875,540000.0
1999-11-08,PRGO,7.25,7.625,7.375,7.5,101200.0
1999-11-09,PRGO,7.25,8.125,7.75,7.3125,503100.0
1999-11-10,PRGO,7.6875,8.125,8.0625,7.875,639200.0
1999-11-11,PRGO,7.875,8.375,8.375,7.9688,492400.0
1999-11-12,PRGO,8.3125,8.4375,8.4063,8.3125,570100.0
1999-11-15,PRGO,8.375,8.5,8.4375,8.3906,476900.0
1999-11-16,PRGO,8.375,8.625,8.4063,8.4688,1117400.0
1999-11-17,PRGO,8.125,8.5,8.375,8.375,95900.0
1999-11-18,PRGO,8.375,8.5,8.5,8.375,103700.0
1999-11-19,PRGO,8.4375,8.5625,8.5,8.5,132300.0
1999-11-22,PRGO,8.25,8.4688,8.375,8.4688,778400.0
1999-11-23,PRGO,8.25,8.4375,8.375,8.2813,244100.0
1999-11-24,PRGO,8.25,8.5625,8.5625,8.3438,273200.0
1999-11-26,PRGO,8.4375,8.625,8.625,8.4375,68000.0
1999-11-29,PRGO,8.375,8.625,8.375,8.5,347800.0
1999-11-30,PRGO,8.3281,8.5,8.4063,8.375,795000.0
1999-12-01,PRGO,8.375,8.625,8.5,8.375,121900.0
1999-12-02,PRGO,8.4375,8.625,8.625,8.5,542900.0
1999-12-03,PRGO,8.4375,8.75,8.6875,8.625,542700.0
1999-12-06,PRGO,8.5,8.8125,8.75,8.625,195700.0
1999-12-07,PRGO,8.5,8.8125,8.75,8.75,75900.0
1999-12-08,PRGO,8.5,8.75,8.5625,8.75,61000.0
1999-12-09,PRGO,8.1875,8.75,8.1875,8.5625,87700.0
1999-12-10,PRGO,8.1875,8.625,8.5,8.5625,141000.0
1999-12-13,PRGO,8.375,8.6875,8.5,8.6875,254600.0
1999-12-14,PRGO,8.1875,8.625,8.5,8.5625,206700.0
1999-12-15,PRGO,8.125,8.5,8.375,8.5,178100.0
1999-12-16,PRGO,8.0,8.375,8.0625,8.375,224100.0
1999-12-17,PRGO,7.75,8.1875,7.8125,8.1563,282700.0
1999-12-20,PRGO,7.875,8.5625,7.9688,7.9688,119400.0
1999-12-21,PRGO,7.9375,8.0625,8.0,8.0313,229000.0
1999-12-22,PRGO,7.875,8.0625,7.9375,8.0625,216700.0
1999-12-23,PRGO,7.75,8.0625,7.9375,8.0,186200.0
1999-12-27,PRGO,7.8125,8.0,7.9375,7.9375,238200.0
1999-12-28,PRGO,7.75,8.0,7.75,7.9375,138900.0
1999-12-29,PRGO,7.5625,7.875,7.6875,7.7813,170700.0
1999-12-30,PRGO,7.625,7.875,7.8438,7.6875,716100.0
1999-12-31,PRGO,7.75,8.25,8.0,7.8594,2856000.0
2000-01-03,PRGO,8.0625,8.5,8.125,8.5,442500.0
2000-01-04,PRGO,7.7031,8.1875,8.0625,8.0938,2393500.0
2000-01-05,PRGO,8.0,8.125,8.0625,8.0938,319600.0
2000-01-06,PRGO,8.0,8.125,8.125,8.0625,1003300.0
2000-01-07,PRGO,8.0625,8.4375,8.3438,8.0625,192200.0
2000-01-10,PRGO,8.125,8.5625,8.5,8.5,1484800.0
2000-01-11,PRGO,8.25,8.5625,8.25,8.375,216500.0
2000-01-12,PRGO,8.25,8.5,8.4844,8.375,57000.0
2000-01-13,PRGO,8.375,8.6875,8.5625,8.5,200400.0
2000-01-14,PRGO,8.125,8.625,8.1875,8.5,274800.0
2000-01-18,PRGO,8.125,8.5625,8.125,8.3438,206900.0
2000-01-19,PRGO,8.125,8.5,8.4375,8.125,174800.0
2000-01-20,PRGO,8.3125,8.625,8.5625,8.375,3940800.0
2000-01-21,PRGO,8.5,8.75,8.625,8.6563,311800.0
2000-01-24,PRGO,8.3125,8.6875,8.375,8.625,386600.0
2000-01-25,PRGO,8.3125,8.5,8.4688,8.5,232200.0
2000-01-26,PRGO,8.375,8.75,8.625,8.5,168200.0
2000-01-27,PRGO,8.6875,9.125,8.875,8.7188,256500.0
2000-01-28,PRGO,8.5,8.9375,8.5625,8.8125,239700.0
2000-01-31,PRGO,8.5625,8.875,8.5938,8.8125,170600.0
2000-02-01,PRGO,8.5,8.75,8.6875,8.6875,141900.0
2000-02-02,PRGO,8.5,9.0625,9.0313,8.875,223100.0
2000-02-03,PRGO,8.625,9.125,8.75,9.0313,125100.0
2000-02-04,PRGO,8.5,9.0625,8.6563,8.9375,119300.0
2000-02-07,PRGO,8.8125,9.125,9.0625,8.8438,140000.0
2000-02-08,PRGO,8.75,9.0625,9.0313,8.9375,179100.0
2000-02-09,PRGO,8.875,9.4375,8.875,9.0,356200.0
2000-02-10,PRGO,8.875,8.9375,8.875,8.875,152400.0
2000-02-11,PRGO,8.4375,9.0,8.4375,9.0,1448800.0
2000-02-14,PRGO,7.5625,8.5,7.875,8.5,360700.0
2000-02-15,PRGO,7.875,8.625,8.375,7.9375,308800.0
2000-02-16,PRGO,8.25,8.5,8.4688,8.25,939400.0
2000-02-17,PRGO,8.125,8.4375,8.125,8.375,358600.0
2000-02-18,PRGO,8.125,8.4375,8.1875,8.125,329800.0
2000-02-22,PRGO,7.9375,8.25,8.125,8.0625,398900.0
2000-02-23,PRGO,7.5,8.0,7.5625,8.0,280000.0
2000-02-24,PRGO,7.5,7.625,7.5938,7.5938,222800.0
2000-02-25,PRGO,7.5,7.75,7.5625,7.5938,278000.0
2000-02-28,PRGO,7.4063,7.5938,7.4531,7.5625,188800.0
2000-02-29,PRGO,7.2813,7.5,7.3438,7.4375,353800.0
2000-03-01,PRGO,7.3438,7.5,7.4688,7.3438,304300.0
2000-03-02,PRGO,7.4688,9.0,7.6875,7.4688,1263800.0
2000-03-03,PRGO,7.5,7.75,7.6875,7.75,349800.0
2000-03-06,PRGO,7.5,7.8125,7.6563,7.6875,484500.0
2000-03-07,PRGO,7.5625,7.75,7.6875,7.6875,210000.0
2000-03-08,PRGO,7.3125,7.7188,7.625,7.7188,294900.0
2000-03-09,PRGO,7.4063,7.75,7.5625,7.6875,201600.0
2000-03-10,PRGO,7.375,7.5938,7.4063,7.5469,176300.0
2000-03-13,PRGO,7.25,7.5625,7.2813,7.4375,153500.0
2000-03-14,PRGO,6.8438,7.3438,6.9531,7.3125,679300.0
2000-03-15,PRGO,6.7813,7.0938,6.9063,7.0313,314700.0
2000-03-16,PRGO,6.9375,7.125,7.0625,7.0,977300.0
2000-03-17,PRGO,6.875,7.4375,7.3438,6.875,1553500.0
2000-03-20,PRGO,7.25,7.5625,7.3438,7.4375,463200.0
2000-03-21,PRGO,7.0,7.625,7.4375,7.375,941200.0
2000-03-22,PRGO,7.375,7.625,7.4375,7.5938,114200.0
2000-03-23,PRGO,7.25,7.5625,7.4063,7.4688,158800.0
2000-03-24,PRGO,7.25,7.4375,7.3125,7.375,263300.0
2000-03-27,PRGO,7.1875,7.4375,7.375,7.3125,167600.0
2000-03-28,PRGO,7.125,7.375,7.2188,7.375,263000.0
2000-03-29,PRGO,7.0313,7.375,7.3125,7.25,206000.0
2000-03-30,PRGO,7.125,7.3125,7.2813,7.1875,216800.0
2000-03-31,PRGO,7.0,7.875,7.5938,7.3125,961100.0
2000-04-03,PRGO,7.25,7.5625,7.3125,7.5,179200.0
2000-04-04,PRGO,7.0,7.3438,7.125,7.25,243500.0
2000-04-05,PRGO,7.0,7.375,7.1875,7.0,252100.0
2000-04-06,PRGO,7.0625,7.3125,7.25,7.3125,236400.0
2000-04-07,PRGO,7.0625,7.3125,7.25,7.1875,100400.0
2000-04-10,PRGO,7.25,7.4375,7.2813,7.3125,147600.0
2000-04-11,PRGO,7.125,7.375,7.3125,7.25,132700.0
2000-04-12,PRGO,7.0625,7.3125,7.125,7.125,167800.0
2000-04-13,PRGO,7.0,7.125,7.0625,7.1094,367400.0
2000-04-14,PRGO,7.0,7.25,7.0625,7.125,437300.0
2000-04-17,PRGO,7.0625,7.25,7.25,7.0625,612500.0
2000-04-18,PRGO,6.875,7.25,6.9688,7.25,628400.0
2000-04-19,PRGO,6.9063,7.1875,6.9375,6.9063,138100.0
2000-04-20,PRGO,6.9063,6.9688,6.9063,6.9375,83500.0
2000-04-24,PRGO,6.9063,7.0,7.0,6.9688,134900.0
2000-04-25,PRGO,6.6875,7.0,6.75,7.0,347800.0
2000-04-26,PRGO,5.625,6.6875,5.8125,6.6563,2214700.0
2000-04-27,PRGO,5.0,5.6875,5.1563,5.6719,3125900.0
2000-04-28,PRGO,5.125,5.875,5.6875,5.1875,552800.0
2000-05-01,PRGO,5.5,5.8438,5.5313,5.75,251600.0
2000-05-02,PRGO,5.375,5.6875,5.4063,5.5313,207200.0
2000-05-03,PRGO,5.0625,5.4375,5.1563,5.375,392500.0
2000-05-04,PRGO,5.125,5.5313,5.4063,5.125,392200.0
2000-05-05,PRGO,5.375,5.5625,5.4375,5.5313,200000.0
2000-05-08,PRGO,5.3125,5.4375,5.375,5.4375,333600.0
2000-05-09,PRGO,5.25,5.375,5.2813,5.375,275900.0
2000-05-10,PRGO,5.2188,5.3125,5.2813,5.25,129900.0
2000-05-11,PRGO,5.125,5.375,5.2813,5.25,664000.0
2000-05-12,PRGO,5.0313,5.375,5.2188,5.3125,689600.0
2000-05-15,PRGO,5.2813,5.5,5.5,5.3125,302800.0
2000-05-16,PRGO,5.375,5.875,5.875,5.4688,187400.0
2000-05-17,PRGO,5.6875,6.0,5.9063,5.875,366300.0
2000-05-18,PRGO,5.5,5.9688,5.7188,5.9688,263400.0
2000-05-19,PRGO,5.5,5.7031,5.5,5.7031,56700.0
2000-05-22,PRGO,5.5,5.75,5.75,5.5,203300.0
2000-05-23,PRGO,5.5313,5.75,5.5938,5.6875,128300.0
2000-05-24,PRGO,5.25,5.875,5.8438,5.5938,496400.0
