Date,symbol,Low,High,Close,Open,Volume
2018-03-15,PX,6.08,6.18,6.1,6.14,2171600.0
2018-03-16,PX,6.08,6.13,6.1,6.13,77100.0
2018-03-19,PX,6.06,6.13,6.06,6.1,149000.0
2018-03-20,PX,6.0,6.08,6.0,6.06,752500.0
2018-03-21,PX,5.81,6.0,5.82,6.0,436700.0
2018-03-22,PX,5.84,5.95,5.95,5.84,110300.0
2018-03-23,PX,5.89,6.13,5.97,5.95,392800.0
2018-03-26,PX,5.9,6.02,6.02,6.02,195100.0
2018-03-27,PX,5.93,6.03,6.01,5.93,1047800.0
2018-03-28,PX,6.01,6.17,6.09,6.01,804200.0
2018-03-29,PX,6.09,6.09,6.09,6.09,0.0
2018-04-02,PX,6.08,6.15,6.1,6.08,57400.0
2018-04-03,PX,6.11,6.15,6.12,6.11,92600.0
2018-04-04,PX,6.09,6.16,6.1,6.16,388600.0
2018-04-05,PX,6.07,6.1,6.1,6.09,1238500.0
2018-04-06,PX,6.06,6.15,6.06,6.1,1149900.0
2018-04-09,PX,6.06,6.06,6.06,6.06,0.0
2018-04-10,PX,5.93,6.06,5.95,6.06,1157200.0
2018-04-11,PX,5.95,6.0,5.95,5.95,819200.0
2018-04-12,PX,5.94,6.01,5.95,5.95,1367600.0
2018-04-13,PX,5.95,6.0,5.98,5.98,75000.0
2018-04-16,PX,5.96,5.98,5.97,5.98,430900.0
2018-04-17,PX,5.78,5.97,5.78,5.97,2226900.0
2018-04-18,PX,5.63,5.75,5.65,5.75,1655300.0
2018-04-19,PX,5.58,5.65,5.6,5.65,1198800.0
2018-04-20,PX,5.56,5.6,5.56,5.6,672600.0
2018-04-23,PX,5.56,5.6,5.57,5.56,196300.0
2018-04-24,PX,5.58,5.69,5.61,5.58,24000.0
2018-04-25,PX,5.62,5.7,5.62,5.7,57200.0
2018-04-26,PX,5.57,5.64,5.58,5.62,64600.0
2018-04-27,PX,5.55,5.62,5.6,5.58,88100.0
2018-04-30,PX,5.58,5.74,5.65,5.58,511500.0
2018-05-01,PX,5.65,5.65,5.65,5.65,0.0
2018-05-02,PX,5.64,5.75,5.75,5.65,55700.0
2018-05-03,PX,5.75,5.8,5.75,5.76,58500.0
2018-05-04,PX,5.71,5.75,5.72,5.75,17900.0
2018-05-07,PX,5.66,5.71,5.66,5.71,56400.0
2018-05-08,PX,5.6,5.66,5.65,5.66,1043800.0
2018-05-09,PX,5.59,5.76,5.6,5.65,335700.0
2018-05-10,PX,5.58,5.61,5.6,5.61,127300.0
2018-05-11,PX,5.55,5.6,5.6,5.58,342000.0
2018-05-14,PX,5.6,5.6,5.6,5.6,0.0
2018-05-15,PX,5.5,5.6,5.55,5.6,536700.0
2018-05-16,PX,5.5,5.6,5.6,5.5,1143600.0
2018-05-17,PX,5.5,5.6,5.5,5.6,369300.0
2018-05-18,PX,5.42,5.49,5.43,5.49,292600.0
2018-05-21,PX,5.39,5.59,5.39,5.43,458400.0
2018-05-22,PX,5.31,5.4,5.38,5.39,511200.0
2018-05-23,PX,5.2,5.32,5.22,5.3,707000.0
2018-05-24,PX,5.1,5.22,5.11,5.22,364100.0
2018-05-25,PX,5.1,5.17,5.11,5.17,233100.0
2018-05-29,PX,5.1,5.14,5.12,5.12,349300.0
2018-05-30,PX,5.12,5.14,5.14,5.12,81700.0
2018-05-31,PX,5.12,5.5,5.5,5.14,258100.0
2018-06-01,PX,5.21,5.44,5.28,5.44,368800.0
2018-06-04,PX,5.29,5.4,5.31,5.29,44300.0
2018-06-05,PX,5.28,5.31,5.28,5.31,181900.0
2018-06-06,PX,5.28,5.28,5.28,5.28,25900.0
2018-06-07,PX,5.27,5.31,5.28,5.27,45200.0
2018-06-08,PX,5.3,5.48,5.3,5.31,27100.0
2018-06-11,PX,5.21,5.3,5.21,5.3,144700.0
