Date,symbol,Low,High,Close,Open,Volume
2015-07-06,PYPL,36.0,39.75,36.71,38.0008,5866600.0
2015-07-07,PYPL,36.0,37.81,36.62,37.72,7359000.0
2015-07-08,PYPL,34.53,36.36,34.7,36.34,5387700.0
2015-07-09,PYPL,33.99,35.52,34.5,35.1,3760100.0
2015-07-10,PYPL,33.98,35.19,34.69,34.66,4472800.0
2015-07-13,PYPL,35.5,37.5,36.78,35.59,7626000.0
2015-07-14,PYPL,36.6,37.74,36.93,36.99,4653300.0
2015-07-15,PYPL,37.03,38.2,37.51,37.98,13072800.0
2015-07-16,PYPL,38.08,39.97,38.63,38.82,21348500.0
2015-07-17,PYPL,38.18,40.2,38.39,39.42,45720200.0
2015-07-20,PYPL,39.8,42.55,40.47,41.46,52286500.0
2015-07-21,PYPL,39.12,41.11,39.35,41.08,32954600.0
2015-07-22,PYPL,38.1,39.718,38.39,39.35,25363900.0
2015-07-23,PYPL,36.93,38.75,37.01,38.74,19250200.0
2015-07-24,PYPL,36.91,38.0,37.0,37.71,14274300.0
2015-07-27,PYPL,36.2194,37.38,36.39,36.78,16179900.0
2015-07-28,PYPL,36.83,38.0,37.6,37.19,18986000.0
2015-07-29,PYPL,37.62,38.1,37.95,38.0315,11788400.0
2015-07-30,PYPL,37.715,39.01,38.45,38.04,13845100.0
2015-07-31,PYPL,38.22,39.2,38.7,39.14,12480600.0
2015-08-03,PYPL,38.9,39.8815,39.39,39.25,15126600.0
2015-08-04,PYPL,38.43,39.91,38.95,39.91,10992200.0
2015-08-05,PYPL,39.1717,39.88,39.27,39.7,9463100.0
2015-08-06,PYPL,38.55,39.74,38.85,39.63,7324100.0
2015-08-07,PYPL,38.6,39.23,39.13,39.04,8331300.0
2015-08-10,PYPL,38.7712,39.69,39.05,39.43,7998900.0
2015-08-11,PYPL,38.72,39.28,38.85,38.9279,8184000.0
2015-08-12,PYPL,37.01,38.58,38.19,38.55,21350600.0
2015-08-13,PYPL,37.44,38.49,37.62,38.4,7863500.0
2015-08-14,PYPL,37.38,38.18,38.14,37.49,6271100.0
2015-08-17,PYPL,37.7,38.75,38.73,38.3,4931700.0
2015-08-18,PYPL,37.87,39.0,37.99,39.0004,4678800.0
2015-08-19,PYPL,37.03,38.1,37.19,37.87,6867600.0
2015-08-20,PYPL,35.8804,37.34,35.98,36.85,10645700.0
2015-08-21,PYPL,33.83,36.11,34.25,35.57,16824100.0
2015-08-24,PYPL,30.0,34.85,33.75,31.1696,19676600.0
2015-08-25,PYPL,32.6996,35.46,32.7,35.44,15557100.0
2015-08-26,PYPL,31.71,33.84,33.17,33.7,25350400.0
2015-08-27,PYPL,33.16,34.77,34.62,33.87,18909600.0
2015-08-28,PYPL,34.37,35.26,35.04,34.51,8344800.0
2015-08-31,PYPL,34.77,35.51,35.0,35.5,12123800.0
2015-09-01,PYPL,33.41,34.68,33.77,34.15,13376000.0
2015-09-02,PYPL,33.835,35.08,35.07,34.6,7521000.0
2015-09-03,PYPL,34.77,35.46,35.31,35.01,6683800.0
2015-09-04,PYPL,33.78,34.72,34.29,34.7134,7483100.0
2015-09-08,PYPL,34.25,34.89,34.7,34.81,7674500.0
2015-09-09,PYPL,33.88,34.95,34.37,34.92,10946900.0
2015-09-10,PYPL,32.95,34.29,33.46,34.23,12134500.0
2015-09-11,PYPL,32.61,33.59,33.55,33.27,9184200.0
2015-09-14,PYPL,33.1957,33.95,33.77,33.7,7897700.0
2015-09-15,PYPL,32.67,33.95,33.8,33.72,11874900.0
2015-09-16,PYPL,33.36,34.06,33.77,33.4594,7183900.0
2015-09-17,PYPL,33.0814,33.99,33.32,33.72,7846800.0
2015-09-18,PYPL,32.55,33.78,32.92,32.9,16488100.0
2015-09-21,PYPL,33.43,34.62,34.25,33.66,12736500.0
2015-09-22,PYPL,33.19,34.1,33.35,33.94,8538000.0
2015-09-23,PYPL,33.26,34.34,34.16,33.49,5405500.0
2015-09-24,PYPL,33.38,34.07,33.91,34.0,6544500.0
2015-09-25,PYPL,33.5,34.6911,33.77,34.6,6566800.0
2015-09-28,PYPL,32.155,33.68,32.25,33.68,7407300.0
2015-09-29,PYPL,30.3,32.67,30.63,32.27,12008100.0
2015-09-30,PYPL,30.64,31.28,31.04,31.2,13672000.0
2015-10-01,PYPL,30.75,31.587,31.48,30.8199,9657000.0
2015-10-02,PYPL,30.75,32.86,32.83,30.82,7609800.0
2015-10-05,PYPL,32.38,33.02,32.67,32.9478,6119100.0
2015-10-06,PYPL,31.78,32.91,31.86,32.91,7409800.0
2015-10-07,PYPL,31.52,32.471,32.38,32.31,6969600.0
2015-10-08,PYPL,31.0906,32.45,31.67,32.44,9281500.0
2015-10-09,PYPL,31.41,32.45,32.06,31.6892,5911400.0
2015-10-12,PYPL,32.1,32.67,32.63,32.19,3915500.0
2015-10-13,PYPL,32.34,33.48,33.22,32.6,8787700.0
2015-10-14,PYPL,33.4,34.46,34.05,33.4,8198300.0
2015-10-15,PYPL,34.16,34.72,34.62,34.45,9103200.0
2015-10-16,PYPL,33.95,35.05,34.29,34.75,5390700.0
2015-10-19,PYPL,33.79,34.905,34.84,34.43,5855700.0
2015-10-20,PYPL,34.59,34.99,34.87,34.8,6061500.0
2015-10-21,PYPL,32.88,34.8,33.83,34.75,9054500.0
2015-10-22,PYPL,34.26,35.25,34.79,34.43,8735500.0
2015-10-23,PYPL,34.8,35.75,34.99,35.73,8909100.0
2015-10-26,PYPL,35.515,36.59,36.44,36.05,11554600.0
2015-10-27,PYPL,35.31,36.394,35.94,36.39,8502400.0
2015-10-28,PYPL,35.81,36.65,36.52,36.21,11634300.0
2015-10-29,PYPL,34.5,36.5,35.91,34.73,25137300.0
2015-10-30,PYPL,35.24,36.49,36.01,35.64,13409200.0
2015-11-02,PYPL,35.45,37.41,36.99,35.58,11254900.0
2015-11-03,PYPL,36.9982,38.44,37.9,37.05,12025200.0
2015-11-04,PYPL,37.33,38.52,37.6,38.45,12226800.0
2015-11-05,PYPL,36.66,37.98,36.71,37.82,9068900.0
2015-11-06,PYPL,35.8,36.7,36.24,36.59,10256800.0
2015-11-09,PYPL,35.65,36.74,36.6,36.1,11571500.0
2015-11-10,PYPL,36.5,37.2,37.0,36.5816,36384400.0
2015-11-11,PYPL,35.75,37.32,36.33,37.19,12762500.0
2015-11-12,PYPL,34.83,36.05,35.57,35.945,11835900.0
2015-11-13,PYPL,34.5,35.5,34.53,35.18,7364400.0
2015-11-16,PYPL,34.53,35.66,35.61,34.55,6734500.0
2015-11-17,PYPL,35.71,36.45,36.21,35.89,7344900.0
2015-11-18,PYPL,35.785,36.95,36.22,36.3211,8323100.0
2015-11-19,PYPL,35.91,36.4991,36.19,36.45,5041300.0
2015-11-20,PYPL,35.92,36.45,36.36,36.45,4543400.0
2015-11-23,PYPL,35.41,36.65,35.56,36.5,6961000.0
2015-11-24,PYPL,34.8799,35.3,35.12,35.25,8390100.0
2015-11-25,PYPL,35.13,35.86,35.36,35.2,3881800.0
2015-11-27,PYPL,35.06,35.7,35.18,35.52,2549400.0
2015-11-30,PYPL,34.69,35.44,35.26,35.36,9357300.0
2015-12-01,PYPL,33.85,35.41,35.17,35.41,14893900.0
2015-12-02,PYPL,34.93,36.17,35.15,35.23,5762400.0
2015-12-03,PYPL,33.85,35.23,34.23,35.2,7311900.0
2015-12-04,PYPL,34.22,35.82,35.62,34.38,10664300.0
2015-12-07,PYPL,34.85,35.8,35.16,35.71,4918000.0
2015-12-08,PYPL,34.52,35.7,35.6,34.63,7420800.0
2015-12-09,PYPL,34.83,35.6,35.07,35.3893,7381700.0
2015-12-10,PYPL,35.16,35.91,35.49,35.16,6909200.0
2015-12-11,PYPL,34.42,35.326,34.69,35.15,8309200.0
2015-12-14,PYPL,34.33,35.223,35.01,34.61,5784400.0
2015-12-15,PYPL,35.1803,36.51,36.32,35.19,11709900.0
2015-12-16,PYPL,35.19,36.2519,35.98,36.12,7076300.0
2015-12-17,PYPL,35.51,36.58,35.54,36.0,6454100.0
2015-12-18,PYPL,34.73,35.76,34.98,35.35,13745900.0
2015-12-21,PYPL,35.11,36.15,36.08,35.21,5856000.0
2015-12-22,PYPL,35.78,36.89,36.805,36.12,6030900.0
2015-12-23,PYPL,36.77,37.68,37.11,36.79,7579500.0
2015-12-24,PYPL,36.82,37.23,37.07,37.0093,2133400.0
2015-12-28,PYPL,36.25,37.0,36.61,36.7,4930100.0
2015-12-29,PYPL,36.75,37.45,37.08,36.92,3436600.0
2015-12-30,PYPL,36.46,37.25,36.48,37.07,4106700.0
2015-12-31,PYPL,36.0504,36.5,36.2,36.3,4453800.0
2016-01-04,PYPL,34.28,35.56,34.75,35.13,12287700.0
2016-01-05,PYPL,33.86,34.9794,34.31,34.98,11227700.0
2016-01-06,PYPL,33.21,34.01,33.98,33.7,8441300.0
2016-01-07,PYPL,33.02,34.1608,33.13,33.15,11041100.0
2016-01-08,PYPL,32.6336,33.88,32.69,33.46,7848800.0
2016-01-11,PYPL,32.47,33.43,33.04,33.02,8937400.0
2016-01-12,PYPL,32.66,33.57,33.08,33.35,7854000.0
2016-01-13,PYPL,31.9699,33.57,32.12,33.28,8069400.0
2016-01-14,PYPL,31.705,33.04,32.87,32.15,7749500.0
2016-01-15,PYPL,31.62,32.54,32.31,31.62,12131400.0
2016-01-19,PYPL,31.93,33.18,32.2,32.76,6674700.0
2016-01-20,PYPL,30.52,31.7,31.2,31.43,13170600.0
2016-01-21,PYPL,30.9,31.74,31.2,31.61,9978900.0
2016-01-22,PYPL,31.54,31.97,31.69,31.65,9444000.0
2016-01-25,PYPL,31.35,31.98,31.47,31.98,7591800.0
2016-01-26,PYPL,31.3896,31.98,31.97,31.49,8617000.0
2016-01-27,PYPL,31.38,32.63,31.59,31.96,12711700.0
2016-01-28,PYPL,33.35,34.75,34.24,33.63,20378600.0
2016-01-29,PYPL,34.36,36.26,36.14,34.49,21201100.0
2016-02-01,PYPL,35.59,37.32,37.08,35.65,17356000.0
2016-02-02,PYPL,36.44,37.77,36.83,36.53,17310600.0
2016-02-03,PYPL,36.07,37.55,37.01,36.87,14543100.0
2016-02-04,PYPL,36.5411,37.285,37.17,36.66,10212300.0
2016-02-05,PYPL,34.82,37.16,35.07,37.16,16245800.0
2016-02-08,PYPL,31.9826,34.29,33.61,34.0,20629000.0
2016-02-09,PYPL,31.6409,33.858000000000004,32.7,32.8,16439200.0
2016-02-10,PYPL,32.82,33.94,32.9,33.62,8636500.0
2016-02-11,PYPL,32.01,33.64,33.52,32.12,13170100.0
2016-02-12,PYPL,33.81,34.44,34.3,33.97,9437100.0
2016-02-16,PYPL,34.48,35.52,35.46,34.65,9152400.0
2016-02-17,PYPL,35.81,36.91,36.36,35.98,12070600.0
2016-02-18,PYPL,35.66,36.53,36.31,36.41,9022100.0
2016-02-19,PYPL,35.61,36.2346,35.76,36.0,9652800.0
2016-02-22,PYPL,35.82,36.5,36.0,36.4484,10476200.0
2016-02-23,PYPL,35.02,35.9357,35.48,35.72,8415200.0
2016-02-24,PYPL,34.86,36.75,36.47,35.22,8090600.0
2016-02-25,PYPL,36.18,36.83,36.74,36.67,5209500.0
2016-02-26,PYPL,36.37,37.535,37.49,36.73,8595000.0
2016-02-29,PYPL,37.45,38.93,38.14,37.47,23939900.0
2016-03-01,PYPL,38.02,39.545,39.25,38.5175,14085300.0
2016-03-02,PYPL,38.7,39.93,39.16,39.1994,12895900.0
2016-03-03,PYPL,38.629,39.24,39.02,38.96,7656900.0
2016-03-04,PYPL,38.755,39.7,39.04,38.77,7200100.0
2016-03-07,PYPL,38.72,39.4,38.98,38.78,5327200.0
2016-03-08,PYPL,38.11,38.88,38.16,38.69,6012700.0
2016-03-09,PYPL,37.82,38.62,38.57,38.48,4990500.0
2016-03-10,PYPL,37.48,39.3,38.49,38.66,7655700.0
2016-03-11,PYPL,38.85,39.53,39.49,39.0,9539500.0
2016-03-14,PYPL,39.04,39.8,39.38,39.4,5299700.0
2016-03-15,PYPL,39.05,39.64,39.27,39.05,5013900.0
2016-03-16,PYPL,38.57,39.89,39.84,39.09,6363500.0
2016-03-17,PYPL,39.17,40.12,39.93,39.85,9789600.0
2016-03-18,PYPL,38.69,39.86,39.41,39.86,15132400.0
2016-03-21,PYPL,39.2,41.17,41.14,39.41,13432400.0
2016-03-22,PYPL,40.63,41.75,41.32,40.67,10552300.0
2016-03-23,PYPL,40.04,41.31,40.52,41.06,8104700.0
2016-03-24,PYPL,37.0,39.51,38.92,39.4,15040600.0
2016-03-28,PYPL,38.62,39.17,38.74,38.81,6192900.0
2016-03-29,PYPL,38.3,39.715,39.53,38.74,5694000.0
2016-03-30,PYPL,38.995,40.04,39.04,39.9392,5246800.0
2016-03-31,PYPL,38.43,39.0,38.6,38.74,8087000.0
2016-04-01,PYPL,38.4,39.46,39.4,38.51,6982000.0
2016-04-04,PYPL,38.41,39.38,38.79,39.36,5381300.0
2016-04-05,PYPL,37.7,38.81,38.55,38.35,5364800.0
2016-04-06,PYPL,38.25,39.185,39.16,38.45,5526200.0
2016-04-07,PYPL,38.12,38.9412,38.28,38.85,7294500.0
2016-04-08,PYPL,38.1,38.699,38.41,38.61,7822300.0
2016-04-11,PYPL,38.03,38.82,38.06,38.33,5428900.0
2016-04-12,PYPL,37.34,38.32,37.8,38.32,7677100.0
2016-04-13,PYPL,38.19,39.12,38.79,38.25,7082400.0
2016-04-14,PYPL,38.415,39.02,38.64,38.94,4590200.0
