Date,symbol,Low,High,Close,Open,Volume
2015-01-02,QRVO,68.01,71.999,70.4,69.0,4218700.0
2015-01-05,QRVO,67.06,71.3,67.63,71.23,4534700.0
2015-01-06,QRVO,63.02,67.99,64.67,67.9274,3749400.0
2015-01-07,QRVO,63.51,66.76,66.65,65.01,2122600.0
2015-01-08,QRVO,67.13,69.69,67.69,67.95,2510300.0
2015-01-09,QRVO,66.61,68.45,67.11,68.45,933900.0
2015-01-12,QRVO,64.8,67.99,65.52,67.39,1259200.0
2015-01-13,QRVO,63.61,67.59,65.02,65.74,1228400.0
2015-01-14,QRVO,63.11,65.45,64.59,64.65,980700.0
2015-01-15,QRVO,63.6,64.94,64.39,64.23,1246800.0
2015-01-16,QRVO,63.81,66.42,65.81,64.02,1392900.0
2015-01-20,QRVO,65.23,68.2,67.96,65.75,1096200.0
2015-01-21,QRVO,67.57,70.8,68.84,67.61,1451600.0
2015-01-22,QRVO,67.03,70.68,70.61,69.54,1332400.0
2015-01-23,QRVO,70.57,74.3421,73.37,70.72,1677100.0
2015-01-26,QRVO,72.3,74.0,73.15,72.4,1571800.0
2015-01-27,QRVO,71.5,73.88,73.75,73.0,1246700.0
2015-01-28,QRVO,74.22,78.05,75.5,75.0,3063000.0
2015-01-29,QRVO,72.2,75.88,75.76,72.7,2636700.0
2015-01-30,QRVO,73.31,75.26,73.87,74.64,1623400.0
2015-02-02,QRVO,66.88,74.0,68.72,73.08,3348300.0
2015-02-03,QRVO,67.05,70.0,68.52,68.74,2551800.0
2015-02-04,QRVO,66.76,69.4043,68.33,67.53,1499600.0
2015-02-05,QRVO,66.5,68.73,67.39,67.66,1322900.0
2015-02-06,QRVO,65.53,68.5,65.89,67.4962,1302200.0
2015-02-09,QRVO,63.35,65.825,63.74,65.2,1562800.0
2015-02-10,QRVO,63.67,65.12,65.02,63.87,1306600.0
2015-02-11,QRVO,63.17,65.65,64.75,64.933,1096600.0
2015-02-12,QRVO,65.0,66.33,66.2,65.63,1159000.0
2015-02-13,QRVO,65.6365,70.27,70.03,66.35,1870200.0
2015-02-17,QRVO,68.06,70.0,69.44,70.0,974000.0
2015-02-18,QRVO,67.31,70.0,67.54,69.15,1056700.0
2015-02-19,QRVO,65.25,68.17,65.3,67.0,1225400.0
2015-02-20,QRVO,64.04,65.77,65.17,65.57,1462900.0
2015-02-23,QRVO,64.3,65.88,65.05,65.16,889600.0
2015-02-24,QRVO,65.2,69.35,69.34,65.36,1700200.0
2015-02-25,QRVO,66.6,69.28,67.21,68.95,965200.0
2015-02-26,QRVO,67.89,71.72,71.53,68.0,2116400.0
2015-02-27,QRVO,69.2,71.428,69.4,70.75,1400900.0
2015-03-02,QRVO,68.8,70.8,69.35,69.39,1127900.0
2015-03-03,QRVO,68.35,70.96,70.84,69.36,1508900.0
2015-03-04,QRVO,70.11,73.25,72.02,70.23,1396500.0
2015-03-05,QRVO,72.02,75.16,74.51,72.2008,1621900.0
2015-03-06,QRVO,72.75,74.5,72.98,73.41,988100.0
2015-03-09,QRVO,73.13,75.45,74.83,73.24,1076500.0
2015-03-10,QRVO,71.74,74.31,72.15,74.1308,1365500.0
2015-03-11,QRVO,72.05,73.6,72.95,72.67,1039500.0
2015-03-12,QRVO,72.92,74.35,73.42,73.34,794800.0
2015-03-13,QRVO,71.8,73.99,72.57,73.35,761900.0
2015-03-16,QRVO,74.0,76.75,76.33,74.21,1822400.0
2015-03-17,QRVO,75.9,78.12,77.71,76.16,1824300.0
2015-03-18,QRVO,77.69,80.8,79.96,77.86,2272900.0
2015-03-19,QRVO,79.21,82.27,80.38,81.52,1886000.0
2015-03-20,QRVO,79.695,81.5,80.8,81.44,4741000.0
2015-03-23,QRVO,81.07,84.19,84.09,81.15,2000600.0
2015-03-24,QRVO,82.66,85.62700000000001,83.21,84.6,1792300.0
2015-03-25,QRVO,75.52,83.79,77.13,83.55,3728800.0
2015-03-26,QRVO,72.1,77.75,77.19,73.5,3005900.0
2015-03-27,QRVO,77.51,80.69,79.28,77.63,2634900.0
2015-03-30,QRVO,79.71,81.4,81.4,80.22,1820400.0
2015-03-31,QRVO,78.55,81.0,79.7,80.93,2006900.0
2015-04-01,QRVO,77.81,79.3,78.8,78.53,1430200.0
2015-04-02,QRVO,76.67,79.2,77.79,79.2,1603800.0
2015-04-06,QRVO,75.2,77.15,76.51,76.8783,1613600.0
2015-04-07,QRVO,72.73,77.69,73.23,77.08,2251100.0
2015-04-08,QRVO,72.51,75.2,72.84,73.8,2108000.0
2015-04-09,QRVO,71.22,74.9,74.63,72.71,1385100.0
2015-04-10,QRVO,72.76,75.93,73.58,75.61,1315300.0
2015-04-13,QRVO,72.11,75.12,72.63,73.79,1242800.0
2015-04-14,QRVO,69.3,73.17,70.5,72.38,2457100.0
2015-04-15,QRVO,69.37,72.0,70.91,71.0,1714600.0
2015-04-16,QRVO,68.61,71.5,71.46,70.8,1495500.0
2015-04-17,QRVO,69.61,71.11,70.07,70.7,1177600.0
2015-04-20,QRVO,70.4,72.35,72.01,70.4,1216900.0
2015-04-21,QRVO,72.01,74.26,74.07,72.5,1159700.0
2015-04-22,QRVO,73.06,74.54,74.48,74.25,817900.0
2015-04-23,QRVO,71.55,73.95,73.27,73.93,1121000.0
2015-04-24,QRVO,69.7,73.1,70.12,73.08,1633000.0
2015-04-27,QRVO,68.9,71.69,69.37,69.93,1512900.0
2015-04-28,QRVO,65.442,70.308,67.86,69.97,2043700.0
2015-04-29,QRVO,66.51,69.0,68.65,67.59,994200.0
2015-04-30,QRVO,65.8,68.85,65.91,68.47,1632000.0
2015-05-01,QRVO,66.68,69.61,69.6,66.8,1708100.0
2015-05-04,QRVO,68.66,70.5,68.99,69.85,1621600.0
2015-05-05,QRVO,66.02,69.222,67.07,68.51,1532600.0
2015-05-06,QRVO,66.5,69.4,69.06,67.7,2131900.0
2015-05-07,QRVO,73.21,78.0,75.56,77.63,4721300.0
2015-05-08,QRVO,76.21,77.97,76.56,76.3755,1991600.0
2015-05-11,QRVO,73.84,76.0,74.56,75.99,1697700.0
2015-05-12,QRVO,74.0,75.85,74.75,74.1381,1381600.0
2015-05-13,QRVO,74.33,76.1,74.96,75.35,804100.0
2015-05-14,QRVO,75.04,77.215,76.98,75.17,1556400.0
2015-05-15,QRVO,75.83,77.14,76.54,76.7,1710700.0
2015-05-18,QRVO,75.5,80.39,80.3,75.76,2668800.0
2015-05-19,QRVO,79.4,81.89,80.1,80.75,1644100.0
2015-05-20,QRVO,79.4,81.99,81.15,79.7956,1213500.0
2015-05-21,QRVO,79.79,81.85,81.26,81.15,1937800.0
2015-05-22,QRVO,82.0,84.64299999999999,84.03,82.0,3054900.0
2015-05-26,QRVO,81.39,83.73,82.46,83.4456,2157300.0
2015-05-27,QRVO,82.7,86.75,86.4,82.96,2806100.0
2015-05-28,QRVO,82.06,86.33,82.3,86.21,2310500.0
2015-05-29,QRVO,82.03,84.33,82.15,82.87,2769600.0
2015-06-01,QRVO,80.09,83.363,80.94,82.5,2210400.0
2015-06-02,QRVO,79.0,80.9573,80.86,80.59,1703800.0
2015-06-03,QRVO,80.9,81.907,81.55,81.35,2263400.0
2015-06-04,QRVO,80.08,82.1,81.32,80.693,1203800.0
2015-06-05,QRVO,80.12,83.85,83.7,81.06,1801100.0
2015-06-08,QRVO,79.75,83.76899999999999,80.24,83.42,2180100.0
2015-06-09,QRVO,77.6,81.0,80.05,80.5056,2807700.0
2015-06-10,QRVO,80.29,82.74,82.5,81.375,6108700.0
2015-06-11,QRVO,81.65100000000001,83.0,82.0,82.49,28866300.0
2015-06-12,QRVO,81.75,83.7023,83.51,81.99,2641000.0
2015-06-15,QRVO,82.05,82.99,82.18,82.51,2640800.0
2015-06-16,QRVO,82.11,84.99,84.75,82.22,2476500.0
2015-06-17,QRVO,83.09,85.07,84.56,84.81,1893600.0
2015-06-18,QRVO,83.62299999999999,85.46,84.65,84.6354,2013000.0
2015-06-19,QRVO,84.33,86.28,85.25,84.89,2833100.0
2015-06-22,QRVO,85.86,88.35,87.81,86.27,2663900.0
2015-06-23,QRVO,84.85,87.96,85.31,87.9,2469400.0
2015-06-24,QRVO,84.56,85.88,84.59,85.13,1488600.0
2015-06-25,QRVO,84.7477,85.86,84.98,84.75,1391300.0
2015-06-26,QRVO,79.66,85.0,80.41,84.85,20596300.0
2015-06-29,QRVO,77.83,81.69,79.06,78.75,2892500.0
2015-06-30,QRVO,78.577,81.0,80.27,80.0,1955200.0
2015-07-01,QRVO,80.01,82.25,80.36,81.25,1639100.0
2015-07-02,QRVO,80.2,81.5493,81.36,80.72,1151400.0
2015-07-06,QRVO,78.59,81.9397,79.99,80.33,2121600.0
2015-07-07,QRVO,74.36,80.43,79.95,80.2868,3085800.0
2015-07-08,QRVO,74.48100000000001,77.45,74.68,77.43,3271800.0
2015-07-09,QRVO,74.33,77.27,74.63,76.3025,2010600.0
2015-07-10,QRVO,73.71,76.5,76.16,75.22,2365800.0
2015-07-13,QRVO,75.24,78.21,76.61,77.17,1397400.0
2015-07-14,QRVO,76.93,78.52,77.96,77.14,1047500.0
2015-07-15,QRVO,77.42699999999999,79.1,77.88,78.6,1050700.0
2015-07-16,QRVO,77.7,80.52,80.24,78.07,1501000.0
2015-07-17,QRVO,78.1,80.79,78.86,80.14,1327600.0
2015-07-20,QRVO,76.5,79.58,76.7,78.4992,2117600.0
2015-07-21,QRVO,75.41,77.95,77.45,76.22,1692300.0
2015-07-22,QRVO,71.01,74.88,74.17,72.55,3345600.0
2015-07-23,QRVO,74.44,77.22,75.24,74.71,1777400.0
2015-07-24,QRVO,72.2,77.17,72.28,76.51,1951500.0
2015-07-27,QRVO,69.01,71.45,69.94,71.45,1926400.0
2015-07-28,QRVO,68.5,71.084,70.75,70.5,1371700.0
2015-07-29,QRVO,68.94,70.85,70.47,70.33,2562700.0
2015-07-30,QRVO,57.1,62.348,60.485,60.6514,10331400.0
2015-07-31,QRVO,57.64,60.7922,57.95,60.61,4389300.0
2015-08-03,QRVO,56.55,58.61,57.52,57.52,3662900.0
2015-08-04,QRVO,54.37,58.14,55.06,56.68,5794800.0
2015-08-05,QRVO,54.25,56.83,54.83,55.16,4186000.0
2015-08-06,QRVO,50.8,54.83,51.83,54.7294,3198800.0
2015-08-07,QRVO,51.0,53.07,52.2,51.54,1874100.0
2015-08-10,QRVO,53.17,55.1,54.53,53.18,2160600.0
2015-08-11,QRVO,53.13,54.9113,53.86,53.5,2311300.0
2015-08-12,QRVO,51.7116,57.6,56.96,52.74,3350700.0
2015-08-13,QRVO,55.84,59.68,58.32,57.23,3508200.0
2015-08-14,QRVO,56.31,58.68,58.24,57.58,2517100.0
2015-08-17,QRVO,57.35,58.43,58.28,57.71,1251400.0
2015-08-18,QRVO,55.85,57.94,55.93,57.6,1585700.0
2015-08-19,QRVO,55.01,56.85,55.59,55.9,1819900.0
2015-08-20,QRVO,52.23,55.3507,52.36,54.61,2399500.0
2015-08-21,QRVO,49.8586,51.99,49.99,51.83,3704000.0
2015-08-24,QRVO,45.0,51.0707,48.5,45.5,3978200.0
2015-08-25,QRVO,49.78,52.972,49.81,51.79,2656100.0
2015-08-26,QRVO,49.77,52.97,52.75,51.67,2351000.0
2015-08-27,QRVO,54.02,55.89,54.74,54.13,2540700.0
2015-08-28,QRVO,54.22,55.92,55.79,54.37,1758000.0
2015-08-31,QRVO,54.17,56.28,55.51,54.79,2092800.0
2015-09-01,QRVO,53.12,55.94,53.45,53.89,2299300.0
2015-09-02,QRVO,53.51,55.44,54.82,54.75,1925100.0
2015-09-03,QRVO,54.86,58.36,56.57,55.0,2281100.0
2015-09-04,QRVO,54.72,56.6422,55.79,55.29,1332200.0
2015-09-08,QRVO,56.68,58.4,58.19,57.04,1411300.0
2015-09-09,QRVO,56.05,59.45,56.55,58.54,2079900.0
2015-09-10,QRVO,53.61,57.16,53.98,56.98,2971300.0
2015-09-11,QRVO,52.61,54.38,53.52,53.77,1532000.0
2015-09-14,QRVO,52.91,54.497,53.49,54.1,1539900.0
2015-09-15,QRVO,51.73,54.08,52.73,53.8599,1825700.0
2015-09-16,QRVO,51.3,53.28,51.74,52.64,1621700.0
2015-09-17,QRVO,51.214,52.66,51.39,51.49,1528300.0
2015-09-18,QRVO,49.77,51.73,50.73,50.7,3070100.0
2015-09-21,QRVO,49.8,51.35,49.9,50.97,1527000.0
2015-09-22,QRVO,47.19,49.82,47.37,49.27,2027100.0
2015-09-23,QRVO,47.8,49.81,48.06,47.95,1479200.0
2015-09-24,QRVO,45.88,47.9565,46.77,47.66,1784400.0
2015-09-25,QRVO,47.01,49.15,47.68,47.5,1714100.0
2015-09-28,QRVO,43.14,46.97,43.25,46.52,3174700.0
2015-09-29,QRVO,42.73,44.67,43.57,43.01,1548100.0
