Date,symbol,Low,High,Close,Open,Volume
1999-09-28,RIG,41.4523,43.507,42.435,43.507,528900.0
1999-09-29,RIG,43.0603,44.9364,44.8471,43.0603,1243800.0
1999-09-30,RIG,43.5963,45.2044,43.775,44.8471,719100.0
1999-10-01,RIG,43.9537,44.57899999999999,44.1324,44.31100000000001,417400.0
1999-10-04,RIG,42.0776,44.1324,42.2563,43.775,880300.0
1999-10-05,RIG,40.0229,41.9883,40.6482,41.9883,966900.0
1999-10-06,RIG,40.5589,42.0776,41.1842,41.8096,640000.0
1999-10-07,RIG,39.3975,40.8269,39.6655,40.8269,462200.0
1999-10-08,RIG,37.3428,38.8615,38.4148,37.8788,763300.0
1999-10-11,RIG,39.4869,42.7923,42.7923,39.6655,888400.0
1999-10-12,RIG,41.1842,43.5963,41.4523,43.1497,707400.0
1999-10-13,RIG,41.1842,43.0603,41.4523,41.8096,752100.0
1999-10-14,RIG,39.0402,41.3629,40.0229,41.2736,936600.0
1999-10-15,RIG,36.6281,39.7549,39.5762,36.8067,734800.0
1999-10-18,RIG,36.7174,39.4869,37.8788,38.9508,979300.0
1999-10-19,RIG,37.4321,39.0402,38.5935,37.8788,863200.0
1999-10-20,RIG,37.7001,39.8442,39.7549,38.9508,533500.0
1999-10-21,RIG,39.4869,41.1842,40.1122,39.5762,876900.0
1999-10-22,RIG,41.0949,42.0776,41.5416,41.1842,646900.0
1999-10-25,RIG,40.7376,42.6136,41.0056,41.7203,536300.0
1999-10-26,RIG,39.3082,41.0949,40.1122,41.0056,344600.0
1999-10-27,RIG,39.1295,41.1842,39.4869,40.1122,359700.0
1999-10-28,RIG,37.6108,39.4869,38.1468,39.4869,687200.0
1999-10-29,RIG,38.3255,39.5762,38.9508,38.5041,645700.0
1999-11-01,RIG,38.3255,40.8269,40.7376,39.7549,724100.0
1999-11-02,RIG,39.0402,40.3802,39.3975,40.3802,544000.0
1999-11-03,RIG,38.8615,40.1122,39.5762,39.3082,607900.0
1999-11-04,RIG,37.7895,39.8442,38.0575,39.6655,1247100.0
1999-11-05,RIG,35.4667,38.5935,36.2707,38.3255,1444700.0
1999-11-08,RIG,36.2707,37.6108,37.5214,36.3601,1017200.0
1999-11-09,RIG,38.4148,39.7549,39.7549,38.5041,1032100.0
1999-11-10,RIG,39.8442,41.4523,40.2909,40.0229,1023100.0
1999-11-11,RIG,39.1295,40.2909,39.3082,40.0229,545200.0
1999-11-12,RIG,38.8615,41.0056,40.6482,39.3082,641500.0
1999-11-15,RIG,40.5589,43.239,42.8816,41.0949,1174600.0
1999-11-16,RIG,42.7923,43.9537,43.5963,42.8816,1607600.0
1999-11-17,RIG,43.5963,46.4551,46.2764,43.9537,1213900.0
1999-11-18,RIG,43.8643,46.3658,43.9537,46.3658,891800.0
1999-11-19,RIG,43.9537,45.2937,44.31100000000001,44.4897,751000.0
1999-11-22,RIG,43.8643,46.8125,43.9537,46.0978,855600.0
1999-11-23,RIG,40.7376,43.9537,40.8269,43.9537,864000.0
1999-11-24,RIG,41.0056,42.2563,41.7203,41.2736,695700.0
1999-11-26,RIG,41.2736,41.8989,41.4523,41.4523,377400.0
1999-11-29,RIG,39.7549,40.8269,40.0229,40.7376,607600.0
1999-11-30,RIG,39.3975,41.6309,40.2909,39.3975,712900.0
1999-12-01,RIG,39.8442,42.8816,42.5243,40.9162,917000.0
1999-12-02,RIG,40.0229,42.435,41.2736,42.167,910700.0
1999-12-03,RIG,38.9508,41.0949,39.3082,41.0949,741100.0
1999-12-06,RIG,37.8788,40.2015,38.2361,39.6655,880400.0
1999-12-07,RIG,36.6281,38.8615,37.1641,37.3428,1043800.0
1999-12-08,RIG,35.6454,38.5041,38.0575,36.4494,1955400.0
1999-12-09,RIG,36.0921,38.1468,36.4494,38.0575,890200.0
1999-12-10,RIG,34.6627,36.8067,35.3774,36.4494,1219500.0
1999-12-13,RIG,34.1266,36.4494,34.3053,36.0027,2031200.0
1999-12-14,RIG,34.3053,36.0921,35.9134,34.3053,994000.0
1999-12-15,RIG,36.3601,37.8788,37.0748,36.3601,1017800.0
1999-12-16,RIG,37.1641,39.3082,39.0848,37.1641,1220800.0
1999-12-17,RIG,38.2361,39.5762,38.6828,39.3082,930000.0
1999-12-20,RIG,36.8961,39.1295,36.9854,39.0402,716100.0
1999-12-21,RIG,37.1641,39.5762,38.7722,37.1641,864900.0
1999-12-22,RIG,41.0056,44.31100000000001,42.435,41.4523,2636700.0
1999-12-23,RIG,42.435,47.1698,46.1871,42.7923,1687700.0
1999-12-27,RIG,45.8298,47.5272,46.1871,46.4551,1059700.0
1999-12-28,RIG,45.4724,47.1698,46.3658,45.8298,862800.0
1999-12-29,RIG,46.8125,48.3312,48.3312,47.0805,894800.0
1999-12-30,RIG,46.4551,49.1352,47.0581,48.5099,7937900.0
1999-12-31,RIG,32.375,34.0,33.688,32.75,873600.0
2000-01-03,RIG,30.5,33.375,32.813,33.313,3183500.0
2000-01-04,RIG,30.813000000000002,32.375,30.938000000000002,32.0,3435800.0
2000-01-05,RIG,29.25,30.875,29.875,30.375,2439600.0
2000-01-06,RIG,30.0,33.0,32.125,30.0,3418600.0
2000-01-07,RIG,32.063,34.25,34.0,32.125,2301800.0
2000-01-10,RIG,33.125,34.313,34.063,33.25,2226400.0
2000-01-11,RIG,33.375,34.75,34.375,34.063,2385000.0
2000-01-12,RIG,32.625,34.063,33.5,33.625,1822800.0
2000-01-13,RIG,33.313,35.25,34.75,33.313,2750200.0
2000-01-14,RIG,34.5,35.375,35.313,35.0,2319000.0
2000-01-18,RIG,34.625,38.5,38.375,34.75,3259300.0
2000-01-19,RIG,36.688,38.5,36.875,38.0,2256100.0
2000-01-20,RIG,35.7503,36.563,36.055,36.0,1949900.0
2000-01-21,RIG,36.5,38.375,38.0,36.625,2656100.0
2000-01-24,RIG,35.8132,38.125,35.938,38.0,2334300.0
2000-01-25,RIG,35.688,37.188,36.438,36.1276,1270800.0
2000-01-26,RIG,33.625,37.875,34.75,36.563,1418200.0
2000-01-27,RIG,31.0007,34.5,32.75,33.75,2327000.0
2000-01-28,RIG,31.25,33.25,31.563000000000002,31.25,1211900.0
2000-01-31,RIG,30.0,32.313,31.813000000000002,30.0,1595500.0
2000-02-01,RIG,31.938000000000002,33.813,33.688,32.0,1131100.0
2000-02-02,RIG,34.063,35.156,34.688,34.125,2368200.0
2000-02-03,RIG,33.75,34.875,34.688,34.813,1835900.0
2000-02-04,RIG,34.0,35.625,34.813,34.688,1230600.0
2000-02-07,RIG,34.0636,35.688,34.938,34.375,1618300.0
2000-02-08,RIG,32.688,34.75,34.063,34.5,1395200.0
2000-02-09,RIG,31.0,34.25,31.25,33.5,1329900.0
2000-02-10,RIG,31.563000000000002,34.5,33.75,31.563000000000002,1673100.0
2000-02-11,RIG,33.438,34.938,34.25,33.5,1875800.0
2000-02-14,RIG,33.313,34.938,34.813,33.875,1002300.0
2000-02-15,RIG,35.313,37.0,37.0,35.313,1694000.0
2000-02-16,RIG,36.313,37.5,37.25,36.375,1587600.0
2000-02-17,RIG,35.375,36.875,36.5,36.875,1921700.0
2000-02-18,RIG,34.5,36.4382,35.0,36.438,1139300.0
2000-02-22,RIG,33.5013,34.938,34.375,34.0,970900.0
2000-02-23,RIG,33.125,34.25,33.75,33.125,859700.0
2000-02-24,RIG,33.188,34.875,33.438,33.75,2174600.0
2000-02-25,RIG,32.625,34.938,34.563,33.438,1649800.0
2000-02-28,RIG,33.7517,36.5,35.938,33.75,1053900.0
2000-02-29,RIG,35.75,39.8776,39.438,35.75,2016000.0
2000-03-01,RIG,40.688,42.938,41.5,41.375,4216700.0
2000-03-02,RIG,41.813,46.531000000000006,44.0,41.938,3492600.0
2000-03-03,RIG,41.875,44.4999,44.375,44.125,1674700.0
2000-03-06,RIG,44.25,46.625,45.625,44.375,1617300.0
2000-03-07,RIG,45.438,49.688,49.25,45.875,2044300.0
2000-03-08,RIG,42.438,45.875,44.0,45.0,2149400.0
2000-03-09,RIG,41.125,43.688,43.563,42.0,1756300.0
2000-03-10,RIG,42.75,45.938,44.25,43.188,1185900.0
2000-03-13,RIG,42.875,45.625,43.75,43.25,1064500.0
2000-03-14,RIG,41.688,43.75,43.25,43.25,1015800.0
2000-03-15,RIG,40.688,42.875,41.25,42.0,984500.0
2000-03-16,RIG,39.75,44.0,43.75,39.75,2588900.0
2000-03-17,RIG,41.875,43.938,43.0,43.75,825700.0
2000-03-20,RIG,39.0,42.25,40.125,42.256,1265200.0
2000-03-21,RIG,40.625,42.4393,41.5,41.25,1545900.0
2000-03-22,RIG,41.813,46.063,45.375,42.375,2040000.0
2000-03-23,RIG,42.813,45.2448,45.0,44.25,1477200.0
2000-03-24,RIG,45.0,46.75,46.125,45.25,1458100.0
2000-03-27,RIG,43.813,47.938,46.688,45.625,1188000.0
2000-03-28,RIG,44.313,47.875,45.0,45.125,1121800.0
2000-03-29,RIG,44.0,50.0,50.0,44.0,2654700.0
2000-03-30,RIG,47.875,53.125,49.0,50.0,2892700.0
2000-03-31,RIG,48.375,51.938,51.313,50.0,1886500.0
2000-04-03,RIG,50.875,52.75,52.75,51.063,1103000.0
2000-04-04,RIG,47.375,52.563,48.938,51.75,1692000.0
2000-04-05,RIG,45.125,48.625,45.938,47.5,1708200.0
2000-04-06,RIG,44.688,47.0,46.688,45.688,1503300.0
2000-04-07,RIG,45.9412,47.438,45.938,46.688,984800.0
2000-04-10,RIG,43.125,45.123000000000005,43.313,45.063,1320200.0
2000-04-11,RIG,43.438,46.0,45.75,44.625,1302400.0
2000-04-12,RIG,45.625,48.75,48.125,46.063,1657300.0
2000-04-13,RIG,45.063,49.0,45.375,47.875,1105000.0
2000-04-14,RIG,43.813,47.875,44.375,45.125,1260300.0
2000-04-17,RIG,41.25,44.5,43.438,44.5,1297200.0
2000-04-18,RIG,44.0,47.0,47.0,44.0,1048400.0
2000-04-19,RIG,44.0,47.375,46.75,45.875,2090100.0
2000-04-20,RIG,46.125,47.563,46.625,46.5,1584200.0
2000-04-24,RIG,44.438,46.938,45.5,46.875,1086400.0
2000-04-25,RIG,43.813,46.125,44.563,45.5,1043700.0
2000-04-26,RIG,44.438,47.0,46.063,45.0,1745200.0
2000-04-27,RIG,45.313,48.625,47.5,46.25,1563800.0
2000-04-28,RIG,46.688,47.875,47.0,47.25,1200000.0
2000-05-01,RIG,45.688,48.0,47.313,47.125,1216500.0
2000-05-02,RIG,47.5,49.938,49.313,47.563,1564000.0
2000-05-03,RIG,47.5,49.938,47.813,49.938,1403800.0
2000-05-04,RIG,47.563,49.875,49.563,47.813,986500.0
2000-05-05,RIG,48.0026,50.0,49.875,49.813,1197800.0
2000-05-08,RIG,49.5,51.875,49.875,50.0,1561600.0
2000-05-09,RIG,48.813,51.5,50.375,49.875,1085400.0
2000-05-10,RIG,48.313,50.938,49.563,50.375,1300900.0
2000-05-11,RIG,49.0,49.813,49.813,49.0,1258400.0
2000-05-12,RIG,49.375,51.938,51.625,50.0609,1084300.0
2000-05-15,RIG,50.688,54.438,54.375,51.125,1576700.0
2000-05-16,RIG,50.875,54.0,51.875,53.75,1579300.0
2000-05-17,RIG,50.313,53.375,53.063,51.0,1236700.0
2000-05-18,RIG,48.75,53.063,49.961000000000006,53.063,5286700.0
2000-05-19,RIG,49.688,50.813,50.125,49.875,2131300.0
2000-05-22,RIG,46.5,49.75,46.938,49.7517,1513700.0
2000-05-23,RIG,46.563,48.563,47.938,47.438,1187900.0
2000-05-24,RIG,46.25,48.875,47.563,48.125,1081700.0
2000-05-25,RIG,45.313,48.688,47.125,48.688,1713100.0
