Date,symbol,Low,High,Close,Open,Volume
1999-09-28,ROP,36.5,37.5,36.563,37.125,47200.0
1999-09-29,ROP,36.375,37.0018,36.938,36.563,23800.0
1999-09-30,ROP,36.5636,38.25,38.25,36.875,58400.0
1999-10-01,ROP,36.625,38.063,37.063,38.0,105600.0
1999-10-04,ROP,37.188,37.5,37.313,37.25,36200.0
1999-10-05,ROP,36.875,37.438,36.938,37.25,72200.0
1999-10-06,ROP,35.75,36.813,36.063,36.813,92200.0
1999-10-07,ROP,35.5643,36.063,35.563,36.063,20800.0
1999-10-08,ROP,34.688,35.5,34.813,35.5,66200.0
1999-10-11,ROP,34.8156,35.5,35.5,34.813,43800.0
1999-10-12,ROP,35.0,35.625,35.0,35.5,57800.0
1999-10-13,ROP,33.6268,34.75,33.938,34.75,62200.0
1999-10-14,ROP,33.375,34.25,34.25,33.938,40000.0
1999-10-15,ROP,32.875,34.375,33.625,34.25,99600.0
1999-10-18,ROP,32.75,33.75,33.5,33.75,197200.0
1999-10-19,ROP,33.25,33.8773,33.5,33.5,12800.0
1999-10-20,ROP,33.125,33.625,33.625,33.5,30400.0
1999-10-21,ROP,33.0,33.875,33.125,33.875,82800.0
1999-10-22,ROP,32.063,33.125,32.625,33.125,172200.0
1999-10-25,ROP,32.0,32.563,32.25,32.5,27200.0
1999-10-26,ROP,29.75,32.375,29.938000000000002,31.9971,100800.0
1999-10-27,ROP,30.1245,31.313000000000002,30.938000000000002,30.125,216600.0
1999-10-28,ROP,31.063000000000002,31.5,31.313000000000002,31.188000000000002,79000.0
1999-10-29,ROP,30.875,31.563000000000002,30.875,31.563000000000002,128200.0
1999-11-01,ROP,30.625,31.0,31.0,30.938000000000002,100800.0
1999-11-02,ROP,30.5,31.063000000000002,30.625,31.0,117400.0
1999-11-03,ROP,30.0,30.625,30.438000000000002,30.625,364200.0
1999-11-04,ROP,30.188000000000002,30.5,30.5,30.375,94600.0
1999-11-05,ROP,30.25,30.75,30.688000000000002,30.5,378600.0
1999-11-08,ROP,30.75,31.5,31.438000000000002,30.75,174000.0
1999-11-09,ROP,31.688000000000002,32.875,32.75,31.6878,134400.0
1999-11-10,ROP,32.875,33.75,33.125,33.0,153800.0
1999-11-11,ROP,33.125,34.938,34.438,33.125,162600.0
1999-11-12,ROP,34.25,34.813,34.313,34.438,72800.0
1999-11-15,ROP,34.188,34.875,34.5,34.875,72200.0
1999-11-16,ROP,34.375,37.25,36.313,34.3743,229200.0
