Date,symbol,Low,High,Close,Open,Volume
1999-09-28,SJM,21.5,22.0,22.0,22.0,39200.0
1999-09-29,SJM,21.375,22.25,21.375,22.0,11800.0
1999-09-30,SJM,21.0,21.75,21.125,21.375,31600.0
1999-10-01,SJM,21.0,21.375,21.25,21.125,7600.0
1999-10-04,SJM,21.125,21.375,21.375,21.25,4800.0
1999-10-05,SJM,20.875,21.375,21.125,21.375,13800.0
1999-10-06,SJM,21.125,21.75,21.5,21.125,5600.0
1999-10-07,SJM,21.375,21.875,21.625,21.5,9200.0
1999-10-08,SJM,21.5,21.625,21.5,21.625,7200.0
1999-10-11,SJM,21.375,21.625,21.5,21.5,9200.0
1999-10-12,SJM,21.0,21.5,21.0,21.5,6000.0
1999-10-13,SJM,20.375,21.0,20.375,21.0,16000.0
1999-10-14,SJM,19.5,20.375,19.75,20.375,25200.0
1999-10-15,SJM,19.5,19.875,19.75,19.75,30600.0
1999-10-18,SJM,19.625,20.0,20.0,19.75,29200.0
1999-10-19,SJM,19.625,20.0,19.625,20.0,45200.0
1999-10-20,SJM,19.625,19.875,19.75,19.625,5200.0
1999-10-21,SJM,19.5,20.0,19.875,19.75,13800.0
1999-10-22,SJM,19.625,19.875,19.75,19.875,5400.0
1999-10-25,SJM,19.625,19.875,19.875,19.75,7400.0
1999-10-26,SJM,19.875,20.0,20.0,19.875,4800.0
1999-10-27,SJM,19.75,20.125,20.125,20.0,14800.0
1999-10-28,SJM,20.125,20.25,20.125,20.125,3200.0
1999-10-29,SJM,19.875,20.25,19.875,20.125,20200.0
1999-11-01,SJM,19.75,20.25,20.25,19.875,14600.0
1999-11-02,SJM,20.125,20.25,20.25,20.25,8600.0
1999-11-03,SJM,20.0,20.125,20.125,20.125,13600.0
1999-11-04,SJM,20.125,20.25,20.25,20.125,21000.0
1999-11-05,SJM,20.125,20.875,20.875,20.25,30400.0
1999-11-08,SJM,20.75,20.875,20.75,20.875,14200.0
1999-11-09,SJM,20.625,21.0,20.875,20.75,9400.0
1999-11-10,SJM,20.625,21.0,20.875,20.875,8400.0
1999-11-11,SJM,20.75,21.0,20.875,20.875,8200.0
1999-11-12,SJM,20.875,21.375,21.125,20.875,14200.0
1999-11-15,SJM,21.0,21.25,21.125,21.125,7600.0
1999-11-16,SJM,21.0,21.25,21.0,21.125,11400.0
1999-11-17,SJM,20.875,21.125,21.0,21.0,26400.0
1999-11-18,SJM,19.875,21.0,20.25,21.0,61200.0
1999-11-19,SJM,19.75,20.25,20.25,20.25,16600.0
1999-11-22,SJM,20.25,20.5,20.375,20.25,7200.0
1999-11-23,SJM,20.125,20.375,20.25,20.375,36200.0
1999-11-24,SJM,20.25,20.625,20.375,20.25,28200.0
1999-11-26,SJM,20.125,20.25,20.25,20.25,9200.0
