Date,symbol,Low,High,Close,Open,Volume
1999-09-28,SLB,58.1256,60.063,58.625,60.0,5692400.0
1999-09-29,SLB,59.75,61.9378,60.75,59.938,7731800.0
1999-09-30,SLB,60.688,62.438,62.313,61.125,6341600.0
1999-10-01,SLB,62.375,63.313,62.5,62.4385,3572000.0
1999-10-04,SLB,61.125,62.813,61.75,62.813,4271800.0
1999-10-05,SLB,56.25,60.688,58.313,60.25,12830200.0
1999-10-06,SLB,57.5,59.188,57.5,58.563,6676000.0
1999-10-07,SLB,56.313,57.5,56.5,57.5,6107000.0
1999-10-08,SLB,53.688,56.125,55.063,55.1249,9793000.0
1999-10-11,SLB,56.0,57.6288,56.875,56.25,7759400.0
1999-10-12,SLB,56.063,58.0,56.063,57.5,6906800.0
1999-10-13,SLB,56.313,58.375,56.688,57.0,5752600.0
1999-10-14,SLB,55.125,56.625,55.25,56.313,4029400.0
1999-10-15,SLB,53.625,55.063,54.375,54.25,3815000.0
1999-10-18,SLB,54.438,55.938,54.75,55.125,4110800.0
1999-10-19,SLB,55.625,57.563,57.063,55.75,5213400.0
1999-10-20,SLB,56.373000000000005,59.0,58.563,57.063,3678000.0
1999-10-21,SLB,58.625,59.813,59.125,59.438,3093200.0
1999-10-22,SLB,59.688,60.75,60.313,59.813,4380600.0
1999-10-25,SLB,59.688,61.438,59.875,60.75,3784800.0
1999-10-26,SLB,58.25,60.188,58.563,59.938,2463800.0
1999-10-27,SLB,58.125,60.438,58.125,60.0,5046400.0
1999-10-28,SLB,57.438,59.375,58.375,58.375,5625000.0
1999-10-29,SLB,59.0,61.063,60.563,59.188,4412000.0
1999-11-01,SLB,59.75,62.563,62.5,61.25,5709600.0
1999-11-02,SLB,59.688,62.063,59.875,62.063,4911600.0
1999-11-03,SLB,59.188,61.438,60.625,59.875,3700400.0
1999-11-04,SLB,59.375,61.188,60.125,61.0,4736200.0
1999-11-05,SLB,56.75,60.938,57.25,60.938,5960600.0
1999-11-08,SLB,57.75,60.438,60.188,58.188,4716800.0
1999-11-09,SLB,60.438,62.563,62.313,60.5,4442800.0
1999-11-10,SLB,62.188,64.0,63.0,62.75,6033000.0
1999-11-11,SLB,61.438,63.438,61.813,62.875,3302600.0
1999-11-12,SLB,61.188,64.5,64.5,61.875,3993800.0
1999-11-15,SLB,64.125,65.188,65.0,64.813,6446200.0
1999-11-16,SLB,65.313,67.313,66.5,65.688,7792400.0
1999-11-17,SLB,66.25,68.938,68.5,66.25,7369600.0
1999-11-18,SLB,66.5,67.9958,66.688,67.75,5449400.0
1999-11-19,SLB,65.75,67.5,66.0,67.063,4753200.0
1999-11-22,SLB,65.188,68.688,65.25,67.875,6130600.0
1999-11-23,SLB,63.813,65.25,64.375,65.25,5425000.0
1999-11-24,SLB,62.813,64.938,63.563,64.75,5111000.0
1999-11-26,SLB,61.75,63.5,62.438,63.5,2099200.0
1999-11-29,SLB,59.5,61.563,60.5,61.5,5637000.0
1999-11-30,SLB,59.313,61.813,60.707,60.0,6777200.0
1999-12-01,SLB,59.75,62.5,61.047,60.563,6458000.0
1999-12-02,SLB,60.8814,62.5,61.5,61.5,6238000.0
1999-12-03,SLB,59.5,61.563,59.75,61.5,4208200.0
1999-12-06,SLB,58.063,60.688,59.305,60.063,5121800.0
1999-12-07,SLB,57.25,59.813,57.375,58.188,4803000.0
1999-12-08,SLB,55.375,59.688,57.488,56.7502,8825600.0
1999-12-09,SLB,57.063,59.25,58.125,59.0,6255600.0
1999-12-10,SLB,55.25,56.938,56.125,56.625,8409800.0
1999-12-13,SLB,53.938,57.125,54.0,57.063,8935600.0
1999-12-14,SLB,52.6845,55.375,54.938,53.0,8541000.0
1999-12-15,SLB,55.8149,58.688,57.473,56.188,8918000.0
1999-12-16,SLB,56.625,58.063,57.188,57.125,6250800.0
1999-12-17,SLB,55.125,57.25,55.563,56.688,6524800.0
1999-12-20,SLB,55.0,55.9368,55.343999999999994,55.063,4547800.0
1999-12-21,SLB,55.5,56.813,55.938,55.5,4822000.0
1999-12-22,SLB,55.313,56.75,56.75,56.438,3459000.0
1999-12-23,SLB,55.813,59.7504,59.313,56.313,6952600.0
1999-12-27,SLB,58.25,59.5641,58.25,58.75,2512800.0
1999-12-28,SLB,57.875,59.438,58.125,58.25,2996600.0
1999-12-29,SLB,58.125,59.75,59.688,58.375,2988000.0
1999-12-30,SLB,58.188,59.5,58.25,59.5,2339600.0
1999-12-31,SLB,53.0,56.4421,56.125,53.0,3818200.0
2000-01-03,SLB,53.625,55.688,54.938,55.625,7239800.0
2000-01-04,SLB,53.75,55.5654,54.188,53.938,7963000.0
2000-01-05,SLB,53.5,55.0,54.063,54.063,4826200.0
2000-01-06,SLB,54.063,58.063,57.75,54.3764,8005000.0
2000-01-07,SLB,58.125,60.063,58.813,58.438,7368600.0
2000-01-10,SLB,57.875,59.563,59.375,58.75,5301600.0
2000-01-11,SLB,58.438,60.875,60.563,59.563,5525600.0
2000-01-12,SLB,59.063,61.063,59.188,60.0601,4767600.0
2000-01-13,SLB,59.375,61.5,60.875,59.375,4431000.0
2000-01-14,SLB,60.25,62.375,61.5,61.1862,4340400.0
