Date,symbol,Low,High,Close,Open,Volume
1999-09-28,SPGI,23.5625,24.5313,24.4688,23.7813,949200.0
1999-09-29,SPGI,23.7188,24.875,23.8125,24.5,743600.0
1999-09-30,SPGI,23.9063,24.5938,24.1875,23.9375,955000.0
1999-10-01,SPGI,24.5,25.1563,25.1563,24.75,924800.0
1999-10-04,SPGI,25.4063,26.1563,26.125,25.4063,1041800.0
1999-10-05,SPGI,25.75,26.3438,26.0,26.3438,777600.0
1999-10-06,SPGI,25.7813,26.1875,26.0313,25.875,869400.0
1999-10-07,SPGI,25.9375,26.2813,26.0313,26.1875,310200.0
1999-10-08,SPGI,25.9688,26.4063,26.4063,26.125,679600.0
1999-10-11,SPGI,26.25,26.5,26.375,26.2813,674000.0
1999-10-12,SPGI,25.8438,26.3438,26.0625,26.3125,511000.0
1999-10-13,SPGI,25.5,26.2188,25.625,26.0625,372200.0
1999-10-14,SPGI,25.4063,26.875,26.6563,25.5,969400.0
1999-10-15,SPGI,25.9063,26.625,25.9688,26.625,1082400.0
1999-10-18,SPGI,26.0938,26.5313,26.4688,26.2813,839600.0
1999-10-19,SPGI,25.875,26.625,26.0313,26.5938,894600.0
1999-10-20,SPGI,26.0313,26.5313,26.5,26.1563,767200.0
1999-10-21,SPGI,26.5938,27.7188,27.625,26.5938,933600.0
1999-10-22,SPGI,27.625,28.5,27.9063,27.9688,1633200.0
1999-10-25,SPGI,28.0625,29.7813,29.6875,28.0625,1479200.0
1999-10-26,SPGI,28.7813,29.75,29.0,29.3125,2342400.0
1999-10-27,SPGI,28.5625,29.0938,28.875,28.7813,629200.0
1999-10-28,SPGI,29.0,29.5625,29.25,29.0,1339000.0
1999-10-29,SPGI,29.3125,30.125,29.8125,29.375,763800.0
1999-11-01,SPGI,29.5625,31.0,30.3438,29.8438,927200.0
1999-11-02,SPGI,29.125,30.0938,29.1563,30.0938,1205800.0
1999-11-03,SPGI,28.3438,29.0,28.7813,29.0,1362400.0
1999-11-04,SPGI,28.8125,29.1563,29.0938,28.9688,971000.0
1999-11-05,SPGI,28.8438,29.6563,29.375,28.8438,1183600.0
1999-11-08,SPGI,29.1875,29.75,29.4375,29.4375,1053800.0
1999-11-09,SPGI,28.9688,29.6875,29.125,29.6875,908400.0
1999-11-10,SPGI,28.75,29.4688,29.3438,29.0,817400.0
1999-11-11,SPGI,28.0,29.3438,28.625,29.0938,766200.0
1999-11-12,SPGI,28.6875,29.3125,29.2813,28.875,777400.0
1999-11-15,SPGI,29.375,30.0625,29.7188,29.5,802800.0
1999-11-16,SPGI,29.375,30.0938,29.6875,29.7188,500000.0
1999-11-17,SPGI,29.375,30.0625,29.6875,29.625,1420600.0
1999-11-18,SPGI,29.7188,30.375,30.1563,30.0,463400.0
1999-11-19,SPGI,29.7813,30.4063,30.4063,30.1563,981400.0
1999-11-22,SPGI,29.9375,30.375,30.125,30.25,539400.0
1999-11-23,SPGI,28.4375,29.9688,28.5938,29.9688,646400.0
1999-11-24,SPGI,27.8125,29.125,28.5313,28.75,1078400.0
1999-11-26,SPGI,28.125,28.5625,28.1875,28.5625,490600.0
1999-11-29,SPGI,27.5625,28.4688,28.2813,28.125,1365200.0
1999-11-30,SPGI,28.2813,28.6875,28.3438,28.4063,1096800.0
1999-12-01,SPGI,28.0625,28.5938,28.125,28.5313,815400.0
1999-12-02,SPGI,28.25,29.2813,29.25,28.25,832000.0
1999-12-03,SPGI,28.4063,29.5,28.5625,29.0625,711400.0
1999-12-06,SPGI,28.6563,29.6875,29.5313,28.6875,1023200.0
1999-12-07,SPGI,29.4375,30.1875,29.7266,29.7188,1318600.0
1999-12-08,SPGI,29.25,30.4375,29.4375,29.5313,1358000.0
1999-12-09,SPGI,29.375,30.9688,30.625,29.5625,1630600.0
1999-12-10,SPGI,30.0,30.6875,30.375,30.6875,573200.0
1999-12-13,SPGI,30.4375,31.0,30.5938,30.75,1232000.0
1999-12-14,SPGI,30.5,31.25,30.75,30.75,1243600.0
1999-12-15,SPGI,30.1875,31.125,30.1875,30.875,1014800.0
1999-12-16,SPGI,29.875,30.3125,30.125,30.3125,816400.0
1999-12-17,SPGI,29.8125,30.375,30.0,29.875,993200.0
1999-12-20,SPGI,30.0,30.4063,30.2813,30.0,529200.0
1999-12-21,SPGI,29.875,30.375,29.875,30.0625,563400.0
1999-12-22,SPGI,29.75,30.1875,30.0938,30.125,871400.0
1999-12-23,SPGI,29.875,31.5625,31.125,29.9063,879800.0
1999-12-27,SPGI,30.0625,31.3125,30.3125,31.0313,1448600.0
1999-12-28,SPGI,29.375,30.75,29.8125,30.3125,1359800.0
1999-12-29,SPGI,29.6875,30.0938,29.7813,30.0,485400.0
1999-12-30,SPGI,29.625,30.7188,30.5313,29.7813,573800.0
1999-12-31,SPGI,30.3438,30.8438,30.8125,30.3438,261600.0
2000-01-03,SPGI,28.75,30.5313,29.2188,30.5,778600.0
2000-01-04,SPGI,27.875,29.0625,27.875,28.9688,1267800.0
2000-01-05,SPGI,27.1875,28.2188,27.5,27.8125,2723000.0
