Date,symbol,Low,High,Close,Open,Volume
1999-09-28,SWKS,53.875,55.8094,54.625,55.813,443600.0
1999-09-29,SWKS,54.0,56.938,54.25,54.5,129000.0
1999-09-30,SWKS,53.5019,56.875,56.406000000000006,55.25,346600.0
1999-10-01,SWKS,53.5,55.875,54.0,55.688,114400.0
1999-10-04,SWKS,52.625,55.0,53.688,55.0038,246400.0
1999-10-05,SWKS,53.688,55.75,55.438,53.688,200000.0
1999-10-06,SWKS,54.875,57.938,57.688,55.5,226200.0
1999-10-07,SWKS,55.5,57.875,55.531000000000006,57.8791,306400.0
1999-10-08,SWKS,52.125,56.5,54.625,55.625,478800.0
1999-10-11,SWKS,54.0,57.5,56.938,54.25,626400.0
1999-10-12,SWKS,55.5,57.5,56.25,57.0,189200.0
1999-10-13,SWKS,43.875,56.0,49.625,55.313,4363000.0
1999-10-14,SWKS,48.3756,52.625,50.125,50.25,768600.0
1999-10-15,SWKS,46.813,53.0,51.0,47.75,433400.0
1999-10-18,SWKS,46.875,51.25,47.75,51.25,637000.0
1999-10-19,SWKS,47.0,52.75,51.188,48.625,1081200.0
1999-10-20,SWKS,49.063,52.25,51.468999999999994,51.688,278400.0
1999-10-21,SWKS,50.0,53.75,51.75,51.25,426000.0
1999-10-22,SWKS,51.75,54.125,53.218999999999994,52.75,662200.0
1999-10-25,SWKS,53.0,54.0,54.0,53.0,85800.0
1999-10-26,SWKS,53.813,55.688,55.0,53.813,861400.0
1999-10-27,SWKS,51.625,55.063,52.75,55.0,164600.0
1999-10-28,SWKS,54.813,56.125,55.5,55.313,421000.0
1999-10-29,SWKS,53.75,57.875,55.25,55.813,410000.0
1999-11-01,SWKS,53.0,56.25,53.75,53.0,381600.0
1999-11-02,SWKS,53.75,55.375,54.188,53.75,275000.0
1999-11-03,SWKS,55.375,58.25,57.0,55.625,837400.0
1999-11-04,SWKS,56.75,60.125,59.0,56.75,557200.0
1999-11-05,SWKS,57.25,61.5,57.875,59.5,252800.0
1999-11-08,SWKS,57.75,60.563,60.188,58.125,624600.0
1999-11-09,SWKS,60.875,63.0,61.75,61.125,1063600.0
1999-11-10,SWKS,61.5,63.938,63.188,61.813,481600.0
1999-11-11,SWKS,60.25,64.625,61.813,64.0,371200.0
1999-11-12,SWKS,60.125,62.125,62.063,61.8143,138800.0
1999-11-15,SWKS,57.5,62.188,58.5,61.25,118600.0
1999-11-16,SWKS,58.75,63.875,63.75,58.843999999999994,520400.0
1999-11-17,SWKS,63.688,65.625,63.938,64.0,592800.0
1999-11-18,SWKS,64.3771,66.0,64.563,65.5,439800.0
1999-11-19,SWKS,64.5,67.625,66.0,65.125,569000.0
1999-11-22,SWKS,65.563,67.625,66.25,67.125,426400.0
1999-11-23,SWKS,64.125,66.875,65.5,66.8771,367400.0
1999-11-24,SWKS,62.1247,65.75,62.938,65.438,173400.0
1999-11-26,SWKS,65.0,67.5,65.5,66.4405,140000.0
1999-11-29,SWKS,63.875,66.625,64.0,65.75,265600.0
1999-11-30,SWKS,60.5,65.0,60.5,63.625,415400.0
1999-12-01,SWKS,60.125,61.75,60.375,60.5,379400.0
1999-12-02,SWKS,59.188,61.0,60.188,59.1847,275600.0
1999-12-03,SWKS,60.218999999999994,62.938,61.875,60.438,181200.0
1999-12-06,SWKS,61.625,65.313,64.531,62.031000000000006,534600.0
1999-12-07,SWKS,64.563,66.0,65.0,65.563,231200.0
1999-12-08,SWKS,62.688,66.125,65.0,65.875,240600.0
1999-12-09,SWKS,62.438,66.25,63.25,66.0,484600.0
1999-12-10,SWKS,62.5,65.0,63.75,63.6247,88800.0
1999-12-13,SWKS,62.0,65.5,62.375,64.75,106800.0
1999-12-14,SWKS,58.125,62.8801,58.125,62.438,273800.0
1999-12-15,SWKS,54.2541,58.688,56.063,58.688,556800.0
1999-12-16,SWKS,52.75,56.375,55.0,56.375,708000.0
1999-12-17,SWKS,54.5,56.5,55.25,54.5,1171200.0
1999-12-20,SWKS,55.0,58.313,56.375,54.997,593800.0
1999-12-21,SWKS,53.375,56.625,56.063,56.188,901800.0
1999-12-22,SWKS,52.0,56.063,55.125,55.875,371800.0
1999-12-23,SWKS,53.375,55.125,54.125,53.75,301400.0
1999-12-27,SWKS,52.5,55.0,54.031000000000006,54.0,137400.0
1999-12-28,SWKS,53.25,57.438,55.375,54.375,170000.0
1999-12-29,SWKS,55.0,57.0,56.688,55.0,93400.0
1999-12-30,SWKS,56.0,58.0,56.843999999999994,56.75,84400.0
1999-12-31,SWKS,56.5,58.0,57.313,57.5,45600.0
2000-01-03,SWKS,57.6912,63.0,62.813,58.125,512000.0
2000-01-04,SWKS,57.188,61.75,59.125,61.625,292600.0
2000-01-05,SWKS,57.125,60.875,60.656000000000006,59.188,411800.0
2000-01-06,SWKS,52.625,60.813,54.75,58.25,385400.0
2000-01-07,SWKS,52.5,60.938,60.375,54.375,536000.0
2000-01-10,SWKS,55.5,60.438,57.093999999999994,60.0,339800.0
2000-01-11,SWKS,56.375,61.25,57.063,56.75,611400.0
2000-01-12,SWKS,60.625,65.125,64.734,60.875,1927200.0
2000-01-13,SWKS,64.813,69.375,69.0,64.813,1653400.0
2000-01-14,SWKS,70.0,77.5,76.0,71.0,1820200.0
2000-01-18,SWKS,73.438,79.125,79.125,73.438,697200.0
2000-01-19,SWKS,77.188,88.625,88.219,78.063,1000000.0
2000-01-20,SWKS,84.81299999999999,93.0,90.5,88.625,545400.0
2000-01-21,SWKS,89.375,94.93799999999999,91.93799999999999,91.81299999999999,666200.0
2000-01-24,SWKS,83.75,100.125,88.781,91.68799999999999,549600.0
2000-01-25,SWKS,86.0,93.125,91.0,88.5,845400.0
2000-01-26,SWKS,83.75,92.25,86.625,91.75,440800.0
2000-01-27,SWKS,86.0049,92.375,87.0,86.31299999999999,907000.0
2000-01-28,SWKS,85.9435,91.25,87.5,87.06299999999999,293200.0
2000-01-31,SWKS,80.688,87.93799999999999,83.75,87.93799999999999,257800.0
2000-02-01,SWKS,80.938,88.875,88.0,83.4958,266400.0
2000-02-02,SWKS,88.625,99.875,97.31299999999999,89.625,726400.0
2000-02-03,SWKS,97.1209,104.125,103.68799999999999,97.125,551400.0
2000-02-04,SWKS,103.875,111.0,106.93799999999999,103.875,397400.0
2000-02-07,SWKS,106.75,113.31299999999999,111.656,107.0,1080400.0
2000-02-08,SWKS,100.0,114.31299999999999,100.375,113.281,476400.0
2000-02-09,SWKS,99.375,105.0,100.18799999999999,105.0,340000.0
2000-02-10,SWKS,100.625,119.0,117.75,101.93799999999999,481200.0
2000-02-11,SWKS,112.0,124.5,115.81299999999999,123.5,739800.0
2000-02-14,SWKS,129.0,141.5,137.875,131.9993,1346000.0
2000-02-15,SWKS,130.5,141.0005,135.469,141.0,464400.0
2000-02-16,SWKS,136.625,143.0,138.875,141.375,429600.0
2000-02-17,SWKS,137.094,141.938,140.469,138.813,629000.0
2000-02-18,SWKS,128.0,142.125,129.75,141.188,520200.0
2000-02-22,SWKS,123.5,136.5,136.094,129.0,578800.0
2000-02-23,SWKS,137.0,148.0,144.219,137.25,326800.0
2000-02-24,SWKS,143.375,148.125,146.75,145.938,265600.0
2000-02-25,SWKS,143.5,150.0,149.469,145.0,315600.0
2000-02-28,SWKS,136.0117,150.75,148.844,150.75,418000.0
2000-02-29,SWKS,143.9368,156.5,145.188,149.938,286000.0
2000-03-01,SWKS,145.0,156.0,145.938,146.313,496000.0
2000-03-02,SWKS,131.0,147.125,131.922,147.125,369600.0
2000-03-03,SWKS,139.0,145.875,143.375,141.0,558600.0
2000-03-06,SWKS,133.0,146.625,133.125,141.0,355000.0
2000-03-07,SWKS,135.9911,145.5,136.125,137.625,276800.0
2000-03-08,SWKS,130.875,142.75,142.0,136.625,259000.0
2000-03-09,SWKS,134.004,145.75,143.875,141.75,284600.0
2000-03-10,SWKS,134.0,146.75,136.0,142.25,170000.0
2000-03-13,SWKS,130.9443,138.0,131.5,133.0,314600.0
2000-03-14,SWKS,127.0,141.063,127.0,133.0,312600.0
2000-03-15,SWKS,118.531,144.063,125.5,143.125,853000.0
2000-03-16,SWKS,114.0,128.625,118.56299999999999,126.25,744600.0
2000-03-17,SWKS,112.25,123.0,116.156,118.5,381400.0
2000-03-20,SWKS,95.0,115.56299999999999,97.625,115.0,644600.0
2000-03-21,SWKS,99.06299999999999,121.0,119.844,102.0,687000.0
2000-03-22,SWKS,121.25,132.0,130.0,125.0,771600.0
2000-03-23,SWKS,115.5,132.75,118.31299999999999,132.375,514600.0
2000-03-24,SWKS,119.0,136.0,123.25,119.0,683800.0
2000-03-27,SWKS,118.875,132.0024,121.56299999999999,132.0,258000.0
2000-03-28,SWKS,115.43799999999999,124.625,115.43799999999999,121.0,360800.0
2000-03-29,SWKS,108.125,122.5,111.43799999999999,115.25,344600.0
2000-03-30,SWKS,96.0013,110.0,104.0,110.0,498200.0
2000-03-31,SWKS,95.0,111.5,95.0,111.5,664000.0
2000-04-03,SWKS,92.375,99.0,92.375,98.875,527400.0
2000-04-04,SWKS,70.063,97.0,96.06299999999999,94.0,1539800.0
2000-04-05,SWKS,86.25,111.43799999999999,101.0,87.75,790400.0
2000-04-06,SWKS,103.06299999999999,112.5,107.0,111.0,292200.0
2000-04-07,SWKS,107.0,112.68799999999999,111.43799999999999,109.375,361200.0
2000-04-10,SWKS,102.0,115.31299999999999,103.81299999999999,114.0,417000.0
2000-04-11,SWKS,85.0,102.25,95.06299999999999,94.0,805800.0
2000-04-12,SWKS,86.0,95.875,88.0,93.844,529800.0
2000-04-13,SWKS,81.125,91.625,81.188,90.625,589600.0
2000-04-14,SWKS,69.0,77.0,70.0,76.5,715000.0
2000-04-17,SWKS,67.5,88.0,88.0,68.75,609800.0
2000-04-18,SWKS,80.0,102.5,100.859,89.0,811400.0
2000-04-19,SWKS,95.75,106.43799999999999,106.0,100.06299999999999,867000.0
2000-04-20,SWKS,49.0,55.0,49.5,53.438,572500.0
2000-04-24,SWKS,42.0,49.0,43.938,43.25,310500.0
2000-04-25,SWKS,46.0,53.0,50.5,47.125,320900.0
2000-04-26,SWKS,44.5,55.0,44.688,53.125,451200.0
2000-04-27,SWKS,40.25,52.0,51.938,41.5,338200.0
2000-04-28,SWKS,50.375,54.1862,52.0,52.688,312000.0
2000-05-01,SWKS,51.063,56.0,52.563,51.063,212900.0
2000-05-02,SWKS,50.5,57.0,51.25,51.5,338700.0
2000-05-03,SWKS,47.125,55.5,50.25,54.938,406700.0
2000-05-04,SWKS,47.563,52.25,51.375,50.125,234800.0
2000-05-05,SWKS,50.0,57.5,57.438,51.875,516900.0
2000-05-08,SWKS,53.875,57.875,54.063,54.688,395300.0
2000-05-09,SWKS,46.0,54.313,47.75,54.25,411000.0
2000-05-10,SWKS,43.0,48.0,45.25,46.5,209100.0
2000-05-11,SWKS,46.75,51.125,50.938,49.0,220800.0
2000-05-12,SWKS,45.0,55.625,49.625,52.875,293100.0
2000-05-15,SWKS,46.375,52.125,51.75,51.0,276600.0
2000-05-16,SWKS,49.125,55.5,52.188,51.938,354900.0
2000-05-17,SWKS,49.563,53.125,50.063,50.0,150800.0
2000-05-18,SWKS,44.5,52.75,44.5,51.0,231700.0
2000-05-19,SWKS,42.375,47.0,43.125,46.938,330500.0
2000-05-22,SWKS,40.5,45.813,41.313,45.0,334500.0
2000-05-23,SWKS,40.0,45.375,40.063,41.875,424300.0
2000-05-24,SWKS,37.375,45.25,41.5,40.5,735300.0
2000-05-25,SWKS,39.5,44.438,39.5,44.438,456500.0
2000-05-26,SWKS,38.563,41.188,40.938,39.1233,219300.0
2000-05-30,SWKS,41.063,50.375,49.938,41.125,353100.0
2000-05-31,SWKS,45.688,50.5,46.063,47.0,351400.0
2000-06-01,SWKS,48.0,55.688,55.625,48.5,733000.0
2000-06-02,SWKS,57.5,61.0,60.5,58.5,536700.0
2000-06-05,SWKS,57.5,61.875,60.25,60.0,327600.0
2000-06-06,SWKS,56.375,61.125,56.781000000000006,60.563,200500.0
2000-06-07,SWKS,53.375,58.375,54.75,58.375,431900.0
2000-06-08,SWKS,53.625,59.0,58.125,55.0,511800.0
2000-06-09,SWKS,59.063,61.0,60.875,59.063,299700.0
2000-06-12,SWKS,58.875,60.9987,59.938,60.375,474500.0
2000-06-13,SWKS,52.5,58.625,58.625,56.0,775100.0
2000-06-14,SWKS,49.75,59.5,50.688,58.813,374900.0
2000-06-15,SWKS,50.063,59.0,53.75,52.938,545800.0
2000-06-16,SWKS,51.875,57.0,55.0,54.375,284800.0
2000-06-19,SWKS,52.0,58.4983,57.938,55.25,231600.0
2000-06-20,SWKS,56.25,64.5,63.875,56.25,498400.0
2000-06-21,SWKS,60.375,62.938,61.25,62.938,366500.0
2000-06-22,SWKS,58.125,63.0008,58.688,61.438,425000.0
2000-06-23,SWKS,59.188,62.375,60.188,59.25,350000.0
2000-06-26,SWKS,51.938,61.25,58.75,60.938,699400.0
2000-06-27,SWKS,46.0,58.75,49.188,58.625,1597600.0
2000-06-28,SWKS,46.0,49.75,46.813,49.063,1243000.0
2000-06-29,SWKS,41.5,47.563,41.875,47.563,1965300.0
2000-06-30,SWKS,41.5,46.688,44.063,42.7522,2748700.0
2000-07-03,SWKS,43.0002,44.625,43.625,44.375,310900.0
2000-07-05,SWKS,37.5,42.5012,39.125,42.375,1322200.0
2000-07-06,SWKS,34.438,39.25,35.625,38.375,2517900.0
2000-07-07,SWKS,36.75,39.5,38.75,37.0,2513900.0
2000-07-10,SWKS,37.375,40.438,37.688,38.938,779900.0
2000-07-11,SWKS,33.563,38.188,35.25,37.938,1534600.0
2000-07-12,SWKS,33.375,39.25,38.375,37.188,4019500.0
2000-07-13,SWKS,40.375,48.125,47.0,40.4407,4193100.0
2000-07-14,SWKS,43.125,50.25,44.813,47.0,1457800.0
2000-07-17,SWKS,45.125,47.938,47.438,46.25,599000.0
2000-07-18,SWKS,40.875,46.563,41.188,46.5,1447400.0
2000-07-19,SWKS,37.063,42.188,37.688,42.188,1472800.0
2000-07-20,SWKS,37.25,43.875,40.875,42.0,2958400.0
2000-07-21,SWKS,36.125,40.125,37.5,40.125,1649300.0
2000-07-24,SWKS,36.25,40.125,36.75,38.188,1252400.0
2000-07-25,SWKS,36.25,38.375,36.938,37.938,1138500.0
2000-07-26,SWKS,35.125,36.938,36.188,36.938,1040000.0
2000-07-27,SWKS,29.375,34.0,32.0,33.5,3613600.0
2000-07-28,SWKS,30.4346,33.438,32.75,32.125,1463700.0
2000-07-31,SWKS,32.6246,34.625,34.063,33.75,909000.0
2000-08-01,SWKS,31.625,35.25,32.625,34.8735,831200.0
2000-08-02,SWKS,31.4996,35.75,31.688000000000002,32.563,1285100.0
2000-08-03,SWKS,25.75,35.0,34.875,27.625,4040800.0
2000-08-04,SWKS,33.875,38.0,35.375,35.75,1769600.0
2000-08-07,SWKS,36.75,40.5,39.625,37.5,1551500.0
2000-08-08,SWKS,36.5,39.942,36.891,38.5,882200.0
2000-08-09,SWKS,37.875,41.2479,39.875,38.875,1491300.0
2000-08-10,SWKS,37.625,40.438,37.625,38.563,602100.0
2000-08-11,SWKS,36.563,39.313,37.313,37.25,607700.0
2000-08-14,SWKS,37.0,39.0,38.125,38.188,616000.0
2000-08-15,SWKS,37.625,39.375,37.75,38.375,689800.0
2000-08-16,SWKS,35.313,39.25,36.672,38.1255,1098300.0
2000-08-17,SWKS,36.188,38.75,38.438,36.938,1089600.0
2000-08-18,SWKS,38.813,40.563,40.563,39.125,674300.0
2000-08-21,SWKS,38.3735,42.438,39.625,40.406,513800.0
2000-08-22,SWKS,38.313,40.188,38.359,40.1866,317700.0
2000-08-23,SWKS,37.25,40.7479,40.5,38.375,508500.0
2000-08-24,SWKS,39.5638,41.25,41.0,40.375,391700.0
2000-08-25,SWKS,40.0,41.438,40.125,40.25,650200.0
2000-08-28,SWKS,39.813,41.438,40.875,39.875,313600.0
2000-08-29,SWKS,40.75,44.5,43.375,40.75,800800.0
2000-08-30,SWKS,44.0,48.125,47.188,44.063,2006300.0
2000-08-31,SWKS,47.5,52.5,50.438,47.5,1688500.0
2000-09-01,SWKS,46.438,50.75,47.5,50.688,851500.0
2000-09-05,SWKS,42.5,47.25,42.563,47.25,521300.0
2000-09-06,SWKS,39.063,44.0,39.5,43.25,1006500.0
2000-09-07,SWKS,39.875,42.25,41.563,40.75,1143400.0
2000-09-08,SWKS,39.0,44.4973,39.938,41.438,1220200.0
2000-09-11,SWKS,39.5,42.625,41.125,40.563,720100.0
2000-09-12,SWKS,40.375,42.375,40.5,41.625,281200.0
2000-09-13,SWKS,39.563,41.625,41.375,39.688,725100.0
2000-09-14,SWKS,41.5,44.0,43.25,41.875,1084200.0
2000-09-15,SWKS,38.1856,40.813,39.5,40.813,2915900.0
2000-09-18,SWKS,39.188,41.375,39.938,39.188,975800.0
2000-09-19,SWKS,36.0,40.375,38.938,40.375,1139100.0
2000-09-20,SWKS,36.938,40.125,39.75,38.8753,768300.0
2000-09-21,SWKS,37.0,40.0,37.063,38.719,1086400.0
2000-09-22,SWKS,34.125,36.688,36.438,34.75,1176800.0
2000-09-25,SWKS,33.25,38.0,33.25,36.5,703500.0
2000-09-26,SWKS,32.75,36.25,34.563,34.125,980100.0
2000-09-27,SWKS,33.125,35.125,33.313,35.125,873200.0
2000-09-28,SWKS,32.9999,39.75,39.563,33.75,1230500.0
2000-09-29,SWKS,33.875,37.9997,34.063,37.25,708600.0
2000-10-02,SWKS,32.0,36.063,32.125,34.875,601200.0
2000-10-03,SWKS,30.9995,33.5,31.25,33.5,954700.0
2000-10-04,SWKS,30.5,34.0,33.938,31.188000000000002,1187300.0
2000-10-05,SWKS,30.5,34.625,30.75,33.875,628800.0
2000-10-06,SWKS,28.563000000000002,31.0,28.938000000000002,30.875,901100.0
2000-10-09,SWKS,26.75,29.625,27.813000000000002,29.438000000000002,1758100.0
2000-10-10,SWKS,24.125,28.5,26.313000000000002,28.375,1614100.0
2000-10-11,SWKS,22.3752,27.313000000000002,26.375,24.25,2435300.0
2000-10-12,SWKS,24.563000000000002,28.375,24.75,26.75,967600.0
2000-10-13,SWKS,24.938000000000002,28.75,28.0,25.219,1004900.0
2000-10-16,SWKS,27.75,33.5,31.563000000000002,28.063000000000002,1609700.0
2000-10-17,SWKS,28.75,33.094,28.875,31.75,1246000.0
2000-10-18,SWKS,22.5,27.125,25.875,23.5,4511800.0
2000-10-19,SWKS,30.25,35.938,35.125,30.563000000000002,4830300.0
2000-10-20,SWKS,31.5,42.188,37.875,31.938000000000002,2058600.0
2000-10-23,SWKS,37.75,41.75,39.0,39.5,1374500.0
2000-10-24,SWKS,35.0,39.75,36.438,39.438,833100.0
2000-10-25,SWKS,32.8763,35.438,33.813,35.25,895400.0
2000-10-26,SWKS,33.0015,37.0,36.5,33.875,796800.0
2000-10-27,SWKS,36.938,40.313,38.625,38.125,749800.0
2000-10-30,SWKS,35.25,37.75,35.688,37.375,539400.0
2000-10-31,SWKS,36.0,39.875,39.875,36.5,690500.0
2000-11-01,SWKS,36.125,40.3759,40.0,37.563,619000.0
2000-11-02,SWKS,40.75,44.375,43.125,41.0,1045200.0
2000-11-03,SWKS,39.688,44.438,40.125,43.25,851700.0
2000-11-06,SWKS,40.375,43.188,41.188,40.625,762600.0
2000-11-07,SWKS,37.25,41.0,37.813,41.0,682000.0
2000-11-08,SWKS,34.875,39.125,35.0,37.766,509300.0
2000-11-09,SWKS,33.0,37.188,36.375,35.0,584500.0
2000-11-10,SWKS,33.125,35.875,33.688,35.875,429600.0
2000-11-13,SWKS,30.25,34.5,33.313,30.25,1156000.0
2000-11-14,SWKS,33.5,35.875,35.313,34.344,470600.0
2000-11-15,SWKS,35.25,38.1891,37.625,36.25,939900.0
2000-11-16,SWKS,34.688,37.25,34.938,36.25,920900.0
2000-11-17,SWKS,34.688,37.0,35.938,35.938,799200.0
2000-11-20,SWKS,33.125,35.438,35.0,35.125,1047400.0
2000-11-21,SWKS,34.5,35.563,35.125,35.0,429400.0
2000-11-22,SWKS,34.594,35.7493,34.625,35.0,535200.0
2000-11-24,SWKS,35.0,38.5,38.188,35.25,249100.0
2000-11-27,SWKS,38.563,41.297,38.875,38.625,888500.0
2000-11-28,SWKS,34.5,38.75,35.0,38.75,425300.0
2000-11-29,SWKS,32.313,36.125,35.25,35.063,593600.0
2000-11-30,SWKS,29.625,33.688,30.563000000000002,33.625,1587100.0
2000-12-01,SWKS,31.125,37.813,35.5,31.25,1645100.0
2000-12-04,SWKS,35.563,40.688,40.375,35.625,1603600.0
2000-12-05,SWKS,42.75,53.063,53.063,42.75,3443200.0
2000-12-06,SWKS,48.438,55.375,49.063,51.75,2717600.0
2000-12-07,SWKS,45.0,49.375,48.0,45.063,1367300.0
2000-12-08,SWKS,49.0,53.1265,51.813,49.5,1720500.0
2000-12-11,SWKS,50.125,55.25,54.0,51.6227,1537300.0
2000-12-12,SWKS,50.25,55.25,53.938,52.438,1434300.0
2000-12-13,SWKS,48.5,55.0,51.063,55.0,1713300.0
2000-12-14,SWKS,47.875,51.875,48.0,49.75,938100.0
2000-12-15,SWKS,44.938,51.0,50.875,47.375,1468000.0
2000-12-18,SWKS,42.375,51.5,43.5,51.375,4033100.0
2000-12-19,SWKS,40.875,46.375,42.25,43.25,1537200.0
2000-12-20,SWKS,37.531,40.625,39.625,40.0,1607400.0
2000-12-21,SWKS,31.625,38.141,33.938,38.125,1767300.0
2000-12-22,SWKS,35.1279,39.25,36.563,35.125,1587800.0
2000-12-26,SWKS,35.875,38.875,37.938,37.563,554000.0
2000-12-27,SWKS,36.875,42.875,41.813,37.375,1038600.0
2000-12-28,SWKS,38.375,44.2543,41.75,41.063,1010800.0
2000-12-29,SWKS,35.0,42.5,37.0,41.5,1603300.0
2001-01-02,SWKS,31.625,38.0,32.188,37.625,1692300.0
2001-01-03,SWKS,28.125,37.25,34.375,31.625,3367100.0
2001-01-04,SWKS,31.5,34.75,31.688000000000002,34.75,2047500.0
2001-01-05,SWKS,26.75,32.1279,27.875,32.0,2401100.0
2001-01-08,SWKS,24.875,29.0,28.5,28.063000000000002,2374600.0
2001-01-09,SWKS,25.75,27.875,27.25,26.031,2922100.0
2001-01-10,SWKS,25.625,29.5,28.563000000000002,27.0,1526100.0
2001-01-11,SWKS,26.875,36.625,35.5,27.813000000000002,3072700.0
2001-01-12,SWKS,35.375,37.5,35.938,35.438,3322100.0
2001-01-16,SWKS,32.625,36.125,34.0,36.0002,1866300.0
2001-01-17,SWKS,30.5,36.25,30.563000000000002,35.25,3445400.0
2001-01-18,SWKS,30.125,34.375,32.813,30.25,6429700.0
2001-01-19,SWKS,32.063,36.438,33.188,34.875,2925800.0
2001-01-22,SWKS,31.875,33.688,31.938000000000002,33.625,1038000.0
2001-01-23,SWKS,31.875,33.313,33.063,32.0,1402200.0
2001-01-24,SWKS,31.063000000000002,33.875,32.25,33.813,1575600.0
2001-01-25,SWKS,29.5,32.5,30.5,32.5,904100.0
2001-01-26,SWKS,28.609,30.625,30.188000000000002,30.375,1022300.0
2001-01-29,SWKS,29.5,31.625,30.5,30.125,816200.0
2001-01-30,SWKS,28.688000000000002,31.125,30.438000000000002,30.0,1524400.0
2001-01-31,SWKS,29.1243,31.375,30.0,31.375,1392100.0
2001-02-01,SWKS,30.375,32.063,31.0,30.5,1991800.0
2001-02-02,SWKS,30.5,32.438,30.875,31.313000000000002,1327000.0
2001-02-05,SWKS,29.563000000000002,31.375,30.188000000000002,30.813000000000002,1055500.0
2001-02-06,SWKS,29.5,31.219,29.688000000000002,30.375,459700.0
2001-02-07,SWKS,27.6275,29.625,28.875,29.438000000000002,742100.0
2001-02-08,SWKS,27.0,29.125,27.25,28.6236,707000.0
2001-02-09,SWKS,25.438000000000002,27.125,26.188000000000002,27.063000000000002,785200.0
2001-02-12,SWKS,24.875,26.375,26.0,26.3739,832200.0
2001-02-13,SWKS,25.25,28.25,25.875,26.75,648600.0
2001-02-14,SWKS,25.5,27.25,26.875,26.0,375500.0
2001-02-15,SWKS,24.875,29.125,25.313000000000002,27.891,1909200.0
2001-02-16,SWKS,21.813000000000002,23.188000000000002,22.688000000000002,23.0,2404100.0
2001-02-20,SWKS,19.5,23.25,19.875,23.188000000000002,1571800.0
2001-02-21,SWKS,18.125,19.625,18.5,19.5,1869900.0
2001-02-22,SWKS,17.063,19.75,18.875,18.813,909600.0
2001-02-23,SWKS,16.75,18.25,18.0,17.375,1023200.0
2001-02-26,SWKS,17.125,18.75,18.0,18.25,425200.0
2001-02-27,SWKS,15.687999999999999,17.75,16.625,17.688,680700.0
2001-02-28,SWKS,15.5,17.125,16.125,16.5,584000.0
2001-03-01,SWKS,13.375,14.812999999999999,14.062999999999999,14.75,3436600.0
2001-03-02,SWKS,13.187999999999999,14.875,14.125,13.437999999999999,1812900.0
2001-03-05,SWKS,14.0,15.687999999999999,15.125,14.7489,848400.0
2001-03-06,SWKS,15.8743,17.0,16.688,16.188,1089900.0
2001-03-07,SWKS,15.625,17.188,15.812999999999999,17.063,997100.0
2001-03-08,SWKS,13.375,16.188,15.5,13.5003,4233400.0
2001-03-09,SWKS,14.875,15.812999999999999,15.187999999999999,15.125,1715300.0
2001-03-12,SWKS,13.75,15.0,13.937999999999999,14.625,733300.0
2001-03-13,SWKS,13.875,15.5,15.484000000000002,14.155999999999999,786800.0
2001-03-14,SWKS,14.25,16.625,15.562999999999999,15.0,995300.0
2001-03-15,SWKS,14.937999999999999,16.813,15.062999999999999,16.25,854400.0
