Date,symbol,Low,High,Close,Open,Volume
1999-09-28,SWN,8.0,8.6877,8.687999999999999,8.25,92000.0
1999-09-29,SWN,8.5,8.844,8.687999999999999,8.562999999999999,78400.0
1999-09-30,SWN,8.625,9.375,9.062999999999999,8.6252,168000.0
1999-10-01,SWN,8.75,9.125,9.0,9.125,72000.0
1999-10-04,SWN,8.75,9.062999999999999,8.875,8.875,42400.0
1999-10-05,SWN,8.875,9.0,9.0,8.875,76800.0
1999-10-06,SWN,9.0002,9.125,9.125,9.0,497600.0
1999-10-07,SWN,9.0,9.187999999999999,9.187999999999999,9.0,127200.0
1999-10-08,SWN,9.0,9.187999999999999,9.062999999999999,9.125,492800.0
1999-10-11,SWN,9.0,9.187999999999999,9.187999999999999,9.0,296800.0
1999-10-12,SWN,8.875,9.0,8.875,9.0,57600.0
1999-10-13,SWN,8.625,9.0,9.0,8.75,147200.0
1999-10-14,SWN,8.875,9.0,8.875,9.0,174400.0
1999-10-15,SWN,8.875,9.125,9.0,9.0,221600.0
1999-10-18,SWN,8.75,9.0,8.937999999999999,8.875,78400.0
1999-10-19,SWN,8.75,9.312999999999999,8.812999999999999,9.0,160000.0
1999-10-20,SWN,8.312999999999999,8.75,8.75,8.437999999999999,147200.0
1999-10-21,SWN,8.125,8.5,8.5,8.375,453600.0
1999-10-22,SWN,8.375,8.625,8.625,8.437999999999999,201600.0
1999-10-25,SWN,8.5,8.75,8.625,8.5,833600.0
1999-10-26,SWN,8.0,8.7501,8.125,8.75,1234400.0
1999-10-27,SWN,8.0,8.187999999999999,8.062999999999999,8.125,160800.0
1999-10-28,SWN,8.0,8.125,8.0,8.062999999999999,1043200.0
1999-10-29,SWN,8.0,8.25,8.0,8.25,125600.0
1999-11-01,SWN,7.563,8.0,7.625,7.8753,591200.0
1999-11-02,SWN,7.188,7.563,7.5,7.25,707200.0
1999-11-03,SWN,7.313,7.7499,7.75,7.313,470400.0
1999-11-04,SWN,7.688,7.938,7.75,7.75,348000.0
1999-11-05,SWN,7.625,8.25,8.25,7.625,292000.0
1999-11-08,SWN,7.75,8.687999999999999,7.75,8.125,448800.0
1999-11-09,SWN,7.5,7.875,7.75,7.875,263200.0
1999-11-10,SWN,7.813,7.875,7.813,7.813,314400.0
1999-11-11,SWN,7.5,7.75,7.5,7.75,260800.0
1999-11-12,SWN,7.25,7.5,7.25,7.438,237600.0
1999-11-15,SWN,7.188,7.438,7.313,7.375,68800.0
1999-11-16,SWN,7.25,8.312999999999999,8.312999999999999,7.25,291200.0
1999-11-17,SWN,7.875,8.25,7.875,8.1888,112800.0
1999-11-18,SWN,7.75,8.0,7.938,7.875,225600.0
1999-11-19,SWN,7.875,8.0,7.875,8.0,122400.0
1999-11-22,SWN,7.5,8.25,7.625,7.75,213600.0
1999-11-23,SWN,7.625,7.75,7.688,7.625,132800.0
1999-11-24,SWN,7.5,7.938,7.563,7.75,198400.0
1999-11-26,SWN,7.375,7.688,7.625,7.375,104000.0
1999-11-29,SWN,7.313,7.563,7.563,7.5,87200.0
1999-11-30,SWN,7.375,7.625,7.438,7.438,112800.0
1999-12-01,SWN,7.125,7.375,7.25,7.313,120000.0
1999-12-02,SWN,7.063,7.25,7.063,7.25,60800.0
1999-12-03,SWN,7.063,7.375,7.25,7.063,107200.0
