Date,symbol,Low,High,Close,Open,Volume
2014-07-31,SYF,22.6,24.0,23.0,23.0,56477500.0
2014-08-01,SYF,22.67,23.0,23.0,22.9,6458900.0
2014-08-04,SYF,22.9,23.13,23.0,23.1009,3455900.0
2014-08-05,SYF,22.67,23.01,23.0,22.99,4450200.0
2014-08-06,SYF,22.67,22.98,22.98,22.8,6993400.0
2014-08-07,SYF,22.8,23.0,22.93,22.89,3186900.0
2014-08-08,SYF,22.8,23.03,22.95,22.93,2855000.0
2014-08-11,SYF,22.8,22.93,22.93,22.9,1767500.0
2014-08-12,SYF,22.83,23.0,23.0,22.89,1549700.0
2014-08-13,SYF,22.88,23.23,23.18,23.0,1659100.0
2014-08-14,SYF,22.95,23.22,23.01,23.2,1391700.0
2014-08-15,SYF,23.0,23.08,23.0,23.02,1948100.0
2014-08-18,SYF,23.02,23.17,23.17,23.06,1073700.0
2014-08-19,SYF,23.2,24.435,24.41,23.2,2851800.0
2014-08-20,SYF,24.26,25.59,25.19,24.3,3544500.0
2014-08-21,SYF,24.92,25.52,25.39,25.47,2358000.0
2014-08-22,SYF,25.1006,25.43,25.36,25.25,891600.0
2014-08-25,SYF,24.88,25.4,25.12,25.37,1185400.0
2014-08-26,SYF,24.94,25.1,25.05,25.0,951000.0
2014-08-27,SYF,24.9491,25.54,25.47,25.0,1230600.0
2014-08-28,SYF,25.31,25.84,25.69,25.4,981700.0
2014-08-29,SYF,25.45,25.94,25.79,25.81,981200.0
2014-09-02,SYF,25.52,25.9,25.79,25.7,1873200.0
2014-09-03,SYF,25.63,25.997,25.79,25.9901,996500.0
2014-09-04,SYF,25.51,25.75,25.7,25.53,1117500.0
2014-09-05,SYF,25.6202,26.02,25.77,25.7,1089800.0
2014-09-08,SYF,24.62,25.98,24.84,25.82,2534800.0
2014-09-09,SYF,24.7,25.6,25.04,25.3,3608600.0
2014-09-10,SYF,24.69,25.305,24.7,25.19,1974600.0
2014-09-11,SYF,24.63,25.02,24.65,24.75,2029100.0
2014-09-12,SYF,24.4384,24.75,24.5,24.53,1106800.0
2014-09-15,SYF,23.92,24.38,24.15,24.35,1125600.0
2014-09-16,SYF,23.88,24.36,24.31,24.24,1512100.0
2014-09-17,SYF,24.36,24.69,24.55,24.4488,940400.0
2014-09-18,SYF,24.56,24.84,24.67,24.57,879100.0
2014-09-19,SYF,24.71,25.49,25.41,24.85,5257900.0
2014-09-22,SYF,24.75,25.3605,24.84,25.28,737000.0
2014-09-23,SYF,24.18,24.7,24.58,24.66,940000.0
2014-09-24,SYF,24.675,25.0,24.92,24.729,964600.0
2014-09-25,SYF,24.61,24.98,24.63,24.98,1350800.0
2014-09-26,SYF,24.3395,24.8,24.77,24.61,1252800.0
2014-09-29,SYF,24.34,24.775,24.7,24.57,1482000.0
