Date,symbol,Low,High,Close,Open,Volume
1999-09-28,T,50.438,53.188,52.938,50.938,5293700.0
1999-09-29,T,49.938,53.75,50.0,53.063,3960400.0
1999-09-30,T,50.813,51.5,51.063,50.875,3803000.0
1999-10-01,T,50.5,51.438,51.25,51.125,3715900.0
1999-10-04,T,50.938,52.063,52.0,51.0,1662000.0
1999-10-05,T,49.938,52.125,50.938,52.0,2112800.0
1999-10-06,T,50.875,51.938,51.813,51.0067,3537200.0
1999-10-07,T,50.313,51.688,50.563,51.625,2781100.0
1999-10-08,T,50.813,52.625,52.0,50.938,2645600.0
1999-10-11,T,51.688,53.0,52.563,52.25,3161100.0
1999-10-12,T,49.438,52.5,49.813,52.5,4447600.0
1999-10-13,T,49.313,52.25,52.0,49.563,7854000.0
1999-10-14,T,50.5,52.0,51.375,52.0,4760300.0
1999-10-15,T,48.438,51.063,48.688,51.0,5080800.0
1999-10-18,T,46.373999999999995,49.25,48.438,49.25,7804800.0
1999-10-19,T,46.063,49.813,46.5,49.8124,5590600.0
1999-10-20,T,46.25,47.313,46.438,47.0,5262600.0
1999-10-21,T,44.125,46.188,45.063,45.563,4485400.0
1999-10-22,T,44.625,46.5,45.938,45.938,4460600.0
1999-10-25,T,44.063,46.875,44.25,46.875,6669400.0
1999-10-26,T,45.563,46.9991,45.563,47.0,10716400.0
1999-10-27,T,46.375,48.688,48.188,46.75,8313600.0
1999-10-28,T,49.875,52.563,52.188,50.75,9072900.0
1999-10-29,T,50.875,54.0,52.75,52.938,8953400.0
1999-11-01,T,51.313,53.003,53.0,52.0,5985500.0
1999-11-02,T,50.5,53.0,50.75,53.0,7057100.0
1999-11-03,T,49.6284,51.125,50.563,50.75,7647100.0
1999-11-04,T,49.5,51.5,51.5,50.313,5442700.0
1999-11-05,T,50.5,51.438,51.25,51.0,4816700.0
1999-11-08,T,50.625,51.688,51.0,50.625,3490600.0
1999-11-09,T,50.75,51.313,50.813,51.188,3747700.0
1999-11-10,T,50.438,51.3775,50.875,50.75,5801200.0
1999-11-11,T,50.688,51.375,51.125,51.063,4774000.0
1999-11-12,T,50.75,51.813,51.063,51.438,3773000.0
1999-11-15,T,50.247,51.313,50.938,50.938,3558300.0
1999-11-16,T,49.875,51.0615,50.688,50.938,6193000.0
1999-11-17,T,50.5,52.438,51.625,50.563,5154600.0
1999-11-18,T,50.625,52.0006,51.336000000000006,51.875,5313700.0
1999-11-19,T,50.0,51.938,51.5,50.0,5277500.0
1999-11-22,T,50.375,52.313,51.375,51.438,6078000.0
1999-11-23,T,50.75,51.688,51.059,51.313,4710500.0
1999-11-24,T,50.75,52.0,50.938,52.0,4564500.0
1999-11-26,T,50.938,52.875,52.0,51.0,2666300.0
1999-11-29,T,51.438,52.25,52.0,52.0,5189500.0
1999-11-30,T,51.75,53.875,52.633,52.063,7482200.0
1999-12-01,T,51.563,52.75,52.125,52.063,5089900.0
1999-12-02,T,51.0,52.625,51.563,51.875,3891500.0
1999-12-03,T,52.375,53.938,53.5,52.875,5235100.0
1999-12-06,T,52.563,53.9988,53.063,53.875,3561300.0
1999-12-07,T,52.188,55.5,54.938,53.0,8251100.0
1999-12-08,T,53.563,54.563,54.066,54.063,4589000.0
1999-12-09,T,53.625,54.938,54.0,54.188,4709800.0
1999-12-10,T,53.063,54.313,53.5,54.188,3171600.0
1999-12-13,T,51.625,53.313,53.313,52.938,4399300.0
1999-12-14,T,52.313,54.375,53.25,53.0,5476400.0
1999-12-15,T,51.875,53.563,52.063,53.5,5143000.0
1999-12-16,T,50.75,52.0,51.5,51.813,7701200.0
1999-12-17,T,50.938,51.688,51.375,51.125,8651100.0
1999-12-20,T,50.0,51.25,50.559,51.0,5554000.0
1999-12-21,T,50.063,51.0606,50.5,50.063,4530900.0
1999-12-22,T,50.063,51.2515,50.25,50.75,4351800.0
