Date,symbol,Low,High,Close,Open,Volume
2006-03-15,TDG,23.45,24.69,24.1,23.95,7251200.0
2006-03-16,TDG,23.89,24.35,24.27,24.1,649100.0
2006-03-17,TDG,24.15,25.12,25.01,24.25,287000.0
2006-03-20,TDG,24.75,25.61,24.9,25.17,282800.0
2006-03-21,TDG,24.0,24.89,24.2,24.89,274700.0
2006-03-22,TDG,24.0,24.3,24.16,24.05,103000.0
2006-03-23,TDG,23.99,24.2,24.1,24.09,106200.0
2006-03-24,TDG,24.24,24.9923,24.5,24.3,101300.0
2006-03-27,TDG,24.45,25.75,24.75,24.65,111700.0
2006-03-28,TDG,24.55,24.86,24.7,24.73,115400.0
2006-03-29,TDG,24.7512,25.05,24.9,24.95,81900.0
2006-03-30,TDG,24.95,25.45,25.45,24.95,132400.0
2006-03-31,TDG,25.5,25.96,25.75,25.5,100100.0
2006-04-03,TDG,24.8,25.8,24.9,25.8,291800.0
2006-04-04,TDG,24.7,24.8982,24.8,24.89,220200.0
2006-04-05,TDG,24.63,24.76,24.68,24.75,122200.0
2006-04-06,TDG,24.05,24.68,24.25,24.4991,130100.0
2006-04-07,TDG,23.9,24.25,24.11,24.25,33700.0
2006-04-10,TDG,24.01,24.35,24.31,24.05,43800.0
2006-04-11,TDG,23.95,24.28,24.1,24.28,163800.0
2006-04-12,TDG,24.07,25.35,24.1,25.35,664800.0
2006-04-13,TDG,24.01,24.45,24.38,24.15,214700.0
2006-04-17,TDG,24.39,24.7,24.6,24.39,203100.0
2006-04-18,TDG,23.98,24.58,24.25,24.52,186400.0
2006-04-19,TDG,24.25,25.0,24.75,24.25,241600.0
2006-04-20,TDG,24.73,25.94,25.6,24.8,166400.0
2006-04-21,TDG,25.21,26.1,25.45,25.6975,401800.0
2006-04-24,TDG,25.3,25.9,25.51,25.45,92400.0
2006-04-25,TDG,25.48,26.2,25.8,25.48,232500.0
2006-04-26,TDG,25.5,26.0,25.75,25.65,145000.0
2006-04-27,TDG,25.26,25.851,25.39,25.76,52300.0
2006-04-28,TDG,24.13,25.4,24.73,25.39,232200.0
2006-05-01,TDG,24.73,25.17,25.14,24.73,151000.0
2006-05-02,TDG,24.74,25.2,24.75,25.15,124000.0
2006-05-03,TDG,24.56,24.76,24.62,24.75,110100.0
2006-05-04,TDG,24.11,24.61,24.58,24.52,95500.0
2006-05-05,TDG,24.22,24.64,24.55,24.5,104900.0
2006-05-08,TDG,24.46,25.0,24.86,24.5,106200.0
2006-05-09,TDG,24.65,25.0,24.92,24.88,85400.0
2006-05-10,TDG,24.78,25.1,24.99,25.05,74200.0
2006-05-11,TDG,25.0,25.8,25.8,25.09,57100.0
2006-05-12,TDG,24.94,25.5,25.47,25.4,49300.0
2006-05-15,TDG,25.14,25.4,25.28,25.39,72200.0
2006-05-16,TDG,25.24,25.74,25.54,25.25,84600.0
2006-05-17,TDG,25.25,25.45,25.4,25.45,98200.0
2006-05-18,TDG,25.33,25.68,25.41,25.33,68800.0
2006-05-19,TDG,25.05,25.4,25.4,25.31,165700.0
2006-05-22,TDG,25.06,25.53,25.51,25.36,66100.0
2006-05-23,TDG,25.22,25.45,25.25,25.35,47300.0
2006-05-24,TDG,24.89,25.4,25.3,25.2,37600.0
2006-05-25,TDG,24.91,25.31,25.08,25.25,50200.0
2006-05-26,TDG,24.94,25.05,25.0,25.0,44200.0
2006-05-30,TDG,24.78,25.08,24.98,24.98,68500.0
2006-05-31,TDG,24.95,25.29,25.19,25.0,69000.0
2006-06-01,TDG,25.02,26.0022,26.0,25.09,40100.0
2006-06-02,TDG,25.8,26.5,26.5,25.9,69500.0
2006-06-05,TDG,26.19,26.53,26.48,26.4,67400.0
2006-06-06,TDG,25.97,26.48,26.05,26.48,62300.0
2006-06-07,TDG,25.65,26.15,25.87,26.05,52700.0
2006-06-08,TDG,25.35,25.82,25.82,25.77,40600.0
2006-06-09,TDG,24.8,25.91,24.8,25.85,145000.0
2006-06-12,TDG,23.75,24.85,24.01,24.85,55300.0
2006-06-13,TDG,23.02,24.01,23.04,23.8897,301500.0
2006-06-14,TDG,21.42,23.0,22.23,23.0,230800.0
2006-06-15,TDG,22.18,22.59,22.45,22.33,185600.0
2006-06-16,TDG,22.5,23.5991,23.45,22.51,90600.0
2006-06-19,TDG,21.85,23.9,22.9,23.65,105100.0
2006-06-20,TDG,22.82,23.78,23.67,23.13,62300.0
2006-06-21,TDG,23.45,24.6,24.44,23.62,49000.0
2006-06-22,TDG,24.51,24.85,24.63,24.53,35900.0
2006-06-23,TDG,24.62,25.89,25.38,24.7,86700.0
2006-06-26,TDG,25.34,26.13,26.06,25.4,36400.0
2006-06-27,TDG,25.83,26.73,26.11,25.83,118100.0
2006-06-28,TDG,25.43,26.16,25.47,26.16,106100.0
2006-06-29,TDG,25.47,26.0,25.88,25.47,91600.0
2006-06-30,TDG,23.95,25.9,23.95,25.9,765000.0
2006-07-03,TDG,23.3,24.4,23.53,24.2,173500.0
2006-07-05,TDG,23.1,23.53,23.48,23.43,54900.0
2006-07-06,TDG,22.93,23.4986,23.04,23.48,83100.0
2006-07-07,TDG,22.88,23.3,23.0,22.96,72800.0
2006-07-10,TDG,22.97,23.24,23.16,23.0,42200.0
2006-07-11,TDG,23.05,23.48,23.47,23.12,51200.0
2006-07-12,TDG,23.1,23.6705,23.55,23.46,60800.0
2006-07-13,TDG,23.29,23.76,23.48,23.43,52400.0
2006-07-14,TDG,22.74,23.338,23.11,23.22,42300.0
2006-07-17,TDG,23.08,23.35,23.19,23.1,28900.0
2006-07-18,TDG,23.19,23.65,23.65,23.2,21700.0
2006-07-19,TDG,23.63,24.99,24.98,23.63,90400.0
2006-07-20,TDG,24.88,25.3,25.01,24.94,45800.0
2006-07-21,TDG,24.66,25.1,25.02,25.01,49900.0
2006-07-24,TDG,25.14,25.5893,25.58,25.2,64400.0
2006-07-25,TDG,25.45,26.31,26.14,25.54,43300.0
2006-07-26,TDG,25.1,26.1,25.11,26.04,40800.0
2006-07-27,TDG,24.9,25.4,25.0,25.18,22000.0
2006-07-28,TDG,25.1,25.54,25.5,25.1,12800.0
2006-07-31,TDG,25.5,27.46,25.6,26.3,151200.0
2006-08-01,TDG,24.96,25.45,25.1,25.4498,105600.0
2006-08-02,TDG,24.84,25.37,25.19,25.15,42600.0
2006-08-03,TDG,24.97,25.6,25.53,25.0,32800.0
2006-08-04,TDG,24.7983,25.63,24.99,25.63,65400.0
2006-08-07,TDG,24.55,24.9,24.77,24.9,43900.0
2006-08-08,TDG,24.31,24.96,24.32,24.7502,45200.0
2006-08-09,TDG,23.16,24.4,23.18,24.36,20500.0
2006-08-10,TDG,22.96,23.75,23.7,23.1,21200.0
2006-08-11,TDG,23.16,23.65,23.56,23.65,15200.0
2006-08-14,TDG,23.71,24.01,23.95,23.71,47500.0
2006-08-15,TDG,23.9,24.3,24.0,24.05,16800.0
2006-08-16,TDG,23.85,24.19,23.86,24.0,28600.0
2006-08-17,TDG,23.82,24.17,23.82,23.93,18500.0
2006-08-18,TDG,23.65,23.96,23.82,23.9,18300.0
2006-08-21,TDG,23.4,23.65,23.46,23.65,13700.0
2006-08-22,TDG,23.2,23.57,23.27,23.45,8800.0
2006-08-23,TDG,22.55,23.32,22.6,23.2,59000.0
2006-08-24,TDG,22.25,22.55,22.36,22.55,10500.0
2006-08-25,TDG,22.31,22.65,22.61,22.33,17300.0
2006-08-28,TDG,22.8,22.95,22.8,22.82,33400.0
2006-08-29,TDG,22.3906,22.76,22.48,22.76,23800.0
2006-08-30,TDG,22.45,22.9,22.73,22.6,34900.0
2006-08-31,TDG,22.63,23.01,22.63,22.83,28800.0
2006-09-01,TDG,22.12,22.6294,22.17,22.63,44000.0
2006-09-05,TDG,22.13,23.1791,23.06,22.13,40100.0
2006-09-06,TDG,22.95,23.5,23.09,23.01,25700.0
2006-09-07,TDG,22.9,24.53,24.06,23.0,54600.0
2006-09-08,TDG,23.75,24.07,23.95,24.07,34600.0
2006-09-11,TDG,23.85,24.28,24.06,23.9206,30200.0
2006-09-12,TDG,23.75,24.0594,23.86,24.0,35900.0
2006-09-13,TDG,23.61,23.99,23.81,23.96,29100.0
2006-09-14,TDG,23.26,23.74,23.5,23.71,31400.0
2006-09-15,TDG,23.46,23.69,23.56,23.6,76700.0
2006-09-18,TDG,23.3,23.64,23.4,23.5011,44600.0
2006-09-19,TDG,23.15,23.41,23.39,23.4,39000.0
2006-09-20,TDG,23.43,24.53,24.45,23.48,70000.0
2006-09-21,TDG,24.19,24.64,24.32,24.5,18500.0
2006-09-22,TDG,23.94,24.25,24.16,24.25,41600.0
2006-09-25,TDG,23.8,24.18,23.83,24.18,46000.0
2006-09-26,TDG,23.5,24.0,23.79,23.83,241500.0
2006-09-27,TDG,23.75,24.23,24.23,23.75,122100.0
2006-09-28,TDG,24.48,25.2,24.8,24.48,125400.0
2006-09-29,TDG,24.35,24.85,24.42,24.7796,89800.0
2006-10-02,TDG,23.24,24.28,23.69,24.28,62800.0
2006-10-03,TDG,23.47,23.7,23.62,23.69,26100.0
2006-10-04,TDG,23.51,24.03,24.0,23.63,141700.0
2006-10-05,TDG,23.9,25.09,24.92,24.0,79400.0
2006-10-06,TDG,24.55,24.93,24.58,24.89,67300.0
2006-10-09,TDG,24.45,24.9604,24.88,24.58,30800.0
2006-10-10,TDG,24.65,24.8988,24.8,24.9,51000.0
2006-10-11,TDG,24.62,24.83,24.79,24.8,166500.0
2006-10-12,TDG,24.5,24.98,24.97,24.79,153300.0
2006-10-13,TDG,24.67,25.09,24.8,24.98,79100.0
2006-10-16,TDG,24.47,24.98,24.55,24.8,36500.0
2006-10-17,TDG,24.25,24.53,24.41,24.48,27000.0
2006-10-18,TDG,24.25,24.55,24.42,24.49,34000.0
2006-10-19,TDG,24.32,24.65,24.48,24.35,44900.0
2006-10-20,TDG,24.39,24.83,24.8,24.53,29300.0
2006-10-23,TDG,24.18,24.8,24.25,24.62,21400.0
2006-10-24,TDG,23.26,24.4,23.39,23.7492,80000.0
2006-10-25,TDG,23.4006,23.8,23.5,23.4,56400.0
2006-10-26,TDG,23.25,24.15,24.08,23.73,143600.0
2006-10-27,TDG,23.75,24.49,23.82,24.0,38100.0
2006-10-30,TDG,23.66,24.59,24.53,23.79,34000.0
2006-10-31,TDG,23.87,24.5285,24.02,24.53,42000.0
2006-11-01,TDG,23.85,24.12,23.85,24.05,45000.0
2006-11-02,TDG,23.5,24.2008,24.01,23.65,20000.0
2006-11-03,TDG,23.45,24.09,23.59,24.06,13000.0
2006-11-06,TDG,23.64,23.99,23.99,23.7,13100.0
2006-11-07,TDG,23.78,24.17,24.01,23.88,18200.0
2006-11-08,TDG,23.75,24.18,24.11,23.8507,21900.0
2006-11-09,TDG,23.555999999999997,24.11,23.6,24.11,16600.0
2006-11-10,TDG,23.56,24.18,24.17,23.56,24800.0
2006-11-13,TDG,24.1,24.54,24.49,24.15,28600.0
2006-11-14,TDG,24.39,25.0,25.0,24.45,42200.0
2006-11-15,TDG,24.999000000000002,25.4485,25.42,25.0,128200.0
2006-11-16,TDG,25.07,25.53,25.1,25.42,29600.0
2006-11-17,TDG,23.98,24.81,24.39,24.8,128300.0
2006-11-20,TDG,24.1803,24.43,24.25,24.35,32200.0
2006-11-21,TDG,24.191,24.5,24.46,24.2,34800.0
2006-11-22,TDG,24.0,24.49,24.01,24.46,49000.0
2006-11-24,TDG,23.99,24.2,24.11,23.99,31400.0
2006-11-27,TDG,23.75,24.18,24.17,24.0,45200.0
2006-11-28,TDG,24.02,24.5886,24.16,24.1,177700.0
2006-11-29,TDG,24.07,24.69,24.69,24.25,71800.0
2006-11-30,TDG,24.41,25.22,24.42,24.68,119900.0
2006-12-01,TDG,24.32,25.6,25.6,24.42,131200.0
2006-12-04,TDG,25.17,25.84,25.23,25.62,43700.0
2006-12-05,TDG,25.24,25.95,25.78,25.3,20200.0
2006-12-06,TDG,25.58,26.23,25.8,25.68,33400.0
2006-12-07,TDG,25.69,25.97,25.86,25.75,7400.0
2006-12-08,TDG,25.67,26.35,26.15,25.84,26900.0
2006-12-11,TDG,25.649,26.17,26.15,26.1,64900.0
2006-12-12,TDG,26.1461,26.76,26.56,26.15,86900.0
2006-12-13,TDG,26.27,27.13,27.13,26.36,41900.0
2006-12-14,TDG,26.95,27.35,27.31,27.15,144900.0
2006-12-15,TDG,27.25,27.57,27.53,27.31,45400.0
2006-12-18,TDG,27.55,27.89,27.81,27.55,39000.0
2006-12-19,TDG,27.17,27.739,27.52,27.73,71800.0
2006-12-20,TDG,26.99,27.5571,27.02,27.46,67000.0
2006-12-21,TDG,26.8617,27.2,26.86,27.01,26900.0
2006-12-22,TDG,25.85,26.86,25.89,26.86,27600.0
2006-12-26,TDG,26.0,26.86,26.71,26.0,30800.0
2006-12-27,TDG,26.68,26.8,26.8,26.75,15400.0
2006-12-28,TDG,26.71,26.8,26.8,26.8,25600.0
2006-12-29,TDG,26.43,26.8,26.51,26.8,19200.0
2007-01-03,TDG,25.27,26.7491,25.41,26.6,61800.0
