Date,symbol,Low,High,Close,Open,Volume
2007-06-14,TEL,37.0,39.26,38.85,37.0,662600.0
2007-06-15,TEL,38.2464,39.1,38.8,39.1,1150000.0
2007-06-18,TEL,37.15,39.1,37.15,39.05,853600.0
2007-06-19,TEL,36.1,37.7,36.7,37.15,951000.0
2007-06-20,TEL,35.3277,36.83,35.95,36.83,1721800.0
2007-06-21,TEL,35.75,36.7,36.7,36.0,537700.0
2007-06-22,TEL,36.8,39.4988,38.95,37.0,250300.0
2007-06-25,TEL,38.25,40.0,39.25,39.1,203200.0
2007-06-26,TEL,39.2,39.8,39.5,39.31,119600.0
2007-06-27,TEL,39.0,39.8,39.75,39.4995,270700.0
2007-06-28,TEL,39.5,39.95,39.6,39.75,151200.0
2007-06-29,TEL,38.75,39.9,39.06,39.83,1701900.0
2007-07-02,TEL,38.98,40.63,39.97,39.2,2000500.0
2007-07-03,TEL,39.08,40.61,39.66,39.98,3752400.0
2007-07-05,TEL,39.24,41.28,39.45,39.6,4277800.0
2007-07-06,TEL,38.8,39.92,39.82,39.3957,3950700.0
2007-07-09,TEL,38.48,40.4,40.3,39.55,5369500.0
2007-07-10,TEL,38.48,39.5,39.0,39.5,5483200.0
2007-07-11,TEL,38.7,39.25,39.06,39.0,5964800.0
2007-07-12,TEL,38.31,39.06,39.01,38.95,4094400.0
2007-07-13,TEL,38.0,39.89,39.47,38.3,2064600.0
2007-07-16,TEL,37.07,39.85,39.3,38.0,2514800.0
2007-07-17,TEL,38.27,39.4984,38.86,39.02,3913400.0
2007-07-18,TEL,36.5997,38.86,37.94,36.95,4909400.0
2007-07-19,TEL,37.63,38.45,38.1,38.04,2078400.0
2007-07-20,TEL,37.8709,38.18,38.03,38.1,3406800.0
2007-07-23,TEL,35.1,39.0,38.91,35.1,2164400.0
2007-07-24,TEL,38.13,39.22,38.4,38.72,2119000.0
2007-07-25,TEL,38.0,38.57,38.47,38.25,2421500.0
2007-07-26,TEL,36.7197,38.3,37.56,38.0,3610800.0
2007-07-27,TEL,35.73,38.13,36.95,36.0003,2912600.0
2007-07-30,TEL,35.58,36.4468,36.05,36.4,2915500.0
2007-07-31,TEL,35.7,36.08,35.82,36.05,2148800.0
2007-08-01,TEL,34.76,36.0,35.22,34.92,3771700.0
2007-08-02,TEL,34.09,35.5,35.27,34.61,2519100.0
2007-08-03,TEL,35.0,35.43,35.09,35.1,2445000.0
2007-08-06,TEL,34.98,35.32,35.15,35.2,3896600.0
2007-08-07,TEL,34.0,35.38,34.85,34.85,2624200.0
2007-08-08,TEL,32.09,35.47,34.74,32.09,3355800.0
2007-08-09,TEL,33.62,34.77,33.73,34.3,2058600.0
2007-08-10,TEL,32.38,33.73,32.81,33.73,6034600.0
2007-08-13,TEL,32.39,33.25,32.99,33.0,3860000.0
2007-08-14,TEL,32.12,33.25,32.45,33.13,6021900.0
2007-08-15,TEL,32.4976,33.24,32.96,32.53,4280500.0
2007-08-16,TEL,32.0,33.25,33.04,32.06,4133300.0
2007-08-17,TEL,33.5,35.23,35.1,33.9,3026600.0
2007-08-20,TEL,34.6,35.98,34.95,34.87,1948800.0
2007-08-21,TEL,33.85,34.97,34.67,33.9,2257600.0
2007-08-22,TEL,34.3,35.34,34.86,34.75,2233000.0
2007-08-23,TEL,34.87,35.53,35.36,35.25,3054100.0
2007-08-24,TEL,35.1,37.0,36.27,35.2814,2105000.0
2007-08-27,TEL,35.4,36.56,35.47,36.2,1431200.0
2007-08-28,TEL,34.9,35.63,35.12,34.95,2243100.0
2007-08-29,TEL,34.81,35.5,35.36,35.32,1615900.0
2007-08-30,TEL,34.63,35.97,34.96,35.08,1590000.0
2007-08-31,TEL,34.0,35.55,34.87,34.53,2286900.0
2007-09-04,TEL,34.3,35.02,34.91,34.8709,1909800.0
2007-09-05,TEL,33.95,34.77,34.69,34.5,2133000.0
2007-09-06,TEL,32.0,36.69,35.23,32.0,3414500.0
2007-09-07,TEL,33.15,34.81,33.5,34.8,1869400.0
2007-09-10,TEL,33.17,33.95,33.2,33.41,2339000.0
2007-09-11,TEL,32.6,33.46,33.04,33.27,1921100.0
2007-09-12,TEL,32.4,33.19,32.56,32.82,2867900.0
2007-09-13,TEL,32.65,33.22,32.89,33.01,2351800.0
2007-09-14,TEL,32.63,33.69,33.06,32.68,2744500.0
2007-09-17,TEL,32.59,33.31,33.14,32.8,2246100.0
2007-09-18,TEL,32.62,34.99,33.59,33.03,2236900.0
2007-09-19,TEL,32.538000000000004,34.59,33.07,33.95,13839200.0
2007-09-20,TEL,32.8,33.6591,33.46,33.07,1813000.0
2007-09-21,TEL,33.18,33.97,33.45,33.86,2627700.0
2007-09-24,TEL,33.03,33.71,33.39,33.53,1549200.0
2007-09-25,TEL,33.14,33.77,33.77,33.33,1516500.0
2007-09-26,TEL,34.22,35.35,34.54,34.25,3838100.0
2007-09-27,TEL,34.5393,35.75,35.18,34.74,2099800.0
2007-09-28,TEL,34.85,35.53,35.43,35.02,1689100.0
2007-10-01,TEL,34.93,36.64,36.28,35.7,2717400.0
2007-10-02,TEL,35.72,36.2483,35.95,36.0,3089200.0
2007-10-03,TEL,35.25,36.0,35.66,35.96,2326900.0
2007-10-04,TEL,34.92,36.4691,35.9,35.66,3080200.0
2007-10-05,TEL,35.81,36.89,36.05,35.85,2334300.0
2007-10-08,TEL,36.18,37.33,37.12,36.23,1454000.0
2007-10-09,TEL,36.57,37.33,36.73,37.12,1705100.0
2007-10-10,TEL,36.33,37.12,36.84,36.39,5578300.0
2007-10-11,TEL,36.35,37.24,36.65,37.0,2205100.0
2007-10-12,TEL,36.37,37.09,37.0,36.49,1053800.0
2007-10-15,TEL,36.81,37.43,36.97,37.15,1559500.0
2007-10-16,TEL,36.58,37.2,36.99,37.0,1651000.0
2007-10-17,TEL,36.6,37.5,36.9,37.1,3160400.0
2007-10-18,TEL,36.65,36.93,36.88,36.77,1985200.0
2007-10-19,TEL,36.06,36.92,36.24,36.82,2755100.0
2007-10-22,TEL,35.27,36.2976,35.68,35.89,2174900.0
2007-10-23,TEL,34.9993,36.1,35.12,35.9,1272900.0
2007-10-24,TEL,33.89,35.0946,34.56,35.1,1403600.0
2007-10-25,TEL,33.77,34.65,34.04,34.64,1674200.0
2007-10-26,TEL,33.48,34.49,33.7,34.28,1261800.0
2007-10-29,TEL,33.87,34.6,34.38,33.94,1365500.0
2007-10-30,TEL,34.08,35.54,35.0,34.25,1200900.0
2007-10-31,TEL,34.73,35.76,35.67,34.95,1849800.0
2007-11-01,TEL,35.02,36.0,35.17,35.6188,1795700.0
2007-11-02,TEL,34.75,35.74,35.37,34.75,1401800.0
2007-11-05,TEL,33.539,35.23,33.76,35.23,1598700.0
2007-11-06,TEL,32.65,33.77,33.77,33.76,1189300.0
2007-11-07,TEL,32.55,33.48,32.99,33.36,3030400.0
2007-11-08,TEL,32.85,33.38,33.14,33.0183,3261500.0
2007-11-09,TEL,31.77,33.22,32.57,32.6418,3085100.0
2007-11-12,TEL,31.31,32.61,31.36,32.45,1948100.0
2007-11-13,TEL,31.36,33.41,32.35,31.38,1823200.0
2007-11-14,TEL,32.47,33.06,32.5,32.61,2809200.0
