Date,symbol,Low,High,Close,Open,Volume
1999-09-28,TGT,57.125,59.5,59.313,57.125,4426800.0
1999-09-29,TGT,58.125,59.563,58.375,59.313,3884000.0
1999-09-30,TGT,58.125,60.688,60.063,58.5,4058400.0
1999-10-01,TGT,59.5043,62.5,62.438,60.0,4340000.0
1999-10-04,TGT,62.438,63.875,63.688,62.438,5010800.0
1999-10-05,TGT,63.688,66.0,64.188,63.75,3723600.0
1999-10-06,TGT,63.8736,65.188,65.0,64.188,3746400.0
1999-10-07,TGT,64.25,65.375,65.0,65.125,2899800.0
1999-10-08,TGT,66.0,68.75,68.688,66.125,6963000.0
1999-10-11,TGT,68.375,69.875,69.5,68.813,4645600.0
1999-10-12,TGT,67.125,69.25,67.25,69.25,2795600.0
1999-10-13,TGT,64.813,67.375,65.063,67.0,3335200.0
1999-10-14,TGT,64.438,66.25,65.375,65.0,4576000.0
1999-10-15,TGT,64.25,65.188,64.313,64.938,3785600.0
1999-10-18,TGT,63.563,65.5,65.063,64.313,4235600.0
1999-10-19,TGT,65.0,67.4982,65.0,66.0,4153800.0
1999-10-20,TGT,64.625,66.1282,65.938,65.0,3101400.0
1999-10-21,TGT,64.625,65.7538,65.438,65.0,2927400.0
1999-10-22,TGT,65.188,67.313,66.5,65.625,3020200.0
1999-10-25,TGT,65.063,66.9396,65.813,66.0,2089200.0
1999-10-26,TGT,59.625,64.375,61.063,64.25,7271800.0
1999-10-27,TGT,59.875,62.4363,62.188,60.813,6629200.0
1999-10-28,TGT,62.25,64.188,63.75,62.875,4882000.0
1999-10-29,TGT,64.6253,66.125,64.625,64.75,4651600.0
1999-11-01,TGT,63.0617,65.625,63.563,64.938,4284800.0
1999-11-02,TGT,63.625,64.563,63.688,63.813,2865200.0
1999-11-03,TGT,62.375,64.563,63.25,64.0,3415400.0
1999-11-04,TGT,62.313,64.188,63.938,63.25,4002800.0
1999-11-05,TGT,64.75,65.688,65.375,65.0,2544600.0
1999-11-08,TGT,62.5,65.25,62.875,65.25,3127200.0
1999-11-09,TGT,60.813,62.25,61.938,61.375,3455000.0
1999-11-10,TGT,60.8706,62.25,61.0,61.875,4403800.0
1999-11-11,TGT,60.5,61.375,61.313,61.0,2095800.0
1999-11-12,TGT,60.625,61.875,61.375,61.438,2753400.0
1999-11-15,TGT,60.0,62.438,62.0,61.375,4939200.0
1999-11-16,TGT,59.375,62.375,60.75,62.0,6762200.0
1999-11-17,TGT,60.5,63.063,62.313,60.4984,4953600.0
1999-11-18,TGT,62.563,64.0,63.625,62.875,5294400.0
1999-11-19,TGT,63.625,65.0,64.563,63.625,3609600.0
1999-11-22,TGT,63.75,64.875,64.438,64.375,6310800.0
1999-11-23,TGT,66.063,67.063,66.691,66.125,6443600.0
1999-11-24,TGT,65.1274,67.0,66.563,66.5,3682200.0
1999-11-26,TGT,66.25,67.0,66.75,66.313,585600.0
1999-11-29,TGT,66.688,71.5,71.0,66.938,7797200.0
1999-11-30,TGT,69.125,70.75,70.563,70.5,5148600.0
1999-12-01,TGT,68.5,70.375,69.313,70.375,7370200.0
1999-12-02,TGT,66.375,68.875,68.313,68.0,2969800.0
1999-12-03,TGT,67.938,70.0,67.938,69.375,3289400.0
1999-12-06,TGT,66.938,68.5,67.0,68.125,2504600.0
1999-12-07,TGT,66.375,67.75,66.625,67.625,2623400.0
1999-12-08,TGT,66.3741,67.75,66.875,66.375,2595000.0
1999-12-09,TGT,66.0,67.688,66.0,67.0,5011400.0
1999-12-10,TGT,65.8819,69.125,67.75,66.625,3692600.0
1999-12-13,TGT,67.875,69.25,68.5,68.0,5506000.0
1999-12-14,TGT,69.0,71.75,71.25,69.375,5750400.0
1999-12-15,TGT,70.75,75.75,74.063,71.5,7350800.0
1999-12-16,TGT,72.0,74.625,74.625,74.1173,4108600.0
1999-12-17,TGT,73.125,74.875,73.625,74.875,4289000.0
1999-12-20,TGT,71.125,73.75,72.531,73.37,3101400.0
1999-12-21,TGT,70.25,71.875,70.75,71.563,3743600.0
1999-12-22,TGT,71.125,74.0,73.563,71.125,2732200.0
1999-12-23,TGT,73.625,75.5,75.0,73.813,1911400.0
1999-12-27,TGT,74.5,77.0,74.5,75.0,2609600.0
1999-12-28,TGT,73.0,74.688,74.25,73.0,2611800.0
1999-12-29,TGT,71.5,74.313,72.813,74.313,1558200.0
1999-12-30,TGT,72.125,74.25,73.813,72.813,1392400.0
1999-12-31,TGT,73.375,74.25,73.438,73.75,1152800.0
2000-01-03,TGT,70.25,72.75,72.063,72.25,2870400.0
2000-01-04,TGT,68.625,70.688,68.938,69.5,3856400.0
2000-01-05,TGT,67.0,69.938,67.375,68.938,4330600.0
2000-01-06,TGT,63.688,66.25,64.188,66.0,8167400.0
2000-01-07,TGT,63.813,67.688,67.5,64.0,4402600.0
2000-01-10,TGT,65.563,67.5,66.188,66.5,2559600.0
2000-01-11,TGT,66.0,68.5,68.188,66.063,3790400.0
2000-01-12,TGT,67.125,68.75,67.438,68.3126,3191400.0
2000-01-13,TGT,68.438,70.0,69.0,69.1185,5080200.0
2000-01-14,TGT,68.875,70.438,69.25,70.0,2916600.0
2000-01-18,TGT,67.25,68.5,68.0,67.5,1939200.0
2000-01-19,TGT,67.0,71.813,69.938,68.063,3417000.0
2000-01-20,TGT,67.0,70.188,67.688,69.938,3005400.0
2000-01-21,TGT,64.5,69.0,64.813,68.75,5370200.0
2000-01-24,TGT,63.25,66.25,63.5,65.5,5629400.0
2000-01-25,TGT,62.875,65.438,65.125,64.5,4761400.0
2000-01-26,TGT,65.0041,68.5,68.125,65.0,5087000.0
2000-01-27,TGT,65.813,68.0,67.313,67.938,4697200.0
2000-01-28,TGT,63.0,67.438,63.375,67.438,4666800.0
2000-01-31,TGT,63.375,66.25,65.875,63.75,3084800.0
2000-02-01,TGT,65.125,68.125,67.438,66.0,2733200.0
2000-02-02,TGT,66.063,69.1199,68.0,67.5,3095800.0
2000-02-03,TGT,65.625,67.75,66.063,67.75,4748800.0
2000-02-04,TGT,63.75,67.5,64.625,66.938,4543600.0
2000-02-07,TGT,64.625,66.5,65.688,65.0,2819400.0
2000-02-08,TGT,65.625,68.75,68.688,65.688,3512200.0
2000-02-09,TGT,67.0,68.688,67.188,68.688,2085400.0
2000-02-10,TGT,66.125,68.25,66.438,67.313,1900000.0
2000-02-11,TGT,66.063,66.875,66.063,66.563,2102400.0
2000-02-14,TGT,64.375,66.125,65.25,66.125,1876800.0
2000-02-15,TGT,62.875,65.0,63.938,65.0,2811400.0
2000-02-16,TGT,61.438,65.25,61.813,63.75,3917000.0
2000-02-17,TGT,58.5,62.25,59.875,61.813,5698600.0
2000-02-18,TGT,58.188,60.75,59.0,59.8779,5321600.0
2000-02-22,TGT,55.438,59.813,57.75,58.813,5649200.0
2000-02-23,TGT,56.688,58.313,56.813,58.25,3702200.0
2000-02-24,TGT,53.75,56.813,55.875,56.813,4127400.0
2000-02-25,TGT,54.875,56.75,55.875,56.063,4806600.0
2000-02-28,TGT,56.625,59.063,58.875,57.25,3935000.0
2000-02-29,TGT,58.125,60.5,59.0,58.875,3704400.0
2000-03-01,TGT,58.5,60.0,59.25,58.938,4027400.0
2000-03-02,TGT,59.375,62.375,60.25,59.375,4042600.0
2000-03-03,TGT,59.875,62.75,61.75,61.0,2528000.0
2000-03-06,TGT,59.938,62.1895,60.75,61.938,2646000.0
2000-03-07,TGT,57.563,60.063,58.0,60.0,3787200.0
2000-03-08,TGT,56.875,58.188,58.188,56.875,5544800.0
2000-03-09,TGT,56.6205,60.5,60.063,58.25,2846400.0
2000-03-10,TGT,60.4354,62.0,60.813,60.5,2626600.0
2000-03-13,TGT,58.5,61.75,61.438,59.5,3464400.0
2000-03-14,TGT,60.3751,62.938,60.938,61.438,2396800.0
