Date,symbol,Low,High,Close,Open,Volume
1999-09-28,TXT,74.875,77.125,76.375,75.8176,622600.0
1999-09-29,TXT,76.5,77.75,77.25,76.5,1071400.0
1999-09-30,TXT,76.938,77.5,77.375,77.375,898600.0
1999-10-01,TXT,75.0,77.375,75.75,76.5,1227200.0
1999-10-04,TXT,75.75,77.375,77.25,76.0,931200.0
1999-10-05,TXT,76.875,78.5,77.125,77.313,1632400.0
1999-10-06,TXT,77.125,77.625,77.5,77.125,711600.0
1999-10-07,TXT,77.125,77.8765,77.313,77.75,811200.0
1999-10-08,TXT,76.6247,77.938,77.75,76.625,776000.0
1999-10-11,TXT,77.25,78.4956,77.625,77.25,736600.0
1999-10-12,TXT,75.063,77.5,75.125,77.3769,548800.0
1999-10-13,TXT,73.188,75.5,73.438,75.125,887200.0
1999-10-14,TXT,72.125,73.938,73.375,73.188,836000.0
1999-10-15,TXT,72.5,73.7504,72.875,73.5,823000.0
1999-10-18,TXT,72.938,74.875,74.188,72.938,776800.0
1999-10-19,TXT,72.5,75.188,72.5,74.188,1179600.0
1999-10-20,TXT,72.563,75.125,74.813,72.563,1006600.0
1999-10-21,TXT,73.438,74.8193,74.5,74.375,812000.0
1999-10-22,TXT,74.75,76.688,75.938,74.875,564000.0
1999-10-25,TXT,75.5,76.75,75.5,75.688,672400.0
1999-10-26,TXT,73.5,76.688,73.5,75.125,961200.0
1999-10-27,TXT,73.563,75.313,74.813,73.563,859600.0
1999-10-28,TXT,75.0,76.875,76.5,75.375,1023200.0
1999-10-29,TXT,76.563,77.875,77.188,77.625,1368600.0
1999-11-01,TXT,73.5,76.813,73.5,76.563,688600.0
1999-11-02,TXT,73.188,75.375,74.313,73.75,1494400.0
1999-11-03,TXT,71.875,74.938,74.688,73.813,1246800.0
1999-11-04,TXT,72.563,74.8097,72.938,74.188,995000.0
1999-11-05,TXT,70.875,73.938,72.375,73.5037,1178600.0
1999-11-08,TXT,72.188,73.375,72.563,72.438,770600.0
1999-11-09,TXT,69.563,72.625,69.813,72.6237,1484400.0
1999-11-10,TXT,67.75,70.813,68.438,69.625,1241800.0
1999-11-11,TXT,65.875,69.938,69.375,67.0,2589000.0
1999-11-12,TXT,68.313,70.875,68.938,70.0,855400.0
1999-11-15,TXT,68.5,72.25,71.625,68.688,938800.0
1999-11-16,TXT,71.875,73.875,73.563,71.875,680600.0
