Date,symbol,Low,High,Close,Open,Volume
2007-10-25,ULTA,28.89,35.0,29.82,33.0,7486900.0
2007-10-26,ULTA,29.25,32.98,32.0,29.69,1625600.0
2007-10-29,ULTA,32.65,35.0,34.7,33.98,667900.0
2007-10-30,ULTA,33.0,35.6,35.43,35.22,455600.0
2007-10-31,ULTA,32.95,35.63,34.2,34.93,393200.0
2007-11-01,ULTA,32.14,33.5,32.73,33.5,453900.0
2007-11-02,ULTA,31.52,32.97,32.42,32.74,276000.0
2007-11-05,ULTA,31.11,32.2499,31.5,31.61,342300.0
2007-11-06,ULTA,31.35,31.9,31.43,31.51,223100.0
2007-11-07,ULTA,29.25,31.2966,29.35,31.3,525600.0
2007-11-08,ULTA,29.2475,30.15,30.0,29.25,411100.0
2007-11-09,ULTA,29.06,30.08,29.9,29.65,213400.0
2007-11-12,ULTA,29.04,31.16,29.04,29.67,112900.0
2007-11-13,ULTA,28.41,30.0,29.13,29.3,236700.0
2007-11-14,ULTA,29.1,30.25,29.95,29.16,244500.0
2007-11-15,ULTA,29.71,30.69,30.2,29.71,76800.0
2007-11-16,ULTA,30.0,30.7,30.69,30.2,88900.0
2007-11-19,ULTA,28.75,30.69,29.19,30.05,238300.0
2007-11-20,ULTA,25.26,29.72,27.0,29.71,742900.0
2007-11-21,ULTA,23.26,26.41,24.35,26.3287,810400.0
2007-11-23,ULTA,22.85,24.24,24.17,23.7387,100200.0
2007-11-26,ULTA,24.0007,25.33,24.2,24.77,233800.0
2007-11-27,ULTA,23.8,25.0,23.87,24.44,211200.0
2007-11-28,ULTA,24.2,25.31,24.85,24.47,417400.0
2007-11-29,ULTA,24.19,25.02,24.79,24.4908,341700.0
2007-11-30,ULTA,24.76,26.2325,25.74,25.0,199100.0
2007-12-03,ULTA,25.55,26.75,26.3,25.98,319200.0
2007-12-04,ULTA,25.73,26.66,25.85,26.29,180500.0
2007-12-05,ULTA,26.01,26.75,26.54,26.08,168500.0
