Date,symbol,Low,High,Close,Open,Volume
1999-09-28,UNH,58.125,61.188,60.188,59.125,10420800.0
1999-09-29,UNH,60.125,62.0,60.5,60.438,7727200.0
1999-09-30,UNH,48.063,59.875,48.688,59.875,44358400.0
1999-10-01,UNH,41.688,49.5085,45.75,48.688,56380800.0
1999-10-04,UNH,41.875,44.75,42.25,44.5,30089600.0
1999-10-05,UNH,39.375,43.375,42.938,41.9986,37184800.0
1999-10-06,UNH,42.0,44.25,43.0,43.0,18813600.0
1999-10-07,UNH,42.0,44.75,42.813,43.5,20707200.0
1999-10-08,UNH,41.813,43.5,42.25,43.063,7894400.0
1999-10-11,UNH,42.688,43.6855,43.375,42.75,5782400.0
1999-10-12,UNH,40.75,43.688,41.125,43.625,9325600.0
1999-10-13,UNH,39.688,40.875,40.125,40.75,12376800.0
1999-10-14,UNH,40.4965,43.188,42.5,40.5,9828800.0
1999-10-15,UNH,41.0,43.75,43.188,42.688,8841600.0
1999-10-18,UNH,42.188,46.5,44.188,43.188,10751200.0
1999-10-19,UNH,43.625,45.563,44.0,44.8751,6476800.0
1999-10-20,UNH,44.313,46.5,46.125,44.313,8013600.0
1999-10-21,UNH,46.25,48.188,48.188,46.375,9898400.0
1999-10-22,UNH,46.625,50.25,48.563,49.75,11749600.0
1999-10-25,UNH,48.188,49.75,48.938,48.313,5340800.0
1999-10-26,UNH,48.813,50.063,49.0,48.938,7047200.0
1999-10-27,UNH,49.188,49.938,49.25,49.75,5039200.0
1999-10-28,UNH,49.25,50.5,49.938,49.25,9643200.0
1999-10-29,UNH,49.438,53.688,51.688,49.5,6285600.0
1999-11-01,UNH,52.0,54.938,52.188,53.0,9892000.0
1999-11-02,UNH,53.75,55.938,55.313,54.875,24812000.0
1999-11-03,UNH,52.5,55.063,52.938,55.063,16022400.0
1999-11-04,UNH,51.438,53.5,52.0,52.7468,10320800.0
1999-11-05,UNH,52.438,53.063,52.563,52.5,5796800.0
1999-11-08,UNH,52.5638,55.25,54.938,52.75,10465600.0
1999-11-09,UNH,52.625,54.938,53.313,54.9387,6244000.0
1999-11-10,UNH,52.813,54.375,53.188,53.0,6501600.0
1999-11-11,UNH,52.25,53.813,52.688,53.188,7606400.0
1999-11-12,UNH,52.3121,53.625,53.25,52.438,4832800.0
1999-11-15,UNH,53.25,54.938,54.563,53.25,6517600.0
1999-11-16,UNH,54.688,55.625,55.063,54.75,7211200.0
1999-11-17,UNH,55.063,57.188,56.375,55.375,10895200.0
1999-11-18,UNH,55.313,58.5,58.5,56.0,14350400.0
1999-11-19,UNH,55.375,57.625,55.688,57.5,6948000.0
1999-11-22,UNH,54.375,56.063,55.0,55.75,5176800.0
1999-11-23,UNH,54.938,57.25,55.688,56.0,5582400.0
1999-11-24,UNH,52.938,54.5,52.938,54.25,6660000.0
1999-11-26,UNH,51.813,52.938,51.813,52.938,2566400.0
1999-11-29,UNH,50.313,51.75,50.313,51.75,6400000.0
1999-11-30,UNH,49.75,52.25,51.938,50.313,8896000.0
1999-12-01,UNH,51.375,53.625,52.813,51.375,6919200.0
1999-12-02,UNH,52.438,55.0,54.563,52.563,5880800.0
1999-12-03,UNH,53.75,56.375,54.063,54.625,6028800.0
1999-12-06,UNH,53.25,54.438,54.063,53.875,3196800.0
1999-12-07,UNH,51.625,54.1289,52.438,54.063,5707200.0
1999-12-08,UNH,51.813,53.063,52.563,52.25,4776000.0
1999-12-09,UNH,50.188,53.938,50.5,53.5,4570400.0
