Date,symbol,Low,High,Close,Open,Volume
1999-09-28,UNP,47.563,49.25,48.0,49.063,2604800.0
1999-09-29,UNP,47.188,48.188,47.5,48.063,2620400.0
1999-09-30,UNP,47.5,48.438,48.063,47.5,3341600.0
1999-10-01,UNP,46.313,48.063,46.313,47.938,1986800.0
1999-10-04,UNP,46.813,47.313,47.313,46.813,3838000.0
1999-10-05,UNP,46.938,48.313,48.063,47.25,5154400.0
1999-10-06,UNP,47.563,48.25,48.063,48.0,4120000.0
1999-10-07,UNP,48.625,49.125,48.813,48.875,2972000.0
1999-10-08,UNP,48.688,49.75,49.313,48.75,4836000.0
1999-10-11,UNP,49.313,49.813,49.438,49.563,1949600.0
1999-10-12,UNP,48.938,49.4981,48.938,49.313,5880800.0
1999-10-13,UNP,48.0,49.0,48.063,49.0,3044400.0
1999-10-14,UNP,47.188,48.375,47.813,48.0,2204800.0
1999-10-15,UNP,46.75,47.438,47.063,47.25,2484000.0
1999-10-18,UNP,46.375,47.375,46.875,47.0,2642000.0
1999-10-19,UNP,47.188,48.063,47.938,47.375,2058400.0
1999-10-20,UNP,47.25,48.0,47.813,48.0,2305600.0
1999-10-21,UNP,48.0,51.0051,50.813,48.0,4490800.0
1999-10-22,UNP,51.063,52.75,51.875,51.125,3637600.0
1999-10-25,UNP,51.438,52.438,51.75,51.75,2388800.0
1999-10-26,UNP,51.375,52.3121,51.375,51.875,3324400.0
1999-10-27,UNP,51.438,52.188,52.063,51.5,2302400.0
1999-10-28,UNP,52.313,54.938,54.875,52.313,3855600.0
1999-10-29,UNP,55.563,56.5,55.75,56.0041,6106800.0
1999-11-01,UNP,53.688,55.875,54.125,55.813,3041200.0
1999-11-02,UNP,53.688,54.875,54.0,53.875,1766400.0
1999-11-03,UNP,52.5,53.8738,52.75,53.75,2376800.0
1999-11-04,UNP,52.5,52.9391,52.688,52.938,2447200.0
1999-11-05,UNP,51.813,53.188,52.063,53.0,2915600.0
1999-11-08,UNP,52.063,53.313,53.313,52.063,1501200.0
1999-11-09,UNP,52.938,55.0,53.125,55.0,2428000.0
1999-11-10,UNP,51.625,53.438,52.188,53.063,2267200.0
1999-11-11,UNP,51.0,52.438,51.688,52.188,1858800.0
1999-11-12,UNP,51.688,52.5,52.5,51.938,2330800.0
1999-11-15,UNP,52.188,53.0,52.625,52.25,2598000.0
1999-11-16,UNP,52.063,53.188,53.063,52.565,1858800.0
1999-11-17,UNP,51.563,53.063,51.625,53.063,3586400.0
1999-11-18,UNP,51.375,52.0,51.438,51.625,2115600.0
1999-11-19,UNP,50.0,51.5,50.063,51.375,1856400.0
1999-11-22,UNP,48.625,49.75,48.75,49.75,4165200.0
1999-11-23,UNP,48.438,49.563,49.254,48.875,2226000.0
1999-11-24,UNP,48.563,49.25,48.813,49.125,2113600.0
1999-11-26,UNP,48.375,48.938,48.688,48.688,613600.0
1999-11-29,UNP,47.25,48.625,47.375,48.563,2270800.0
1999-11-30,UNP,47.063,47.688,47.063,47.438,3300400.0
1999-12-01,UNP,46.688,47.188,46.688,47.0,2696000.0
1999-12-02,UNP,46.125,47.0,46.188,46.938,2825600.0
1999-12-03,UNP,45.75,46.813,46.75,46.0,3674800.0
1999-12-06,UNP,46.0,46.813,46.813,46.313,2219200.0
1999-12-07,UNP,45.25,47.0,45.313,46.6238,2877200.0
1999-12-08,UNP,45.5,46.438,46.063,45.75,2968400.0
1999-12-09,UNP,44.625,46.063,44.938,46.063,2806000.0
1999-12-10,UNP,44.5,44.875,44.563,44.813,1942400.0
1999-12-13,UNP,44.0,44.5,44.297,44.375,2909600.0
1999-12-14,UNP,43.375,44.25,43.688,43.625,3031600.0
1999-12-15,UNP,42.875,43.938,43.625,43.8735,6534400.0
1999-12-16,UNP,43.375,43.938,43.813,43.7496,3441200.0
1999-12-17,UNP,43.938,44.938,44.313,44.0,3628800.0
1999-12-20,UNP,42.5,45.125,42.625,45.0,3997200.0
1999-12-21,UNP,39.001,42.625,40.625,42.625,8154400.0
1999-12-22,UNP,40.0,40.625,40.625,40.5,4984800.0
1999-12-23,UNP,41.125,42.438,41.938,41.125,3188800.0
1999-12-27,UNP,41.75,42.25,42.0,41.813,3828000.0
1999-12-28,UNP,42.063,43.688,43.188,42.25,3629200.0
1999-12-29,UNP,43.188,43.625,43.5,43.188,2596400.0
1999-12-30,UNP,42.563,43.625,43.063,43.625,2278400.0
1999-12-31,UNP,42.563,43.875,43.688,43.063,1383200.0
2000-01-03,UNP,42.938,44.125,43.063,44.1255,4101200.0
2000-01-04,UNP,42.625,43.375,43.0,43.063,4865200.0
