Date,symbol,Low,High,Close,Open,Volume
1999-11-10,UPS,64.5,70.313,68.25,65.0,80793700.0
1999-11-11,UPS,68.75,76.938,75.0,68.75,28309000.0
1999-11-12,UPS,69.25,76.625,70.5,76.0,14768100.0
1999-11-15,UPS,67.3151,70.875,69.0,70.5,8675100.0
1999-11-16,UPS,65.0,68.0,66.0,67.875,6978600.0
1999-11-17,UPS,65.125,68.188,67.688,65.563,5806900.0
1999-11-18,UPS,66.125,68.938,66.313,67.938,4718700.0
1999-11-19,UPS,64.25,66.313,65.0,66.313,5091100.0
1999-11-22,UPS,61.0,64.25,63.125,64.063,4785400.0
1999-11-23,UPS,63.25,67.0,66.188,63.375,2832200.0
1999-11-24,UPS,65.938,68.188,67.688,66.0,2179400.0
1999-11-26,UPS,68.188,69.438,69.125,68.438,1322500.0
1999-11-29,UPS,67.0,70.25,68.125,70.0,1987000.0
1999-11-30,UPS,66.063,67.625,66.063,67.375,1686100.0
1999-12-01,UPS,65.625,67.375,65.875,66.25,1405700.0
1999-12-02,UPS,65.875,67.063,67.063,66.0,1391000.0
1999-12-03,UPS,66.313,67.688,66.438,67.438,1753500.0
1999-12-06,UPS,65.3744,66.5,66.25,66.5,1398900.0
1999-12-07,UPS,65.875,68.0,68.0,65.938,1793100.0
1999-12-08,UPS,66.75,68.375,68.375,68.0,1774000.0
1999-12-09,UPS,66.625,68.75,67.5,68.375,1713600.0
1999-12-10,UPS,65.375,67.0,66.125,66.375,1248600.0
1999-12-13,UPS,64.875,66.938,66.0,66.375,1417800.0
1999-12-14,UPS,64.75,66.0,65.0,66.0,1886600.0
1999-12-15,UPS,63.688,65.063,63.75,65.0,1602800.0
1999-12-16,UPS,63.2541,64.063,64.0,63.75,1364600.0
1999-12-17,UPS,64.688,67.625,66.625,64.75,1980800.0
1999-12-20,UPS,66.938,68.5,68.5,67.688,1501300.0
1999-12-21,UPS,67.5,69.0,69.0,68.25,1265200.0
1999-12-22,UPS,66.063,68.938,67.0,68.938,1264700.0
1999-12-23,UPS,65.625,67.875,67.75,66.5,1180600.0
1999-12-27,UPS,67.5,69.688,69.688,68.5,1478800.0
1999-12-28,UPS,68.063,69.688,69.0,69.5,1051400.0
1999-12-29,UPS,67.5658,69.375,68.0,69.0,904700.0
1999-12-30,UPS,68.0,69.5,68.0,69.25,926700.0
1999-12-31,UPS,68.375,69.5,69.0,68.875,649300.0
2000-01-03,UPS,67.0,69.75,67.063,69.688,1273200.0
2000-01-04,UPS,64.625,67.0,64.938,67.0,1385800.0
2000-01-05,UPS,64.75,68.0015,68.0,64.875,1401700.0
2000-01-06,UPS,65.0,68.125,68.0,65.875,1959100.0
2000-01-07,UPS,65.75,67.625,66.375,67.625,996000.0
2000-01-10,UPS,66.438,67.438,67.063,66.875,1191700.0
2000-01-11,UPS,65.25,67.438,65.25,67.125,1020000.0
2000-01-12,UPS,65.438,67.5,67.375,66.125,1097700.0
2000-01-13,UPS,67.375,68.5,68.313,67.625,1071200.0
2000-01-14,UPS,68.313,69.25,69.063,68.875,1160000.0
2000-01-18,UPS,67.0,69.0,67.0,68.9986,980500.0
2000-01-19,UPS,67.438,68.562,68.25,68.5,1087300.0
2000-01-20,UPS,68.125,69.125,68.875,68.125,1972000.0
2000-01-21,UPS,66.688,68.875,67.25,68.875,1270100.0
2000-01-24,UPS,66.0,68.25,66.0,67.875,831400.0
2000-01-25,UPS,64.75,66.625,65.875,65.625,1263000.0
2000-01-26,UPS,64.5,65.625,65.125,65.25,933400.0
2000-01-27,UPS,64.0,65.375,65.125,65.313,1128400.0
2000-01-28,UPS,64.0,65.875,64.938,65.125,1324700.0
2000-01-31,UPS,59.0,63.9957,60.0,63.0,5745800.0
2000-02-01,UPS,58.313,61.5,61.375,59.688,4761000.0
2000-02-02,UPS,57.188,59.938,58.25,59.75,4740600.0
2000-02-03,UPS,57.375,59.5,57.625,59.25,1951900.0
2000-02-04,UPS,56.063,58.188,56.375,58.188,1745200.0
2000-02-07,UPS,55.5,56.813,55.75,56.625,1480200.0
2000-02-08,UPS,55.75,59.375,59.375,56.25,2055100.0
2000-02-09,UPS,58.0,59.625,58.0,59.5,1209400.0
2000-02-10,UPS,56.5,58.5,57.063,58.063,995700.0
2000-02-11,UPS,55.125,57.0,55.125,56.813,1013900.0
2000-02-14,UPS,54.125,55.5,54.375,55.313,2052800.0
2000-02-15,UPS,53.563,55.0,54.938,54.438,1182900.0
2000-02-16,UPS,54.5,56.438,56.0,55.188,1530000.0
2000-02-17,UPS,56.125,58.25,58.0,56.5,1036000.0
2000-02-18,UPS,55.25,59.438,56.938,58.0,1529200.0
2000-02-22,UPS,54.563,56.931000000000004,55.0,56.938,1226000.0
2000-02-23,UPS,54.063,56.25,54.938,55.063,855700.0
2000-02-24,UPS,53.813,55.0,54.063,55.0,1049300.0
2000-02-25,UPS,54.0647,55.75,55.5,54.938,961700.0
2000-02-28,UPS,54.5,55.625,55.0,55.563,565600.0
2000-02-29,UPS,54.5,55.313,54.625,55.0,750900.0
2000-03-01,UPS,51.875,54.688,52.5,54.625,1471000.0
2000-03-02,UPS,52.0646,53.625,53.313,52.125,1136600.0
2000-03-03,UPS,52.563,53.4994,52.688,53.313,1030700.0
2000-03-06,UPS,52.5,54.375,52.75,54.375,1431500.0
2000-03-07,UPS,49.0,52.813,50.625,52.75,2319100.0
2000-03-08,UPS,51.313,54.5,54.313,52.75,2275300.0
2000-03-09,UPS,52.438,54.5,53.0,54.5,1199700.0
2000-03-10,UPS,53.063,54.375,53.438,53.7504,776700.0
2000-03-13,UPS,52.125,54.188,52.75,52.25,671700.0
2000-03-14,UPS,52.313,53.5,52.563,52.5,1072500.0
2000-03-15,UPS,51.625,55.375,54.938,52.938,2274800.0
2000-03-16,UPS,55.063,57.625,56.25,55.875,1635300.0
2000-03-17,UPS,55.5,57.063,55.5,57.066,622400.0
2000-03-20,UPS,55.2505,56.875,56.563,56.5,843400.0
2000-03-21,UPS,55.25,58.375,58.188,56.313,889000.0
2000-03-22,UPS,56.813,59.0623,56.875,58.188,763100.0
2000-03-23,UPS,56.0,59.938,59.625,56.813,1472900.0
2000-03-24,UPS,59.813,64.125,63.75,60.0,2148200.0
2000-03-27,UPS,62.625,64.0,63.188,63.0,960400.0
2000-03-28,UPS,60.063,63.0006,60.25,62.5,639300.0
2000-03-29,UPS,58.313,61.25,59.063,61.25,869700.0
2000-03-30,UPS,58.313,60.122,58.563,58.813,682400.0
2000-03-31,UPS,58.188,63.0,62.988,59.5597,727100.0
2000-04-03,UPS,59.0,62.0,59.375,62.0,830000.0
2000-04-04,UPS,55.375,59.75,57.813,59.375,1309000.0
2000-04-05,UPS,56.813,58.25,58.188,56.813,478000.0
2000-04-06,UPS,58.313,60.188,59.875,58.313,800700.0
2000-04-07,UPS,59.125,61.438,60.875,59.875,778200.0
2000-04-10,UPS,61.0,64.0,64.0,61.125,1275600.0
2000-04-11,UPS,62.125,63.313,63.188,63.313,616700.0
2000-04-12,UPS,61.25,62.875,61.5,62.813,608700.0
2000-04-13,UPS,59.438,61.5,60.25,61.5,566300.0
2000-04-14,UPS,55.0,58.75,55.0,58.5,859800.0
2000-04-17,UPS,55.0,59.4988,58.0,57.0,1152900.0
2000-04-18,UPS,58.0,61.188,60.688,58.0,714900.0
2000-04-19,UPS,58.75,60.5,59.063,60.188,510200.0
2000-04-20,UPS,60.625,63.875,63.5,61.0,1730600.0
2000-04-24,UPS,62.0,63.25,62.625,63.0,1071000.0
2000-04-25,UPS,63.813,66.438,66.438,64.313,1644600.0
2000-04-26,UPS,64.938,66.938,66.188,66.5,1239300.0
2000-04-27,UPS,65.188,66.563,65.938,65.5,689400.0
2000-04-28,UPS,65.5,66.75,66.5,66.688,1011200.0
2000-05-01,UPS,64.25,66.9311,64.25,66.625,904600.0
2000-05-02,UPS,63.25,64.438,63.813,64.063,1565300.0
2000-05-03,UPS,62.313,64.063,62.375,64.063,566400.0
2000-05-04,UPS,60.0,62.125,60.938,62.125,669000.0
2000-05-05,UPS,59.0,60.875,59.875,59.75,834300.0
2000-05-08,UPS,58.313,61.75,61.063,59.0,1726400.0
2000-05-09,UPS,60.813,63.375,62.5,61.5,859200.0
2000-05-10,UPS,60.625,62.375,60.813,62.0,880400.0
2000-05-11,UPS,60.875,61.688,61.25,60.875,934200.0
2000-05-12,UPS,61.375,62.625,61.563,61.5,603600.0
2000-05-15,UPS,60.688,64.0,63.313,61.563,1110200.0
2000-05-16,UPS,61.875,64.0,62.0,64.0,526500.0
2000-05-17,UPS,61.188,62.875,62.313,61.75,466300.0
2000-05-18,UPS,61.375,62.25,62.125,62.25,626500.0
2000-05-19,UPS,60.5,62.188,61.875,61.875,754800.0
2000-05-22,UPS,59.875,61.875,61.438,61.625,701700.0
2000-05-23,UPS,61.125,62.25,61.875,61.188,669500.0
2000-05-24,UPS,59.125,61.375,59.625,61.0,592700.0
