Date,symbol,Low,High,Close,Open,Volume
2008-03-19,V,55.0,69.0,56.5,59.5,708486000.0
2008-03-20,V,57.5,65.0,64.35,58.4,198985200.0
2008-03-24,V,59.0,67.7,59.73,67.24,149566400.0
2008-03-25,V,59.82,64.25,63.25,60.58,87092000.0
2008-03-26,V,61.57,64.48,63.96,62.73,43111600.0
2008-03-27,V,62.65,64.74,62.91,64.05,39829600.0
2008-03-28,V,62.16,63.44,62.76,63.37,24675200.0
2008-03-31,V,62.05,63.48,62.36,62.6,22157200.0
2008-04-01,V,60.31,63.684,61.61,63.06,60410800.0
2008-04-02,V,60.5,62.32,62.32,61.72,43836400.0
2008-04-03,V,61.82,66.29,65.5,61.95,100868000.0
2008-04-04,V,63.75,65.32,64.48,64.9,36394400.0
2008-04-07,V,64.02,65.8,65.04,65.1,28301600.0
2008-04-08,V,64.81,68.24,68.09,64.9,53925600.0
2008-04-09,V,65.61,68.72,65.79,68.44,48324400.0
2008-04-10,V,65.109,66.73,66.11,66.16,22372000.0
2008-04-11,V,65.25,66.77,66.11,65.25,26421600.0
2008-04-14,V,65.53,67.24,65.68,66.7,28443600.0
2008-04-15,V,64.0,66.55,64.35,66.29,23888000.0
2008-04-16,V,64.56,66.95,66.14,64.56,25136800.0
2008-04-17,V,66.01,67.75,67.04,66.26,22459600.0
2008-04-18,V,67.2,70.447,69.0,68.01,104099600.0
2008-04-21,V,68.85,72.5,70.97,69.48,58848000.0
2008-04-22,V,70.0,72.4,70.28,71.92,47357600.0
2008-04-23,V,69.69,71.7,70.08,70.95,37319600.0
2008-04-24,V,70.04,72.99,72.3,71.2,38086800.0
2008-04-25,V,73.91,76.08,75.1,76.0,101460000.0
2008-04-28,V,74.9,77.29,75.63,76.5,132517200.0
2008-04-29,V,71.0,80.88,80.88,74.15,197308400.0
2008-04-30,V,81.07,84.81,83.45,81.4,147543600.0
2008-05-01,V,83.9,87.64,85.4,84.39,116395600.0
2008-05-02,V,81.0,87.5,82.75,87.29,136648800.0
2008-05-05,V,80.82,85.5,85.06,82.8449,70377200.0
2008-05-06,V,84.75,88.15,87.53,85.47,75913200.0
2008-05-07,V,87.66,89.84,88.5,88.83,100464800.0
2008-05-08,V,85.94,89.75,87.3,89.5,92836400.0
2008-05-09,V,82.52,86.67,82.86,85.81,94312000.0
2008-05-12,V,78.1,84.48,81.9,83.65,147471600.0
2008-05-13,V,80.79,83.5,82.38,81.83,53249600.0
2008-05-14,V,81.45,84.35,82.23,83.2949,51400400.0
2008-05-15,V,81.11,82.93,82.25,82.53,36688800.0
2008-05-16,V,81.26,82.85,82.37,82.71,34066800.0
2008-05-19,V,82.15,84.74,83.32,82.27,45473200.0
2008-05-20,V,81.91,83.84,82.74,82.88,40702000.0
2008-05-21,V,80.52,83.43,80.85,82.68,41831600.0
2008-05-22,V,76.16,80.6,77.31,80.57,85283600.0
2008-05-23,V,75.12,77.31,76.35,75.84,42196400.0
2008-05-27,V,74.36,78.94,78.74,76.92,62776400.0
2008-05-28,V,79.55,81.95,81.92,80.2919,52996000.0
2008-05-29,V,83.01,86.95,85.25,83.43,100613200.0
2008-05-30,V,85.81,87.56,86.36,86.02,72016000.0
2008-06-02,V,84.6,86.95,86.07,86.21,36856000.0
2008-06-03,V,86.03,87.95,87.56,87.01,48411600.0
2008-06-04,V,85.28,88.1,85.48,87.08,40684400.0
2008-06-05,V,85.59,87.24,87.24,86.46,27059600.0
2008-06-06,V,83.55,85.99,83.65,85.9,41748000.0
2008-06-09,V,80.56,84.95,82.14,84.0,45240000.0
2008-06-10,V,79.61,82.8696,80.31,80.3,36048400.0
2008-06-11,V,77.6,81.0,77.74,81.0,56996400.0
2008-06-12,V,78.5538,80.77,79.56,78.95,44605600.0
2008-06-13,V,80.15,81.81,81.53,80.26,30689200.0
2008-06-16,V,81.1,83.5,83.27,81.48,34384000.0
2008-06-17,V,83.68,84.98,84.67,84.1,33277600.0
2008-06-18,V,83.44,84.7,83.86,83.72,33724000.0
2008-06-19,V,81.62,84.4,84.27,83.48,36925200.0
2008-06-20,V,82.75,84.5,83.57,82.97,42546800.0
2008-06-23,V,81.02,84.35,81.06,83.85,30141200.0
2008-06-24,V,78.5025,82.94,82.66,80.06,49891200.0
2008-06-25,V,81.86,84.42,82.06,83.36,50711600.0
2008-06-26,V,78.02,80.74,79.1,80.6,76562800.0
2008-06-27,V,78.55,82.87,82.6,78.8,176022800.0
2008-06-30,V,80.3,82.84,81.31,82.01,49301200.0
2008-07-01,V,79.2,81.41,81.41,79.64,44921600.0
2008-07-02,V,79.30199999999999,82.4,79.42,81.9,33804000.0
2008-07-03,V,77.25,79.81,78.07,79.36,28738800.0
2008-07-07,V,74.0,79.94,75.62,78.5,79944400.0
2008-07-08,V,72.25,79.5,79.06,74.8868,95796400.0
2008-07-09,V,75.4,79.1,75.87,79.0,55322000.0
2008-07-10,V,73.89,77.62,77.25,75.76,52812000.0
2008-07-11,V,74.0,77.45,74.55,75.6,54645200.0
2008-07-14,V,72.5,76.18,72.58,76.09,42679600.0
2008-07-15,V,67.29,71.31,68.42,71.26,84268800.0
2008-07-16,V,66.5127,72.56,72.23,68.33,92448800.0
2008-07-17,V,71.35,75.06,75.06,73.7,67268800.0
2008-07-18,V,72.12,74.49,73.4,74.24,46632000.0
2008-07-21,V,71.57,74.94,71.9,73.9124,52937200.0
2008-07-22,V,67.9,74.23,74.05,69.6,65408000.0
2008-07-23,V,72.6,75.0,73.25,73.5,49942800.0
2008-07-24,V,69.96,73.73,70.08,72.9178,36625600.0
2008-07-25,V,69.07,72.35,71.96,70.54,38690800.0
2008-07-28,V,70.25,73.6,70.55,72.41,35699200.0
2008-07-29,V,71.01,75.97,75.97,71.03,49040400.0
2008-07-30,V,74.2725,78.9,78.45,77.25,76089200.0
2008-07-31,V,71.49,78.15,73.06,76.22,148888800.0
2008-08-01,V,70.35,74.1,71.73,73.3003,61715600.0
2008-08-04,V,71.5,73.6,72.5,71.76,42686000.0
2008-08-05,V,72.32,74.23,73.6,73.2,34354800.0
2008-08-06,V,71.07,72.8132,71.48,72.8,40924000.0
2008-08-07,V,69.34,71.2486,69.5,70.78,43847200.0
2008-08-08,V,69.11,72.85,72.6,69.77,36354400.0
2008-08-11,V,71.95,76.5,74.79,72.44,55289200.0
2008-08-12,V,72.6,74.8,72.8,74.2,33734400.0
2008-08-13,V,72.48,74.17,73.93,72.75,29924800.0
2008-08-14,V,73.6,75.79,75.78,73.8627,25839200.0
2008-08-15,V,74.83,76.53,75.79,75.99,26003200.0
2008-08-18,V,74.14,76.25,74.94,75.62,25850400.0
2008-08-19,V,73.61399999999999,75.24,73.74,74.45,21104800.0
2008-08-20,V,73.66,74.71,74.57,74.1,18118800.0
2008-08-21,V,73.19,74.64,74.38,73.96,15544800.0
2008-08-22,V,73.84,75.79,74.09,75.36,20955600.0
